 " desperate measures " was something i was excited about seeing back when it was originally scheduled to be released : summer '97 . 	Translation	Positive	Negative	EmotionRationale
many lives or one life ? 	many lives or one life ?	1	-1	 many[0] lives[0] or[0] one[0] life[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
if movies really had guts nowadays , i would have loved to have seen this movie come down to a final choice for garcia's character . 	if movies really had guts nowadays , i would have loved to have seen this movie come down to a final choice for garcia's character .	4	-1	 if[0] movies[0] really[0] had[0] guts[0] nowadays[0] i[0] would[0] have[0] loved[3] to[0] have[0] seen[0] this[0] movie[0] come[0] down[0] to[0] a[0] final[0] choice[0] for[0] garcia's[0] character[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
place him in a situation where he knows that he has to kill keaton because keaton is about to kill someone else . 	place him in a situation where he knows that he has to kill keaton because keaton is about to kill someone else .	1	-2	 place[0] him[0] in[0] a[0] situation[0] where[0] he[0] knows[0] that[0] he[0] has[0] to[0] kill[-1] keaton[0] because[0] keaton[0] is[0] about[0] to[0] kill[-1] someone[0] else[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
alas , movies these days generally have no such ambition to pull the audience's strings in ways which might make the uncomfortable . 	alas , movies these days generally have no such ambition to pull the audience's strings in ways which might make the uncomfortable .	1	-3	 alas[-1] movies[0] these[0] days[0] generally[0] have[0] no[0] such[0] ambition[0] to[0] pull[0] the[0] audience's[0] strings[0] in[0] ways[0] which[0] might[0] make[0] the[0] uncomfortable[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
despite a few silly moments ( and one or two really stupid ones ) , the good things about " desperate measures " outnumber the bad . 	despite a few silly moments ( and one or two really stupid ones ) , the good things about " desperate measures " outnumber the bad .	2	-3	 despite[0] a[0] few[0] silly[-1] moments[0] and[0] one[0] or[0] two[0] really[0] stupid[-1][-1 LastWordBoosterStrength] ones[0] the[0] good[1] things[0] about[0] desperate[-2] measures[0] outnumber[0] the[0] bad[-1] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
the main highlight would be keaton's performance . 	the main highlight would be keaton's performance .	1	-1	 the[0] main[0] highlight[0] would[0] be[0] keaton's[0] performance[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the character could have easily been an overacting , scene chewing freak , but keaton underplays it nicely . 	the character could have easily been an overacting , scene chewing freak , but keaton underplays it nicely .	2	-2	 the[0] character[0] could[0] have[0] easily[0] been[0] an[0] overacting[0] scene[0] chewing[0] freak[-1] but[0] keaton[0] underplays[0] it[0] nicely[1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
he's not as menacing as he was in " pacific heights " or even as menacing as he was in " batman " ( yes kids , batman used to be a dark character ) , but you certainly get the idea that he's evil . 	he's not as menacing as he was in " pacific heights " or even as menacing as he was in " batman " ( yes kids , batman used to be a dark character ) , but you certainly get the idea that he's evil .	1	-3	 he's[0] not[0] as[0] menacing[0] as[0] he[0] was[0] in[0] pacific[0] heights[0] or[0] even[0] as[0] menacing[0] as[0] he[0] was[0] in[0] batman[0] yes[0] kids[0] batman[0] used[0] to[0] be[0] a[0] dark[0] character[0] but[0] you[0] certainly[0] get[0] the[0] idea[0] that[0] he's[0] evil[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
even the final scene of the film , which normally i would just hate , seems strangely appropriate for this film . 	even the final scene of the film , which normally i would just hate , seems strangely appropriate for this film .	1	-3	 even[0] the[0] final[0] scene[0] of[0] the[0] film[0] which[0] normally[0] i[0] would[0] just[0] hate[-3][--1 LastWordBoosterStrength] seems[0] strangely[0] appropriate[0] for[0] this[0] film[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
so much so that i didn't mind it in the slightest . 	so much so that i didn't mind it in the slightest .	1	-1	 so[0] much[0] so[0] that[0] i[0] didn't[0] mind[0] it[0] in[0] the[0] slightest[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and another bonus : the film takes place in san francisco , which usually means a car chase on those hills that you've seen a billion times before . 	and another bonus : the film takes place in san francisco , which usually means a car chase on those hills that you've seen a billion times before .	1	-2	 and[0] another[0] bonus[0] the[0] film[0] takes[0] place[0] in[0] san[0] francisco[0] which[0] usually[0] means[0] a[0] car[0] chase[-1] on[0] those[0] hills[0] that[0] you've[0] seen[0] a[0] billion[0] times[0] before[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
and for a moment , it looked as though it was about to happen . 	and for a moment , it looked as though it was about to happen .	1	-1	 and[0] for[0] a[0] moment[0] it[0] looked[0] as[0] though[0] it[0] was[0] about[0] to[0] happen[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but it doesn't , and that's creative . 	but it doesn't , and that's creative .	1	-1	 but[0] it[0] doesn't[0] and[0] that's[0] creative[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
[r] 	[r]	1	-1	 [r][0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
