 " sometimes the 'green mile' seems sooooo long . " 	Translation	Positive	Negative	EmotionRationale
perhaps its the way he asked for a night light because he is frightened of the dark . 	perhaps its the way he asked for a night light because he is frightened of the dark .	1	-4	 perhaps[0] its[0] the[0] way[0] he[0] asked[0] for[0] a[0] night[0] light[0] because[0] he[0] is[0] frightened[-3] of[0] the[0] dark[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
or perhaps it is the mystical healing powers he demonstrates as he " takes back " paul's bladder infection thereby restoring him to health . 	or perhaps it is the mystical healing powers he demonstrates as he " takes back " paul's bladder infection thereby restoring him to health .	1	-2	 or[0] perhaps[0] it[0] is[0] the[0] mystical[0] healing[0] powers[0] he[0] demonstrates[0] as[0] he[0] takes[0] back[0] paul's[0] bladder[0] infection[-1] thereby[0] restoring[0] him[0] to[0] health[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
based on steven king's 1996 serialized novel , the green mile does offer other characters who have stories to be told : eduard delacroix ( michael jeter , patch adams ) , is a frail cajun convict who befriends and trains a mouse to do circus tricks ; percy wetmore ( doug hutchison , a time to kill ) , is a young and sadistic guard sitting on a transfer to a more lucrative position because he has yet to see a prisoner " fry " up close ; and hal moores ( james cromwell , babe : pig in the city ) is the compassionate warden for whom , despite all the executions he's witnessed , death never loomed as large as when his own wife was diagnosed with a tumor . 	based on steven king's 1996 serialized novel , the green mile does offer other characters who have stories to be told : eduard delacroix ( michael jeter , patch adams ) , is a frail cajun convict who befriends and trains a mouse to do circus tricks ; percy wetmore ( doug hutchison , a time to kill ) , is a young and sadistic guard sitting on a transfer to a more lucrative position because he has yet to see a prisoner " fry " up close ; and hal mores ( james cromwell , babe : pig in the city ) is the compassionate warden for whom , despite all the executions he's witnessed , death never loomed as large as when his own wife was diagnosed with a tumor .	2	-3	 based[0] on[0] steven[0] king's[0] 1996[0] serialized[0] novel[0] the[0] green[0] mile[0] does[0] offer[0] other[0] characters[0] who[0] have[0] stories[0] to[0] be[0] told[0] eduard[0] delacroix[0] michael[0] jeter[0] patch[0] adams[0] is[0] a[0] frail[0] cajun[0] convict[-1] who[0] befriends[0] and[0] trains[0] a[0] mouse[0] to[0] do[0] circus[0] tricks[-1] percy[0] wetmore[0] doug[0] hutchison[0] a[0] time[0] to[0] kill[-1] is[0] a[0] young[0] and[0] sadistic[0] guard[0] sitting[0] on[0] a[0] transfer[0] to[0] a[0] more[0] lucrative[0] position[0] because[0] he[0] has[0] yet[0] to[0] see[0] a[0] prisoner[-1] fry[0] up[0] close[0] and[0] hal[0] moores/mores[0] james[0] cromwell[0] babe[0] pig[0] in[0] the[0] city[0] is[0] the[0] compassionate[1] warden[0] for[0] whom[0] despite[0] all[0] the[0] executions[0] he's[0] witnessed[0] death[-2] never[0] loomed[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
while it is mr . hanks " everyman " performance at the center of the film which gives it the anchor to hold our interest for 180 minutes , it is the performances of his supporting cast that are most worth noting . 	while it is mr .<br> hanks " everyman " performance at the center of the film which gives it the anchor to hold our interest for 180 minutes , it is the performances of his supporting cast that are most worth noting .	2	-1	 while[0] it[0] is[0] mr[0] [[Sentence=-1,1=word max, 1-5]] hanks[0] everyman[0] performance[0] at[0] the[0] center[0] of[0] the[0] film[0] which[0] gives[0] it[0] the[0] anchor[0] to[0] hold[0] our[0] interest[1] for[0] 180[0] minutes[0] it[0] is[0] the[0] performances[0] of[0] his[0] supporting[1] cast[0] that[0] are[0] most[0] worth[0] noting[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
all involved do credible work in their respective roles , most especially mr . duncan , who turns in an impressive , fully realized characterization . 	all involved do credible work in their respective roles , most especially mr .<br> duncan , who turns in an impressive , fully realized characterization .	3	-1	 all[0] involved[0] do[0] credible[0] work[0] in[0] their[0] respective[2] roles[0] most[0] especially[0] mr[0] [[Sentence=-1,3=word max, 1-5]] duncan[0] who[0] turns[0] in[0] an[0] impressive[1] fully[0] realized[0] characterization[0] [[Sentence=-1,2=word max, 1-5]][[[3,-1 max of sentences]]]
if only the story were more credible . 	if only the story were more credible .	1	-1	 if[0] only[0] the[0] story[0] were[0] more[0] credible[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
writer/director frank darabont ( the shawshank redemption ) has crafted a flawed fantasy/allegory of sorts ; one which is more spiritualistic than spiritual , relying on a preternatural mysticism rather than a genuine and godly spiritual power . 	writer/director frank darabont ( the shawshank redemption ) has crafted a flawed fantasy/allegory of sorts ; one which is more spiritualistic than spiritual , relying on a preternatural mysticism rather than a genuine and godly spiritual power .	1	-1	 writer/director[0] frank[0] darabont[0] the[0] shawshank[0] redemption[0] has[0] crafted[0] a[0] flawed[0] fantasy/allegory[0] of[0] sorts[0] one[0] which[0] is[0] more[0] spiritualistic[0] than[0] spiritual[0] relying[0] on[0] a[0] preternatural[0] mysticism[0] rather[0] than[0] a[0] genuine[0] and[0] godly[0] spiritual[0] power[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
mr . darabont also overplays his hand considerably in the manipulation of our affection towards and association with his characters . 	mr .<br> darabont also overplays his hand considerably in the manipulation of our affection towards and association with his characters .	3	-2	 mr[0] [[Sentence=-1,1=word max, 1-5]] darabont[0] also[0] overplays[0] his[0] hand[0] considerably[0] in[0] the[0] manipulation[-1] of[0] our[0] affection[2] towards[0] and[0] association[0] with[0] his[0] characters[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
was it an accidental omission that the first two inmates who walked the green mile were being punished for crimes never disclosed ? 	was it an accidental omission that the first two inmates who walked the green mile were being punished for crimes never disclosed ?	1	-2	 was[0] it[0] an[0] accidental[-1] omission[0] that[0] the[0] first[0] two[0] inmates[0] who[0] walked[0] the[0] green[0] mile[0] were[0] being[0] punished[-1] for[0] crimes[-1] never[0] disclosed[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
by not knowing the reason for the condemned convicts' presence on e-block , the audience never gets the sense of the justice which is being carried out , making the death penalty appear cruel and unwarranted . 	by not knowing the reason for the condemned convicts' presence on e-block , the audience never gets the sense of the justice which is being carried out , making the death penalty appear cruel and unwarranted .	1	-4	 by[0] not[0] knowing[0] the[0] reason[0] for[0] the[0] condemned[-1] convicts'[-1] presence[0] on[0] e[0] block[-1] the[0] audience[0] never[0] gets[0] the[0] sense[0] of[0] the[0] justice[0] which[0] is[0] being[0] carried[0] out[0] making[0] the[0] death[-2] penalty[0] appear[0] cruel[-3] and[0] unwarranted[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
this is especially true during the gruesome depiction of the second execution which was horribly botched . 	this is especially true during the gruesome depiction of the second execution which was horribly botched .	3	-4	 this[0] is[0] especially[0] true[1][1 LastWordBoosterStrength] during[0] the[0] gruesome[0] depiction[0] of[0] the[0] second[0] execution[0] which[0] was[0] horribly[-3] botched[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
much has also been made of coffey's christ-like ability to heal but unlike the numerous healings which are recorded in the scriptures , coffey's powers are shrouded in mystery , taking on the feel of a circus trick , coupled with a voodoo-like " i feel your pain " transference . 	much has also been made of coffey's christ-like ability to heal but unlike the numerous healings which are recorded in the scriptures , coffey's powers are shrouded in mystery , taking on the feel of a circus trick , coupled with a voodoo-like " i feel your pain " transference .	2	-4	 much[0] has[0] also[0] been[0] made[0] of[0] coffey's[0] christ[0] like[1] ability[0] to[0] heal[0] but[0] unlike[0] the[0] numerous[0] healings[0] which[0] are[0] recorded[0] in[0] the[0] scriptures[0] coffey's[0] powers[0] are[0] shrouded[-1] in[0] mystery[0] taking[0] on[0] the[0] feel[0] of[0] a[0] circus[0] trick[-1] coupled[0] with[0] a[0] voodoo[0] like[1] i[0] feel[0] your[0] pain[-3] transference[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
in contrast , there is no mystery associated with the healing that is from god . 	in contrast , there is no mystery associated with the healing that is from god .	1	-1	 in[0] contrast[0] there[0] is[0] no[0] mystery[0] associated[0] with[0] the[0] healing[0] that[0] is[0] from[0] god[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the genuine " gifts of healing " listed in 1 corinthians 12 is just one of the nine manifestations of holy spirit and can be operated by any spiritually instructed man or woman in accordance with the knowledge and wisdom of god . 	the genuine " gifts of healing " listed in 1 corinthians 12 is just one of the nine manifestations of holy spirit and can be operated by any spiritually instructed man or woman in accordance with the knowledge and wisdom of god .	1	-1	 the[0] genuine[0] gifts[0] of[0] healing[0] listed[0] in[0] 1[0] corinthians[0] 12[0] is[0] just[0] one[0] of[0] the[0] nine[0] manifestations[0] of[0] holy[0] spirit[0] and[0] can[0] be[0] operated[0] by[0] any[0] spiritually[0] instructed[0] man[0] or[0] woman[0] in[0] accordance[0] with[0] the[0] knowledge[0] and[0] wisdom[0] of[0] god[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
true spiritual healing ( with few exceptions ) requires the committed believing of both the healer as well as the one being healed . 	true spiritual healing ( with few exceptions ) requires the committed believing of both the healer as well as the one being healed .	2	-1	 true[1] spiritual[0] healing[0] with[0] few[0] exceptions[0] requires[0] the[0] committed[0] believing[0] of[0] both[0] the[0] healer[0] as[0] well[0] as[0] the[0] one[0] being[0] healed[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
such believing comes not from the shrouded secrets of mysticism , but from the revealed word of god . 	such believing comes not from the shrouded secrets of mysticism , but from the revealed word of god .	1	-2	 such[0] believing[0] comes[0] not[0] from[0] the[0] shrouded[-1] secrets[0] of[0] mysticism[0] but[0] from[0] the[0] revealed[0] word[0] of[0] god[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
