i think the first thing this reviewer should mention is wether or not i am a fan of the x-files . 	Translation	Positive	Negative	EmotionRationale
exciting , scary , great special effects ( unlike other summer movies the effects do not take over the movie and are only there when it is really necessary ) and good performances . 	exciting , scary , great special effects ( unlike other summer movies the effects do not take over the movie and are only there when it is really necessary ) and good performances .	3	-4	 exciting[2] scary[-3] great[2] special[1] effects[0] unlike[0] other[0] summer[0] movies[0] the[0] effects[0] do[0] not[0] take[0] over[0] the[0] movie[0] and[0] are[0] only[0] there[0] when[0] it[0] is[0] really[0] necessary[0] and[0] good[1] performances[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
this is coming from a guy who thinks david duchovny is the human equivalent of a wooden plank . 	this is coming from a guy who thinks david duchovny is the human equivalent of a wooden plank .	1	-1	 this[0] is[0] coming[0] from[0] a[0] guy[0] who[0] thinks[0] david[0] duchovny[0] is[0] the[0] human[0] equivalent[0] of[0] a[0] wooden[0] plank[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
from start to finish , this movie does not let go of you . 	from start to finish , this movie does not let go of you .	1	-1	 from[0] start[0] to[0] finish[0] this[0] movie[0] does[0] not[0] let[0] go[0] of[0] you[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
when i compare it with last summer's movies the best way to describe it would be : take the excitement and great score from face/off and the deadly use of sound from event horizon . 	when i compare it with last summer's movies the best way to describe it would be : take the excitement and great score from face/off and the deadly use of sound from event horizon .	3	-2	 when[0] i[0] compare[0] it[0] with[0] last[0] summer's[0] movies[0] the[0] best[1] way[0] to[0] describe[0] it[0] would[0] be[0] take[0] the[0] excitement[2] and[0] great[2] score[0] from[0] face/off[0] and[0] the[0] deadly[-1] use[0] of[0] sound[0] from[0] event[0] horizon[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
this flick is scary , not in a b movie kind of way where you always know where and when the critter will jump at our heroes . 	this flick is scary , not in a b movie kind of way where you always know where and when the critter will jump at our heroes .	3	-4	 this[0] flick[0] is[0] scary[-3] not[0] in[0] a[0] b[0] movie[0] kind[1] of[0] way[0] where[0] you[0] always[0] know[0] where[0] and[0] when[0] the[0] critter[0] will[0] jump[0] at[0] our[0] heroes[2] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
in fact , the first time the critter in this movie makes an apperance it is totally out of the blue . 	in fact , the first time the critter in this movie makes an apperance it is totally out of the blue .	1	-1	 in[0] fact[0] the[0] first[0] time[0] the[0] critter[0] in[0] this[0] movie[0] makes[0] an[0] apperance[0] it[0] is[0] totally[0] out[0] of[0] the[0] blue[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
you might as well bring ear plugs because this thing is louuuudd ! 	you might as well bring ear plugs because this thing is loud !	2	-1	 you[0] might[0] as[0] well[0] bring[0] ear[0] plugs[0] because[0] this[0] thing[0] is[0] louuuudd/loud[0][+0.6 MultipleLetters] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the last time a monster scared me that much was when i first saw aliens as a six year old kid . 	the last time a monster scared me that much was when i first saw aliens as a six year old kid .	1	-4	 the[0] last[0] time[0] a[0] monster[-1] scared[-3] me[0] that[0] much[0] was[0] when[0] i[0] first[0] saw[0] aliens[0] as[0] a[0] six[0] year[0] old[0] kid[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
you know , when you are affraid to put you feet on the floor because the creature might be under the chair , or when you keep trying to cover your throat with your shirt ? 	you know , when you are afraid to put you feet on the floor because the creature might be under the chair , or when you keep trying to cover your throat with your shirt ?	1	-4	 you[0] know[0] when[0] you[0] are[0] affraid/afraid[-3] to[0] put[0] you[0] feet[0] on[0] the[0] floor[0] because[0] the[0] creature[0] might[0] be[0] under[0] the[0] chair[0] or[0] when[0] you[0] keep[0] trying[0] to[0] cover[0] your[0] throat[0] with[0] your[0] shirt[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
so yeah , the x-files is scary . 	so yeah , the x-files is scary .	2	-4	 so[0] yeah[0] the[0] x[1] files[0] is[0] scary[-3] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
and guess what ? 	and guess what ?	1	-1	 and[0] guess[0] what[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
you never even have to see the monster but your imagination works overtime and it sure beats having to watch a flawed , computer generated , babyzilla , it looks like you could walk right through it not even scarier than your grandma in undies type of monster . 	you never even have to see the monster but your imagination works overtime and it sure beats having to watch a flawed , computer generated , babyzilla , it looks like you could walk right through it not even scarier than your grandma in undies type of monster .	2	-2	 you[0] never[0] even[0] have[0] to[0] see[0] the[0] monster[-1] but[0] your[0] imagination[0] works[0] overtime[0] and[0] it[0] sure[0] beats[0] having[0] to[0] watch[0] a[0] flawed[0] computer[0] generated[0] babyzilla[0] it[0] looks[0] like[1] you[0] could[0] walk[0] right[0] through[0] it[0] not[0] even[0] scarier[0] than[0] your[0] grandma[0] in[0] undies[0] type[0] of[0] monster[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
do not think that the x-files is a monster movie . 	do not think that the x-files is a monster movie .	2	-2	 do[0] not[0] think[0] that[0] the[0] x[1] files[0] is[0] a[0] monster[-1] movie[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
in fact , the creature is there for maybe three minutes total . 	in fact , the creature is there for maybe three minutes total .	1	-1	 in[0] fact[0] the[0] creature[0] is[0] there[0] for[0] maybe[0] three[0] minutes[0] total[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
no , the x-files is definately a mulder episode of the series . 	no , the x-files is definately a mulder episode of the series .	2	-1	 no[0] the[0] x[1] files[0] is[0] definately[0] a[0] mulder[0] episode[0] of[0] the[0] series[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
scully is at his side , of course , but gillian anderson gets maybe half the screen time . 	scully is at his side , of course , but gillian anderson gets maybe half the screen time .	1	-1	 scully[0] is[0] at[0] his[0] side[0] of[0] course[0] but[0] gillian[0] anderson[0] gets[0] maybe[0] half[0] the[0] screen[0] time[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
she has a couple of good scenes with duchovny , but she gets kidnapped during the last half hour of the movie so she does not get to do much . 	she has a couple of good scenes with duchovny , but she gets kidnapped during the last half hour of the movie so she does not get to do much .	2	-1	 she[0] has[0] a[0] couple[0] of[0] good[1] scenes[0] with[0] duchovny[0] but[0] she[0] gets[0] kidnapped[0] during[0] the[0] last[0] half[0] hour[0] of[0] the[0] movie[0] so[0] she[0] does[0] not[0] get[0] to[0] do[0] much[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
no , this is mulder's time in the spotlight . 	no , this is mulder's time in the spotlight .	1	-1	 no[0] this[0] is[0] mulder's[0] time[0] in[0] the[0] spotlight[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
by now , you have heard of the scene where mulder " showers " independence day . 	by now , you have heard of the scene where mulder " showers " independence day .	1	-1	 by[0] now[0] you[0] have[0] heard[0] of[0] the[0] scene[0] where[0] mulder[0] showers[0] independence[0] day[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
if you have not then i will not spoil it for you , let's just say that due to recent events mulder should be " showering " godzilla instead . 	if you have not then i will not spoil it for you , let's just say that due to recent events mulder should be " showering " godzilla instead .	2	-1	 if[0] you[0] have[0] not[0] then[0] i[0] will[0] not[0] spoil[-1][NegatedDueToPreviousWord] it[0] for[0] you[0] let's[0] just[0] say[0] that[0] due[0] to[0] recent[0] events[0] mulder[0] should[0] be[0] showering[0] godzilla[0] instead[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
to those of you wondering if mulder discovers that the truth is indeed out there . . . who 	to those of you wondering if mulder discovers that the truth is indeed out there .<br> .<br> .<br> who	2	-1	 to[0] those[0] of[0] you[0] wondering[0] if[0] mulder[0] discovers[0] that[0] the[0] truth[1] is[0] indeed[0] out[0] there[0] [[Sentence=-1,2=word max, 1-5]] who[0] [[Sentence=-1,1=word max, 1-5]][[[2,-1 max of sentences]]]
cares ! ? 	cares !<br> ?	2	-1	 cares[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
if he did find it the series would over anyway so what are you complaining about ? 	if he did find it the series would over anyway so what are you complaining about ?	1	-2	 if[0] he[0] did[0] find[0] it[0] the[0] series[0] would[0] over[0] anyway[0] so[0] what[0] are[0] you[0] complaining[-1] about[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the dialogue in interesting and the director is marvelous . 	the dialogue in interesting and the director is marvelous .	2	-1	 the[0] dialogue[0] in[0] interesting[1] and[0] the[0] director[0] is[0] marvelous[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the camera is almost always looking over the shoulder of our heroes so we feel as if we are right there with them when they open a door or climb a hill . 	the camera is almost always looking over the shoulder of our heroes so we feel as if we are right there with them when they open a door or climb a hill .	3	-1	 the[0] camera[0] is[0] almost[0] always[0] looking[0] over[0] the[0] shoulder[0] of[0] our[0] heroes[2] so[0] we[0] feel[0] as[0] if[0] we[0] are[0] right[0] there[0] with[0] them[0] when[0] they[0] open[0] a[0] door[0] or[0] climb[0] a[0] hill[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the script is spotless , every thing that happens happens for a purpose . 	the script is spotless , every thing that happens happens for a purpose .	2	-1	 the[0] script[0] is[0] spotless[1] every[0] thing[0] that[0] happens[0] happens[0] for[0] a[0] purpose[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
if you are confused by something , do not worry because it will all become clear later on but , and i cannot stress this enough , pay attention ! ! ! 	if you are confused by something , do not worry because it will all become clear later on but , and i cannot stress this enough , pay attention !<br> !<br> !	4	-2	 if[0] you[0] are[0] confused[-1] by[0] something[0] do[0] not[0] worry[-3][NegatedDueToPreviousWord] because[0] it[0] will[0] all[0] become[0] clear[0] later[0] on[0] but[0] and[0] i[0] cannot[0] stress[-1][NegatedDueToPreviousWord] this[0] enough[0] pay[0] attention[0] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
unlike most summer movies , the dialogue is twice as important as the effects . 	unlike most summer movies , the dialogue is twice as important as the effects .	1	-1	 unlike[0] most[0] summer[0] movies[0] the[0] dialogue[0] is[0] twice[0] as[0] important[0] as[0] the[0] effects[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
miss one vital piece of information and , like most people who talk during movies , you will go home and tell all your friends how this movie made no sense . 	miss one vital piece of information and , like most people who talk during movies , you will go home and tell all your friends how this movie made no sense .	2	-2	 miss[-1] one[0] vital[0] piece[0] of[0] information[0] and[0] like[1] most[0] people[0] who[0] talk[0] during[0] movies[0] you[0] will[0] go[0] home[0] and[0] tell[0] all[0] your[0] friends[1] how[0] this[0] movie[0] made[0] no[0] sense[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
also , to those people who need to go to the bathroom during movies . . . don't ! 	also , to those people who need to go to the bathroom during movies .<br> .<br> .<br> don't !	1	-1	 also[0] to[0] those[0] people[0] who[0] need[0] to[0] go[0] to[0] the[0] bathroom[0] during[0] movies[0] [[Sentence=-1,1=word max, 1-5]] don't[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the person who watched the movie with me had to go twice and twice she missed an important conversation . 	the person who watched the movie with me had to go twice and twice she missed an important conversation .	1	-2	 the[0] person[0] who[0] watched[0] the[0] movie[0] with[0] me[0] had[0] to[0] go[0] twice[0] and[0] twice[0] she[0] missed[-1] an[0] important[0] conversation[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
there is no time to take a breather between scenes because , again unlike most summer movies ( godzilla anybody ? 	there is no time to take a breather between scenes because , again unlike most summer movies ( godzilla anybody ?	1	-1	 there[0] is[0] no[0] time[0] to[0] take[0] a[0] breather[0] between[0] scenes[0] because[0] again[0] unlike[0] most[0] summer[0] movies[0] godzilla[0] anybody[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 ) the x-files does not need to fill scenes between the suspense and the action with useless subplots , every scene is crucial and serves a purpose . 	 ) the x-files does not need to fill scenes between the suspense and the action with useless subplots , every scene is crucial and serves a purpose .	2	-3	 the[0] x[1] files[0] does[0] not[0] need[0] to[0] fill[0] scenes[0] between[0] the[0] suspense[0] and[0] the[0] action[0] with[0] useless[-2] subplots[0] every[0] scene[0] is[0] crucial[0] and[0] serves[0] a[0] purpose[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
who needs to see the blond chiouaoua have a " big emotional scene " between godzilla attacks ? 	who needs to see the blond chiouaoua have a " big emotional scene " between godzilla attacks ?	1	-3	 who[0] needs[0] to[0] see[0] the[0] blond[0] chiouaoua[0] have[0] a[0] big[0] emotional[-1] scene[0] between[0] godzilla[0] attacks[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
so far this summer i have seen only one movie who ranks higher on my list of movies i'd recommend and that is the truman show but it only wins by a nose . 	so far this summer i have seen only one movie who ranks higher on my list of movies i'd recommend and that is the truman show but it only wins by a nose .	1	-1	 so[0] far[0] this[0] summer[0] i[0] have[0] seen[0] only[0] one[0] movie[0] who[0] ranks[0] higher[0] on[0] my[0] list[0] of[0] movies[0] i'd[0] recommend[0] and[0] that[0] is[0] the[0] truman[0] show[0] but[0] it[0] only[0] wins[0] by[0] a[0] nose[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but the truman show is not what i would call a summer movie , the x-files is . 	but the truman show is not what i would call a summer movie , the x-files is .	2	-1	 but[0] the[0] truman[0] show[0] is[0] not[0] what[0] i[0] would[0] call[0] a[0] summer[0] movie[0] the[0] x[1] files[0] is[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
what more do you ask from a summer movie other than the chance to be excited ? 	what more do you ask from a summer movie other than the chance to be excited ?	3	-1	 what[0] more[0] do[0] you[0] ask[0] from[0] a[0] summer[0] movie[0] other[0] than[0] the[0] chance[0] to[0] be[0] excited[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
cool effects ? 	cool effects ?	2	-1	 cool[1] effects[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
it's good some . 	it's good some .	2	-1	 it's[0] good[1] some[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
pulse pounding ? 	pulse pounding ?	1	-1	 pulse[0] pounding[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
hell yes ! 	hell yes !	1	-2	 hell[-1] yes[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
strangely enough , i think that fans of the series will hate this movie while non-fans will have a good time . 	strangely enough , i think that fans of the series will hate this movie while non-fans will have a good time .	2	-4	 strangely[0] enough[0] i[0] think[0] that[0] fans[0] of[0] the[0] series[0] will[0] hate[-3] this[0] movie[0] while[0] non[0] fans[0] will[0] have[0] a[0] good[1] time[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
it does not provide answers to the show's many questions , the status quo remains nearly the same and , no , mulder and scully do not get together . 	it does not provide answers to the show's many questions , the status quo remains nearly the same and , no , mulder and scully do not get together .	1	-1	 it[0] does[0] not[0] provide[0] answers[0] to[0] the[0] show's[0] many[0] questions[0] the[0] status[0] quo[0] remains[0] nearly[0] the[0] same[0] and[0] no[0] mulder[0] and[0] scully[0] do[0] not[0] get[0] together[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
rating : four and a half out of five stars for the best movie yet this summer , several jump right out of your seat thrills , many " whoah , i never saw that one coming ! " 	rating : four and a half out of five stars for the best movie yet this summer , several jump right out of your seat thrills , many " whoah , i never saw that one coming !<br> "	4	-1	 rating[0] four[0] and[0] a[0] half[0] out[0] of[0] five[0] stars[0] for[0] the[0] best[1] movie[0] yet[0] this[0] summer[0] several[0] jump[0] right[0] out[0] of[0] your[0] seat[0] thrills[3] many[0] whoah[0] i[0] never[0] saw[0] that[0] one[0] coming[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
moments , four " holy shit , where the hell did that come from " and one heck of an ending . 	moments , four " holy shit , where the hell did that come from " and one heck of an ending .	1	-2	 moments[0] four[0] holy[0] shit[-1] where[0] the[0] hell[-1] did[0] that[0] come[0] from[0] and[0] one[0] heck[0] of[0] an[0] ending[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
you may wonder where this movie lost half a star . 	you may wonder where this movie lost half a star .	1	-1	 you[0] may[0] wonder[0] where[0] this[0] movie[0] lost[0] half[0] a[0] star[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
well , i swore never to give a movie the full five stars so i had to find something about the in his ice truck , the tracks it leaves in the snow behind him go on for several miles but then they just stop . 	well , i swore never to give a movie the full five stars so i had to find something about the in his ice truck , the tracks it leaves in the snow behind him go on for several miles but then they just stop .	1	-2	 well[0] i[0] swore[-1] never[0] to[0] give[0] a[0] movie[0] the[0] full[0] five[0] stars[0] so[0] i[0] had[0] to[0] find[0] something[0] about[0] the[0] in[0] his[0] ice[0] truck[0] the[0] tracks[0] it[0] leaves[0] in[0] the[0] snow[0] behind[0] him[0] go[0] on[0] for[0] several[0] miles[0] but[0] then[0] they[0] just[0] stop[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it's pretty obvious the film's makers drove the truck for several miles to give the appearance that mulder had been driving for a long time , but in the end it looks like mulder just dropped from the sky and started driving . 	it's pretty obvious the film's makers drove the truck for several miles to give the appearance that mulder had been driving for a long time , but in the end it looks like mulder just dropped from the sky and started driving .	3	-1	 it's[0] pretty[2] obvious[0] the[0] film's[0] makers[0] drove[0] the[0] truck[0] for[0] several[0] miles[0] to[0] give[0] the[0] appearance[0] that[0] mulder[0] had[0] been[0] driving[0] for[0] a[0] long[0] time[0] but[0] in[0] the[0] end[0] it[0] looks[0] like[1] mulder[0] just[0] dropped[0] from[0] the[0] sky[0] and[0] started[0] driving[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
