in 1998 , director brett ratner and his stars , jackie chan and chris tucker , breathed new life into the buddy-action film genre with the cross-cultural " rush hour " - to the tune of about $250 million . 	Translation	Positive	Negative	EmotionRationale
we , the viewer , are familiar with the two lead characters and the already-existing chemistry that chan and tucker developed so well the first time around . 	we , the viewer , are familiar with the two lead characters and the already-existing chemistry that chan and tucker developed so well the first time around .	1	-1	 we[0] the[0] viewer[0] are[0] familiar[0] with[0] the[0] two[0] lead[0] characters[0] and[0] the[0] already[0] existing[0] chemistry[0] that[0] chan[0] and[0] tucker[0] developed[0] so[0] well[0] the[0] first[0] time[0] around[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
that chemistry was a high point ( and probably the saving point ) before and , now , the pair wears their friendship like a comfortable suit . 	that chemistry was a high point ( and probably the saving point ) before and , now , the pair wears their friendship like a comfortable suit .	2	-1	 that[0] chemistry[0] was[0] a[0] high[0] point[0] and[0] probably[0] the[0] saving[0] point[0] before[0] and[0] now[0] the[0] pair[0] wears[0] their[0] friendship[1] like[1] a[0] comfortable[1] suit[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
little time is wasted in getting to know the key players so the screenplay capitalizes on those things we liked best in " rush hour . " 	little time is wasted in getting to know the key players so the screenplay capitalizes on those things we liked best in " rush hour .<br> "	3	-2	 little[0] time[0] is[0] wasted[-1] in[0] getting[0] to[0] know[0] the[0] key[0] players[0] so[0] the[0] screenplay[0] capitalizes[0] on[0] those[0] things[0] we[0] liked[2] best[1] in[0] rush[0] hour[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
first and foremost to me , in " rh2 , " is the immense pleasure in watching jackie chan's artistry in fight choreography . 	first and foremost to me , in " rh2 , " is the immense pleasure in watching jackie chan's artistry in fight choreography .	3	-4	 first[0] and[0] foremost[0] to[0] me[0] in[0] rh2[0] is[0] the[0] immense[0] pleasure[2] in[0] watching[0] jackie[0] chan's[0] artistry[0] in[0] fight[-2] choreography[-2][-1 MultiplePositiveWords] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
the 47-year old martial arts master has a renowned reputation for doing all of his own stunt work and , here , he does not disappoint . 	the 47-year old martial arts master has a renowned reputation for doing all of his own stunt work and , here , he does not disappoint .	2	-2	 the[0] 47[0] year[0] old[0] martial[0] arts[0] master[0] has[0] a[0] renowned[0] reputation[0] for[0] doing[0] all[0] of[0] his[0] own[0] stunt[-1] work[0] and[0] here[0] he[0] does[0] not[0] disappoint[-1][NegatedDueToPreviousWord] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
chan's use of props when battling bad guys continues as he pulverizes his opponents with whatever item comes to hand , such as a trash bucket . 	chan's use of props when battling bad guys continues as he pulverizes his opponents with whatever item comes to hand , such as a trash bucket .	1	-2	 chan's[0] use[0] of[0] props[0] when[0] battling[0] bad[-1] guys[0] continues[0] as[0] he[0] pulverizes[0] his[0] opponents[0] with[0] whatever[0] item[0] comes[0] to[0] hand[0] such[0] as[0] a[0] trash[-1] bucket[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
his moves look every bit as good as they ever did as he fights four or five nemesis at once on bamboo scaffolding , on the tail end of a yacht , in a hong kong massage parlor and , for the finale , in a las vegas casino . 	his moves look every bit as good as they ever did as he fights four or five nemesis at once on bamboo scaffolding , on the tail end of a yacht , in a hong kong massage parlor and , for the finale , in a las vegas casino .	2	-3	 his[0] moves[0] look[0] every[0] bit[0] as[0] good[1] as[0] they[0] ever[0] did[0] as[0] he[0] fights[-2] four[0] or[0] five[0] nemesis[0] at[0] once[0] on[0] bamboo[0] scaffolding[0] on[0] the[0] tail[0] end[0] of[0] a[0] yacht[0] in[0] a[0] hong[0] kong[0] massage[0] parlor[0] and[0] for[0] the[0] finale[0] in[0] a[0] las[0] vegas[0] casino[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
like harold lloyd or buster keaton , chan takes pride in putting his physical self on the line in pursuit of his artistry and is a joy to watch . 	like harold lloyd or buster keaton , chan takes pride in putting his physical self on the line in pursuit of his artistry and is a joy to watch .	3	-1	 like[1] harold[0] lloyd[0] or[0] buster[0] keaton[0] chan[0] takes[0] pride[1] in[0] putting[0] his[0] physical[0] self[0] on[0] the[0] line[0] in[0] pursuit[0] of[0] his[0] artistry[0] and[0] is[0] a[0] joy[2] to[0] watch[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
chris tucker reprises his role as the motor mouthed la cop , carter , who teams , again , with lee to put down the bad guys . 	chris tucker reprises his role as the motor mouthed la cop , carter , who teams , again , with lee to put down the bad guys .	1	-2	 chris[0] tucker[0] reprises[0] his[0] role[0] as[0] the[0] motor[0] mouthed[0] la[0] cop[0] carter[0] who[0] teams[0] again[0] with[0] lee[0] to[0] put[0] down[0] the[0] bad[-1] guys[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
when he is unceremoniously pulled from his vacation to help his colleague and friend with the big case , he still looks to have some fun . 	when he is unceremoniously pulled from his vacation to help his colleague and friend with the big case , he still looks to have some fun .	2	-1	 when[0] he[0] is[0] unceremoniously[0] pulled[0] from[0] his[0] vacation[0] to[0] help[0] his[0] colleague[0] and[0] friend[1] with[0] the[0] big[0] case[0] he[0] still[0] looks[0] to[0] have[0] some[0] fun[1][-1 LastWordBoosterStrength] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
when lee goes into a karaoke bar , the lair of chief bad guy ricky tan ( john lone ) and his hoods , carter takes the spotlight on stage with a credible michael jackson riff . 	when lee goes into a karaoke bar , the lair of chief bad guy ricky tan ( john lone ) and his hoods , carter takes the spotlight on stage with a credible michael jackson riff .	1	-2	 when[0] lee[0] goes[0] into[0] a[0] karaoke[0] bar[0] the[0] lair[0] of[0] chief[0] bad[-1] guy[0] ricky[0] tan[0] john[0] lone[-1] and[0] his[0] hoods[0] carter[0] takes[0] the[0] spotlight[0] on[0] stage[0] with[0] a[0] credible[0] michael[0] jackson[0] riff[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the comedian made the move from the improv stage to the big screen and , with jackie chan , has a franchise to hang his coat on to pay the bills . 	the comedian made the move from the improv stage to the big screen and , with jackie chan , has a franchise to hang his coat on to pay the bills .	1	-2	 the[0] comedian[0] made[0] the[0] move[0] from[0] the[0] improv[0] stage[0] to[0] the[0] big[0] screen[0] and[0] with[0] jackie[0] chan[0] has[0] a[0] franchise[0] to[0] hang[-1] his[0] coat[0] on[0] to[0] pay[0] the[0] bills[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the combo of chan's flying feet and fists with tucker's fast mouth make a duet more endearing than riggs and murtaugh in the " lethal weapon " films . 	the combo of chan's flying feet and fists with tucker's fast mouth make a duet more endearing than rigs and murtaugh in the " lethal weapon " films .	1	-2	 the[0] combo[0] of[0] chan's[0] flying[0] feet[0] and[0] fists[0] with[0] tucker's[0] fast[0] mouth[0] make[0] a[0] duet[0] more[0] endearing[0] than[0] riggs/rigs[0] and[0] murtaugh[0] in[0] the[0] lethal[0] weapon[-1] films[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the supporting cast is here to move things along efficiently . 	the supporting cast is here to move things along efficiently .	2	-1	 the[0] supporting[1] cast[0] is[0] here[0] to[0] move[0] things[0] along[0] efficiently[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
john lone , as ricky tan , is a suave villain who is the real power behind the throne of american bigwig steven reign ( alan king in a walk through performance ) . 	john lone , as ricky tan , is a suave villain who is the real power behind the throne of american bigwig steven reign ( alan king in a walk through performance ) .	1	-3	 john[0] lone[-1] as[0] ricky[0] tan[0] is[0] a[0] suave[0] villain[-2] who[0] is[0] the[0] real[0] power[0] behind[0] the[0] throne[0] of[0] american[0] bigwig[0] steven[0] reign[0] alan[0] king[0] in[0] a[0] walk[0] through[0] performance[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
lone doesn't chew scenery or make pronouncements to " get lee and carter , " but gives the chief bad guy elegance . 	lone doesn't chew scenery or make pronouncements to " get lee and carter , " but gives the chief bad guy elegance .	2	-2	 lone[-1] doesn't[0] chew[0] scenery[0] or[0] make[0] pronouncements[0] to[0] get[0] lee[0] and[0] carter[0] but[0] gives[0] the[0] chief[0] bad[-1] guy[0] elegance[1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
zhang zi-yi ( " crouching tiger , hidden dragon " ) continues to display her martial arts skills as ricky's taciturn henchlady , hu li , who carries on an ongoing battle with carter . 	zhang zi-yi ( " crouching tiger , hidden dragon " ) continues to display her martial arts skills as ricky's taciturn henchlady , hu li , who carries on an ongoing battle with carter .	1	-2	 zhang[0] zi[0] yi[0] crouching[0] tiger[0] hidden[0] dragon[0] continues[0] to[0] display[0] her[0] martial[0] arts[0] skills[0] as[0] ricky's[0] taciturn[0] henchlady[0] hu[0] li[0] who[0] carries[0] on[0] an[0] ongoing[0] battle[-1] with[0] carter[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
 ( carter has a problem , through most of the film , with hitting a woman , but this falls aside with their eventual one-on-one melee at the conclusion . ) 	 ( carter has a problem , through most of the film , with hitting a woman , but this falls aside with their eventual one-on-one melee at the conclusion .<br> )	1	-2	 carter[0] has[0] a[0] problem[-1] through[0] most[0] of[0] the[0] film[0] with[0] hitting[0] a[0] woman[0] but[0] this[0] falls[0] aside[0] with[0] their[0] eventual[0] one[0] on[0] one[0] melee[0] at[0] the[0] conclusion[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
roselyn sanchez is knockdown gorgeous ( and resembles sandra bullock ) as undercover agent isabella molina - she doesn't add much to the equation but is terrific to watch . 	roselyn sanchez is knockdown gorgeous ( and resembles sandra bullock ) as undercover agent isabella molina - she doesn't add much to the equation but is terrific to watch .	4	-1	 roselyn[0] sanchez[0] is[0] knockdown[0] gorgeous[2] and[0] resembles[0] sandra[0] bullock[0] as[0] undercover[0] agent[0] isabella[0] molina[0] she[0] doesn't[0] add[0] much[0] to[0] the[0] equation[0] but[0] is[0] terrific[3] to[0] watch[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
director ratner and the original " rush hour " production team have assembled a crew of skilled craftsmen to work behind the camera . 	director ratner and the original " rush hour " production team have assembled a crew of skilled craftsmen to work behind the camera .	1	-1	 director[0] ratner[0] and[0] the[0] original[0] rush[0] hour[0] production[0] team[0] have[0] assembled[0] a[0] crew[0] of[0] skilled[0] craftsmen[0] to[0] work[0] behind[0] the[0] camera[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
cinematographer matthew f . leonetti has had a long career of shooting action flicks and gives " rh2 " the fluid camera movement the genre film needs . 	cinematographer matthew f .<br> leonetti has had a long career of shooting action flicks and gives " rh2 " the fluid camera movement the genre film needs .	1	-2	 cinematographer[0] matthew[0] f[0] [[Sentence=-1,1=word max, 1-5]] leonetti[0] has[0] had[0] a[0] long[0] career[0] of[0] shooting[-1] action[0] flicks[0] and[0] gives[0] rh2[0] the[0] fluid[0] camera[0] movement[0] the[0] genre[0] film[0] needs[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
production design by terrence marsh spans continents and gives the right look , whether it is in a hong kong karaoke bar or a high stakes las vegas casino . 	production design by terrence marsh spans continents and gives the right look , whether it is in a hong kong karaoke bar or a high stakes las vegas casino .	1	-1	 production[0] design[0] by[0] terrence[0] marsh[0] spans[0] continents[0] and[0] gives[0] the[0] right[0] look[0] whether[0] it[0] is[0] in[0] a[0] hong[0] kong[0] karaoke[0] bar[0] or[0] a[0] high[0] stakes[0] las[0] vegas[0] casino[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the rest of the techs are of the same high quality . 	the rest of the techs are of the same high quality .	1	-1	 the[0] rest[0] of[0] the[0] techs[0] are[0] of[0] the[0] same[0] high[0] quality[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i'm surprised to even say that " rush hour 2 " is the most entertaining of the summer blockbuster movies . 	i'm surprised to even say that " rush hour 2 " is the most entertaining of the summer blockbuster movies .	1	-2	 i'm[0] surprised[0] to[0] even[0] say[0] that[0] rush[0] hour[0] 2[0] is[0] the[0] most[0] entertaining[0] of[0] the[0] summer[0] blockbuster[-1] movies[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it takes the best of the first film and kicks jurassic dino butt in its fun , frolic and fast pace and is the best mainstream thing out , so far , this summer . 	it takes the best of the first film and kicks jurassic dino butt in its fun , frolic and fast pace and is the best mainstream thing out , so far , this summer .	4	-2	 it[0] takes[0] the[0] best[1] of[0] the[0] first[0] film[0] and[0] kicks[-1] jurassic[0] dino[0] butt[0] in[0] its[0] fun[1] frolic[3] and[0] fast[0] pace[0] and[0] is[0] the[0] best[1] mainstream[0] thing[0] out[0] so[0] far[0] this[0] summer[0] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
i give it a b . 	i give it a b .	1	-1	 i[0] give[0] it[0] a[0] b[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
