after watching the first ten minutes of this japanese film , you will never eat a bowl of ramen the same way again . 	Translation	Positive	Negative	EmotionRationale
the problem is , her fare is something less than popular , and less than appetizing . 	the problem is , her fare is something less than popular , and less than appetizing .	1	-2	 the[0] problem[-1] is[0] her[0] fare[0] is[0] something[0] less[0] than[0] popular[0] and[0] less[0] than[0] appetizing[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
however , goro agrees to help tampopo in her quest , and in the process they seek the wisdom of an elderly noodle expert , enlist the aid of a wealthy patron , and make friends with the former enemy . 	however , goro agrees to help tampopo in her quest , and in the process they seek the wisdom of an elderly noodle expert , enlist the aid of a wealthy patron , and make friends with the former enemy .	2	-2	 however[0] goro[0] agrees[0] to[0] help[0] tampopo[0] in[0] her[0] quest[0] and[0] in[0] the[0] process[0] they[0] seek[0] the[0] wisdom[0] of[0] an[0] elderly[0] noodle[0] expert[0] enlist[0] the[0] aid[0] of[0] a[0] wealthy[0] patron[0] and[0] make[0] friends[1] with[0] the[0] former[0] enemy[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
this film is filled with many little scenes which are absolute gems . 	this film is filled with many little scenes which are absolute gems .	1	-1	 this[0] film[0] is[0] filled[0] with[0] many[0] little[0] scenes[0] which[0] are[0] absolute[0] gems[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
take , for example , when tampopo tries to buy the recipe for a delicious soup from another shop owner . 	take , for example , when tampopo tries to buy the recipe for a delicious soup from another shop owner .	3	-1	 take[0] for[0] example[0] when[0] tampopo[0] tries[0] to[0] buy[0] the[0] recipe[0] for[0] a[0] delicious[2] soup[0] from[0] another[0] shop[0] owner[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the price is too high , but the owner of the store next door will secretly sell it to her for a more affordable sum . 	the price is too high , but the owner of the store next door will secretly sell it to her for a more affordable sum .	1	-1	 the[0] price[0] is[0] too[0] high[0] but[0] the[0] owner[0] of[0] the[0] store[0] next[0] door[0] will[0] secretly[0] sell[0] it[0] to[0] her[0] for[0] a[0] more[0] affordable[0] sum[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
tampopo meets him at his store late at night , and he leads her to a back room . 	tampopo meets him at his store late at night , and he leads her to a back room .	1	-1	 tampopo[0] meets[0] him[0] at[0] his[0] store[0] late[0] at[0] night[0] and[0] he[0] leads[0] her[0] to[0] a[0] back[0] room[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
she protests , thinking that perhaps this man has ulterior motives , but he insists . 	she protests , thinking that perhaps this man has ulterior motives , but he insists .	1	-2	 she[0] protests[-1] thinking[0] that[0] perhaps[0] this[0] man[0] has[0] ulterior[0] motives[0] but[0] he[0] insists[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
just when she is about to bolt for the exit , he shows her a small gap in the wall adjoining his store with the noodle shop next door . 	just when she is about to bolt for the exit , he shows her a small gap in the wall adjoining his store with the noodle shop next door .	1	-2	 just[0] when[0] she[0] is[0] about[0] to[0] bolt[-1] for[0] the[0] exit[-1] he[0] shows[0] her[0] a[0] small[0] gap[0] in[0] the[0] wall[0] adjoining[0] his[0] store[0] with[0] the[0] noodle[0] shop[0] next[0] door[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
she peers through and takes notes as she watches the cook make the soup for the next day , her face filled with a joy that can be felt by the audience . 	she peers through and takes notes as she watches the cook make the soup for the next day , her face filled with a joy that can be felt by the audience .	3	-1	 she[0] peers[0] through[0] and[0] takes[0] notes[0] as[0] she[0] watches[0] the[0] cook[0] make[0] the[0] soup[0] for[0] the[0] next[0] day[0] her[0] face[0] filled[0] with[0] a[0] joy[2] that[0] can[0] be[0] felt[0] by[0] the[0] audience[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
this scene , while comical , is very effective at filling the viewer with a sense of trepidation , then of relief and discovery . 	this scene , while comical , is very effective at filling the viewer with a sense of trepidation , then of relief and discovery .	2	-1	 this[0] scene[0] while[0] comical[0] is[0] very[0] effective[0] at[0] filling[0] the[0] viewer[0] with[0] a[0] sense[0] of[0] trepidation[0] then[0] of[0] relief[1] and[0] discovery[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
there's also an interesting scene where goro introduces tampopo and her son to a bunch of street people who , despite their economic trappings , are all gourmets and master sommeliers . 	there's also an interesting scene where goro introduces tampopo and her son to a bunch of street people who , despite their economic trappings , are all gourmets and master sommeliers .	2	-1	 there's[0] also[0] an[0] interesting[1] scene[0] where[0] goro[0] introduces[0] tampopo[0] and[0] her[0] son[0] to[0] a[0] bunch[0] of[0] street[0] people[0] who[0] despite[0] their[0] economic[0] trappings[0] are[0] all[0] gourmets[0] and[0] master[0] sommeliers[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
we even watch as one of them sneaks into the kitchen of a restaurant and expertly prepares a french omelet . 	we even watch as one of them sneaks into the kitchen of a restaurant and expertly prepares a french omelet .	1	-2	 we[0] even[0] watch[0] as[0] one[0] of[0] them[0] sneaks[-1] into[0] the[0] kitchen[0] of[0] a[0] restaurant[0] and[0] expertly[0] prepares[0] a[0] french[0] omelet[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the scene is meant to bring a laugh , but it also says that no matter whether people are rich or poor , food is something which everyone has in common , and the enjoyment of food is an experience shared by all . 	the scene is meant to bring a laugh , but it also says that no matter whether people are rich or poor , food is something which everyone has in common , and the enjoyment of food is an experience shared by all .	3	-2	 the[0] scene[0] is[0] meant[0] to[0] bring[0] a[0] laugh[1] but[0] it[0] also[0] says[0] that[0] no[0] matter[0] whether[0] people[0] are[0] rich[0] or[0] poor[-1] food[0] is[0] something[0] which[0] everyone[0] has[0] in[0] common[0] and[0] the[0] enjoyment[2] of[0] food[0] is[0] an[0] experience[0] shared[0] by[0] all[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
there are also a number of unrelated vignettes appearing throughout the film , which help to illustrate and accentuate the role of food in people's lives . 	there are also a number of unrelated vignettes appearing throughout the film , which help to illustrate and accentuate the role of food in people's lives .	1	-1	 there[0] are[0] also[0] a[0] number[0] of[0] unrelated[0] vignettes[0] appearing[0] throughout[0] the[0] film[0] which[0] help[0] to[0] illustrate[0] and[0] accentuate[0] the[0] role[0] of[0] food[0] in[0] people's[0] lives[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
a particularly effective one involves a wife and mother being tended to in her home by a doctor . 	a particularly effective one involves a wife and mother being tended to in her home by a doctor .	1	-1	 a[0] particularly[0] effective[0] one[0] involves[0] a[0] wife[0] and[0] mother[0] being[0] tended[0] to[0] in[0] her[0] home[0] by[0] a[0] doctor[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
surrounded by her children , she is obviously in her last hours of life . 	surrounded by her children , she is obviously in her last hours of life .	1	-1	 surrounded[0] by[0] her[0] children[0] she[0] is[0] obviously[0] in[0] her[0] last[0] hours[0] of[0] life[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
her husband comes home , and seeing her worsened condition , demands that she get up and make dinner . 	her husband comes home , and seeing her worsened condition , demands that she get up and make dinner .	1	-3	 her[0] husband[0] comes[0] home[0] and[0] seeing[0] her[0] worsened[-2] condition[0] demands[0] that[0] she[0] get[0] up[0] and[0] make[0] dinner[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the viewer knows the husband's intention is not to be mean ; he is desperate for the normalcy of which he and his family has obviously been deprived , and the wife making dinner is an essential part of this . 	the viewer knows the husband's intention is not to be mean ; he is desperate for the normalcy of which he and his family has obviously been deprived , and the wife making dinner is an essential part of this .	1	-3	 the[0] viewer[0] knows[0] the[0] husband's[0] intention[0] is[0] not[0] to[0] be[0] mean[0] he[0] is[0] desperate[-2] for[0] the[0] normalcy[0] of[0] which[0] he[0] and[0] his[0] family[0] has[0] obviously[0] been[0] deprived[-1] and[0] the[0] wife[0] making[0] dinner[0] is[0] an[0] essential[0] part[0] of[0] this[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
in a near miracle , the wife drags herself to the kitchen and prepares a quick meal , then brings it to her awaiting family . 	in a near miracle , the wife drags herself to the kitchen and prepares a quick meal , then brings it to her awaiting family .	1	-1	 in[0] a[0] near[0] miracle[0] the[0] wife[0] drags[0] herself[0] to[0] the[0] kitchen[0] and[0] prepares[0] a[0] quick[0] meal[0] then[0] brings[0] it[0] to[0] her[0] awaiting[0] family[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
as the family eats , she looks on them and smiles . 	as the family eats , she looks on them and smiles .	3	-1	 as[0] the[0] family[0] eats[0] she[0] looks[0] on[0] them[0] and[0] smiles[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
preparing food for her family is a joy and a comfort to her , and for a brief moment , she too enjoys the normalcy . 	preparing food for her family is a joy and a comfort to her , and for a brief moment , she too enjoys the normalcy .	3	-1	 preparing[0] food[0] for[0] her[0] family[0] is[0] a[0] joy[2] and[0] a[0] comfort[1] to[0] her[0] and[0] for[0] a[0] brief[0] moment[0] she[0] too[0] enjoys[2] the[0] normalcy[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
then she falls over , dead . 	then she falls over , dead .	1	-3	 then[0] she[0] falls[0] over[0] dead[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
for a moment , the family is stunned , but then the father yells at the children , " keep eating ! 	for a moment , the family is stunned , but then the father yells at the children , " keep eating !	1	-2	 for[0] a[0] moment[0] the[0] family[0] is[0] stunned[-1] but[0] then[0] the[0] father[0] yells[0] at[0] the[0] children[0] keep[0] eating[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
this is the last meal your mother ever made ! " 	this is the last meal your mother ever made !<br> "	1	-1	 this[0] is[0] the[0] last[0] meal[0] your[0] mother[0] ever[0] made[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
crying as they do so , the family finishes the meal . 	crying as they do so , the family finishes the meal .	1	-4	 crying[-3] as[0] they[0] do[0] so[0] the[0] family[0] finishes[0] the[0] meal[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
the scene is comical , awkward , moving , and beautiful . 	the scene is comical , awkward , moving , and beautiful .	3	-2	 the[0] scene[0] is[0] comical[0] awkward[-1] moving[0] and[0] beautiful[2] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
by including the vignettes , itami ran the risk of creating a disjointed film , but surprisingly , they do not interrupt the pacing of the main storyline . 	by including the vignettes , itami ran the risk of creating a disjointed film , but surprisingly , they do not interrupt the pacing of the main storyline .	2	-2	 by[0] including[0] the[0] vignettes[0] itami[0] ran[0] the[0] risk[-1] of[0] creating[0] a[0] disjointed[0] film[0] but[0] surprisingly[0] they[0] do[0] not[0] interrupt[-1][NegatedDueToPreviousWord] the[0] pacing[0] of[0] the[0] main[0] storyline[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
instead , they even help contribute to the idea that tampopo's goal of being able to serve exceptional food is worthy and even noble . 	instead , they even help contribute to the idea that tampopo's goal of being able to serve exceptional food is worthy and even noble .	1	-1	 instead[0] they[0] even[0] help[0] contribute[0] to[0] the[0] idea[0] that[0] tampopo's[0] goal[0] of[0] being[0] able[0] to[0] serve[0] exceptional[0] food[0] is[0] worthy[0] and[0] even[0] noble[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
because the film parodies a western , the construction of the plot is fairly predictable , but is still enjoyable as we watch the familiar way in which the " good guys " come together for the final showdown . 	because the film parodies a western , the construction of the plot is fairly predictable , but is still enjoyable as we watch the familiar way in which the " good guys " come together for the final showdown .	3	-1	 because[0] the[0] film[0] parodies[0] a[0] western[0] the[0] construction[0] of[0] the[0] plot[0] is[0] fairly[0] predictable[0] but[0] is[0] still[0] enjoyable[2] as[0] we[0] watch[0] the[0] familiar[0] way[0] in[0] which[0] the[0] good[1] guys[0] come[0] together[0] for[0] the[0] final[0] showdown[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
in this case , the showdown is against the ramen . 	in this case , the showdown is against the ramen .	1	-2	 in[0] this[0] case[0] the[0] showdown[0] is[0] against[-1] the[0] ramen[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
if they eat tampopo's ramen , soup and all , tampopo knows she has succeeded . 	if they eat tampopo's ramen , soup and all , tampopo knows she has succeeded .	3	-1	 if[0] they[0] eat[0] tampopo's[0] ramen[0] soup[0] and[0] all[0] tampopo[0] knows[0] she[0] has[0] succeeded[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
it's pretty obvious what the outcome will be , but when a film changes your whole perspective on something you consume every day of your life , you can afford to cut it a little slack . 	it's pretty obvious what the outcome will be , but when a film changes your whole perspective on something you consume every day of your life , you can afford to cut it a little slack .	3	-1	 it's[0] pretty[2] obvious[0] what[0] the[0] outcome[0] will[0] be[0] but[0] when[0] a[0] film[0] changes[0] your[0] whole[0] perspective[0] on[0] something[0] you[0] consume[0] every[0] day[0] of[0] your[0] life[0] you[0] can[0] afford[0] to[0] cut[0] it[0] a[0] little[0] slack[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
