i'm not really sure what to think about " crash . " 	Translation	Positive	Negative	EmotionRationale
the film opens up on a woman , catherine ( deborah kara ungar , of " the game " ) , pressing her bare breast up against a car in a public air hangar . 	the film opens up on a woman , catherine ( deborah kara ungar , of " the game " ) , pressing her bare breast up against a car in a public air hangar .	1	-2	 the[0] film[0] opens[0] up[0] on[0] a[0] woman[0] catherine[0] deborah[0] kara[0] ungar[0] of[0] the[0] game[0] pressing[0] her[0] bare[0] breast[0] up[0] against[-1] a[0] car[0] in[0] a[0] public[0] air[0] hangar[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
suddenly , a man enters the frame and begins to take her from behind ( the film doesnt' show all this though , even if it is nc-17 ) . 	suddenly , a man enters the frame and begins to take her from behind ( the film doesnt' show all this though , even if it is nc-17 ) .	1	-1	 suddenly[0] a[0] man[0] enters[0] the[0] frame[0] and[0] begins[0] to[0] take[0] her[0] from[0] behind[0] the[0] film[0] doesnt'[0] show[0] all[0] this[0] though[0] even[0] if[0] it[0] is[0] nc[0] -17[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the next scene has a film director , james ( james spader ) , having sex with a camera woman ( alice poon ) in an office on the highly-populated set of his movie . 	the next scene has a film director , james ( james spader ) , having sex with a camera woman ( alice poon ) in an office on the highly-populated set of his movie .	1	-1	 the[0] next[0] scene[0] has[0] a[0] film[0] director[0] james[0] james[0] spader[0] having[0] sex[0] with[0] a[0] camera[0] woman[0] alice[0] poon[0] in[0] an[0] office[0] on[0] the[0] highly[0] populated[0] set[0] of[0] his[0] movie[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the next scene has the two coming together , revealing to us that they're husband and wife , and them sharing in one another's escapades . 	the next scene has the two coming together , revealing to us that they're husband and wife , and them sharing in one another's escapades .	1	-1	 the[0] next[0] scene[0] has[0] the[0] two[0] coming[0] together[0] revealing[0] to[0] us[0] that[0] they're[0] husband[0] and[0] wife[0] and[0] them[0] sharing[0] in[0] one[0] another's[0] escapades[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
while the two are arguably freaky people , we at least know they love to live on the edge . 	while the two are arguably freaky people , we at least know they love to live on the edge .	3	-2	 while[0] the[0] two[0] are[0] arguably[-1] freaky[-1] people[0] we[0] at[0] least[0] know[0] they[0] love[2] to[0] live[0] on[0] the[0] edge[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
soon afterwards , james is driving down the road at night , reclessly of course ( he's reading something ) , when he drifts into the other lane , and then hits another car face on . 	soon afterwards , james is driving down the road at night , reclessly of course ( he's reading something ) , when he drifts into the other lane , and then hits another car face on .	1	-1	 soon[0] afterwards[0] james[0] is[0] driving[0] down[0] the[0] road[0] at[0] night[0] reclessly[0] of[0] course[0] he's[0] reading[0] something[0] when[0] he[0] drifts[0] into[0] the[0] other[0] lane[0] and[0] then[0] hits[0] another[0] car[0] face[0] on[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
james is not killed , but the passenger in the other car flies into his seat ( obviously dying ) , leaving the driver , helen remington ( holly hunter - in a porn ? ) , also alive . 	james is not killed , but the passenger in the other car flies into his seat ( obviously dying ) , leaving the driver , helen remington ( holly hunter - in a porn ?<br> ) , also alive .	4	-2	 james[0] is[0] not[0] killed[-3][NegatedDueToPreviousWord] but[0] the[0] passenger[0] in[0] the[0] other[0] car[0] flies[0] into[0] his[0] seat[0] obviously[0] dying[-1] leaving[0] the[0] driver[0] helen[0] remington[0] holly[0] hunter[-1] in[0] a[0] porn[0] [[Sentence=-2,4=word max, 1-5]] also[0] alive[0] [[Sentence=-1,1=word max, 1-5]][[[4,-2 max of sentences]]]
the two go through therapy together , and when getting out , they run into eachother again . 	the two go through therapy together , and when getting out , they run into eachother again .	1	-1	 the[0] two[0] go[0] through[0] therapy[0] together[0] and[0] when[0] getting[0] out[0] they[0] run[0] into[0] eachother[0] again[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
when james gives her a ride home , they almost get into another accident , and immeadiately afterwards , they go to an unbusy parking lot , and have a little quickie , as they were aroused by the accident . 	when james gives her a ride home , they almost get into another accident , and immeadiately afterwards , they go to an unbusy parking lot , and have a little quickie , as they were aroused by the accident .	1	-2	 when[0] james[0] gives[0] her[0] a[0] ride[0] home[0] they[0] almost[0] get[0] into[0] another[0] accident[-1] and[0] immeadiately[0] afterwards[0] they[0] go[0] to[0] an[0] unbusy[0] parking[0] lot[0] and[0] have[0] a[0] little[0] quickie[0] as[0] they[0] were[0] aroused[0] by[0] the[0] accident[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
you wouldn't think there would be many people who shared this same kind of fetish , but they run into a freaky guy named vaughan ( elias kosteas ) and his crutch-carrying girlfriend , gabrielle ( rosanna arquette ) , who are also into it . 	you wouldn't think there would be many people who shared this same kind of fetish , but they run into a freaky guy named vaughan ( elias kosteas ) and his crutch-carrying girlfriend , gabrielle ( rosanna arquette ) , who are also into it .	2	-2	 you[0] wouldn't[0] think[0] there[0] would[0] be[0] many[0] people[0] who[0] shared[0] this[0] same[0] kind[1] of[0] fetish[0] but[0] they[0] run[0] into[0] a[0] freaky[-1] guy[0] named[0] vaughan[0] elias[0] kosteas[0] and[0] his[0] crutch[0] carrying[0] girlfriend[0] gabrielle[0] rosanna[0] arquette[0] who[0] are[0] also[0] into[0] it[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
vaughan is into living on the edge as they are , but he takes it to another level : he loves to recreate famous car crashes . 	vaughan is into living on the edge as they are , but he takes it to another level : he loves to recreate famous car crashes .	3	-1	 vaughan[0] is[0] into[0] living[0] on[0] the[0] edge[0] as[0] they[0] are[0] but[0] he[0] takes[0] it[0] to[0] another[0] level[0] he[0] loves[2] to[0] recreate[0] famous[0] car[0] crashes[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
in one scene , he and a friend , colin seagrave ( peter macneill ) recreate james dean's car crash without any padding or safety belts , and suffer some concussions , but nevertheless get a rush ( and the attention of the police ) . 	in one scene , he and a friend , colin seagrave ( peter macneill ) recreate james dean's car crash without any padding or safety belts , and suffer some concussions , but nevertheless get a rush ( and the attention of the police ) .	2	-4	 in[0] one[0] scene[0] he[0] and[0] a[0] friend[1] colin[0] seagrave[0] peter[0] macneill[0] recreate[0] james[0] dean's[0] car[0] crash[0] without[0] any[0] padding[0] or[0] safety[1] belts[0] and[0] suffer[-3] some[0] concussions[0] but[0] nevertheless[0] get[0] a[0] rush[0] and[0] the[0] attention[0] of[0] the[0] police[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
soon , these five are all having sex with one another , be it straight , gay , or lesbian sex . 	soon , these five are all having sex with one another , be it straight , gay , or lesbian sex .	1	-2	 soon[0] these[0] five[0] are[0] all[0] having[0] sex[0] with[0] one[0] another[0] be[0] it[0] straight[0] gay[-1] or[0] lesbian[0] sex[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
while this is admittingly all a bit comical ( the film is almost like a black comedy ) , the film does do a pretty awesome portrayal of people who's main fetish is living on the edge . 	while this is admittingly all a bit comical ( the film is almost like a black comedy ) , the film does do a pretty awesome portrayal of people who's main fetish is living on the edge .	4	-1	 while[0] this[0] is[0] admittingly[0] all[0] a[0] bit[0] comical[0] the[0] film[0] is[0] almost[0] like[1] a[0] black[0] comedy[0] the[0] film[0] does[0] do[0] a[0] pretty[2] awesome[2][+1 MultiplePositiveWords] portrayal[0] of[0] people[0] who's[0] main[0] fetish[0] is[0] living[0] on[0] the[0] edge[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
i'm sure somewhere there are people who get aroused by car accidents , but i personally don't see a connection between car crashes and sex . 	i'm sure somewhere there are people who get aroused by car accidents , but i personally don't see a connection between car crashes and sex .	1	-2	 i'm[0] sure[0] somewhere[0] there[0] are[0] people[0] who[0] get[0] aroused[0] by[0] car[0] accidents[-1] but[0] i[0] personally[0] don't[0] see[0] a[0] connection[0] between[0] car[0] crashes[0] and[0] sex[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the main connection cronenberg shows us that both give a definite rush . 	the main connection cronenberg shows us that both give a definite rush .	1	-1	 the[0] main[0] connection[0] cronenberg[0] shows[0] us[0] that[0] both[0] give[0] a[0] definite[0] rush[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
his car crash scenes are quick and exciting mini-masterpieces : we're at first not sure if they'll take place , but everytime it looks like it may occur , we gasp . 	his car crash scenes are quick and exciting mini-masterpieces : we're at first not sure if they'll take place , but everytime it looks like it may occur , we gasp .	3	-1	 his[0] car[0] crash[0] scenes[0] are[0] quick[0] and[0] exciting[2] mini[0] masterpieces[0] we're[0] at[0] first[0] not[0] sure[0] if[0] they'll[0] take[0] place[0] but[0] everytime[0] it[0] looks[0] like[1] it[0] may[0] occur[0] we[0] gasp[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
then when it happens , we hold our breath . 	then when it happens , we hold our breath .	1	-1	 then[0] when[0] it[0] happens[0] we[0] hold[0] our[0] breath[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the same thing happens with sex , although not in the same fashion . 	the same thing happens with sex , although not in the same fashion .	1	-1	 the[0] same[0] thing[0] happens[0] with[0] sex[0] although[0] not[0] in[0] the[0] same[0] fashion[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
these people are merely taking it to another level . 	these people are merely taking it to another level .	1	-1	 these[0] people[0] are[0] merely[0] taking[0] it[0] to[0] another[0] level[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the only problem with the film is that it's a tad redundant . 	the only problem with the film is that it's a tad redundant .	1	-2	 the[0] only[0] problem[-1] with[0] the[0] film[0] is[0] that[0] it's[0] a[0] tad[0] redundant[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
a normal porn lasts from an hour to an hour and a half . 	a normal porn lasts from an hour to an hour and a half .	1	-1	 a[0] normal[0] porn[0] lasts[0] from[0] an[0] hour[0] to[0] an[0] hour[0] and[0] a[0] half[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this goes on for about 100 minutes , and it just seems a little too long . 	this goes on for about 100 minutes , and it just seems a little too long .	1	-1	 this[0] goes[0] on[0] for[0] about[0] 100[0] minutes[0] and[0] it[0] just[0] seems[0] a[0] little[0] too[0] long[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the sex and car crashes are far between one another , and the time between them are a tad on the boring side . 	the sex and car crashes are far between one another , and the time between them are a tad on the boring side .	1	-2	 the[0] sex[0] and[0] car[0] crashes[0] are[0] far[0] between[0] one[0] another[0] and[0] the[0] time[0] between[0] them[0] are[0] a[0] tad[0] on[0] the[0] boring[-1] side[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
there's no characterization , although it could definitely be argued , that hey , it's a porn , and we're not here to sympathize . 	there's no characterization , although it could definitely be argued , that hey , it's a porn , and we're not here to sympathize .	2	-2	 there's[0] no[0] characterization[0] although[0] it[0] could[0] definitely[0] be[0] argued[-1] that[0] hey[1] it's[0] a[0] porn[0] and[0] we're[0] not[0] here[0] to[0] sympathize[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
but still , they coulda cut it down a bit . 	but still , they coulda cut it down a bit .	1	-1	 but[0] still[0] they[0] coulda[0] cut[0] it[0] down[0] a[0] bit[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but the film is saved with its presentation , as well as some other elements . 	but the film is saved with its presentation , as well as some other elements .	2	-1	 but[0] the[0] film[0] is[0] saved[1] with[0] its[0] presentation[0] as[0] well[0] as[0] some[0] other[0] elements[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the atmosphere is very dark and forboding , creating a kind of cool weird feeling . 	the atmosphere is very dark and forboding , creating a kind of cool weird feeling .	2	-2	 the[0] atmosphere[0] is[0] very[0] dark[0] and[0] forboding[0] creating[0] a[0] kind[1] of[0] cool[1] weird[-1] feeling[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
and there are several scenes are just amazing . 	and there are several scenes are just amazing .	2	-1	 and[0] there[0] are[0] several[0] scenes[0] are[0] just[0] amazing[2][-1 LastWordBoosterStrength] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
one scene has catherine and james having sex , while she softly asks him questions about being with a man , which sounds almost erotic the way she says it . 	one scene has catherine and james having sex , while she softly asks him questions about being with a man , which sounds almost erotic the way she says it .	1	-1	 one[0] scene[0] has[0] catherine[0] and[0] james[0] having[0] sex[0] while[0] she[0] softly[0] asks[0] him[0] questions[0] about[0] being[0] with[0] a[0] man[0] which[0] sounds[0] almost[0] erotic[0] the[0] way[0] she[0] says[0] it[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
a sequence involving one character's death is filled with all the edgy disjointment that the film needs . 	a sequence involving one character's death is filled with all the edgy disjointment that the film needs .	1	-3	 a[0] sequence[0] involving[0] one[0] character's[0] death[-2] is[0] filled[0] with[0] all[0] the[0] edgy[0] disjointment[0] that[0] the[0] film[0] needs[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
and the final shot is shot perfectly , creating an image of a car crash , and a couple having sex in front of it , despite the fact that she's wounded . 	and the final shot is shot perfectly , creating an image of a car crash , and a couple having sex in front of it , despite the fact that she's wounded .	2	-2	 and[0] the[0] final[0] shot[-1] is[0] shot[-1] perfectly[1] creating[0] an[0] image[0] of[0] a[0] car[0] crash[0] and[0] a[0] couple[0] having[0] sex[0] in[0] front[0] of[0] it[0] despite[0] the[0] fact[0] that[0] she's[0] wounded[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the acting is also pretty good , especially for what is almost a porn ( ousting linda lovelace as best actress in a porn ) . 	the acting is also pretty good , especially for what is almost a porn ( ousting linda lovelace as best actress in a porn ) .	3	-1	 the[0] acting[0] is[0] also[0] pretty[2] good[1] especially[0] for[0] what[0] is[0] almost[0] a[0] porn[0] ousting[0] linda[0] lovelace[0] as[0] best[1] actress[0] in[0] a[0] porn[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
while james spader is pretty boring ( he's usually pretty intense ) , deborah kara ungar is amazing . 	while james spader is pretty boring ( he's usually pretty intense ) , deborah kara ungar is amazing .	3	-2	 while[0] james[0] spader[0] is[0] pretty[2] boring[-1] he's[0] usually[0] pretty[2] intense[0] deborah[0] kara[0] ungar[0] is[0] amazing[2] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
she speaks all her words in almost zombie-like hushes , and when she's having sex , she has a blank look on her face , not showing the viewer whether she's enjoying it or not . 	she speaks all her words in almost zombie-like hushes , and when she's having sex , she has a blank look on her face , not showing the viewer whether she's enjoying it or not .	3	-1	 she[0] speaks[0] all[0] her[0] words[0] in[0] almost[0] zombie[0] like[1] hushes[0] and[0] when[0] she's[0] having[0] sex[0] she[0] has[0] a[0] blank[0] look[0] on[0] her[0] face[0] not[0] showing[0] the[0] viewer[0] whether[0] she's[0] enjoying[2] it[0] or[0] not[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
in one scene , she actually looks dead while someone is having sex with her . 	in one scene , she actually looks dead while someone is having sex with her .	1	-3	 in[0] one[0] scene[0] she[0] actually[0] looks[0] dead[-2] while[0] someone[0] is[0] having[0] sex[0] with[0] her[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
holly hunter , who gets extra credit just for appearing in something like this , is pretty good , and so is rosanna arquette ( who adds a kinda cool kinkiness to her role ) . 	holly hunter , who gets extra credit just for appearing in something like this , is pretty good , and so is rosanna arquette ( who adds a kinda cool kinkiness to her role ) .	3	-2	 holly[0] hunter[-1] who[0] gets[0] extra[0] credit[0] just[0] for[0] appearing[0] in[0] something[0] like[1] this[0] is[0] pretty[2] good[1] and[0] so[0] is[0] rosanna[0] arquette[0] who[0] adds[0] a[0] kinda[0] cool[1] kinkiness[0] to[0] her[0] role[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
but the film is stolen by elias kosteas who plays his character so intensely that he almost upstages everyone . 	but the film is stolen by elias kosteas who plays his character so intensely that he almost upstages everyone .	2	-2	 but[0] the[0] film[0] is[0] stolen[-1] by[0] elias[0] kosteas[0] who[0] plays[1] his[0] character[0] so[0] intensely[0] that[0] he[0] almost[0] upstages[0] everyone[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
he often speaks as he is out of breath , showing a definite affinity for his way of life . 	he often speaks as he is out of breath , showing a definite affinity for his way of life .	1	-1	 he[0] often[0] speaks[0] as[0] he[0] is[0] out[0] of[0] breath[0] showing[0] a[0] definite[0] affinity[0] for[0] his[0] way[0] of[0] life[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he has a great deal of energy in several scenes , especially one scene where he's taking photographs of a picture , and a later scene where he's getting a freaky tatoo . 	he has a great deal of energy in several scenes , especially one scene where he's taking photographs of a picture , and a later scene where he's getting a freaky tatoo .	3	-2	 he[0] has[0] a[0] great[2] deal[0] of[0] energy[0] in[0] several[0] scenes[0] especially[0] one[0] scene[0] where[0] he's[0] taking[0] photographs[0] of[0] a[0] picture[0] and[0] a[0] later[0] scene[0] where[0] he's[0] getting[0] a[0] freaky[-1] tatoo[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
he and spader share sexual chemistry in several scenes , foreshadowing a later scene . 	he and spader share sexual chemistry in several scenes , foreshadowing a later scene .	1	-1	 he[0] and[0] spader[0] share[0] sexual[0] chemistry[0] in[0] several[0] scenes[0] foreshadowing[0] a[0] later[0] scene[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
kosteas is a little known actor ( his biggest role was casey jones in " teenage mutant ninja turtles " ) , but here he shows a deniro-like presence , hinting that he's capable of bigger roles . 	kosteas is a little known actor ( his biggest role was casey jones in " teenage mutant ninja turtles " ) , but here he shows a deniro-like presence , hinting that he's capable of bigger roles .	2	-1	 kosteas[0] is[0] a[0] little[0] known[0] actor[0] his[0] biggest[0] role[0] was[0] casey[0] jones[0] in[0] teenage[0] mutant[0] ninja[0] turtles[0] but[0] here[0] he[0] shows[0] a[0] deniro[0] like[1] presence[0] hinting[0] that[0] he's[0] capable[0] of[0] bigger[0] roles[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
while i hardly enjoyed " crash , " it's still a pretty intriguing portrayal of a group of people who , if the exist , are some of the strangest and most bizarre people in the world . 	while i hardly enjoyed " crash , " it's still a pretty intriguing portrayal of a group of people who , if the exist , are some of the strangest and most bizarre people in the world .	3	-2	 while[0] i[0] hardly[0] enjoyed[2] crash[0] it's[0] still[0] a[0] pretty[2] intriguing[0] portrayal[0] of[0] a[0] group[0] of[0] people[0] who[0] if[0] the[0] exist[0] are[0] some[0] of[0] the[0] strangest[0] and[0] most[0] bizarre[-1] people[0] in[0] the[0] world[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
these people are able to share a rush between two completely different entities , and the film , which doesn't exactly pain them in a negative light , is sucessful in bringing them to light , even if it leaves the viewer unnerved and generally freaked out . 	these people are able to share a rush between two completely different entities , and the film , which doesn't exactly pain them in a negative light , is sucessful in bringing them to light , even if it leaves the viewer unnerved and generally freaked out .	1	-4	 these[0] people[0] are[0] able[0] to[0] share[0] a[0] rush[0] between[0] two[0] completely[0] different[0] entities[0] and[0] the[0] film[0] which[0] doesn't[0] exactly[0] pain[-3] them[0] in[0] a[0] negative[-1] light[0] is[0] sucessful[0] in[0] bringing[0] them[0] to[0] light[0] even[0] if[0] it[0] leaves[0] the[0] viewer[0] unnerved[0] and[0] generally[0] freaked[-1] out[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
despite the hardcore nature of the film and the subsequent nc-17 rating ( there's also an r-rated version , but i wouldn't even go near that thing ) , anyone looking for a quick turn-on should just rent a regular porno . 	despite the hardcore nature of the film and the subsequent nc-17 rating ( there's also an are-rated version , but i wouldn't even go near that thing ) , anyone looking for a quick turn-on should just rent a regular porno .	1	-1	 despite[0] the[0] hardcore[0] nature[0] of[0] the[0] film[0] and[0] the[0] subsequent[0] nc[0] -17[0] rating[0] there's[0] also[0] an[0] r[0] rated[0] version[0] but[0] i[0] wouldn't[0] even[0] go[0] near[0] that[0] thing[0] anyone[0] looking[0] for[0] a[0] quick[0] turn[0] on[0] should[0] just[0] rent[0] a[0] regular[0] porno[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
