near the end of 1996 , analysts remarked that the year would be the last in which disney would stand alone as the animation king . 	Translation	Positive	Negative	EmotionRationale
namely , some of the most important action sequences ( like the parting of the red sea ) were done almost entirely in 3d . 	namely , some of the most important action sequences ( like the parting of the red sea ) were done almost entirely in 3d .	2	-1	 namely[0] some[0] of[0] the[0] most[0] important[0] action[0] sequences[0] like[1] the[0] parting[0] of[0] the[0] red[0] sea[0] were[0] done[0] almost[0] entirely[0] in[0] 3d[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
dreamworks is the first studio to prove that they've got the stuff of success , and that they're capable of challenging disney . 	dreamworks is the first studio to prove that they've got the stuff of success , and that they're capable of challenging disney .	3	-1	 dreamworks[0] is[0] the[0] first[0] studio[0] to[0] prove[0] that[0] they've[0] got[0] the[0] stuff[0] of[0] success[2] and[0] that[0] they're[0] capable[0] of[0] challenging[0] disney[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the story is also well-written , and the characters voiced with talent . 	the story is also well-written , and the characters voiced with talent .	2	-1	 the[0] story[0] is[0] also[0] well[0] written[0] and[0] the[0] characters[0] voiced[0] with[0] talent[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
for the most part , the plot follows its source material -- the book of exodus -- although only in the most general sense . 	for the most part , the plot follows its source material - the book of exodus - although only in the most general sense .	1	-2	 for[0] the[0] most[0] part[0] the[0] plot[0] follows[0] its[0] source[-1] material[0] the[0] book[0] of[0] exodus[0] although[0] only[0] in[0] the[0] most[0] general[0] sense[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the writers took a few creative liberties , and most do not damage the story in any way . 	the writers took a few creative liberties , and most do not damage the story in any way .	1	-1	 the[0] writers[0] took[0] a[0] few[0] creative[0] liberties[0] and[0] most[0] do[0] not[0] damage[0] the[0] story[0] in[0] any[0] way[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in fact , the shakespearean relationship between moses ( val kilmer ) and the pharaoh rameses ( ralph fiennes ) makes the story more interesting if anything . 	in fact , the shakespearean relationship between moses ( val kilmer ) and the pharaoh rameses ( ralph fiennes ) makes the story more interesting if anything .	2	-1	 in[0] fact[0] the[0] shakespearean[0] relationship[0] between[0] moses[0] val[0] kilmer[0] and[0] the[0] pharaoh[0] rameses[0] ralph[0] fiennes[0] makes[0] the[0] story[0] more[0] interesting[1] if[0] anything[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
moses , a hebrew , is saved from the slaughter of the firstborn sons by his mother when she sets him in a basket on the nile ; he floats into the pharaoh seti ( patrick stewart ) 's palace and is taken in by the royal family . 	moses , a hebrew , is saved from the slaughter of the firstborn sons by his mother when she sets him in a basket on the nile ; he floats into the pharaoh seti ( patrick stewart ) 's palace and is taken in by the royal family .	2	-2	 moses[0] a[0] hebrew[0] is[0] saved[1] from[0] the[0] slaughter[-1] of[0] the[0] firstborn[0] sons[0] by[0] his[0] mother[0] when[0] she[0] sets[0] him[0] in[0] a[0] basket[0] on[0] the[0] nile[0] he[0] floats[0] into[0] the[0] pharaoh[0] seti[0] patrick[0] stewart[0] 's[0] palace[0] and[0] is[0] taken[0] in[0] by[0] the[0] royal[0] family[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
moses grows up but learns of his heritage and flees into the desert , where he discovers the burning bush and is commissioned by god to return to egypt and free the slaves . 	moses grows up but learns of his heritage and flees into the desert , where he discovers the burning bush and is commissioned by god to return to egypt and free the slaves .	1	-2	 moses[0] grows[0] up[0] but[0] learns[0] of[0] his[0] heritage[0] and[0] flees[-1] into[0] the[0] desert[0] where[0] he[0] discovers[0] the[0] burning[-1] bush[0] and[0] is[0] commissioned[0] by[0] god[0] to[0] return[0] to[0] egypt[0] and[0] free[0] the[0] slaves[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
by this time , rameses is now pharaoh , and the two brothers , now on opposite sides of the line , face off in a battle of wills and divine intervention . 	by this time , rameses is now pharaoh , and the two brothers , now on opposite sides of the line , face off in a battle of wills and divine intervention .	2	-2	 by[0] this[0] time[0] rameses[0] is[0] now[0] pharaoh[0] and[0] the[0] two[0] brothers[0] now[0] on[0] opposite[0] sides[0] of[0] the[0] line[0] face[0] off[0] in[0] a[0] battle[-1] of[0] wills[0] and[0] divine[1] intervention[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the cast of voices is most impressive , and also includes such noteables as sandra bullock , jeff goldblum , danny glover , and steve martin . 	the cast of voices is most impressive , and also includes such noteables as sandra bullock , jeff goldblum , danny glover , and steve martin .	2	-1	 the[0] cast[0] of[0] voices[0] is[0] most[0] impressive[1] and[0] also[0] includes[0] such[0] noteables[0] as[0] sandra[0] bullock[0] jeff[0] goldblum[0] danny[0] glover[0] and[0] steve[0] martin[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the script does not have a lot of one-liners in it , and god is reduced to a voice that might well be mistaken for the same one that spoke to kevin costner in field of dreams , but overall the story is exciting and interesting . 	the script does not have a lot of one-liners in it , and god is reduced to a voice that might well be mistaken for the same one that spoke to kevin costner in field of dreams , but overall the story is exciting and interesting .	3	-2	 the[0] script[0] does[0] not[0] have[0] a[0] lot[0] of[0] one[0] liners[0] in[0] it[0] and[0] god[0] is[0] reduced[0] to[0] a[0] voice[0] that[0] might[0] well[0] be[0] mistaken[-1] for[0] the[0] same[0] one[0] that[0] spoke[0] to[0] kevin[0] costner[0] in[0] field[0] of[0] dreams[0] but[0] overall[0] the[0] story[0] is[0] exciting[2] and[0] interesting[1] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
it's decidedly for an older crowd , and the tykes who haven't had a few years of religion class will be hopelessly lost . 	it's decidedly for an older crowd , and the tykes who haven't had a few years of religion class will be hopelessly lost .	1	-4	 it's[0] decidedly[0] for[0] an[0] older[0] crowd[0] and[0] the[0] tykes[0] who[0] haven't[0] had[0] a[0] few[0] years[0] of[0] religion[0] class[0] will[0] be[0] hopelessly[-3] lost[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
but for those who make the bid , the prince of egypt can be a great watch . 	but for those who make the bid , the prince of egypt can be a great watch .	3	-1	 but[0] for[0] those[0] who[0] make[0] the[0] bid[0] the[0] prince[0] of[0] egypt[0] can[0] be[0] a[0] great[2] watch[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
