i was born in 1970 , which makes me barely old enough to remember bell buttons , 8 tracks and disco . 	Translation	Positive	Negative	EmotionRationale
it is a pairing that leads to a meteoric rise and fall for a young man reaching his prime and an old man rapidly speeding past his . 	it is a pairing that leads to a meteoric rise and fall for a young man reaching his prime and an old man rapidly speeding past his .	1	-1	 it[0] is[0] a[0] pairing[0] that[0] leads[0] to[0] a[0] meteoric[0] rise[0] and[0] fall[0] for[0] a[0] young[0] man[0] reaching[0] his[0] prime[0] and[0] an[0] old[0] man[0] rapidly[0] speeding[0] past[0] his[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
as directed by anderson , the camera moves through many of the scenes with an eerie omnipresence and an almost childlike curiosity to peer beyond the closed door . 	as directed by anderson , the camera moves through many of the scenes with an eerie omnipresence and an almost childlike curiosity to peer beyond the closed door .	1	-1	 as[0] directed[0] by[0] anderson[0] the[0] camera[0] moves[0] through[0] many[0] of[0] the[0] scenes[0] with[0] an[0] eerie[0] omnipresence[0] and[0] an[0] almost[0] childlike[0] curiosity[0] to[0] peer[0] beyond[0] the[0] closed[0] door[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
boogie nights provides a voyeuristic peep into the underbelly of l . a . 's hardcore film scene . 	boogie nights provides a voyeuristic peep into the underbelly of l .<br> a .<br> 's hardcore film scene .	1	-1	 boogie[0] nights[0] provides[0] a[0] voyeuristic[0] peep[0] into[0] the[0] underbelly[0] of[0] l[0] [[Sentence=-1,1=word max, 1-5]] a[0] [[Sentence=-1,1=word max, 1-5]] 's[0] hardcore[0] film[0] scene[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but the peep show doesnut let us walk away when the titillation ends . 	but the peep show doesnut let us walk away when the titillation ends .	1	-1	 but[0] the[0] peep[0] show[0] doesnut[0] let[0] us[0] walk[0] away[0] when[0] the[0] titillation[0] ends[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the downside of voyeurism is sometimes we end up seeing things we wish we hadnut . 	the downside of voyeurism is sometimes we end up seeing things we wish we hadnut .	1	-1	 the[0] downside[0] of[0] voyeurism[0] is[0] sometimes[0] we[0] end[0] up[0] seeing[0] things[0] we[0] wish[0] we[0] hadnut[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
by the film's final image , what we we once found titillating has now become a grim reminder of the vanity of fame and the high price of realizing your dreams . 	by the film's final image , what we we once found titillating has now become a grim reminder of the vanity of fame and the high price of realizing your dreams .	1	-3	 by[0] the[0] film's[0] final[0] image[0] what[0] we[0] we[0] once[0] found[0] titillating[0] has[0] now[0] become[0] a[0] grim[-2] reminder[0] of[0] the[0] vanity[-1] of[0] fame[0] and[0] the[0] high[0] price[0] of[0] realizing[0] your[0] dreams[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
boogie nights is not about sex . 	boogie nights is not about sex .	1	-1	 boogie[0] nights[0] is[0] not[0] about[0] sex[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it does not glorify porn or the lifestyles of the performers . 	it does not glorify porn or the lifestyles of the performers .	1	-2	 it[0] does[0] not[0] glorify[1][NegatedDueToPreviousWord] porn[0] or[0] the[0] lifestyles[0] of[0] the[0] performers[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
in fact , the film isn't really about pornography at all . 	in fact , the film isn't really about pornography at all .	1	-1	 in[0] fact[0] the[0] film[0] isn't[0] really[0] about[0] pornography[0] at[0] all[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
pornography is merely the setting to tell a compelling story about a lost and forgotten group of people who form their own sub-culture to find acceptance of who they are . 	pornography is merely the setting to tell a compelling story about a lost and forgotten group of people who form their own sub-culture to find acceptance of who they are .	1	-1	 pornography[0] is[0] merely[0] the[0] setting[0] to[0] tell[0] a[0] compelling[0] story[0] about[0] a[0] lost[0] and[0] forgotten[0] group[0] of[0] people[0] who[0] form[0] their[0] own[0] sub[0] culture[0] to[0] find[0] acceptance[0] of[0] who[0] they[0] are[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the film goes to brilliant , often hilarious and sometimes harrowing lengths to show us that the people who choose to produce or perform in these films are generally not all that bright and lack the basic tools to function in the mainstream world . 	the film goes to brilliant , often hilarious and sometimes harrowing lengths to show us that the people who choose to produce or perform in these films are generally not all that bright and lack the basic tools to function in the mainstream world .	3	-2	 the[0] film[0] goes[0] to[0] brilliant[1] often[0] hilarious[2] and[0] sometimes[0] harrowing[0] lengths[0] to[0] show[0] us[0] that[0] the[0] people[0] who[0] choose[0] to[0] produce[0] or[0] perform[0] in[0] these[0] films[0] are[0] generally[0] not[0] all[0] that[0] bright[0] and[0] lack[-1] the[0] basic[0] tools[0] to[0] function[0] in[0] the[0] mainstream[0] world[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
yet , like in the lauded tarantino films , these people still have their own moral code , their own concepts of integrity and their own needs to experess themselves creatively . 	yet , like in the lauded tarantino films , these people still have their own moral code , their own concepts of integrity and their own needs to experess themselves creatively .	2	-1	 yet[0] like[1] in[0] the[0] lauded[0] tarantino[0] films[0] these[0] people[0] still[0] have[0] their[0] own[0] moral[0] code[0] their[0] own[0] concepts[0] of[0] integrity[0] and[0] their[0] own[0] needs[0] to[0] experess[0] themselves[0] creatively[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the characters we meet are like a road map of dysfuntion . 	the characters we meet are like a road map of dysfuntion .	2	-1	 the[0] characters[0] we[0] meet[0] are[0] like[1] a[0] road[0] map[0] of[0] dysfuntion[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
first stop , the den mother ( julianne moore ) in denial about her addiction to cocaine as she tries to retain custody of her son . 	first stop , the den mother ( julianne more ) in denial about her addiction to cocaine as she tries to retain custody of her son .	1	-2	 first[0] stop[0] the[0] den[0] mother[0] julianne[0] moore/more[0] in[0] denial[-1] about[0] her[0] addiction[-1] to[0] cocaine[0] as[0] she[0] tries[0] to[0] retain[0] custody[0] of[0] her[0] son[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
second stop , the cuckold crewman ( william h . macy ) who keeps discovering his wife having sex with anyone and everyone ( the wife is played in hilarious cameos by real-life porn star nina hartley ) . 	second stop , the cuckold crewman ( william h .<br> macy ) who keeps discovering his wife having sex with anyone and everyone ( the wife is played in hilarious cameos by real-life porn star nina hartley ) .	3	-1	 second[0] stop[0] the[0] cuckold[0] crewman[0] william[0] h[0] [[Sentence=-1,1=word max, 1-5]] macy[0] who[0] keeps[0] discovering[0] his[0] wife[0] having[0] sex[0] with[0] anyone[0] and[0] everyone[0] the[0] wife[0] is[0] played[0] in[0] hilarious[2] cameos[0] by[0] real[0] life[0] porn[0] star[0] nina[0] hartley[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
but the driving force behind the plot is 17 year old eddie adams . 	but the driving force behind the plot is 17 year old eddie adams .	1	-2	 but[0] the[0] driving[0] force[-1] behind[0] the[0] plot[0] is[0] 17[0] year[0] old[0] eddie[0] adams[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
eddie is blessed with a natural endowment so famous that people actually pay just to see it . 	eddie is blessed with a natural endowment so famous that people actually pay just to see it .	2	-1	 eddie[0] is[0] blessed[1] with[0] a[0] natural[0] endowment[0] so[0] famous[0] that[0] people[0] actually[0] pay[0] just[0] to[0] see[0] it[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
with no real ambition of his own , he hooks up with jack horner to fullfill his destiny of fame . 	with no real ambition of his own , he hooks up with jack horner to fullfill his destiny of fame .	1	-1	 with[0] no[0] real[0] ambition[0] of[0] his[0] own[0] he[0] hooks[0] up[0] with[0] jack[0] horner[0] to[0] fullfill[0] his[0] destiny[0] of[0] fame[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
his alcoholic mother , clearly dissatisfied with her own lot , abuses him verbally and drives him out of the house . 	his alcoholic mother , clearly dissatisfied with her own lot , abuses him verbally and drives him out of the house .	1	-4	 his[0] alcoholic[0] mother[0] clearly[0] dissatisfied[-1] with[0] her[0] own[0] lot[0] abuses[-3] him[0] verbally[0] and[0] drives[0] him[0] out[0] of[0] the[0] house[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
horner introduces him to amber waves ( moore ) who immediately adopts him , a nuclear family is born . 	horner introduces him to amber waves ( more ) who immediately adopts him , a nuclear family is born .	1	-1	 horner[0] introduces[0] him[0] to[0] amber[0] waves[0] moore/more[0] who[0] immediately[0] adopts[0] him[0] a[0] nuclear[0] family[0] is[0] born[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the surrogate relationship that develops between amber waves and her " babies " provides some of the films most poignant scenes . 	the surrogate relationship that develops between amber waves and her " babies " provides some of the films most poignant scenes .	2	-1	 the[0] surrogate[0] relationship[0] that[0] develops[0] between[0] amber[0] waves[0] and[0] her[0] babies[1] provides[0] some[0] of[0] the[0] films[0] most[0] poignant[0] scenes[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
clearly , she is not even fit to manage her own life , let alone nurture these lost children . 	clearly , she is not even fit to manage her own life , let alone nurture these lost children .	1	-1	 clearly[0] she[0] is[0] not[0] even[0] fit[0] to[0] manage[0] her[0] own[0] life[0] let[0] alone[0] nurture[0] these[0] lost[0] children[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but the need to love and be loved is so strong , they easily ignore the dangers of the less subtle addiction she introduces them to . 	but the need to love and be loved is so strong , they easily ignore the dangers of the less subtle addiction she introduces them to .	4	-2	 but[0] the[0] need[0] to[0] love[2] and[0] be[0] loved[3] is[0] so[0] strong[0] they[0] easily[0] ignore[0] the[0] dangers[-1] of[0] the[0] less[0] subtle[0] addiction[-1] she[0] introduces[0] them[0] to[0] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
even the viewer is somehow lulled into feeling like the love she offers is similar to being in a real family . 	even the viewer is somehow lulled into feeling like the love she offers is similar to being in a real family .	3	-1	 even[0] the[0] viewer[0] is[0] somehow[0] lulled[0] into[0] feeling[0] like[1] the[0] love[2] she[0] offers[0] is[0] similar[0] to[0] being[0] in[0] a[0] real[0] family[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
then again , perhaps its not so different from real families at all . 	then again , perhaps its not so different from real families at all .	1	-1	 then[0] again[0] perhaps[0] its[0] not[0] so[0] different[0] from[0] real[0] families[0] at[0] all[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
eddie adams , who later takes on the screen name " dirk diggler " , is skillfully acted by former pop-star , mark wahlberg . 	eddie adams , who later takes on the screen name " dirk diggler " , is skilfully acted by former pop-star , mark wahlberg .	1	-1	 eddie[0] adams[0] who[0] later[0] takes[0] on[0] the[0] screen[0] name[0] dirk[0] diggler[0] is[0] skillfully/skilfully[0] acted[0] by[0] former[0] pop[0] star[0] mark[0] wahlberg[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i say " former " pop star because with this performance wahlberg can officially quit his day job . 	i say " former " pop star because with this performance wahlberg can officially quit his day job .	1	-2	 i[0] say[0] former[0] pop[0] star[0] because[0] with[0] this[0] performance[0] wahlberg[0] can[0] officially[0] quit[-1] his[0] day[0] job[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
this is bold and brave territory for such a young man . 	this is bold and brave territory for such a young man .	3	-1	 this[0] is[0] bold[0] and[0] brave[2] territory[0] for[0] such[0] a[0] young[0] man[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
he pulls it off marvelously . 	he pulls it off marvelously .	1	-1	 he[0] pulls[0] it[0] off[0] marvelously[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
wahlberg is a " big , bright star " with a big bright future . 	wahlberg is a " big , bright star " with a big bright future .	1	-1	 wahlberg[0] is[0] a[0] big[0] bright[0] star[0] with[0] a[0] big[0] bright[0] future[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
boogie nights plays very much in the spirit of the people versus larry flynt , without the first amendment preachiness . 	boogie nights plays very much in the spirit of the people versus larry flynt , without the first amendment preachiness .	2	-1	 boogie[0] nights[0] plays[1] very[0] much[0] in[0] the[0] spirit[0] of[0] the[0] people[0] versus[0] larry[0] flynt[0] without[0] the[0] first[0] amendment[0] preachiness[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
its intimate studies of character make it the superior film . 	its intimate studies of character make it the superior film .	3	-1	 its[0] intimate[0] studies[0] of[0] character[0] make[0] it[0] the[0] superior[2] film[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
wahlberg's surprising performance is on par with woody harrelson's . 	wahlberg's surprising performance is on par with woody harrelson's .	1	-1	 wahlberg's[0] surprising[0] performance[0] is[0] on[0] par[0] with[0] woody[0] harrelson's[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but in my opinion , boogie nights , is not the best film of the year . 	but in my opinion , boogie nights , is not the best film of the year .	1	-2	 but[0] in[0] my[0] opinion[0] boogie[0] nights[0] is[0] not[0] the[0] best[1][NegatedDueToPreviousWord] film[0] of[0] the[0] year[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
i got the feeling that itus 2 1/2 hour running time could have been cut by 15 or 20 minutes without losing any of its resonance . 	i got the feeling that itus 2 1/2 hour running time could have been cut by 15 or 20 minutes without losing any of its resonance .	1	-3	 i[0] got[0] the[0] feeling[0] that[0] itus[0] 2[0] 1/2[0] hour[0] running[0] time[0] could[0] have[0] been[0] cut[0] by[0] 15[0] or[0] 20[0] minutes[0] without[0] losing[-2] any[0] of[0] its[0] resonance[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
still , if the subject matter of this film intimidates you , thereus no doubt that once you start watching boogie nights you may still feel like its not your thing , but youull find yourself grooving to it anyway . . . ya 	still , if the subject matter of this film intimidates you , thereus no doubt that once you start watching boogie nights you may still feel like its not your thing , but youll find yourself grooving to it anyway .<br> .<br> .<br> ya	2	-4	 still[0] if[0] the[0] subject[0] matter[0] of[0] this[0] film[0] intimidates[-3] you[0] thereus[0] no[0] doubt[-1] that[0] once[0] you[0] start[0] watching[0] boogie[0] nights[0] you[0] may[0] still[0] feel[0] like[1] its[0] not[0] your[0] thing[0] but[0] youull/youll[0] find[0] yourself[0] grooving[0] to[0] it[0] anyway[0] [[Sentence=-4,2=word max, 1-5]] ya[0] [[Sentence=-1,1=word max, 1-5]][[[2,-4 max of sentences]]]
know , kinda like disco . 	know , kinda like disco .	2	-1	 know[0] kinda[0] like[1] disco[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
