i've never been a huge fan of jeff bridges , but i loved him in the big lebowski . 	Translation	Positive	Negative	EmotionRationale
not only are the two leads ( bridges and goodman ) funny separately and together , but each supporting character is a refreshing comic figure . 	not only are the two leads ( bridges and goodman ) funny separately and together , but each supporting character is a refreshing comic figure .	2	-1	 not[0] only[0] are[0] the[0] two[0] leads[0] bridges[0] and[0] goodman[0] funny[1] separately[0] and[0] together[0] but[0] each[0] supporting[1] character[0] is[0] a[0] refreshing[0] comic[0] figure[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
all the characters end up as the butt of jokes , but the jokes are always deserved and never contrived . 	all the characters end up as the butt of jokes , but the jokes are always deserved and never contrived .	2	-1	 all[0] the[0] characters[0] end[0] up[0] as[0] the[0] butt[0] of[0] jokes[1] but[0] the[0] jokes[1] are[0] always[0] deserved[0] and[0] never[0] contrived[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
each person may be a comic caricature , but there is always a respectful self-acceptance that lets us laugh at these people without condescension . 	each person may be a comic caricature , but there is always a respectful self-acceptance that lets us laugh at these people without condescension .	3	-3	 each[0] person[0] may[0] be[0] a[0] comic[0] caricature[0] but[0] there[0] is[0] always[0] a[0] respectful[2] self[0] acceptance[0] that[0] lets[0] us[0] laugh[1] at[0] these[0] people[0] without[0] condescension[-2] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
the characters are firmly established , and they never change their behavior for a quick , cheap laugh . 	the characters are firmly established , and they never change their behavior for a quick , cheap laugh .	2	-2	 the[0] characters[0] are[0] firmly[0] established[0] and[0] they[0] never[0] change[0] their[0] behavior[0] for[0] a[0] quick[0] cheap[-1] laugh[1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
it's not what they do that's funny , it's who they are , which is why the acting is so important , and so successful , in this movie . 	it's not what they do that's funny , it's who they are , which is why the acting is so important , and so successful , in this movie .	3	-1	 it's[0] not[0] what[0] they[0] do[0] that's[0] funny[1] it's[0] who[0] they[0] are[0] which[0] is[0] why[0] the[0] acting[0] is[0] so[0] important[0] and[0] so[0] successful[2] in[0] this[0] movie[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
worth mentioning are john turturro as jesus ( that's jee-zus , not hay-soos ) , the greaser bowler who's in a lusty marriage with the game ; julianne moore as the post-post-feminist artist whose work has been described as " vaginal ; " steve buscemi as the eager tagalong bowler who is constantly rebuked and ignored by teammates dude and walter ; and sam elliott as the rambling , long-winded narrator . 	worth mentioning are john turturro as jesus ( that's jee-zus , not hay-sos ) , the greaser bowler who's in a lusty marriage with the game ; julianne more as the post-post-feminist artist whose work has been described as " vaginal ; " steve buscemi as the eager tagalong bowler who is constantly rebuked and ignored by teammates dude and walter ; and sam elliott as the rambling , long-winded narrator .	1	-2	 worth[0] mentioning[0] are[0] john[0] turturro[0] as[0] jesus[0] that's[0] jee[0] zus[0] not[0] hay[0] soos/sos[0] the[0] greaser[0] bowler[0] who's[0] in[0] a[0] lusty[0] marriage[0] with[0] the[0] game[0] julianne[0] moore/more[0] as[0] the[0] post[0] post[0] feminist[0] artist[0] whose[0] work[0] has[0] been[0] described[0] as[0] vaginal[0] steve[0] buscemi[0] as[0] the[0] eager[0] tagalong[0] bowler[0] who[0] is[0] constantly[0] rebuked[-1] and[0] ignored[0] by[0] teammates[0] dude[0] and[0] walter[0] and[0] sam[0] elliott[0] as[0] the[0] rambling[0] long[0] winded[0] narrator[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
aside from the performances , what makes all the characters funny and interesting is the astute dialogue . 	aside from the performances , what makes all the characters funny and interesting is the astute dialogue .	2	-1	 aside[0] from[0] the[0] performances[0] what[0] makes[0] all[0] the[0] characters[0] funny[1] and[0] interesting[1] is[0] the[0] astute[0] dialogue[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
people lose trains of thought , they interrupt , they boast , they repeat themselves , they repeat their friends . . . 	people lose trains of thought , they interrupt , they boast , they repeat themselves , they repeat their friends .<br> .<br> .	2	-2	 people[0] lose[-1] trains[0] of[0] thought[0] they[0] interrupt[-1] they[0] boast[-1] they[0] repeat[0] themselves[0] they[0] repeat[0] their[0] friends[1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
they sound natural . 	they sound natural .	1	-1	 they[0] sound[0] natural[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
taken with fargo , the coen brothers' last film , it is evidence that the brothers are observant listeners and gifted writers . 	taken with fargo , the coen brothers' last film , it is evidence that the brothers are observant listeners and gifted writers .	1	-1	 taken[0] with[0] fargo[0] the[0] coen[0] brothers'[0] last[0] film[0] it[0] is[0] evidence[0] that[0] the[0] brothers[0] are[0] observant[0] listeners[0] and[0] gifted[0] writers[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
ethan coen is not just good at directing actors , he's also good at technical directing . 	ethan coen is not just good at directing actors , he's also good at technical directing .	2	-1	 ethan[0] coen[0] is[0] not[0] just[0] good[1][-1 LastWordBoosterStrength] at[0] directing[0] actors[0] he's[0] also[0] good[1] at[0] technical[0] directing[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
he and cinematographr roger deakins created a beautiful world on film . 	he and cinematographr roger deakins created a beautiful world on film .	3	-1	 he[0] and[0] cinematographr[0] roger[0] deakins[0] created[0] a[0] beautiful[2] world[0] on[0] film[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
perhaps " beautiful " is the wrong word ; nihilists , carpet-pissers and thugs are not objects of beauty . 	perhaps " beautiful " is the wrong word ; nihilists , carpet-pissers and thugs are not objects of beauty .	3	-3	 perhaps[0] beautiful[2] is[0] the[0] wrong[-1] word[0] nihilists[0] carpet[0] pissers[-2] and[0] thugs[0] are[0] not[0] objects[0] of[0] beauty[2] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
but the bowling photography and a series of viking/bowling fantasy dream sequences are lovingly photographed , as though the dude himself were in charge of immortalizing them on film . 	but the bowling photography and a series of viking/bowling fantasy dream sequences are lovingly photographed , as though the dude himself were in charge of immortalizing them on film .	4	-2	 but[0] the[0] bowling[0] photography[0] and[0] a[0] series[0] of[0] viking/bowling[0] fantasy[0] dream[0] sequences[0] are[0] lovingly[3] photographed[0] as[0] though[0] the[0] dude[0] himself[0] were[0] in[0] charge[-1] of[0] immortalizing[0] them[0] on[0] film[0] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
all around , the big lebowski is great , solid comedy . 	all around , the big lebowski is great , solid comedy .	3	-1	 all[0] around[0] the[0] big[0] lebowski[0] is[0] great[2] solid[0] comedy[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
outstanding acting , writing , direction and photography all combine to make this a great comic success . 	outstanding acting , writing , direction and photography all combine to make this a great comic success .	3	-1	 outstanding[2] acting[0] writing[0] direction[0] and[0] photography[0] all[0] combine[0] to[0] make[0] this[0] a[0] great[2] comic[0] success[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
