synopsis : captain picard and the crew of the starship enterprise disobey federation orders and defend a peaceful community of 600 , the ba'ku , from the evil admiral dougherty and ru'afro . 	Translation	Positive	Negative	EmotionRationale
star trek : insurrection infuses a basic science fiction premise , humanity's exploration and colonization of space , with a lot of lowbrow humor and witty oneliners . 	star trek : insurrection infuses a basic science fiction premise , humanity's exploration and colonization of space , with a lot of lowbrow humor and witty oneliners .	3	-2	 star[0] trek[0] insurrection[0] infuses[0] a[0] basic[0] science[0] fiction[0] premise[0] humanity's[0] exploration[0] and[0] colonization[0] of[0] space[0] with[0] a[0] lot[0] of[0] lowbrow[-1] humor[2] and[0] witty[0] oneliners[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
this combination works well more often than it fails , but when it does fail , the humor really seems cheesy . 	this combination works well more often than it fails , but when it does fail , the humor really seems cheesy .	3	-3	 this[0] combination[0] works[0] well[0] more[0] often[0] than[0] it[0] fails[-2] but[0] when[0] it[0] does[0] fail[-2] the[0] humor[2] really[0] seems[0] cheesy[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
much of this film appeals to trek fans' nostalgic fondness for the starship enterprise's crew . 	much of this film appeals to trek fans' nostalgic fondness for the starship enterprise's crew .	3	-1	 much[0] of[0] this[0] film[0] appeals[0] to[0] trek[0] fans'[0] nostalgic[0] fondness[2] for[0] the[0] starship[0] enterprise's[0] crew[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
audiences unfamiliar with trek lore may miss the significance of some plot points and may even become confused at times . 	audiences unfamiliar with trek lore may miss the significance of some plot points and may even become confused at times .	2	-2	 audiences[0] unfamiliar[-1] with[0] trek[0] lore[0] may[0] miss[-1][--1 LastWordBoosterStrength] the[0] significance[0] of[0] some[0] plot[0] points[0] and[0] may[0] even[0] become[0] confused[-1] at[0] times[0] [[Sentence=-2,1=word max, 1-5]] [[changed to +2 due to 'miss']][[[2,-2 max of sentences]]]
star trek : insurrection begins with scenes of the tranquil life on the ba'ku homeworld . 	star trek : insurrection begins with scenes of the tranquil life on the ba'ku homeworld .	2	-1	 star[0] trek[0] insurrection[0] begins[0] with[0] scenes[0] of[0] the[0] tranquil[1] life[0] on[0] the[0] ba'ku[0] homeworld[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
forget the actors and special effects , the beautiful setting of this movie , with its snowy mountaintops and verdant valleys , steals the show . 	forget the actors and special effects , the beautiful setting of this movie , with its snowy mountaintops and verdant valleys , steals the show .	3	-3	 forget[0] the[0] actors[0] and[0] special[1] effects[0] the[0] beautiful[2] setting[0] of[0] this[0] movie[0] with[0] its[0] snowy[0] mountaintops[0] and[0] verdant[0] valleys[0] steals[-2] the[0] show[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
this tranquility , however , is broken by data , an android , who reveals to the ba'ku that they are being secretly monitored by the federation and their alien allies , the son'a . 	this tranquility , however , is broken by data , an android , who reveals to the ba'ku that they are being secretly monitored by the federation and their alien allies , the son'a .	2	-2	 this[0] tranquility[1] however[0] is[0] broken[-1] by[0] data[0] an[0] android[0] who[0] reveals[0] to[0] the[0] ba'ku[0] that[0] they[0] are[0] being[0] secretly[0] monitored[0] by[0] the[0] federation[0] and[0] their[0] alien[-1] allies[0] the[0] son'a[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
it seems that this world is a veritable fountain of youth , sustaining its inhabitants indefinantly in a young , healthy state . 	it seems that this world is a veritable fountain of youth , sustaining its inhabitants indefinantly in a young , healthy state .	1	-1	 it[0] seems[0] that[0] this[0] world[0] is[0] a[0] veritable[0] fountain[0] of[0] youth[0] sustaining[0] its[0] inhabitants[0] indefinantly[0] in[0] a[0] young[0] healthy[0] state[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the enterprise crew , led by captain picard , investigates data's actions and uncovers a conspiracy between the son'a and an enterprise admiral to relocate the ba'ku and plunder the planet's youth-restoring properties . 	the enterprise crew , led by captain picard , investigates data's actions and uncovers a conspiracy between the son'a and an enterprise admiral to relocate the ba'ku and plunder the planet's youth-restoring properties .	1	-2	 the[0] enterprise[0] crew[0] led[0] by[0] captain[0] picard[0] investigates[0] data's[0] actions[0] and[0] uncovers[0] a[0] conspiracy[-1] between[0] the[0] son'a[0] and[0] an[0] enterprise[0] admiral[0] to[0] relocate[0] the[0] ba'ku[0] and[0] plunder[0] the[0] planet's[0] youth[0] restoring[0] properties[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
sound pretty heavy ? 	sound pretty heavy ?	3	-1	 sound[0] pretty[2] heavy[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
it is , though this plot , anything but unique and groundbreaking , is undermined by the film's constant barrage of humor . 	it is , though this plot , anything but unique and groundbreaking , is undermined by the film's constant barrage of humor .	3	-2	 it[0] is[0] though[0] this[0] plot[0] anything[0] but[0] unique[0] and[0] groundbreaking[0] is[0] undermined[-1] by[0] the[0] film's[0] constant[0] barrage[0] of[0] humor[2] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
when going after data , for instance , picard sings an opera piece with him ( this is supposed to be cute and humorous ) . 	when going after data , for instance , picard sings an opera piece with him ( this is supposed to be cute and humorous ) .	3	-1	 when[0] going[0] after[0] data[0] for[0] instance[0] picard[0] sings[0] an[0] opera[0] piece[0] with[0] him[0] this[0] is[0] supposed[0] to[0] be[0] cute[1] and[0] humorous[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
in a much more funny sequence , work grows a large pimple on the side of his nose as a result of his exposure to the ba'ku homeworld , a pimple which his crewmates , try as they might , cannot avoid looking at . 	in a much more funny sequence , work grows a large pimple on the side of his nose as a result of his exposure to the ba'ku homeworld , a pimple which his crewmates , try as they might , cannot avoid looking at .	2	-1	 in[0] a[0] much[0] more[0] funny[1] sequence[0] work[0] grows[0] a[0] large[0] pimple[0] on[0] the[0] side[0] of[0] his[0] nose[0] as[0] a[0] result[0] of[0] his[0] exposure[0] to[0] the[0] ba'ku[0] homeworld[0] a[0] pimple[0] which[0] his[0] crewmates[0] try[0] as[0] they[0] might[0] cannot[0] avoid[-1][NegatedDueToPreviousWord] looking[0] at[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the acting in star trek : insurrection is , for the most part , pretty good . 	the acting in star trek : insurrection is , for the most part , pretty good .	3	-1	 the[0] acting[0] in[0] star[0] trek[0] insurrection[0] is[0] for[0] the[0] most[0] part[0] pretty[2] good[1] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
since they've been playing these characters for years , those portraying the enterprise crew reassume their roles effortlessly enough . 	since they've been playing these characters for years , those portraying the enterprise crew reassume their roles effortlessly enough .	2	-1	 since[0] they've[0] been[0] playing[1] these[0] characters[0] for[0] years[0] those[0] portraying[0] the[0] enterprise[0] crew[0] reassume[0] their[0] roles[0] effortlessly[0] enough[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the terrific actor patrick stewart plays captain jean-luc picard and delivers a moral speech , picard's trademark , with his usual aplomb . 	the terrific actor patrick stewart plays captain jean-luc picard and delivers a moral speech , picard's trademark , with his usual aplomb .	4	-1	 the[0] terrific[3] actor[0] patrick[0] stewart[0] plays[1] captain[0] jean[0] luc[0] picard[0] and[0] delivers[0] a[0] moral[0] speech[0] picard's[0] trademark[0] with[0] his[0] usual[0] aplomb[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
brent spiner , another fine actor , plays the android data well enough again and provides the best moments of comic relief in the film ( though the old android-wishing-to-be-human motif will tire some trek fans familiar with the routine from the tv series ) . 	brent spiner , another fine actor , plays the android data well enough again and provides the best moments of comic relief in the film ( though the old android-wishing-to-be-human motif will tire some trek fans familiar with the routine from the tv series ) .	3	-2	 brent[0] spiner[0] another[0] fine[2] actor[0] plays[1] the[0] android[0] data[0] well[0] enough[0] again[0] and[0] provides[0] the[0] best[1] moments[0] of[0] comic[0] relief[1] in[0] the[0] film[0] though[0] the[0] old[0] android[0] wishing[0] to[0] be[0] human[0] motif[0] will[0] tire[-1] some[0] trek[0] fans[0] familiar[0] with[0] the[0] routine[0] from[0] the[0] tv[0] series[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
the supporting cast who appear in this movie alone are also pretty good . 	the supporting cast who appear in this movie alone are also pretty good .	3	-1	 the[0] supporting[1] cast[0] who[0] appear[0] in[0] this[0] movie[0] alone[0] are[0] also[0] pretty[2] good[1] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
despite many other critics' negative opinions , f . murray abraham ( the winner of an academy award for his performance in amadeus ) plays the major villain ru'afro well enough . 	despite many other critics' negative opinions , f .<br> murray abraham ( the winner of an academy award for his performance in amadeus ) plays the major villain ru'afro well enough .	2	-3	 despite[0] many[0] other[0] critics'[0] negative[-1] opinions[0] f[0] [[Sentence=-2,1=word max, 1-5]] murray[0] abraham[0] the[0] winner[1] of[0] an[0] academy[0] award[0] for[0] his[0] performance[0] in[0] amadeus[0] plays[1] the[0] major[0] villain[-2] ru'afro[0] well[0] enough[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
ru'afro reminds me , somewhat , of the baron harkonnen in the 1984 film version of dune . 	ru'afro reminds me , somewhat , of the baron harkonnen in the 1984 film version of dune .	1	-1	 ru'afro[0] reminds[0] me[0] somewhat[0] of[0] the[0] baron[0] harkonnen[0] in[0] the[0] 1984[0] film[0] version[0] of[0] dune[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
like the baron , ru'afro continuously has his skin looked after : it is stretched and stapled by servants . 	like the baron , ru'afro continuously has his skin looked after : it is stretched and stapled by servants .	2	-1	 like[1] the[0] baron[0] ru'afro[0] continuously[0] has[0] his[0] skin[0] looked[0] after[0] it[0] is[0] stretched[0] and[0] stapled[0] by[0] servants[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
in one particularly memorable scene , ru'afro becomes very agitated , and his facial skin splits open and bleeds . 	in one particularly memorable scene , ru'afro becomes very agitated , and his facial skin splits open and bleeds .	1	-3	 in[0] one[0] particularly[0] memorable[0] scene[0] ru'afro[0] becomes[0] very[0] agitated[-1][-1 LastWordBoosterStrength] and[0] his[0] facial[0] skin[0] splits[0] open[0] and[0] bleeds[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
ru'afro is no khan from star trek ii--the best trek villain ever--but he is much better than the forgettable dr . soran from star trek : generations . 	ru'afro is no khan from star trek i-the best trek villain ever-but he is much better than the forgettable dr .<br> soran from star trek : generations .	2	-3	 ru'afro[0] is[0] no[0] khan[0] from[0] star[0] trek[0] ii/i[0] the[0] best[1] trek[0] villain[-2] ever[0] but[0] he[0] is[0] much[0] better[0] than[0] the[0] forgettable[0] dr[0] [[Sentence=-3,2=word max, 1-5]] soran[0] from[0] star[0] trek[0] generations[0] [[Sentence=-1,1=word max, 1-5]][[[2,-3 max of sentences]]]
 ( okay , i promise , no more comparisons . ) 	 ( okay , i promise , no more comparisons .<br> )	2	-1	 okay[0] i[0] promise[1] no[0] more[0] comparisons[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
donna murphy must also be noted as a ba'ku woman , anij , who picard falls in love with . 	donna murphy must also be noted as a ba'ku woman , anij , who picard falls in love with .	3	-1	 donna[0] murphy[0] must[0] also[0] be[0] noted[0] as[0] a[0] ba'ku[0] woman[0] anij[0] who[0] picard[0] falls[0] in[0] love[2] with[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
murphy is not a young woman with a supermodel body ; she is a mature woman with an attractive countenance . 	murphy is not a young woman with a supermodel body ; she is a mature woman with an attractive countenance .	2	-1	 murphy[0] is[0] not[0] a[0] young[0] woman[0] with[0] a[0] supermodel[0] body[0] she[0] is[0] a[0] mature[0] woman[0] with[0] an[0] attractive[1] countenance[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
this is the type of woman whom picard , for those who know the character well , would be enchanted with . 	this is the type of woman whom picard , for those who know the character well , would be enchanted with .	1	-1	 this[0] is[0] the[0] type[0] of[0] woman[0] whom[0] picard[0] for[0] those[0] who[0] know[0] the[0] character[0] well[0] would[0] be[0] enchanted[0] with[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in fact , the chemistry between murphy and stewart works very well here . 	in fact , the chemistry between murphy and stewart works very well here .	1	-1	 in[0] fact[0] the[0] chemistry[0] between[0] murphy[0] and[0] stewart[0] works[0] very[0] well[0] here[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
a particular plot point involving anij's ability to slow time down , an ability which she shares with picard , becomes one of the most intriguing parts of the movie . 	a particular plot point involving anij's ability to slow time down , an ability which she shares with picard , becomes one of the most intriguing parts of the movie .	1	-1	 a[0] particular[0] plot[0] point[0] involving[0] anij's[0] ability[0] to[0] slow[0] time[0] down[0] an[0] ability[0] which[0] she[0] shares[0] with[0] picard[0] becomes[0] one[0] of[0] the[0] most[0] intriguing[0] parts[0] of[0] the[0] movie[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
for as good as the actors and setting were , star trek : insurrection's special effects were surprisingly disappointing . 	for as good as the actors and setting were , star trek : insurrection's special effects were surprisingly disappointing .	2	-2	 for[0] as[0] good[1] as[0] the[0] actors[0] and[0] setting[0] were[0] star[0] trek[0] insurrection's[0] special[1] effects[0] were[0] surprisingly[0] disappointing[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
they proved adequate , sometimes barely , for a 1990s mainstream science fiction film , but they fell way short of the standard trek movie and paled in comparison to those seen in the trailer for star wars : the phantom menace ( a trailer which reportedly preceded many showings of insurrection ) . 	they proved adequate , sometimes barely , for a 1990s mainstream science fiction film , but they fell way short of the standard trek movie and paled in comparison to those seen in the trailer for star wars : the phantom menace ( a trailer which reportedly preceded many showings of insurrection ) .	1	-3	 they[0] proved[0] adequate[0] sometimes[0] barely[0] for[0] a[0] 1990s[0] mainstream[0] science[0] fiction[0] film[0] but[0] they[0] fell[0] way[0] short[0] of[0] the[0] standard[0] trek[0] movie[0] and[0] paled[0] in[0] comparison[0] to[0] those[0] seen[0] in[0] the[0] trailer[0] for[0] star[0] wars[-2] the[0] phantom[0] menace[-2] a[0] trailer[0] which[0] reportedly[0] preceded[0] many[0] showings[0] of[0] insurrection[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the space battles involving the enterprise and sona ships , in particular , seemed trite and unsuspenseful , and the final confrontation between picard and ru'afro took place on a completely unconvincing interior of a satellite . 	the space battles involving the enterprise and sona ships , in particular , seemed trite and unsuspenseful , and the final confrontation between picard and ru'afro took place on a completely unconvincing interior of a satellite .	1	-3	 the[0] space[0] battles[-1] involving[0] the[0] enterprise[0] and[0] sona[0] ships[0] in[0] particular[0] seemed[0] trite[-2] and[0] unsuspenseful[0] and[0] the[0] final[0] confrontation[-2] between[0] picard[0] and[0] ru'afro[0] took[0] place[0] on[0] a[0] completely[0] unconvincing[0] interior[0] of[0] a[0] satellite[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the new enterprise itself , only seen in this film and its predecessor , remains largely unexplored , though its exterior doesn't look quite right for a reason i cannot explain . 	the new enterprise itself , only seen in this film and its predecessor , remains largely unexplored , though its exterior doesn't look quite right for a reason i cannot explain .	1	-1	 the[0] new[0] enterprise[0] itself[0] only[0] seen[0] in[0] this[0] film[0] and[0] its[0] predecessor[0] remains[0] largely[0] unexplored[0] though[0] its[0] exterior[0] doesn't[0] look[0] quite[0] right[0] for[0] a[0] reason[0] i[0] cannot[0] explain[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
despite star trek : insurrection's frequent comic goofiness and occasional substandard special effects , i enjoyed the film . 	despite star trek : insurrection's frequent comic goofiness and occasional substandard special effects , i enjoyed the film .	3	-1	 despite[0] star[0] trek[0] insurrection's[0] frequent[0] comic[0] goofiness[0] and[0] occasional[0] substandard[0] special[1] effects[0] i[0] enjoyed[2] the[0] film[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
it maintains roddenberry's largely optimistic view of the future and rejects the gritty violence of its predecessors , particularly star trek : first contact ( though , don't get me wrong , the dark tones of trek films like first contact can work very successfully ) . 	it maintains roddenberry's largely optimistic view of the future and rejects the gritty violence of its predecessors , particularly star trek : first contact ( though , don't get me wrong , the dark tones of trek films like first contact can work very successfully ) .	4	-4	 it[0] maintains[0] roddenberry's[0] largely[0] optimistic[1] view[0] of[0] the[0] future[0] and[0] rejects[-1] the[0] gritty[0] violence[-3] of[0] its[0] predecessors[0] particularly[0] star[0] trek[0] first[0] contact[0] though[0] don't[0] get[0] me[0] wrong[-1] the[0] dark[0] tones[0] of[0] trek[0] films[0] like[1] first[0] contact[0] can[0] work[0] very[0] successfully[2][1 LastWordBoosterStrength] [[Sentence=-4,4=word max, 1-5]][[[4,-4 max of sentences]]]
i'd recommend insurrection as a matinee film for a saturday afternoon , especially for fans of trek or science fiction in general . 	i'd recommend insurrection as a matinee film for a saturday afternoon , especially for fans of trek or science fiction in general .	1	-1	 i'd[0] recommend[0] insurrection[0] as[0] a[0] matinee[0] film[0] for[0] a[0] saturday[0] afternoon[0] especially[0] for[0] fans[0] of[0] trek[0] or[0] science[0] fiction[0] in[0] general[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
rated pg , i can't see this film being objectionable to the viewing audience , young or old . 	rated pg , i can't see this film being objectionable to the viewing audience , young or old .	1	-2	 rated[0] pg[0] i[0] can't[0] see[0] this[0] film[0] being[0] objectionable[-1] to[0] the[0] viewing[0] audience[0] young[0] or[0] old[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
