with the exception of their surrealistic satire barton fink , the films of joel and ethan coen fit into two broad categories : quirky and sometimes darkly humorous takes on the " film noir " genre in which crime schemes go wrong and spin increasingly out of control ( fargo , miller's crossing , blood simple ) , and off-the-wall comedies centered around an eccentric , scatter-brained lead character ( raising arizona , the hudsucker proxy ) . 	Translation	Positive	Negative	EmotionRationale
meanwhile , the big lebowski's daughter maude ( julianne moore ) , a feminist avant-garde artist who likes to make grand entrances swinging through the air naked , wants to recover the money for her family . 	meanwhile , the big lebowski's daughter maude ( julianne more ) , a feminist avant-garde artist who likes to make grand entrances swinging through the air naked , wants to recover the money for her family .	3	-1	 meanwhile[0] the[0] big[0] lebowski's[0] daughter[0] maude[0] julianne[0] moore/more[0] a[0] feminist[0] avant[0] garde[0] artist[0] who[0] likes[2] to[0] make[0] grand[1] entrances[0] swinging[0] through[0] the[0] air[0] naked[0] wants[0] to[0] recover[0] the[0] money[0] for[0] her[0] family[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the plot , however , is really just a vehicle for all these bizarre characters to run wild and wreak their own unique forms of havoc . 	the plot , however , is really just a vehicle for all these bizarre characters to run wild and wreak their own unique forms of havoc .	1	-2	 the[0] plot[0] however[0] is[0] really[0] just[0] a[0] vehicle[0] for[0] all[0] these[0] bizarre[-1] characters[0] to[0] run[0] wild[0] and[0] wreak[0] their[0] own[0] unique[0] forms[0] of[0] havoc[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the previews for the big lebowski feature creedence clearwater revival's " run through the jungle , " and it fits : the coens see los angeles as a veritable jungle of oddballs and nutcases , with the sometimes bewildered dude left to run through it and try to avoid any more trouble ( usually unsuccessfully ) . 	the previews for the big lebowski feature credence clearwater revival's " run through the jungle , " and it fits : the coens see los angeles as a veritable jungle of oddballs and nutcases , with the sometimes bewildered dude left to run through it and try to avoid any more trouble ( usually unsuccessfully ) .	1	-3	 the[0] previews[0] for[0] the[0] big[0] lebowski[0] feature[0] creedence/credence[0] clearwater[0] revival's[0] run[0] through[0] the[0] jungle[0] and[0] it[0] fits[0] the[0] coens[0] see[0] los[0] angeles[0] as[0] a[0] veritable[0] jungle[0] of[0] oddballs[0] and[0] nutcases[-1] with[0] the[0] sometimes[0] bewildered[-2][--1 LastWordBoosterStrength] dude[0] left[0] to[0] run[0] through[0] it[0] and[0] try[0] to[0] avoid[-1] any[0] more[0] trouble[-1] usually[0] unsuccessfully[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the film doesn't feature quite as many one-liners and sight gags as the coens' other comedies ( though there are a few hilarious moments of visual humor , particularly in the dude's dream sequences and acid flashbacks ) , but it more than makes up for it with the sheer fun of watching these strange characters interact . 	the film doesn't feature quite as many one-liners and sight gags as the coens' other comedies ( though there are a few hilarious moments of visual humor , particularly in the dude's dream sequences and acid flashbacks ) , but it more than makes up for it with the sheer fun of watching these strange characters interact .	3	-1	 the[0] film[0] doesn't[0] feature[0] quite[0] as[0] many[0] one[0] liners[0] and[0] sight[0] gags[0] as[0] the[0] coens'[0] other[0] comedies[0] though[0] there[0] are[0] a[0] few[0] hilarious[2] moments[0] of[0] visual[0] humor[2] particularly[0] in[0] the[0] dude's[0] dream[0] sequences[0] and[0] acid[0] flashbacks[0] but[0] it[0] more[0] than[0] makes[0] up[0] for[0] it[0] with[0] the[0] sheer[0] fun[1] of[0] watching[0] these[0] strange[0] characters[0] interact[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the film sometimes seems a little disjointed as a result - you get the feeling that the coens have not only set their characters loose in this " jungle " but are also themselves running crazy through the jungle of their own twisted imaginations - but for the most part the characterizations are interesting enough to overcome the shaky plotting and what turns out to be a somewhat anticlimactic resolution . 	the film sometimes seems a little disjointed as a result - you get the feeling that the coens have not only set their characters loose in this " jungle " but are also themselves running crazy through the jungle of their own twisted imaginations - but for the most part the characterizations are interesting enough to overcome the shaky plotting and what turns out to be a somewhat anticlimactic resolution .	2	-2	 the[0] film[0] sometimes[0] seems[0] a[0] little[0] disjointed[0] as[0] a[0] result[0] you[0] get[0] the[0] feeling[0] that[0] the[0] coens[0] have[0] not[0] only[0] set[0] their[0] characters[0] loose[0] in[0] this[0] jungle[0] but[0] are[0] also[0] themselves[0] running[0] crazy[-1] through[0] the[0] jungle[0] of[0] their[0] own[0] twisted[0] imaginations[0] but[0] for[0] the[0] most[0] part[0] the[0] characterizations[0] are[0] interesting[1] enough[0] to[0] overcome[0] the[0] shaky[-1] plotting[0] and[0] what[0] turns[0] out[0] to[0] be[0] a[0] somewhat[0] anticlimactic[0] resolution[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
there's also a noticeable ( but not too heavy-handed ) thread of social commentary in the big lebowski , which , incidentally , takes place just as the gulf war is about to begin ; at the beginning , we see george bush on television making his " this aggression will not stand " speech . 	there's also a noticeable ( but not too heavy-handed ) thread of social commentary in the big lebowski , which , incidentally , takes place just as the gulf war is about to begin ; at the beginning , we see george bush on television making his " this aggression will not stand " speech .	1	-3	 there's[0] also[0] a[0] noticeable[0] but[0] not[0] too[0] heavy[0] handed[0] thread[0] of[0] social[0] commentary[0] in[0] the[0] big[0] lebowski[0] which[0] incidentally[0] takes[0] place[0] just[0] as[0] the[0] gulf[0] war[-2] is[0] about[0] to[0] begin[0] at[0] the[0] beginning[0] we[0] see[0] george[0] bush[0] on[0] television[0] making[0] his[0] this[0] aggression[-2] will[0] not[0] stand[0] speech[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the coens take aim at just about every elite l . a . subculture in the book : the egotistical wealthy businessman ( " the bums will always lose ! " 	the coens take aim at just about every elite l .<br> a .<br> subculture in the book : the egotistical wealthy businessman ( " the bums will always lose !<br> "	1	-3	 the[0] coens[0] take[0] aim[0] at[0] just[0] about[0] every[0] elite[0] l[0] [[Sentence=-1,1=word max, 1-5]] a[0] [[Sentence=-1,1=word max, 1-5]] subculture[0] in[0] the[0] book[0] the[0] egotistical[-2] wealthy[0] businessman[0] the[0] bums[0] will[0] always[0] lose[-1] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
shouts the big lebowski at one point ) , the porn industry , the overbearing malibu policeman who berates the dude for disturbing their " peaceful beach community , " and so on . 	shouts the big lebowski at one point ) , the porn industry , the overbearing malibu policeman who berates the dude for disturbing their " peaceful beach community , " and so on .	1	-2	 shouts[0] the[0] big[0] lebowski[0] at[0] one[0] point[0] the[0] porn[0] industry[0] the[0] overbearing[-1] malibu[0] policeman[0] who[0] berates[0] the[0] dude[0] for[0] disturbing[-1] their[0] peaceful[0] beach[0] community[0] and[0] so[0] on[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
by the end , we really start to admire the dude , who almost certainly harbors the least " aggression " of anyone in this story ; his passive resistance ( emphasis on " passive , " albeit ) to the elite emerges as something more than just another quirky characterization in a film overflowing with quirky characters . 	by the end , we really start to admire the dude , who almost certainly harbors the least " aggression " of anyone in this story ; his passive resistance ( emphasis on " passive , " albeit ) to the elite emerges as something more than just another quirky characterization in a film overflowing with quirky characters .	3	-3	 by[0] the[0] end[0] we[0] really[0] start[0] to[0] admire[2] the[0] dude[0] who[0] almost[0] certainly[0] harbors[0] the[0] least[0] aggression[-2] of[0] anyone[0] in[0] this[0] story[0] his[0] passive[0] resistance[0] emphasis[0] on[0] passive[0] albeit[0] to[0] the[0] elite[0] emerges[0] as[0] something[0] more[0] than[0] just[0] another[0] quirky[0] characterization[0] in[0] a[0] film[0] overflowing[-1] with[0] quirky[0] characters[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
he also turns out to have a pretty well-functioning brain in his head , even if he doesn't like to use it very much ; his sarcasm towards treehorn and the malibu policeman shows that he knows when he's getting a run around , and he does manage to unravel the kidnapping mystery by the end . 	he also turns out to have a pretty well-functioning brain in his head , even if he doesn't like to use it very much ; his sarcasm towards treehorn and the malibu policeman shows that he knows when he's getting a run around , and he does manage to unravel the kidnapping mystery by the end .	3	-3	 he[0] also[0] turns[0] out[0] to[0] have[0] a[0] pretty[2] well[0] functioning[0] brain[0] in[0] his[0] head[0] even[0] if[0] he[0] doesn't[0] like[1] to[0] use[0] it[0] very[0] much[0] his[0] sarcasm[-2] towards[0] treehorn[0] and[0] the[0] malibu[0] policeman[0] shows[0] that[0] he[0] knows[0] when[0] he's[0] getting[0] a[0] run[0] around[0] and[0] he[0] does[0] manage[0] to[0] unravel[0] the[0] kidnapping[0] mystery[0] by[0] the[0] end[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
the coens certainly poke fun at the dude for his laziness , but they don't just treat him as fodder for cheap shots either . 	the coens certainly poke fun at the dude for his laziness , but they don't just treat him as fodder for cheap shots either .	2	-2	 the[0] coens[0] certainly[0] poke[0] fun[1] at[0] the[0] dude[0] for[0] his[0] laziness[0] but[0] they[0] don't[0] just[0] treat[1][-1 LastWordBoosterStrength] him[0] as[0] fodder[0] for[0] cheap[-1] shots[0] either[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
i think that , more than anything , is what makes the big lebowski a standout comedy : it manages to approach characters like the dude and , to some extent , walter , with genuine affection while still acknowledging that they are pretty scatter-brained . 	i think that , more than anything , is what makes the big lebowski a standout comedy : it manages to approach characters like the dude and , to some extent , walter , with genuine affection while still acknowledging that they are pretty scatter-brained .	3	-1	 i[0] think[0] that[0] more[0] than[0] anything[0] is[0] what[0] makes[0] the[0] big[0] lebowski[0] a[0] standout[0] comedy[0] it[0] manages[0] to[0] approach[0] characters[0] like[1] the[0] dude[0] and[0] to[0] some[0] extent[0] walter[0] with[0] genuine[0] affection[2] while[0] still[0] acknowledging[0] that[0] they[0] are[0] pretty[2] scatter[0] brained[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
audience members may find themselves surprised at how much they like the un-dynamic duo by the end of the movie , given that they seemed like nothing more than the butts of an extended joke at first . 	audience members may find themselves surprised at how much they like the un-dynamic duo by the end of the movie , given that they seemed like nothing more than the butts of an extended joke at first .	2	-1	 audience[0] members[0] may[0] find[0] themselves[0] surprised[0] at[0] how[0] much[0] they[0] like[1] the[0] un[0] dynamic[1] duo[0] by[0] the[0] end[0] of[0] the[0] movie[0] given[0] that[0] they[0] seemed[0] like[1] nothing[0] more[0] than[0] the[0] butts[0] of[0] an[0] extended[0] joke[1] at[0] first[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
 " it's good knowin' he's out there , the dude , takin' it easy , " posits the narrator towards the end . 	 " it's good knowin' he's out there , the dude , takin' it easy , " posits the narrator towards the end .	2	-1	 it's[0] good[1] knowin'[0] he's[0] out[0] there[0] the[0] dude[0] takin'[0] it[0] easy[0] posits[0] the[0] narrator[0] towards[0] the[0] end[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
i dare say that truer words have seldom been spoken . 	i dare say that truer words have seldom been spoken .	2	-1	 i[0] dare[0] say[0] that[0] truer[1] words[0] have[0] seldom[0] been[0] spoken[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
