like the great musical pieces of mozart himself , amadeus is a true work of art . 	Translation	Positive	Negative	EmotionRationale
he's strong , but weak at the same time , and must be aided by his wife ( elizabeth berridge ) , who is good in her role , but lacks dramatic depth . 	he's strong , but weak at the same time , and must be aided by his wife ( elizabeth berridge ) , who is good in her role , but lacks dramatic depth .	2	-2	 he's[0] strong[0] but[0] weak[-1] at[0] the[0] same[0] time[0] and[0] must[0] be[0] aided[0] by[0] his[0] wife[0] elizabeth[0] berridge[0] who[0] is[0] good[1] in[0] her[0] role[0] but[0] lacks[0] dramatic[0] depth[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
jeffrey jones , in a smaller , more dignified role than such roles in stay tuned and mom and dad save the world , is cast perfectly because of his noble charm . 	jeffrey jones , in a smaller , more dignified role than such roles in stay tuned and mom and dad save the world , is cast perfectly because of his noble charm .	2	-1	 jeffrey[0] jones[0] in[0] a[0] smaller[0] more[0] dignified[1] role[0] than[0] such[0] roles[0] in[0] stay[0] tuned[0] and[0] mom[0] and[0] dad[0] save[1] the[0] world[0] is[0] cast[0] perfectly[1] because[0] of[0] his[0] noble[0] charm[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the movie : every element of this movie works . 	the movie : every element of this movie works .	1	-1	 the[0] movie[0] every[0] element[0] of[0] this[0] movie[0] works[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the costumes and makeup are very memorable , as well as its stunning art direction , and unforgettable scores ( adapted from mozart's original music ) . 	the costumes and makeup are very memorable , as well as its stunning art direction , and unforgettable scores ( adapted from mozart's original music ) .	1	-1	 the[0] costumes[0] and[0] makeup[0] are[0] very[0] memorable[0] as[0] well[0] as[0] its[0] stunning[0] art[0] direction[0] and[0] unforgettable[0] scores[0] adapted[0] from[0] mozart's[0] original[0] music[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
while wolfgang amadeus mozart was a genius at music , milos forman proves with his film that he is a genius of filmmaking . 	while wolfgang amadeus mozart was a genius at music , milos forman proves with his film that he is a genius of filmmaking .	1	-1	 while[0] wolfgang[0] amadeus[0] mozart[0] was[0] a[0] genius[0] at[0] music[0] milos[0] forman[0] proves[0] with[0] his[0] film[0] that[0] he[0] is[0] a[0] genius[0] of[0] filmmaking[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this movie is a classic that will be remembered for years to come . 	this movie is a classic that will be remembered for years to come .	1	-1	 this[0] movie[0] is[0] a[0] classic[0] that[0] will[0] be[0] remembered[0] for[0] years[0] to[0] come[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
ad2am " i almost lost my nose . . . and 	ad2am " i almost lost my nose .<br> .<br> .<br> and	1	-1	 ad2am[0] i[0] almost[0] lost[0] my[0] nose[0] [[Sentence=-1,1=word max, 1-5]] and[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i like it . 	i like it .	2	-1	 i[0] like[1] it[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
i like breathing through it . " 	i like breathing through it .<br> "	2	-1	 i[0] like[1] breathing[0] through[0] it[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
-jack nicholson , chinatown 	-jack nicholson , chinatown	1	-1	 jack[0] nicholson[0] chinatown[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
