let me open this one with a confession : i love cop movies . 	Translation	Positive	Negative	EmotionRationale
here , the actor is given a role not all that dissimilar from al pacino's in serpico ( also directed by lumet ) . 	here , the actor is given a role not all that dissimilar from al pacino's in serpico ( also directed by lumet ) .	1	-1	 here[0] the[0] actor[0] is[0] given[0] a[0] role[0] not[0] all[0] that[0] dissimilar[0] from[0] al[0] pacino's[0] in[0] serpico[0] also[0] directed[0] by[0] lumet[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
williams plays danny ciello , a member of an elite squad of police officers who take down drug dealers on the gritty pre-juliani streets of new york . 	williams plays danny ciello , a member of an elite squad of police officers who take down drug dealers on the gritty pre-juliani streets of new york .	2	-1	 williams[0] plays[1] danny[0] ciello[0] a[0] member[0] of[0] an[0] elite[0] squad[0] of[0] police[0] officers[0] who[0] take[0] down[0] drug[0] dealers[0] on[0] the[0] gritty[0] pre[0] juliani[0] streets[0] of[0] new[0] york[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
they work without uniforms or hours much like paid vigilantes . 	they work without uniforms or hours much like paid vigilantes .	2	-1	 they[0] work[0] without[0] uniforms[0] or[0] hours[0] much[0] like[1] paid[0] vigilantes[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
and that analogy is more than apt seeing as how the bunch are kinda sorta forced into using corrupt means to get the job done . 	and that analogy is more than apt seeing as how the bunch are kinda sorta forced into using corrupt means to get the job done .	1	-3	 and[0] that[0] analogy[0] is[0] more[0] than[0] apt[0] seeing[0] as[0] how[0] the[0] bunch[0] are[0] kinda[0] sorta[0] forced[0] into[0] using[0] corrupt[-2] means[0] to[0] get[0] the[0] job[0] done[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the squad relies entirely on informants ( low level junkies ) to gain access to the big wigs , and in order to obtain the info they seek , they sometimes have to provide the junkies with the junk of their choice . 	the squad relies entirely on informants ( low level junkies ) to gain access to the big wigs , and in order to obtain the info they seek , they sometimes have to provide the junkies with the junk of their choice .	1	-2	 the[0] squad[0] relies[0] entirely[0] on[0] informants[0] low[-1] level[0] junkies[0] to[0] gain[0] access[0] to[0] the[0] big[0] wigs[0] and[0] in[0] order[0] to[0] obtain[0] the[0] info[0] they[0] seek[0] they[0] sometimes[0] have[0] to[0] provide[0] the[0] junkies[0] with[0] the[0] junk[-1] of[0] their[0] choice[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
danny has done this , and though he's a fairly honorable guy , who took the job in order to do good , his intentions have gotten a bit skewed along the way . 	danny has done this , and though he's a fairly honorable guy , who took the job in order to do good , his intentions have gotten a bit skewed along the way .	2	-1	 danny[0] has[0] done[0] this[0] and[0] though[0] he's[0] a[0] fairly[0] honorable[1] guy[0] who[0] took[0] the[0] job[0] in[0] order[0] to[0] do[0] good[1] his[0] intentions[0] have[0] gotten[0] a[0] bit[0] skewed[0] along[0] the[0] way[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
he seeks redemption and concludes that the best way to go about getting it is by talking to internal affairs who then convince him to go undercover as a " double agent " . 	he seeks redemption and concludes that the best way to go about getting it is by talking to internal affairs who then convince him to go undercover as a " double agent " .	2	-1	 he[0] seeks[0] redemption[0] and[0] concludes[0] that[0] the[0] best[1] way[0] to[0] go[0] about[0] getting[0] it[0] is[0] by[0] talking[0] to[0] internal[0] affairs[0] who[0] then[0] convince[0] him[0] to[0] go[0] undercover[0] as[0] a[0] double[0] agent[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
he does so with one condition : he will not rat on his partners . 	he does so with one condition : he will not rat on his partners .	2	-1	 he[0] does[0] so[0] with[0] one[0] condition[0] he[0] will[0] not[0] rat[-1][NegatedDueToPreviousWord] on[0] his[0] partners[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
right away we know that that is exactly what he'll have to do . 	right away we know that that is exactly what he'll have to do .	1	-1	 right[0] away[0] we[0] know[0] that[0] that[0] is[0] exactly[0] what[0] he'll[0] have[0] to[0] do[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and watching the movie build to that is thrilling in the way that any great character driven story can be . 	and watching the movie build to that is thrilling in the way that any great character driven story can be .	4	-1	 and[0] watching[0] the[0] movie[0] build[0] to[0] that[0] is[0] thrilling[3] in[0] the[0] way[0] that[0] any[0] great[2] character[0] driven[0] story[0] can[0] be[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
undercover cop films are almost innately exciting , even the kind that pull out all the cliches ( like in too deep ) . 	undercover cop films are almost innately exciting , even the kind that pull out all the cliches ( like in too deep ) .	3	-1	 undercover[0] cop[0] films[0] are[0] almost[0] innately[0] exciting[2] even[0] the[0] kind[1] that[0] pull[0] out[0] all[0] the[0] cliches[0] like[1] in[0] too[0] deep[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
how can one not be moved by the issues of betrayal , ambiguity , and the danger in putting oneself in such a risky position ? 	how can one not be moved by the issues of betrayal , ambiguity , and the danger in putting oneself in such a risky position ?	1	-3	 how[0] can[0] one[0] not[0] be[0] moved[0] by[0] the[0] issues[0] of[0] betrayal[-2] ambiguity[-1] and[0] the[0] danger[-1] in[0] putting[0] oneself[0] in[0] such[0] a[0] risky[-1] position[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
prince of the city takes all this and charges it with a perceptive , hard boiled script and taut unintrusive direction by old pro sidney lumet , as well as a handful of intense performances , most notably by treat . 	prince of the city takes all this and charges it with a perceptive , hard boiled script and taut unintrusive direction by old pro sidney lumet , as well as a handful of intense performances , most notably by treat .	2	-2	 prince[0] of[0] the[0] city[0] takes[0] all[0] this[0] and[0] charges[-1] it[0] with[0] a[0] perceptive[0] hard[0] boiled[0] script[0] and[0] taut[0] unintrusive[0] direction[0] by[0] old[0] pro[0] sidney[0] lumet[0] as[0] well[0] as[0] a[0] handful[0] of[0] intense[0] performances[0] most[0] notably[0] by[0] treat[1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
lumet's greatest contribution to the movie is how he lays back , and lets the camera soak up the action . 	lumet's greatest contribution to the movie is how he lays back , and lets the camera soak up the action .	3	-1	 lumet's[0] greatest[2] contribution[0] to[0] the[0] movie[0] is[0] how[0] he[0] lays[0] back[0] and[0] lets[0] the[0] camera[0] soak[0] up[0] the[0] action[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
his scenes transition rapidly from one to the next building layers of tension , and he rarely holds for reaction shots , instead he clicks away at precisely the moment a character stops yakking . 	his scenes transition rapidly from one to the next building layers of tension , and he rarely holds for reaction shots , instead he clicks away at precisely the moment a character stops yaking .	1	-3	 his[0] scenes[0] transition[0] rapidly[0] from[0] one[0] to[0] the[0] next[0] building[0] layers[0] of[0] tension[-2] and[0] he[0] rarely[0] holds[0] for[0] reaction[0] shots[0] instead[0] he[0] clicks[0] away[0] at[0] precisely[0] the[0] moment[0] a[0] character[0] stops[0] yakking/yaking[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
lumet's worst tendency is one that many film makers ( especially oliver stone ) tend to overuse : he relies a little too heavily on actors shouting their lines at each other presumably in order to ratchet up the tension . 	lumet's worst tendency is one that many film makers ( especially oliver stone ) tend to overuse : he relies a little too heavily on actors shouting their lines at each other presumably in order to ratchet up the tension .	1	-3	 lumet's[0] worst[-2] tendency[0] is[0] one[0] that[0] many[0] film[0] makers[0] especially[0] oliver[0] stone[0] tend[0] to[0] overuse[0] he[0] relies[0] a[0] little[0] too[0] heavily[0] on[0] actors[0] shouting[0] their[0] lines[0] at[0] each[0] other[0] presumably[0] in[0] order[0] to[0] ratchet[0] up[0] the[0] tension[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
this isn't as much a problem here as it was in night falls on manhattan , lumet's most recent cop \ lawyer endeavor , a movie that nearly gave me an ulcer from just watching . 	this isn't as much a problem here as it was in night falls on manhattan , lumet's most recent cop \ lawyer endeavor , a movie that nearly gave me an ulcer from just watching .	1	-2	 this[0] isn't[0] as[0] much[0] a[0] problem[-1] here[0] as[0] it[0] was[0] in[0] night[0] falls[0] on[0] manhattan[0] lumet's[0] most[0] recent[0] cop[0] \[0] lawyer[0] endeavor[0] a[0] movie[0] that[0] nearly[0] gave[0] me[0] an[0] ulcer[0] from[0] just[0] watching[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
though of late lumet has made several really awful career choices ( maybe he and treat should get together for a drink or something ) , the most recent a completely unnecessary remake of gloria , here he was on , sustaining tension in a film that runs for 167 minutes with not one dull spot . 	though of late lumet has made several really awful career choices ( maybe he and treat should get together for a drink or something ) , the most recent a completely unnecessary remake of gloria , here he was on , sustaining tension in a film that runs for 167 minutes with not one dull spot .	2	-5	 though[0] of[0] late[0] lumet[0] has[0] made[0] several[0] really[0] awful[-3][-1 LastWordBoosterStrength] career[0] choices[0] maybe[0] he[0] and[0] treat[1] should[0] get[0] together[0] for[0] a[0] drink[0] or[0] something[0] the[0] most[0] recent[0] a[0] completely[0] unnecessary[-1][-1 LastWordBoosterStrength] remake[0] of[0] gloria[1] here[0] he[0] was[0] on[0] sustaining[0] tension[-2] in[0] a[0] film[0] that[0] runs[0] for[0] 167[0] minutes[0] with[0] not[0] one[0] dull[-1][NegatedDueToPreviousWord] spot[0] [[Sentence=-5,2=word max, 1-5]][[[2,-5 max of sentences]]]
some of the formula pictures i like the best are the most simplistic . 	some of the formula pictures i like the best are the most simplistic .	2	-2	 some[0] of[0] the[0] formula[0] pictures[0] i[0] like[1] the[0] best[1] are[0] the[0] most[0] simplistic[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
hollywood often forgets how easy it is to make these kinds of pictures even tolerable . 	hollywood often forgets how easy it is to make these kinds of pictures even tolerable .	1	-1	 hollywood[0] often[0] forgets[0] how[0] easy[0] it[0] is[0] to[0] make[0] these[0] kinds[0] of[0] pictures[0] even[0] tolerable[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
of course cop movies aren't popular anymore ( yes buddy cop flicks are popular but those are more like extended sitcoms with gunfire amid the punch lines ) , but just look at the average hollywood action movies , flicks so bloated and full of unnecessary fat like the boring love interest that serves no purpose other than to stall the action and demonstrate that our hero isn't gay , the lame comic relief character who's never funny , and on and on . 	of course cop movies aren't popular anymore ( yes buddy cop flicks are popular but those are more like extended sitcoms with gunfire amid the punch lines ) , but just look at the average hollywood action movies , flicks so bloated and full of unnecessary fat like the boring love interest that serves no purpose other than to stall the action and demonstrate that our hero isn't gay , the lame comic relief character who's never funny , and on and on .	3	-3	 of[0] course[0] cop[0] movies[0] aren't[0] popular[0] anymore[0] yes[0] buddy[0] cop[0] flicks[0] are[0] popular[0] but[0] those[0] are[0] more[0] like[1] extended[0] sitcoms[0] with[0] gunfire[-1] amid[0] the[0] punch[-1] lines[0] but[0] just[0] look[0] at[0] the[0] average[0] hollywood[0] action[0] movies[0] flicks[0] so[0] bloated[0] and[0] full[0] of[0] unnecessary[-1] fat[-1] like[1] the[0] boring[-1] love[2] interest[1] that[0] serves[0] no[0] purpose[0] other[0] than[0] to[0] stall[0] the[0] action[0] and[0] demonstrate[0] that[0] our[0] hero[2] isn't[0] gay[-1][NegatedDueToPreviousWord] the[0] lame[-2] comic[0] relief[1] character[0] who's[0] never[0] funny[1][NegatedDueToPreviousWord] and[0] on[0] and[0] on[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
for all its moral ambiguities prince of the city is a back to the basics cop \ courtroom drama that leaves out all the crap and really thrills . 	for all its moral ambiguities prince of the city is a back to the basics cop \ courtroom drama that leaves out all the crap and really thrills .	5	-3	 for[0] all[0] its[0] moral[0] ambiguities[-1] prince[0] of[0] the[0] city[0] is[0] a[0] back[0] to[0] the[0] basics[0] cop[0] \[0] courtroom[0] drama[0] that[0] leaves[0] out[0] all[0] the[0] crap[-2] and[0] really[0] thrills[3][1 LastWordBoosterStrength] [[Sentence=-3,5=word max, 1-5]][[[5,-3 max of sentences]]]
it focuses completely on its story , and its characters all of whom are completely believable from the cops to the lawyers to the junkies . 	it focuses completely on its story , and its characters all of whom are completely believable from the cops to the lawyers to the junkies .	1	-1	 it[0] focuses[0] completely[0] on[0] its[0] story[0] and[0] its[0] characters[0] all[0] of[0] whom[0] are[0] completely[0] believable[0] from[0] the[0] cops[0] to[0] the[0] lawyers[0] to[0] the[0] junkies[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
there's a great scene early on where an irate williams shouts at an ia officer and looks as if he's about to go into one of those corny braveheart inspirational speeches , but instead he breaks down in front of the cop and begins sobbing . 	there's a great scene early on where an irate williams shouts at an ia officer and looks as if he's about to go into one of those corny braveheart inspirational speeches , but instead he breaks down in front of the cop and begins sobbing .	4	-4	 there's[0] a[0] great[2] scene[0] early[0] on[0] where[0] an[0] irate[0] williams[0] shouts[0] at[0] an[0] ia[0] officer[0] and[0] looks[0] as[0] if[0] he's[0] about[0] to[0] go[0] into[0] one[0] of[0] those[0] corny[0] braveheart[2] inspirational[2][+1 MultiplePositiveWords] speeches[0] but[0] instead[0] he[0] breaks[0] down[0] in[0] front[0] of[0] the[0] cop[0] and[0] begins[0] sobbing[-3] [[Sentence=-4,4=word max, 1-5]][[[4,-4 max of sentences]]]
this is a scene that would never make it into a michael bay film ( even though bruce willis sacrifices his life at the end of armageddon , not one damn tear ) it would be cut out because the director would say oh that makes him too human , excuse me , weak . 	this is a scene that would never make it into a michael bay film ( even though bruce willis sacrifices his life at the end of armageddon , not one damn tear ) it would be cut out because the director would say oh that makes him too human , excuse me , weak .	2	-2	 this[0] is[0] a[0] scene[0] that[0] would[0] never[0] make[0] it[0] into[0] a[0] michael[0] bay[0] film[0] even[0] though[0] bruce[0] willis[0] sacrifices[0] his[0] life[0] at[0] the[0] end[0] of[0] armageddon[0] not[0] one[0] damn[-1][NegatedDueToPreviousWord] tear[-1] it[0] would[0] be[0] cut[0] out[0] because[0] the[0] director[0] would[0] say[0] oh[0] that[0] makes[0] him[0] too[0] human[0] excuse[0] me[0] weak[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
in the very next scene danny speaks in a hushed raspiness , straining to get the words out . 	in the very next scene danny speaks in a hushed raspiness , straining to get the words out .	1	-2	 in[0] the[0] very[0] next[0] scene[0] danny[0] speaks[0] in[0] a[0] hushed[0] raspiness[0] straining[-1] to[0] get[0] the[0] words[0] out[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
he's lost his voice . 	he's lost his voice .	1	-1	 he's[0] lost[0] his[0] voice[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
does that little itty bitty detail matter ? 	does that little itty bitty detail matter ?	1	-1	 does[0] that[0] little[0] itty[0] bitty[0] detail[0] matter[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
maybe not to most , but it sure made my night . 	maybe not to most , but it sure made my night .	1	-1	 maybe[0] not[0] to[0] most[0] but[0] it[0] sure[0] made[0] my[0] night[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
