i don't know how many other people have had the idea cross their mind that their life could be an ongoing television show watched by another world of people , but it's something i used to wonder about when i was younger . 	Translation	Positive	Negative	EmotionRationale
it begins with jim carrey looking into a mirror , reciting the crucial " eat me " scene from alive , wishing his neighbors a good day , afternoon and evening , and living in domestic bliss with his wife ( laura linney ) . 	it begins with jim carrey looking into a mirror , reciting the crucial " eat me " scene from alive , wishing his neighbors a good day , afternoon and evening , and living in domestic bliss with his wife ( laura linney ) .	5	-1	 it[0] begins[0] with[0] jim[0] carrey[0] looking[0] into[0] a[0] mirror[0] reciting[0] the[0] crucial[0] eat[0] me[0] scene[0] from[0] alive[0] wishing[0] his[0] neighbors[0] a[0] good[1] day[0] afternoon[0] and[0] evening[0] and[0] living[0] in[0] domestic[0] bliss[4] with[0] his[0] wife[0] laura[0] linney[0] [[Sentence=-1,5=word max, 1-5]][[[5,-1 max of sentences]]]
but weird things start happening . 	but weird things start happening .	1	-2	 but[0] weird[-1] things[0] start[0] happening[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
a stage light comes falling out of the sky , truman hears people tracking his movements on the radio and he swears he sees his dead father . 	a stage light comes falling out of the sky , truman hears people tracking his movements on the radio and he swears he sees his dead father .	1	-3	 a[0] stage[0] light[0] comes[0] falling[0] out[0] of[0] the[0] sky[0] truman[0] hears[0] people[0] tracking[0] his[0] movements[0] on[0] the[0] radio[0] and[0] he[0] swears[0] he[0] sees[0] his[0] dead[-2] father[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
we learn through a flashback that his father drowned when truman was a child , sailing through a rainstorm . 	we learn through a flashback that his father drowned when truman was a child , sailing through a rainstorm .	1	-2	 we[0] learn[0] through[0] a[0] flashback[0] that[0] his[0] father[0] drowned[-1] when[0] truman[0] was[0] a[0] child[0] sailing[0] through[0] a[0] rainstorm[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the death was staged by director christof ( ed harris ) , who wanted to put a fear of water into truman to keep him from leaving the island . 	the death was staged by director christof ( ed harris ) , who wanted to put a fear of water into truman to keep him from leaving the island .	1	-4	 the[0] death[-2] was[0] staged[0] by[0] director[0] christof[0] ed[0] harris[0] who[0] wanted[0] to[0] put[0] a[0] fear[-3] of[0] water[0] into[0] truman[0] to[0] keep[0] him[0] from[0] leaving[0] the[0] island[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
similar cruel manipulations keep him from stumbling upon the truth , not the least of them truman's best friend marlon ( noah emmerich ) , who assures him he's not in on any conspiracy because the last thing he'd ever do is hurt him . 	similar cruel manipulations keep him from stumbling upon the truth , not the least of them truman's best friend marlon ( noah emmerich ) , who assures him he's not in on any conspiracy because the last thing he'd ever do is hurt him .	2	-4	 similar[0] cruel[-3] manipulations[-1] keep[0] him[0] from[0] stumbling[0] upon[0] the[0] truth[1] not[0] the[0] least[0] of[0] them[0] truman's[0] best[1] friend[1] marlon[0] noah[0] emmerich[0] who[0] assures[0] him[0] he's[0] not[0] in[0] on[0] any[0] conspiracy[-1] because[0] the[0] last[0] thing[0] he'd[0] ever[0] do[0] is[0] hurt[-2] him[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
as truman's trusting eyes tear over , christof fades up emotional synthesizer music for a worldwide audience of people who apparently never watch anything else . 	as truman's trusting eyes tear over , christof fades up emotional synthesizer music for a worldwide audience of people who apparently never watch anything else .	2	-2	 as[0] truman's[0] trusting[1] eyes[0] tear[-1] over[0] christof[0] fades[0] up[0] emotional[-1] synthesizer[0] music[0] for[0] a[0] worldwide[0] audience[0] of[0] people[0] who[0] apparently[0] never[0] watch[0] anything[0] else[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
there's even a daily behind-the-scenes update from harry shearer that captures the highlights of truman's existence . 	there's even a daily behind-the-scenes update from harry shearer that captures the highlights of truman's existence .	1	-2	 there's[0] even[0] a[0] daily[0] behind[0] the[0] scenes[0] update[0] from[0] harry[0] shearer[0] that[0] captures[-1] the[0] highlights[0] of[0] truman's[0] existence[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the key to a movie like this is in finding the right balance between humor and drama , because a premise like this has its obvious implications in both directions . 	the key to a movie like this is in finding the right balance between humor and drama , because a premise like this has its obvious implications in both directions .	3	-1	 the[0] key[0] to[0] a[0] movie[0] like[1] this[0] is[0] in[0] finding[0] the[0] right[0] balance[0] between[0] humor[2] and[0] drama[0] because[0] a[0] premise[0] like[1] this[0] has[0] its[0] obvious[0] implications[0] in[0] both[0] directions[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
and it all hinges on carrey , who has to balance comic naivet with a real sense of longing and drive to find out what the hell is going on . 	and it all hinges on carrey , who has to balance comic naivet with a real sense of longing and drive to find out what the hell is going on .	1	-3	 and[0] it[0] all[0] hinges[0] on[0] carrey[0] who[0] has[0] to[0] balance[0] comic[0] naivet[-1] with[0] a[0] real[0] sense[0] of[0] longing[-2] and[0] drive[0] to[0] find[0] out[0] what[0] the[0] hell[-1] is[0] going[0] on[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
he's come a long way from talking butt cheeks in ace ventura . 	he's come a long way from talking butt cheeks in ace ventura .	1	-1	 he's[0] come[0] a[0] long[0] way[0] from[0] talking[0] butt[0] cheeks[0] in[0] ace[0] ventura[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
most fundamentally , it's just plain interesting to follow along as director peter weir shows us just how they can capture a person's life without the person realizing it -- how they coordinate extras , hide cameras and feed automatic lines to actors . 	most fundamentally , it's just plain interesting to follow along as director peter weir shows us just how they can capture a person's life without the person realizing it - how they coordinate extras , hide cameras and feed automatic lines to actors .	2	-2	 most[0] fundamentally[0] it's[0] just[0] plain[0] interesting[1] to[0] follow[0] along[0] as[0] director[0] peter[0] weir[0] shows[0] us[0] just[0] how[0] they[0] can[0] capture[-1] a[0] person's[0] life[0] without[0] the[0] person[0] realizing[0] it[0] how[0] they[0] coordinate[0] extras[0] hide[0] cameras[0] and[0] feed[0] automatic[0] lines[0] to[0] actors[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the most interesting thing about the truman show is that most of us can probably imagine some ambitious director pitching a show like this . 	the most interesting thing about the truman show is that most of us can probably imagine some ambitious director pitching a show like this .	2	-1	 the[0] most[0] interesting[1] thing[0] about[0] the[0] truman[0] show[0] is[0] that[0] most[0] of[0] us[0] can[0] probably[0] imagine[0] some[0] ambitious[0] director[0] pitching[0] a[0] show[0] like[1] this[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
sure , the most interesting tv genre of the '90s has been reality programming and jerry springer's popularity is through the roof , but those people deserve to be humiliated for turning their intimate details over to the airwaves . 	sure , the most interesting tv genre of the '90s has been reality programming and jerry springer's popularity is through the roof , but those people deserve to be humiliated for turning their intimate details over to the airwaves .	2	-4	 sure[0] the[0] most[0] interesting[1] tv[0] genre[0] of[0] the[0] '90s[0] has[0] been[0] reality[0] programming[0] and[0] jerry[0] springer's[0] popularity[1] is[0] through[0] the[0] roof[0] but[0] those[0] people[0] deserve[0] to[0] be[0] humiliated[-3] for[0] turning[0] their[0] intimate[0] details[0] over[0] to[0] the[0] airwaves[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
and when news shows use hidden cameras , it's done in the name of the greater good , not entertainment . 	and when news shows use hidden cameras , it's done in the name of the greater good , not entertainment .	3	-1	 and[0] when[0] news[0] shows[0] use[0] hidden[0] cameras[0] it's[0] done[0] in[0] the[0] name[0] of[0] the[0] greater[2] good[1] not[0] entertainment[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
but merge the two and you've got the truman show . 	but merge the two and you've got the truman show .	1	-1	 but[0] merge[0] the[0] two[0] and[0] you've[0] got[0] the[0] truman[0] show[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
right now , it's implausible -- i mean , the fcc won't let you say the s-word on the air ; do you think they'd let you broadcast every detail of a man's life to the entire world without his consent ? 	right now , it's implausible - i mean , the fc won't let you say the s-word on the air ; do you think they'd let you broadcast every detail of a man's life to the entire world without his consent ?	1	-1	 right[0] now[0] it's[0] implausible[0] i[0] mean[0] the[0] fcc/fc[0] won't[0] let[0] you[0] say[0] the[0] s[0] word[0] on[0] the[0] air[0] do[0] you[0] think[0] they'd[0] let[0] you[0] broadcast[0] every[0] detail[0] of[0] a[0] man's[0] life[0] to[0] the[0] entire[0] world[0] without[0] his[0] consent[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
one day , though , it could happen . 	one day , though , it could happen .	1	-1	 one[0] day[0] though[0] it[0] could[0] happen[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and , even though it would mean the end of privacy , people would eat it up . 	and , even though it would mean the end of privacy , people would eat it up .	1	-1	 and[0] even[0] though[0] it[0] would[0] mean[0] the[0] end[0] of[0] privacy[0] people[0] would[0] eat[0] it[0] up[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
you know they would . 	you know they would .	1	-1	 you[0] know[0] they[0] would[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
