'contact' shows why jodie foster is one of our best actresses . 	Translation	Positive	Negative	EmotionRationale
everything else was very one-sided ( e . g . 	everything else was very one-sided ( e .<br> grin� .	1	-1	 everything[0] else[0] was[0] very[0] one[0] sided[0] e[0] [[Sentence=-1,1=word max, 1-5]] g[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
foster ) . 	foster ) .	1	-1	 foster[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
lowe can stand up to foster and it showed in that scene at the cabinet table . 	lowe can stand up to foster and it showed in that scene at the cabinet table .	1	-2	 lowe[-1] can[0] stand[0] up[0] to[0] foster[0] and[0] it[0] showed[0] in[0] that[0] scene[0] at[0] the[0] cabinet[0] table[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the core scene of the movie is set on a surrealistic beach on a far-away world in the starsystem of vega . 	the core scene of the movie is set on a surrealistic beach on a far-away world in the starsystem of vega .	1	-1	 the[0] core[0] scene[0] of[0] the[0] movie[0] is[0] set[0] on[0] a[0] surrealistic[0] beach[0] on[0] a[0] far[0] away[0] world[0] in[0] the[0] starsystem[0] of[0] vega[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it feels a lot like science fiction writer john varley's scenes in his book steel beach , where the female protagonists encounters an immensely superior intelligence , in one case a computer manufactured by mankind itself , and in foster's case , an illusion drawn from her memory . 	it feels a lot like science fiction writer john varley's scenes in his book steel beach , where the female protagonists encounters an immensely superior intelligence , in one case a computer manufactured by mankind itself , and in foster's case , an illusion drawn from her memory .	3	-1	 it[0] feels[0] a[0] lot[0] like[1] science[0] fiction[0] writer[0] john[0] varley's[0] scenes[0] in[0] his[0] book[0] steel[0] beach[0] where[0] the[0] female[0] protagonists[0] encounters[0] an[0] immensely[0] superior[2] intelligence[0] in[0] one[0] case[0] a[0] computer[0] manufactured[0] by[0] mankind[0] itself[0] and[0] in[0] foster's[0] case[0] an[0] illusion[0] drawn[0] from[0] her[0] memory[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
in another sense , this immensely moving scene evokes gene roddenberry's star trek pilot the cage , later the menagerie , when jeffrey hunter and susan oliver have their memories manipulated to create new worlds in which they live and encounter aliens . 	in another sense , this immensely moving scene evokes gene roddenberry's star trek pilot the cage , later the menagerie , when jeffrey hunter and susan oliver have their memories manipulated to create new worlds in which they live and encounter aliens .	1	-2	 in[0] another[0] sense[0] this[0] immensely[0] moving[0] scene[0] evokes[0] gene[0] roddenberry's[0] star[0] trek[0] pilot[0] the[0] cage[0] later[0] the[0] menagerie[0] when[0] jeffrey[0] hunter[-1] and[0] susan[0] oliver[0] have[0] their[0] memories[0] manipulated[-1] to[0] create[0] new[0] worlds[0] in[0] which[0] they[0] live[0] and[0] encounter[0] aliens[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the concept is not new , by any sense , in the world of science fiction . 	the concept is not new , by any sense , in the world of science fiction .	1	-1	 the[0] concept[0] is[0] not[0] new[0] by[0] any[0] sense[0] in[0] the[0] world[0] of[0] science[0] fiction[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but the beach scene , which is the centerpiece of the film , as is the whole film , is driven by foster . 	but the beach scene , which is the centerpiece of the film , as is the whole film , is driven by foster .	1	-1	 but[0] the[0] beach[0] scene[0] which[0] is[0] the[0] centerpiece[0] of[0] the[0] film[0] as[0] is[0] the[0] whole[0] film[0] is[0] driven[0] by[0] foster[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
freed from her needs to direct by director zemecki , foster is able to let it all hang out in the characterization and the lead she provides to her supporting cast . 	freed from her needs to direct by director zemecki , foster is able to let it all hang out in the characterization and the lead she provides to her supporting cast .	2	-2	 freed[0] from[0] her[0] needs[0] to[0] direct[0] by[0] director[0] zemecki[0] foster[0] is[0] able[0] to[0] let[0] it[0] all[0] hang[-1] out[0] in[0] the[0] characterization[0] and[0] the[0] lead[0] she[0] provides[0] to[0] her[0] supporting[1] cast[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
as the movie gains speed , foster's acting intensifies and the audience really does experience it with her . 	as the movie gains speed , foster's acting intensifies and the audience really does experience it with her .	1	-1	 as[0] the[0] movie[0] gains[0] speed[0] foster's[0] acting[0] intensifies[0] and[0] the[0] audience[0] really[0] does[0] experience[0] it[0] with[0] her[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it is certainly oscar-caliber acting , unquestionably . 	it is certainly oscar-caliber acting , unquestionably .	1	-1	 it[0] is[0] certainly[0] oscar[0] caliber[0] acting[0] unquestionably[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the supporting cast does well and zemeckis throws in some humor with some president clinton cameos , cleverly manipulated , george stephanopolus-style , to seem very forrest gump . 	the supporting cast does well and zemeckis throws in some humor with some president clinton cameos , cleverly manipulated , george stephanopolus-style , to seem very forest gump .	2	-2	 the[0] supporting[1] cast[0] does[0] well[0] and[0] zemeckis[0] throws[0] in[0] some[0] humor[2][-1 LastWordBoosterStrength] with[0] some[0] president[0] clinton[0] cameos[0] cleverly[0] manipulated[-1] george[0] stephanopolus[0] style[0] to[0] seem[0] very[0] forrest/forest[0] gump[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
in fact , zemeckis et . 	in fact , zemeckis et .	1	-1	 in[0] fact[0] zemeckis[0] et[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
al . 	al .	1	-1	 al[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
got in trouble for the usage of some of the footage seen in the movie , vis a vis clinton . 	got in trouble for the usage of some of the footage seen in the movie , vis a vis clinton .	1	-2	 got[0] in[0] trouble[-1] for[0] the[0] usage[0] of[0] some[0] of[0] the[0] footage[0] seen[0] in[0] the[0] movie[0] vis[0] a[0] vis[0] clinton[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
but the audience i attended this movie with just had some good chuckles at clinton's walk-ons . 	but the audience i attended this movie with just had some good chuckles at clinton's walk-ons .	3	-1	 but[0] the[0] audience[0] i[0] attended[0] this[0] movie[0] with[0] just[0] had[0] some[0] good[1][-1 LastWordBoosterStrength] chuckles[2] at[0] clinton's[0] walk[0] ons[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the much-discussed tension between science and religion in this movie is not particularly insightful to those who have already gone through this course though it is helpful to those in the audience who have not . 	the much-discussed tension between science and religion in this movie is not particularly insightful to those who have already gone through this course though it is helpful to those in the audience who have not .	2	-3	 the[0] much[0] discussed[0] tension[-2] between[0] science[0] and[0] religion[0] in[0] this[0] movie[0] is[0] not[0] particularly[0] insightful[0] to[0] those[0] who[0] have[0] already[0] gone[0] through[0] this[0] course[0] though[0] it[0] is[0] helpful[1] to[0] those[0] in[0] the[0] audience[0] who[0] have[0] not[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
also , the near-final scene , in a senate judiciary hearing room is disappointing . 	also , the near-final scene , in a senate judiciary hearing room is disappointing .	1	-2	 also[0] the[0] near[0] final[0] scene[0] in[0] a[0] senate[0] judiciary[0] hearing[0] room[0] is[0] disappointing[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
contact is a fitting memorial to the memory of carl sagan , science popularizer , and sometime pedantic gadfly of the halls of academe . 	contact is a fitting memorial to the memory of carl sagan , science popularizer , and sometime pedantic gadfly of the halls of academe .	1	-2	 contact[0] is[0] a[0] fitting[0] memorial[0] to[0] the[0] memory[0] of[0] carl[0] sagan[-1] science[0] popularizer[0] and[0] sometime[0] pedantic[0] gadfly[0] of[0] the[0] halls[0] of[0] academe[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
perhaps now , sagan can be said to be with his dragons of eden . 	perhaps now , sagan can be said to be with his dragons of eden .	1	-2	 perhaps[0] now[0] sagan[-1] can[0] be[0] said[0] to[0] be[0] with[0] his[0] dragons[0] of[0] eden[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
