like the wonderful 1990 drama , " awakenings , " starring robin williams and robert de niro , " at first sight , " directed by irwin winkler , is inspired by a true story documented by physicfirst sight , " directed by irwin winkler , is inspired by a true story documented by physician oliver sacks . 	Translation	Positive	Negative	EmotionRationale
however , what helps " at first sight " rise above this predictability is in the mature and intelligent relationship that develops between virgil and amy . 	however , what helps " at first sight " rise above this predictability is in the mature and intelligent relationship that develops between virgil and amy .	2	-1	 however[0] what[0] helps[0] at[0] first[0] sight[0] rise[0] above[0] this[0] predictability[0] is[0] in[0] the[0] mature[0] and[0] intelligent[1] relationship[0] that[0] develops[0] between[0] virgil[0] and[0] amy[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
usually , romantic pictures are of the shameless puppy-dog sort ( the recent tom hanks/meg ryan-starrer " you've got mail " immediately pops to mind ) , but with this film , i grew to care more about the characters and their plight . 	usually , romantic pictures are of the shameless puppy-dog sort ( the recent tom hanks/meg ryan-starer " you've got mail " immediately pops to mind ) , but with this film , i grew to care more about the characters and their plight .	4	-3	 usually[0] romantic[3] pictures[0] are[0] of[0] the[0] shameless[-2] puppy[0] dog[0] sort[0] the[0] recent[0] tom[0] hanks/meg[0] ryan[0] starrer/starer[0] you've[0] got[0] mail[0] immediately[0] pops[0] to[0] mind[0] but[0] with[0] this[0] film[0] i[0] grew[0] to[0] care[1] more[0] about[0] the[0] characters[0] and[0] their[0] plight[-1] [[Sentence=-3,4=word max, 1-5]][[[4,-3 max of sentences]]]
the film starts off noticably well as amy travels up north and first meets virgil . 	the film starts off noticably well as amy travels up north and first meets virgil .	1	-1	 the[0] film[0] starts[0] off[0] noticably[0] well[0] as[0] amy[0] travels[0] up[0] north[0] and[0] first[0] meets[0] virgil[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the massaging sequences were strangely erotic , maybe even more so than the later actual " love scenes , " and as their romantic involvement quickly developed , the film was both entertaining and sweet , and there was clearly a lot of chemistry between the two . 	the massaging sequences were strangely erotic , maybe even more so than the later actual " love scenes , " and as their romantic involvement quickly developed , the film was both entertaining and sweet , and there was clearly a lot of chemistry between the two .	4	-1	 the[0] massaging[0] sequences[0] were[0] strangely[0] erotic[0] maybe[0] even[0] more[0] so[0] than[0] the[0] later[0] actual[0] love[2] scenes[0] and[0] as[0] their[0] romantic[3] involvement[0] quickly[0] developed[0] the[0] film[0] was[0] both[0] entertaining[0] and[0] sweet[1] and[0] there[0] was[0] clearly[0] a[0] lot[0] of[0] chemistry[0] between[0] the[0] two[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
these joyous moments early on balanced out well with the later scenes in which their relationship is seriously tested due to a contrast in the life styles that they have always known , with virgil completely used to being blind and having a comforting , peaceful life in the country to amy's eventful life in the " big city . " 	these joyous moments early on balanced out well with the later scenes in which their relationship is seriously tested due to a contrast in the life styles that they have always known , with virgil completely used to being blind and having a comforting , peaceful life in the country to amy's eventful life in the " big city .<br> "	3	-2	 these[0] joyous[2] moments[0] early[0] on[0] balanced[0] out[0] well[0] with[0] the[0] later[0] scenes[0] in[0] which[0] their[0] relationship[0] is[0] seriously[0] tested[0] due[0] to[0] a[0] contrast[0] in[0] the[0] life[0] styles[0] that[0] they[0] have[0] always[0] known[0] with[0] virgil[0] completely[0] used[0] to[0] being[0] blind[-1] and[0] having[0] a[0] comforting[1] peaceful[0] life[0] in[0] the[0] country[0] to[0] amy's[0] eventful[0] life[0] in[0] the[0] big[0] city[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
the other major compliment that must be given to the film are the nearly flawless performances across the board . 	the other major compliment that must be given to the film are the nearly flawless performances across the board .	2	-1	 the[0] other[0] major[0] compliment[1] that[0] must[0] be[0] given[0] to[0] the[0] film[0] are[0] the[0] nearly[0] flawless[1] performances[0] across[0] the[0] board[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
val kilmer , usually cast in the " macho " type of role , was always believable as a blind person , and playing his character was probably a little more tricky than it appears . 	val kilmer , usually cast in the " macho " type of role , was always believable as a blind person , and playing his character was probably a little more tricky than it appears .	2	-2	 val[0] kilmer[0] usually[0] cast[0] in[0] the[0] macho[0] type[0] of[0] role[0] was[0] always[0] believable[0] as[0] a[0] blind[-1] person[0] and[0] playing[1] his[0] character[0] was[0] probably[0] a[0] little[0] more[0] tricky[-1] than[0] it[0] appears[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
it was up to kilmer to not come off as someone to pity , but to sympathize with , and he pulled it off . 	it was up to kilmer to not come off as someone to pity , but to sympathize with , and he pulled it off .	1	-2	 it[0] was[0] up[0] to[0] kilmer[0] to[0] not[0] come[0] off[0] as[0] someone[0] to[0] pity[-1] but[0] to[0] sympathize[0] with[0] and[0] he[0] pulled[0] it[0] off[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
mira sorvino , who made a spectacular debuting splash in 1995's hilarious woody allen comedy , " mighty aphrodite , " for which she won a well-deserved oscar as a kind-hearted , but ditzy hooker , is a standout here . 	mira sorvino , who made a spectacular debuting splash in 1995's hilarious woody allen comedy , " mighty aphrodite , " for which she won a well-deserved oscar as a kind-hearted , but ditzy hooker , is a standout here .	3	-1	 mira[0] sorvino[0] who[0] made[0] a[0] spectacular[0] debuting[0] splash[0] in[0] 1995's[0] hilarious[2] woody[0] allen[0] comedy[0] mighty[0] aphrodite[0] for[0] which[0] she[0] won[0] a[0] well[0] deserved[0] oscar[0] as[0] a[0] kind[1] hearted[0] but[0] ditzy[0] hooker[0] is[0] a[0] standout[0] here[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
although she has made some mediocre film choices since then ( 1997's " mimic , " 1998's " the replacement killers " ) , she always has managed to come out unscathed , and it is with " at first sight " that she finally has another juicy role to play . 	although she has made some mediocre film choices since then ( 1997's " mimic , " 1998's " the replacement killers " ) , she always has managed to come out unscathed , and it is with " at first sight " that she finally has another juicy role to play .	1	-1	 although[0] she[0] has[0] made[0] some[0] mediocre[-1][--1 LastWordBoosterStrength] film[0] choices[0] since[0] then[0] 1997's[0] mimic[0] 1998's[0] the[0] replacement[0] killers[0] she[0] always[0] has[0] managed[0] to[0] come[0] out[0] unscathed[0] and[0] it[0] is[0] with[0] at[0] first[0] sight[0] that[0] she[0] finally[0] has[0] another[0] juicy[0] role[0] to[0] play[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in a truthful climactic scene set in amy's apartment between she and virgil , sorvino proves to be one of the most gifted young actresses around today , and has a flare for both comedic and dramatic pieces . 	in a truthful climactic scene set in amy's apartment between she and virgil , sorvino proves to be one of the most gifted young actresses around today , and has a flare for both comedic and dramatic pieces .	2	-1	 in[0] a[0] truthful[1] climactic[0] scene[0] set[0] in[0] amy's[0] apartment[0] between[0] she[0] and[0] virgil[0] sorvino[0] proves[0] to[0] be[0] one[0] of[0] the[0] most[0] gifted[0] young[0] actresses[0] around[0] today[0] and[0] has[0] a[0] flare[0] for[0] both[0] comedic[0] and[0] dramatic[0] pieces[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
kelly mcgillis , who could have easily come off as the " bad , " one-dimensional sister , instead is also given an unexpectedly multifaceted character to play as a woman who may be overly protective but simply cares for her brother . 	kelly mcgillis , who could have easily come off as the " bad , " one-dimensional sister , instead is also given an unexpectedly multifaceted character to play as a woman who may be overly protective but simply cares for her brother .	2	-2	 kelly[0] mcgillis[0] who[0] could[0] have[0] easily[0] come[0] off[0] as[0] the[0] bad[-1] one[0] dimensional[0] sister[0] instead[0] is[0] also[0] given[0] an[0] unexpectedly[-1] multifaceted[0] character[0] to[0] play[0] as[0] a[0] woman[0] who[0] may[0] be[0] overly[0] protective[0] but[0] simply[0] cares[1] for[0] her[0] brother[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
finally , nathan lane , who is usually a little too over-the-top , is appropriately restrained as a vision therapist . 	finally , nathan lane , who is usually a little too over-the-top , is appropriately restrained as a vision therapist .	1	-1	 finally[0] nathan[0] lane[0] who[0] is[0] usually[0] a[0] little[0] too[0] over[0] the[0] top[0] is[0] appropriately[0] restrained[0] as[0] a[0] vision[0] therapist[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the one misstep of " at first sight " is in its treatment of the medical procedure done on virgil . 	the one misstep of " at first sight " is in its treatment of the medical procedure done on virgil .	1	-1	 the[0] one[0] misstep[0] of[0] at[0] first[0] sight[0] is[0] in[0] its[0] treatment[0] of[0] the[0] medical[0] procedure[0] done[0] on[0] virgil[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
very little is ever said or discussed concerning it , and when the surgery occurs , it is so briefly glimpsed at that it is impossible to see what is being done to his eyes . 	very little is ever said or discussed concerning it , and when the surgery occurs , it is so briefly glimpsed at that it is impossible to see what is being done to his eyes .	1	-2	 very[0] little[0] is[0] ever[0] said[0] or[0] discussed[0] concerning[-1] it[0] and[0] when[0] the[0] surgery[0] occurs[0] it[0] is[0] so[0] briefly[0] glimpsed[0] at[0] that[0] it[0] is[0] impossible[0] to[0] see[0] what[0] is[0] being[0] done[0] to[0] his[0] eyes[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
perhaps the reason this aspect of the film was not more in-depth was that the makers were afraid it would gross out audiences , but i would personally take realism , even if it is graphic , any day over simply giving the explanation of the surgery the cold shoulder . 	perhaps the reason this aspect of the film was not more in-depth was that the makers were afraid it would gross out audiences , but i would personally take realism , even if it is graphic , any day over simply giving the explanation of the surgery the cold shoulder .	1	-4	 perhaps[0] the[0] reason[0] this[0] aspect[0] of[0] the[0] film[0] was[0] not[0] more[0] in[0] depth[0] was[0] that[0] the[0] makers[0] were[0] afraid[-3] it[0] would[0] gross[-1][--1 LastWordBoosterStrength] out[0] audiences[0] but[0] i[0] would[0] personally[0] take[0] realism[0] even[0] if[0] it[0] is[0] graphic[0] any[0] day[0] over[0] simply[0] giving[0] the[0] explanation[0] of[0] the[0] surgery[0] the[0] cold[-1] shoulder[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
in " awakenings , " the patients and illness were far more satisfyingly portrayed . 	in " awakenings , " the patients and illness were far more satisfyingly portrayed .	2	-2	 in[0] awakenings[0] the[0] patients[0] and[0] illness[-1] were[0] far[0] more[0] satisfyingly[1] portrayed[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
because of how strong the screenplay , written by steve levitt , is in the way it deals with the main relationship , and because of the fabulous performances from kilmer and sorvino , the film's few problems can be swept over to the side . 	because of how strong the screenplay , written by steve levitt , is in the way it deals with the main relationship , and because of the fabulous performances from kilmer and sorvino , the film's few problems can be swept over to the side .	3	-2	 because[0] of[0] how[0] strong[0] the[0] screenplay[0] written[0] by[0] steve[0] levitt[0] is[0] in[0] the[0] way[0] it[0] deals[0] with[0] the[0] main[0] relationship[0] and[0] because[0] of[0] the[0] fabulous[2] performances[0] from[0] kilmer[0] and[0] sorvino[0] the[0] film's[0] few[0] problems[-1] can[0] be[0] swept[0] over[0] to[0] the[0] side[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
the adult way that the romance is depicted by director irwin winkler is , no doubt , in respect to the real-life couple that the film was inspired by , who are still together after many years ( even though the setting of the film was changed to new york ) . 	the adult way that the romance is depicted by director irwin winkler is , no doubt , in respect to the real-life couple that the film was inspired by , who are still together after many years ( even though the setting of the film was changed to new york ) .	4	-2	 the[0] adult[0] way[0] that[0] the[0] romance[3] is[0] depicted[0] by[0] director[0] irwin[0] winkler[0] is[0] no[0] doubt[-1] in[0] respect[2] to[0] the[0] real[0] life[0] couple[0] that[0] the[0] film[0] was[0] inspired[2] by[0] who[0] are[0] still[0] together[0] after[0] many[0] years[0] even[0] though[0] the[0] setting[0] of[0] the[0] film[0] was[0] changed[0] to[0] new[0] york[0] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
since january is usually the time of year that is known as the dumping ground from bad movies , " at first sight " comes as a refreshing and sophisticated change of pace . 	since january is usually the time of year that is known as the dumping ground from bad movies , " at first sight " comes as a refreshing and sophisticated change of pace .	1	-2	 since[0] january[0] is[0] usually[0] the[0] time[0] of[0] year[0] that[0] is[0] known[0] as[0] the[0] dumping[-1] ground[0] from[0] bad[-1] movies[0] at[0] first[0] sight[0] comes[0] as[0] a[0] refreshing[0] and[0] sophisticated[0] change[0] of[0] pace[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
