you've got to think twice before you go see a movie with a title like maximum risk . 	Translation	Positive	Negative	EmotionRationale
he finds that michael had booked a flight to new york city , and received a message from someone there named alex bohemia . 	he finds that michael had booked a flight to new york city , and received a message from someone there named alex bohemia .	1	-1	 he[0] finds[0] that[0] michael[0] had[0] booked[0] a[0] flight[0] to[0] new[0] york[0] city[0] and[0] received[0] a[0] message[0] from[0] someone[0] there[0] named[0] alex[0] bohemia[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
assuming michael's identity , alain flies to new york and gets tangled up with michael's girlfriend ( natasha henstridge ) , the fbi , and the russian mob in little odessa . 	assuming michael's identity , alain flies to new york and gets tangled up with michael's girlfriend ( natasha henstridge ) , the fbi , and the russian mob in little odessa .	1	-1	 assuming[0] michael's[0] identity[0] alain[0] flies[0] to[0] new[0] york[0] and[0] gets[0] tangled[0] up[0] with[0] michael's[0] girlfriend[0] natasha[0] henstridge[0] the[0] fbi[0] and[0] the[0] russian[0] mob[0] in[0] little[0] odessa[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
that's as much as you need to know . 	that's as much as you need to know .	1	-1	 that's[0] as[0] much[0] as[0] you[0] need[0] to[0] know[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the story is adequate , but not overly involving -- and the major plot points are basically explained to you twice , just in case you go out for popcorn at the wrong moment . 	the story is adequate , but not overly involving - and the major plot points are basically explained to you twice , just in case you go out for popcorn at the wrong moment .	1	-2	 the[0] story[0] is[0] adequate[0] but[0] not[0] overly[0] involving[0] and[0] the[0] major[0] plot[0] points[0] are[0] basically[0] explained[0] to[0] you[0] twice[0] just[0] in[0] case[0] you[0] go[0] out[0] for[0] popcorn[0] at[0] the[0] wrong[-1] moment[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
there's a love story , too , but i didn't find it terribly convincing , partly because ex-model henstridge is too high-strung in her high-profile debut ( she had precious few lines as the alien ice queen in species ) . 	there's a love story , too , but i didn't find it terribly convincing , partly because ex-model henstridge is too high-strung in her high-profile debut ( she had precious few lines as the alien ice queen in species ) .	3	-4	 there's[0] a[0] love[2] story[0] too[0] but[0] i[0] didn't[0] find[0] it[0] terribly[-3] convincing[0] partly[0] because[0] ex[0] model[0] henstridge[0] is[0] too[0] high[0] strung[0] in[0] her[0] high[0] profile[0] debut[0] she[0] had[0] precious[2] few[0] lines[0] as[0] the[0] alien[-1] ice[0] queen[0] in[0] species[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
she's great to look at , and she can certainly read a line , but what she does here can't really be described as " acting . " 	she's great to look at , and she can certainly read a line , but what she does here can't really be described as " acting .<br> "	3	-1	 she's[0] great[2] to[0] look[0] at[0] and[0] she[0] can[0] certainly[0] read[0] a[0] line[0] but[0] what[0] she[0] does[0] here[0] can't[0] really[0] be[0] described[0] as[0] acting[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
of course , " acting " isn't really what she was hired for ( i lost track of whether her shirt comes off more often than van damme's ) . 	of course , " acting " isn't really what she was hired for ( i lost track of whether her shirt comes off more often than van damme's ) .	1	-1	 of[0] course[0] acting[0] isn't[0] really[0] what[0] she[0] was[0] hired[0] for[0] i[0] lost[0] track[0] of[0] whether[0] her[0] shirt[0] comes[0] off[0] more[0] often[0] than[0] van[0] damme's[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the movie is exceptionally violent , bordering on gratuity . 	the movie is exceptionally violent , bordering on gratuity .	1	-3	 the[0] movie[0] is[0] exceptionally[0] violent[-2] bordering[0] on[0] gratuity[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
 ( keep that in mind when planning your date . ) 	 ( keep that in mind when planning your date .<br> )	1	-1	 keep[0] that[0] in[0] mind[0] when[0] planning[0] your[0] date[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the stunts are spectacular , and the fact that you can spot van damme's stand-in makes his work no less impressive . 	the stunts are spectacular , and the fact that you can spot van damme's stand-in makes his work no less impressive .	2	-1	 the[0] stunts[0] are[0] spectacular[0] and[0] the[0] fact[0] that[0] you[0] can[0] spot[0] van[0] damme's[0] stand[0] in[0] makes[0] his[0] work[0] no[0] less[0] impressive[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
there's only so much you can do with a car wreck , but this movie makes crisp , effective use of pile-ups in a handful of frenzied destruction derbies . 	there's only so much you can do with a car wreck , but this movie makes crisp , effective use of pile-ups in a handful of frenzied destruction derbies .	1	-2	 there's[0] only[0] so[0] much[0] you[0] can[0] do[0] with[0] a[0] car[0] wreck[-1] but[0] this[0] movie[0] makes[0] crisp[0] effective[0] use[0] of[0] pile[0] ups[0] in[0] a[0] handful[0] of[0] frenzied[0] destruction[-1] derbies[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
and lam has a surprising , innovative sense of exactly where the camera should go to catch any bit of action . 	and lam has a surprising , innovative sense of exactly where the camera should go to catch any bit of action .	1	-1	 and[0] lam[0] has[0] a[0] surprising[0] innovative[0] sense[0] of[0] exactly[0] where[0] the[0] camera[0] should[0] go[0] to[0] catch[0] any[0] bit[0] of[0] action[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the main difference between lam and woo , i believe , is that while woo relies on sheer spectacle to gas up his action show pieces , lam has figured out more about using cinematic space and double-barreled points of view to make things run . 	the main difference between lam and woo , i believe , is that while woo relies on sheer spectacle to gas up his action show pieces , lam has figured out more about using cinematic space and double-barreled points of view to make things run .	1	-1	 the[0] main[0] difference[0] between[0] lam[0] and[0] woo[0] i[0] believe[0] is[0] that[0] while[0] woo[0] relies[0] on[0] sheer[0] spectacle[0] to[0] gas[0] up[0] his[0] action[0] show[0] pieces[0] lam[0] has[0] figured[0] out[0] more[0] about[0] using[0] cinematic[0] space[0] and[0] double[0] barreled[0] points[0] of[0] view[0] to[0] make[0] things[0] run[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
don't get me wrong -- when chow yun-fat soars through space pumping bullets out of two pistols and chewing on a toothpick with glass and confetti littering the air around him in woo's hard-boiled , it's an amazing moment . 	don't get me wrong - when chow yun-fat soars through space pumping bullets out of two pistols and chewing on a toothpick with glass and confetti littering the air around him in woo's hard-boiled , it's an amazing moment .	3	-2	 don't[0] get[0] me[0] wrong[-1] when[0] chow[0] yun[0] fat[-1] soars[0] through[0] space[0] pumping[0] bullets[-1] out[0] of[0] two[0] pistols[0] and[0] chewing[0] on[0] a[0] toothpick[0] with[0] glass[0] and[0] confetti[0] littering[-1] the[0] air[0] around[0] him[0] in[0] woo's[0] hard[0] boiled[0] it's[0] an[0] amazing[2] moment[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
but it's a moment that's hard to reproduce in hollywood . 	but it's a moment that's hard to reproduce in hollywood .	1	-1	 but[0] it's[0] a[0] moment[0] that's[0] hard[0] to[0] reproduce[0] in[0] hollywood[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 ( for one thing , hollywood doesn't yet have chow yun-fat ! ) 	 ( for one thing , hollywood doesn't yet have chow yun-fat !<br> )	1	-2	 for[0] one[0] thing[0] hollywood[0] doesn't[0] yet[0] have[0] chow[0] yun[0] fat[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
while woo's hollywood movies look like the work of a talented upstart , maximum risk is a surprisingly confident picture . 	while woo's hollywood movies look like the work of a talented upstart , maximum risk is a surprisingly confident picture .	2	-2	 while[0] woo's[0] hollywood[0] movies[0] look[0] like[1] the[0] work[0] of[0] a[0] talented[1] upstart[0] maximum[0] risk[-1] is[0] a[0] surprisingly[0] confident[1] picture[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the very first shot of the film is an awkward overhead view of a chase through the streets of a european city , but lam's use of odd camera angles becomes more efficient later on . 	the very first shot of the film is an awkward overhead view of a chase through the streets of a european city , but lam's use of odd camera angles becomes more efficient later on .	1	-2	 the[0] very[0] first[0] shot[-1] of[0] the[0] film[0] is[0] an[0] awkward[-1] overhead[0] view[0] of[0] a[0] chase[-1] through[0] the[0] streets[0] of[0] a[0] european[0] city[0] but[0] lam's[0] use[0] of[0] odd[0] camera[0] angles[0] becomes[0] more[0] efficient[0] later[0] on[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the film editing is a particularly savvy complement to lam's shooting style , accentuating rather than amplifying the action . 	the film editing is a particularly savy complement to lam's shooting style , accentuating rather than amplifying the action .	1	-2	 the[0] film[0] editing[0] is[0] a[0] particularly[0] savvy/savy[0] complement[0] to[0] lam's[0] shooting[-1] style[0] accentuating[0] rather[0] than[0] amplifying[0] the[0] action[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the performances could have used some fine tuning ( in particular , there's an annoying , overwritten manhattan cab driver in the early scenes who should have been toned down or jettisoned completely ) , and the movie doesn't always overcome the limitations of its genre . 	the performances could have used some fine tuning ( in particular , there's an annoying , overwritten manhattan cab driver in the early scenes who should have been toned down or jettisoned completely ) , and the movie doesn't always overcome the limitations of its genre .	2	-3	 the[0] performances[0] could[0] have[0] used[0] some[0] fine[2][-1 LastWordBoosterStrength] tuning[0] in[0] particular[0] there's[0] an[0] annoying[-2] overwritten[0] manhattan[0] cab[0] driver[0] in[0] the[0] early[0] scenes[0] who[0] should[0] have[0] been[0] toned[0] down[0] or[0] jettisoned[0] completely[0] and[0] the[0] movie[0] doesn't[0] always[0] overcome[0] the[0] limitations[0] of[0] its[0] genre[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
the story is a little mundane , although there are some effective moments involving van damme's unrequited feelings toward the brother he never knew he had . 	the story is a little mundane , although there are some effective moments involving van damme's unrequited feelings toward the brother he never knew he had .	1	-2	 the[0] story[0] is[0] a[0] little[0] mundane[-1] although[0] there[0] are[0] some[0] effective[0] moments[0] involving[0] van[0] damme's[0] unrequited[0] feelings[0] toward[0] the[0] brother[0] he[0] never[0] knew[0] he[0] had[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
but it's not often that hollywood cranks out a truly satisfying action picture , and it's doubly surprising that this one should come with a mere whisper of publicity . 	but it's not often that hollywood cranks out a truly satisfying action picture , and it's doubly surprising that this one should come with a mere whisper of publicity .	2	-1	 but[0] it's[0] not[0] often[0] that[0] hollywood[0] cranks[0] out[0] a[0] truly[1] satisfying[1] action[0] picture[0] and[0] it's[0] doubly[0] surprising[0] that[0] this[0] one[0] should[0] come[0] with[0] a[0] mere[0] whisper[0] of[0] publicity[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
van damme fans should treat themselves to what may well be the man's best movie , and international action buffs will no doubt savor this flavorful hong kong/hollywood hybrid . 	van dame fans should treat themselves to what may well be the man's best movie , and international action buffs will no doubt savor this flavorful hong kong/hollywood hybrid .	2	-2	 van[0] damme/dame[0] fans[0] should[0] treat[1][-1 LastWordBoosterStrength] themselves[0] to[0] what[0] may[0] well[0] be[0] the[0] man's[0] best[1] movie[0] and[0] international[0] action[0] buffs[0] will[0] no[0] doubt[-1] savor[0] this[0] flavorful[0] hong[0] kong/hollywood[0] hybrid[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
