i had a chance to see a sneak preview of city slickers ii on campus last night . 	Translation	Positive	Negative	EmotionRationale
the scenes are such that i would like to see some of those sights filmed myself . 	the scenes are such that i would like to see some of those sights filmed myself .	1	-1	 the[0] scenes[0] are[0] such[0] that[0] i[0] would[0] like[1][-1 LastWordBoosterStrength] to[0] see[0] some[0] of[0] those[0] sights[0] filmed[0] myself[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
there is some character development during the film . 	there is some character development during the film .	1	-1	 there[0] is[0] some[0] character[0] development[0] during[0] the[0] film[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the actors remain true to their characters and play them well , without overplaying the jokes . 	the actors remain true to their characters and play them well , without overplaying the jokes .	2	-1	 the[0] actors[0] remain[0] true[1] to[0] their[0] characters[0] and[0] play[0] them[0] well[0] without[0] overplaying[0] the[0] jokes[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the movie is a good basic adventure , with enough plot twists to provide for an ending that is difficult to predict . 	the movie is a good basic adventure , with enough plot twists to provide for an ending that is difficult to predict .	2	-2	 the[0] movie[0] is[0] a[0] good[1] basic[0] adventure[0] with[0] enough[0] plot[0] twists[0] to[0] provide[0] for[0] an[0] ending[0] that[0] is[0] difficult[-1] to[0] predict[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the movie is paced well , but with a couple slow spots in the middle and towards the end . 	the movie is paced well , but with a couple slow spots in the middle and towards the end .	1	-1	 the[0] movie[0] is[0] paced[0] well[0] but[0] with[0] a[0] couple[0] slow[0] spots[0] in[0] the[0] middle[0] and[0] towards[0] the[0] end[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
humor-wise , the film has a good number of jokes which maintained my interest throughout the film . 	humor-wise , the film has a good number of jokes which maintained my interest throughout the film .	3	-1	 humor[2] wise[0] the[0] film[0] has[0] a[0] good[1] number[0] of[0] jokes[1] which[0] maintained[0] my[0] interest[1] throughout[0] the[0] film[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
there are memorable moments like when stern is bitten by a snake , but there are fewer jokes to laugh at in the sequel ( surprise , surprise for a sequel , right ? ) . 	there are memorable moments like when stern is bitten by a snake , but there are fewer jokes to laugh at in the sequel ( surprise , surprise for a sequel , right ?<br> ) .	2	-2	 there[0] are[0] memorable[0] moments[0] like[1] when[0] stern[-1] is[0] bitten[0] by[0] a[0] snake[0] but[0] there[0] are[0] fewer[0] jokes[1] to[0] laugh[1] at[0] in[0] the[0] sequel[0] surprise[0] surprise[0] for[0] a[0] sequel[0] right[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
however , the slight bitter aftertaste i have with this film has to do mainly with the film's manipulation of the audience . 	however , the slight bitter aftertaste i have with this film has to do mainly with the film's manipulation of the audience .	1	-2	 however[0] the[0] slight[0] bitter[-1] aftertaste[0] i[0] have[0] with[0] this[0] film[0] has[0] to[0] do[0] mainly[0] with[0] the[0] film's[0] manipulation[-1] of[0] the[0] audience[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the film tries to pull your heart-strings too much regarding how close the characters are to each other , like when mitch had decided to suck the snake marrow out of his best friend's butt . 	the film tries to pull your heart-strings too much regarding how close the characters are to each other , like when mitch had decided to suck the snake marrow out of his best friend's butt .	2	-2	 the[0] film[0] tries[0] to[0] pull[0] your[0] heart[0] strings[0] too[0] much[0] regarding[0] how[0] close[0] the[0] characters[0] are[0] to[0] each[0] other[0] like[1] when[0] mitch[0] had[0] decided[0] to[0] suck[-1] the[0] snake[0] marrow[0] out[0] of[0] his[0] best[1] friend's[1] butt[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
this is done again when the gang meets up with some members of the cattle drive group from the original . 	this is done again when the gang meets up with some members of the cattle drive group from the original .	1	-1	 this[0] is[0] done[0] again[0] when[0] the[0] gang[0] meets[0] up[0] with[0] some[0] members[0] of[0] the[0] cattle[0] drive[0] group[0] from[0] the[0] original[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
there were also some parts which appeared unrealistic , like whether the stampede would start in the way it did or why they didn't worry more about water while tromping around the desert . 	there were also some parts which appeared unrealistic , like whether the stampede would start in the way it did or why they didn't worry more about water while tromping around the desert .	2	-4	 there[0] were[0] also[0] some[0] parts[0] which[0] appeared[0] unrealistic[0] like[1] whether[0] the[0] stampede[0] would[0] start[0] in[0] the[0] way[0] it[0] did[0] or[0] why[0] they[0] didn't[0] worry[-3] more[0] about[0] water[0] while[0] tromping[0] around[0] the[0] desert[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
some strenuous stretches of the imagination are required here . 	some strenuous stretches of the imagination are required here .	1	-1	 some[0] strenuous[0] stretches[0] of[0] the[0] imagination[0] are[0] required[0] here[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
since the objective of the gang is to find gold and get rich ( unlike finding themselves in middle age like in the original ) , i also found it harder to empathize with the characters during their journey . 	since the objective of the gang is to find gold and get rich ( unlike finding themselves in middle age like in the original ) , i also found it harder to empathize with the characters during their journey .	2	-1	 since[0] the[0] objective[0] of[0] the[0] gang[0] is[0] to[0] find[0] gold[0] and[0] get[0] rich[0] unlike[0] finding[0] themselves[0] in[0] middle[0] age[0] like[1] in[0] the[0] original[0] i[0] also[0] found[0] it[0] harder[0] to[0] empathize[0] with[0] the[0] characters[0] during[0] their[0] journey[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
overall , i'd say that the film is an entertaining and humorous adventure with some story-line deficiencies making it less worthy than the original . 	overall , i'd say that the film is an entertaining and humorous adventure with some story-line deficiencies making it less worthy than the original .	3	-1	 overall[0] i'd[0] say[0] that[0] the[0] film[0] is[0] an[0] entertaining[0] and[0] humorous[2] adventure[0] with[0] some[0] story[0] line[0] deficiencies[0] making[0] it[0] less[0] worthy[0] than[0] the[0] original[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
it may be worth the full price of admission , but a matinee would be a better bargain . 	it may be worth the full price of admission , but a matinee would be a better bargain .	1	-1	 it[0] may[0] be[0] worth[0] the[0] full[0] price[0] of[0] admission[0] but[0] a[0] matinee[0] would[0] be[0] a[0] better[0] bargain[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
