scream 2 isn't quite as clever as its predecessor , but it fills the gap with a cutting wit . 	Translation	Positive	Negative	EmotionRationale
a second strength of scream 2 is that it features a gallery of legitimate characters rather than a group of cardboard cut-out stereotypes lined up for slaughter . 	a second strength of scream 2 is that it features a gallery of legitimate characters rather than a group of cardboard cut-out stereotypes lined up for slaughter .	1	-4	 a[0] second[0] strength[0] of[0] scream[-3] 2[0] is[0] that[0] it[0] features[0] a[0] gallery[0] of[0] legitimate[0] characters[0] rather[0] than[0] a[0] group[0] of[0] cardboard[0] cut[0] out[0] stereotypes[0] lined[0] up[0] for[0] slaughter[-1] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
after all , we've known some of these people for two movies -- it's almost impossible not to care about them at least a little . 	after all , we've known some of these people for two movies - it's almost impossible not to care about them at least a little .	1	-2	 after[0] all[0] we've[0] known[0] some[0] of[0] these[0] people[0] for[0] two[0] movies[0] it's[0] almost[0] impossible[0] not[0] to[0] care[1][NegatedDueToPreviousWord] about[0] them[0] at[0] least[0] a[0] little[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
scream 2 opens approximately two years after the original . 	scream 2 opens approximately two years after the original .	1	-4	 scream[-3] 2[0] opens[0] approximately[0] two[0] years[0] after[0] the[0] original[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
as in the first picture , there's a slick , self-mocking prologue . 	as in the first picture , there's a slick , self-mocking prologue .	1	-3	 as[0] in[0] the[0] first[0] picture[0] there's[0] a[0] slick[0] self[0] mocking[-2] prologue[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
this time , the victims are jada pinkett and omar epps , whose characters are visiting a local theater for a preview screening of the movie stab ( which is based on the " true life " events of scream ) . 	this time , the victims are jada pinkett and omar epps , whose characters are visiting a local theater for a preview screening of the movie stab ( which is based on the " true life " events of scream ) .	2	-4	 this[0] time[0] the[0] victims[-2] are[0] jada[0] pinkett[0] and[0] omar[0] epps[0] whose[0] characters[0] are[0] visiting[0] a[0] local[0] theater[0] for[0] a[0] preview[0] screening[0] of[0] the[0] movie[0] stab[-1] which[0] is[0] based[0] on[0] the[0] true[1] life[0] events[0] of[0] scream[-3] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
some of the smartest dialogue comes during this sequence as pinkett bemoans the lack of african american participation in horror films ( it's surely no coincidence that , in addition to pinkett and epps , scream 2 features two black characters ) . 	some of the smartest dialogue comes during this sequence as pinkett bemoans the lack of african american participation in horror films ( it's surely no coincidence that , in addition to pinkett and epps , scream 2 features two black characters ) .	2	-4	 some[0] of[0] the[0] smartest[1] dialogue[0] comes[0] during[0] this[0] sequence[0] as[0] pinkett[0] bemoans[0] the[0] lack[-1] of[0] african[0] american[0] participation[0] in[0] horror[-3] films[0] it's[0] surely[0] no[0] coincidence[0] that[0] in[0] addition[0] to[0] pinkett[0] and[0] epps[0] scream[-3] 2[0] features[0] two[0] black[0] characters[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
shortly thereafter , she and her boyfriend have been gutted , signaling the beginning of a series of copycat murders . 	shortly thereafter , she and her boyfriend have been gutted , signaling the beginning of a series of copycat murders .	1	-4	 shortly[0] thereafter[0] she[0] and[0] her[0] boyfriend[0] have[0] been[0] gutted[0] signaling[0] the[0] beginning[0] of[0] a[0] series[0] of[0] copycat[0] murders[-3] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
craven lets loose a burst of tongue-in-cheek creativity for the " movie within a movie " sequences . 	craven lets loose a burst of tongue-in-cheek creativity for the " movie within a movie " sequences .	1	-2	 craven[-1] lets[0] loose[0] a[0] burst[0] of[0] tongue[0] in[0] cheek[0] creativity[0] for[0] the[0] movie[0] within[0] a[0] movie[0] sequences[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
they give him an opportunity to openly parody scream -- an act that he accomplishes with great panache . 	they give him an opportunity to openly parody scream - an act that he accomplishes with great panache .	3	-4	 they[0] give[0] him[0] an[0] opportunity[0] to[0] openly[0] parody[0] scream[-3] an[0] act[0] that[0] he[0] accomplishes[1] with[0] great[2] panache[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
stab features heather graham in the " casey becker " role ( played in the original by drew barrymore ) and tori spelling as " sidney prescott " ( neve campbell ) . 	stab features heather graham in the " casey becker " role ( played in the original by drew barrymore ) and tori spelling as " sidney prescott " ( neve campbell ) .	1	-2	 stab[-1] features[0] heather[0] graham[0] in[0] the[0] casey[0] becker[0] role[0] played[0] in[0] the[0] original[0] by[0] drew[0] barrymore[0] and[0] tori[0] spelling[0] as[0] sidney[0] prescott[0] neve[0] campbell[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
sadly , we only see a couple of scenes from stab . 	sadly , we only see a couple of scenes from stab .	1	-2	 sadly[-1] we[0] only[0] see[0] a[0] couple[0] of[0] scenes[0] from[0] stab[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it would have been a little more fun , i think , had craven used joe dante's approach from matinee and shown lengthy excerpts from his satirical production . 	it would have been a little more fun , i think , had craven used joe dante's approach from matinee and shown lengthy excerpts from his satirical production .	2	-2	 it[0] would[0] have[0] been[0] a[0] little[0] more[0] fun[1] i[0] think[0] had[0] craven[-1] used[0] joe[0] dante's[0] approach[0] from[0] matinee[0] and[0] shown[0] lengthy[0] excerpts[0] from[0] his[0] satirical[0] production[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
following the prologue , we are re-introduced to sidney prescott , who has left her sleepy hometown to go to windsor college . 	following the prologue , we are re-introduced to sidney prescott , who has left her sleepy hometown to go to windsor college .	1	-1	 following[0] the[0] prologue[0] we[0] are[0] re[0] introduced[0] to[0] sidney[0] prescott[0] who[0] has[0] left[0] her[0] sleepy[0] hometown[0] to[0] go[0] to[0] windsor[0] college[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
her friend randy ( jamie kennedy ) is a student there as well , and he's just as knowledgeable about horror films as ever . 	her friend randy ( jamie kennedy ) is a student there as well , and he's just as knowledgeable about horror films as ever .	2	-4	 her[0] friend[1] randy[0] jamie[0] kennedy[0] is[0] a[0] student[0] there[0] as[0] well[0] and[0] he's[0] just[0] as[0] knowledgeable[0] about[0] horror[-3] films[0] as[0] ever[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
once the double murder at stab becomes big news , the media converges on windsor , looking to interview the original victim . 	once the double murder at stab becomes big news , the media converges on windsor , looking to interview the original victim .	1	-4	 once[0] the[0] double[0] murder[-3] at[0] stab[-1] becomes[0] big[0] news[0] the[0] media[0] converges[0] on[0] windsor[0] looking[0] to[0] interview[0] the[0] original[0] victim[-2] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
at the head of the flock of vultures is gale weathers ( courtney cox ) , who has a little surprise for sidney . 	at the head of the flock of vultures is gale weathers ( courtney cox ) , who has a little surprise for sidney .	1	-3	 at[0] the[0] head[0] of[0] the[0] flock[0] of[0] vultures[-2] is[0] gale[0] weathers[0] courtney[0] cox[0] who[0] has[0] a[0] little[0] surprise[0] for[0] sidney[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
she has brought cotton weary ( liev schreiber ) , the man sidney falsely accused of murder , with her . 	she has brought cotton weary ( liev schreiber ) , the man sidney falsely accused of murder , with her .	1	-4	 she[0] has[0] brought[0] cotton[0] weary[0] liev[0] schreiber[0] the[0] man[0] sidney[0] falsely[0] accused[-1] of[0] murder[-3] with[0] her[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
also arriving at the college is deputy dewey ( david arquette ) , who is there to act as a big brother to sidney during this latest round of tribulations . 	also arriving at the college is deputy dewey ( david arquette ) , who is there to act as a big brother to sidney during this latest round of tribulations .	1	-1	 also[0] arriving[0] at[0] the[0] college[0] is[0] deputy[0] dewey[0] david[0] arquette[0] who[0] is[0] there[0] to[0] act[0] as[0] a[0] big[0] brother[0] to[0] sidney[0] during[0] this[0] latest[0] round[0] of[0] tribulations[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in addition to the survivors from the original scream , the field of potential victims is well-populated . 	in addition to the survivors from the original scream , the field of potential victims is well-populated .	1	-4	 in[0] addition[0] to[0] the[0] survivors[0] from[0] the[0] original[0] scream[-3] the[0] field[0] of[0] potential[0] victims[-2] is[0] well[0] populated[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
there's a blond co-ed named cece ( sarah michelle gellar , who has now appeared in two of williamson's movies -- this one and i know what you did last summer ) ; sidney's requisite boyfriend , derek ( jerry o'connell ) ; a local newswoman ( laurie metcalf ) ; gale's new cameraman ( duane martin ) ; a british drama teacher ( david warner ) ; and several sorority sisters and would-be sorority sisters ( portia de rossi , rebecca gayheart , elise neal , marisol nichols ) . 	there's a blond co-ed named cece ( sarah michelle gellar , who has now appeared in two of williamson's movies - this one and i know what you did last summer ) ; sidney's requisite boyfriend , derek ( jerry o'connell ) ; a local newswoman ( laurie metcalf ) ; gale's new cameraman ( duane martin ) ; a british drama teacher ( david warner ) ; and several sorority sisters and would-be sorority sisters ( portia de rossi , rebecca gayheart , elise neal , marisol nichols ) .	1	-1	 there's[0] a[0] blond[0] co[0] ed[0] named[0] cece[0] sarah[0] michelle[0] gellar[0] who[0] has[0] now[0] appeared[0] in[0] two[0] of[0] williamson's[0] movies[0] this[0] one[0] and[0] i[0] know[0] what[0] you[0] did[0] last[0] summer[0] sidney's[0] requisite[0] boyfriend[0] derek[0] jerry[0] o'connell[0] a[0] local[0] newswoman[0] laurie[0] metcalf[0] gale's[0] new[0] cameraman[0] duane[0] martin[0] a[0] british[0] drama[0] teacher[0] david[0] warner[0] and[0] several[0] sorority[0] sisters[0] and[0] would[0] be[0] sorority[0] sisters[0] portia[0] de[0] rossi[0] rebecca[0] gayheart[0] elise[0] neal[0] marisol[0] nichols[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
ultimately , there are lots of attractive corpses . 	ultimately , there are lots of attractive corpses .	2	-1	 ultimately[0] there[0] are[0] lots[0] of[0] attractive[1] corpses[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
from the stab scenes to lines like " brothers don't last long in situations like this , " craven and williamson are clearly having a lot of fun with scream 2 , and the movie is enjoyable , if a little overlong ( the livelier first hour is better than the second ) . 	from the stab scenes to lines like " brothers don't last long in situations like this , " craven and williamson are clearly having a lot of fun with scream 2 , and the movie is enjoyable , if a little overlong ( the livelier first hour is better than the second ) .	3	-4	 from[0] the[0] stab[-1] scenes[0] to[0] lines[0] like[1] brothers[0] don't[0] last[0] long[0] in[0] situations[0] like[1] this[0] craven[-1] and[0] williamson[0] are[0] clearly[0] having[0] a[0] lot[0] of[0] fun[1] with[0] scream[-3] 2[0] and[0] the[0] movie[0] is[0] enjoyable[2] if[0] a[0] little[0] overlong[0] the[0] livelier[1] first[0] hour[0] is[0] better[0] than[0] the[0] second[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
their resolution to the obligatory " whodunit ? " 	their resolution to the obligatory " whodunit ?<br> "	1	-1	 their[0] resolution[0] to[0] the[0] obligatory[0] whodunit[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
is less of a letdown than it could be , and knowingly offers a wink and nod at past unmasking scenes . 	is less of a letdown than it could be , and knowingly offers a wink and nod at past unmasking scenes .	1	-1	 is[0] less[0] of[0] a[0] letdown[0] than[0] it[0] could[0] be[0] and[0] knowingly[0] offers[0] a[0] wink[0] and[0] nod[0] at[0] past[0] unmasking[0] scenes[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 ( " nice twist , " quips the killer . 	 ( " nice twist , " quips the killer .	2	-2	 nice[1] twist[0] quips[0] the[0] killer[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
 " didn't see it coming , didya ? " ) 	 " didn't see it coming , didya ?<br> " )	1	-1	 didn't[0] see[0] it[0] coming[0] didya[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
one senses , however , that , by the end of this picture , the overall concept of a hip , self-referential slasher film has been played out . 	one senses , however , that , by the end of this picture , the overall concept of a hip , self-referential slasher film has been played out .	1	-2	 one[0] senses[0] however[0] that[0] by[0] the[0] end[0] of[0] this[0] picture[0] the[0] overall[0] concept[0] of[0] a[0] hip[0] self[0] referential[0] slasher[-1] film[0] has[0] been[0] played[0] out[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
supposedly , there's going to be a scream 3 , but , if the film makers don't come up with something radical , we could end up with a classic case of sequel overkill . 	supposedly , there's going to be a scream 3 , but , if the film makers don't come up with something radical , we could end up with a classic case of sequel overkill .	1	-4	 supposedly[0] there's[0] going[0] to[0] be[0] a[0] scream[-3] 3[0] but[0] if[0] the[0] film[0] makers[0] don't[0] come[0] up[0] with[0] something[0] radical[-1] we[0] could[0] end[0] up[0] with[0] a[0] classic[0] case[0] of[0] sequel[0] overkill[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
