if you've ever perused my college comedy diary " another year in the life of a nerd " ( i never run out of cheap plugs ) , you know i didn't get along with my first-semester roommate too well . 	Translation	Positive	Negative	EmotionRationale
roommates has an almost epic feel to it , covering several generations of a family with one fiesty immigrant who refuses to die . 	roommates has an almost epic feel to it , covering several generations of a family with one fiesty immigrant who refuses to die .	1	-2	 roommates[0] has[0] an[0] almost[0] epic[0] feel[0] to[0] it[0] covering[0] several[0] generations[0] of[0] a[0] family[0] with[0] one[0] fiesty[0] immigrant[0] who[0] refuses[-1] to[0] die[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
death , though , knocks at the door of almost every other major character in the the movie . 	death , though , knocks at the door of almost every other major character in the the movie .	1	-3	 death[-2] though[0] knocks[0] at[0] the[0] door[0] of[0] almost[0] every[0] other[0] major[0] character[0] in[0] the[0] the[0] movie[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
roommates has about as many casualties as the first halloween . 	roommates has about as many casualties as the first halloween .	1	-1	 roommates[0] has[0] about[0] as[0] many[0] casualties[0] as[0] the[0] first[0] halloween[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the number can't be counted on one hand , unless of course you're the victim of some hideous genetic mutation . 	the number can't be counted on one hand , unless of course you're the victim of some hideous genetic mutation .	1	-3	 the[0] number[0] can't[0] be[0] counted[0] on[0] one[0] hand[0] unless[0] of[0] course[0] you're[0] the[0] victim[-2] of[0] some[0] hideous[-1][--1 LastWordBoosterStrength] genetic[0] mutation[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
and you can probably guess who says farewell to planet earth at the end of the movie ( no , not duran duran ) . 	and you can probably guess who says farewell to planet earth at the end of the movie ( no , not duran duran ) .	1	-1	 and[0] you[0] can[0] probably[0] guess[0] who[0] says[0] farewell[0] to[0] planet[0] earth[0] at[0] the[0] end[0] of[0] the[0] movie[0] no[0] not[0] duran[0] duran[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i won't come out and say it . 	i won't come out and say it .	1	-1	 i[0] won't[0] come[0] out[0] and[0] say[0] it[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
instead , i'll just sit here and hum " eye of the tiger " until each and every one of you figures it out . 	instead , i'll just sit here and hum " eye of the tiger " until each and every one of you figures it out .	1	-1	 instead[0] i'll[0] just[0] sit[0] here[0] and[0] hum[0] eye[0] of[0] the[0] tiger[0] until[0] each[0] and[0] every[0] one[0] of[0] you[0] figures[0] it[0] out[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
roommates plays on all the major emotions . 	roommates plays on all the major emotions .	2	-1	 roommates[0] plays[1] on[0] all[0] the[0] major[0] emotions[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
it knows when to make you laugh and when to make you cry . 	it knows when to make you laugh and when to make you cry .	2	-4	 it[0] knows[0] when[0] to[0] make[0] you[0] laugh[1] and[0] when[0] to[0] make[0] you[0] cry[-3] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
movies that can perfectly mix comedy and drama are always hits with the audience , even though this one bombed at the theaters . 	movies that can perfectly mix comedy and drama are always hits with the audience , even though this one bombed at the theaters .	2	-2	 movies[0] that[0] can[0] perfectly[1] mix[0] comedy[0] and[0] drama[0] are[0] always[0] hits[0] with[0] the[0] audience[0] even[0] though[0] this[0] one[0] bombed[-1] at[0] the[0] theaters[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
my point ? 	my point ?	1	-1	 my[0] point[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
there are no absolutes . 	there are no absolutes .	1	-1	 there[0] are[0] no[0] absolutes[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
or , another possible point , peter falk just isn't such a great box office draw . 	or , another possible point , peter falk just isn't such a great box office draw .	3	-1	 or[0] another[0] possible[0] point[0] peter[0] falk[0] just[0] isn't[0] such[0] a[0] great[2] box[0] office[0] draw[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
either way , this is still a good movie and you should give it a chance like i did , whether you hate your roommate or not . 	either way , this is still a good movie and you should give it a chance like i did , whether you hate your roommate or not .	2	-4	 either[0] way[0] this[0] is[0] still[0] a[0] good[1] movie[0] and[0] you[0] should[0] give[0] it[0] a[0] chance[0] like[1] i[0] did[0] whether[0] you[0] hate[-3] your[0] roommate[0] or[0] not[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
