i must admit that i was a tad skeptical of " good will hunting " , based both on the previews and the first fifteen minutes of the film , in which the main character will hunting ( matt damon ) , an mit janitor in his early twenties , is discovered to be an einstein-level closet genius when he solves two extraordinarily difficult math problems overnight . 	Translation	Positive	Negative	EmotionRationale
will's reaction to this situation , and the way in which he slowly becomes more receptive to skylar and to sean , is presented in a believable fashion and in a way that forces the audience to consider all the characters' opinions , rather than setting up an obvious " right " and " wrong " side and beating them over the head with it . 	will's reaction to this situation , and the way in which he slowly becomes more receptive to skylar and to sean , is presented in a believable fashion and in a way that forces the audience to consider all the characters' opinions , rather than setting up an obvious " right " and " wrong " side and beating them over the head with it .	1	-2	 will's[0] reaction[0] to[0] this[0] situation[0] and[0] the[0] way[0] in[0] which[0] he[0] slowly[0] becomes[0] more[0] receptive[0] to[0] skylar[0] and[0] to[0] sean[0] is[0] presented[0] in[0] a[0] believable[0] fashion[0] and[0] in[0] a[0] way[0] that[0] forces[0] the[0] audience[0] to[0] consider[0] all[0] the[0] characters'[0] opinions[0] rather[0] than[0] setting[0] up[0] an[0] obvious[0] right[0] and[0] wrong[-1] side[0] and[0] beating[0] them[0] over[0] the[0] head[0] with[0] it[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
for a film with such an extraordinary character , " good will hunting " presents itself as remarkably ordinary ; it achieves the difficult task of making the next albert einstein into an everyman , a character to whom the audience can easily relate and who must make choices similar to those that almost everyone faces at one time or another . 	for a film with such an extraordinary character , " good will hunting " presents itself as remarkably ordinary ; it achieves the difficult task of making the next albert einstein into an everyman , a character to whom the audience can easily relate and who must make choices similar to those that almost everyone faces at one time or another .	2	-2	 for[0] a[0] film[0] with[0] such[0] an[0] extraordinary[0] character[0] good[1] will[0] hunting[0] presents[0] itself[0] as[0] remarkably[0] ordinary[0] it[0] achieves[0] the[0] difficult[-1] task[0] of[0] making[0] the[0] next[0] albert[0] einstein[0] into[0] an[0] everyman[0] a[0] character[0] to[0] whom[0] the[0] audience[0] can[0] easily[0] relate[0] and[0] who[0] must[0] make[0] choices[0] similar[0] to[0] those[0] that[0] almost[0] everyone[0] faces[0] at[0] one[0] time[0] or[0] another[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
this film gives us real drama when it so easily could have given us merely melodrama , by having the government kidnap will to use him in covert spy missions or introducing some other equally far-fetched situation . 	this film gives us real drama when it so easily could have given us merely melodrama , by having the government kidnap will to use him in covert spy missions or introducing some other equally far-fetched situation .	1	-2	 this[0] film[0] gives[0] us[0] real[0] drama[0] when[0] it[0] so[0] easily[0] could[0] have[0] given[0] us[0] merely[0] melodrama[0] by[0] having[0] the[0] government[0] kidnap[-1] will[0] to[0] use[0] him[0] in[0] covert[-1] spy[0] missions[0] or[0] introducing[0] some[0] other[0] equally[0] far[0] fetched[0] situation[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
 " good will hunting " also has its share of fun humor , such as when will , in an early therapy session , pretends to be hypnotized and smoothly parodies the alien abduction scenarios that have become so well known in popular culture . 	 " good will hunting " also has its share of fun humor , such as when will , in an early therapy session , pretends to be hypnotized and smoothly parodies the alien abduction scenarios that have become so well known in popular culture .	3	-2	 good[1] will[0] hunting[0] also[0] has[0] its[0] share[0] of[0] fun[1] humor[2] such[0] as[0] when[0] will[0] in[0] an[0] early[0] therapy[0] session[0] pretends[0] to[0] be[0] hypnotized[0] and[0] smoothly[0] parodies[0] the[0] alien[-1] abduction[0] scenarios[0] that[0] have[0] become[0] so[0] well[0] known[0] in[0] popular[0] culture[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
and in the one scene in which government agents do in fact appear , will blows them off with a hilariously scathing accusation of human rights violations in africa . 	and in the one scene in which government agents do in fact appear , will blows them off with a hilariously scathing accusation of human rights violations in africa .	3	-2	 and[0] in[0] the[0] one[0] scene[0] in[0] which[0] government[0] agents[0] do[0] in[0] fact[0] appear[0] will[0] blows[0] them[0] off[0] with[0] a[0] hilariously[2] scathing[0] accusation[-1] of[0] human[0] rights[0] violations[-1] in[0] africa[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
will's relationship with his friends , most notably chucky ( ben affleck ) , is usually rather amusing , if somewhat crude ( the film has 100  uses of the 'f' word , which was most likely the reason for its r-rating ) , and lends itself well to the development of will's character . 	will's relationship with his friends , most notably chucky ( ben affleck ) , is usually rather amusing , if somewhat crude ( the film has 100  uses of the 'f' word , which was most likely the reason for its are-rating ) , and lends itself well to the development of will's character .	2	-2	 will's[0] relationship[0] with[0] his[0] friends[1] most[0] notably[0] chucky[0] ben[0] affleck[0] is[0] usually[0] rather[0] amusing[1] if[0] somewhat[0] crude[-1] the[0] film[0] has[0] 100[0] uses[0] of[0] the[0] 'f'[0] word[0] which[0] was[0] most[0] likely[0] the[0] reason[0] for[0] its[0] r[0] rating[0] and[0] lends[0] itself[0] well[0] to[0] the[0] development[0] of[0] will's[0] character[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
add all this to the fact that " good will hunting " even manages to pull off an uplifting happy ending without getting excessively sentimental , and you might be wondering why i haven't given this film four stars . 	add all this to the fact that " good will hunting " even manages to pull off an uplifting happy ending without getting excessively sentimental , and you might be wondering why i haven't given this film four stars .	3	-2	 add[0] all[0] this[0] to[0] the[0] fact[0] that[0] good[1] will[0] hunting[0] even[0] manages[0] to[0] pull[0] off[0] an[0] uplifting[0] happy[1] ending[0] without[0] getting[0] excessively[-1] sentimental[2] and[0] you[0] might[0] be[0] wondering[0] why[0] i[0] haven't[0] given[0] this[0] film[0] four[0] stars[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
well , for one thing , no matter how well damon and affleck , who wrote the screenplay , and director gus van sant pull it off , the story is still rather contrived and not particularly original . 	well , for one thing , no matter how well damon and affleck , who wrote the screenplay , and director gus van sant pull it off , the story is still rather contrived and not particularly original .	1	-1	 well[0] for[0] one[0] thing[0] no[0] matter[0] how[0] well[0] damon[0] and[0] affleck[0] who[0] wrote[0] the[0] screenplay[0] and[0] director[0] gus[0] van[0] sant[0] pull[0] it[0] off[0] the[0] story[0] is[0] still[0] rather[0] contrived[0] and[0] not[0] particularly[0] original[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
there are also a few scenes that did feel a bit formulaic , including one that was supposed to be emotional but really just seemed like the obligatory crying scene for any movie involving therapy sessions . 	there are also a few scenes that did feel a bit formulaic , including one that was supposed to be emotional but really just seemed like the obligatory crying scene for any movie involving therapy sessions .	2	-4	 there[0] are[0] also[0] a[0] few[0] scenes[0] that[0] did[0] feel[0] a[0] bit[0] formulaic[0] including[0] one[0] that[0] was[0] supposed[0] to[0] be[0] emotional[-1] but[0] really[0] just[0] seemed[0] like[1] the[0] obligatory[0] crying[-3] scene[0] for[0] any[0] movie[0] involving[0] therapy[0] sessions[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
still , " good will hunting " takes its premise a lot farther than i thought it would , and is definitely one of the better personal dramas i have seen in the last few years , and as of right now it stands as one of the top five on my list of '97 films . 	still , " good will hunting " takes its premise a lot farther than i thought it would , and is definitely one of the better personal dramas i have seen in the last few years , and as of right now it stands as one of the top five on my list of '97 films .	2	-1	 still[0] good[1] will[0] hunting[0] takes[0] its[0] premise[0] a[0] lot[0] farther[0] than[0] i[0] thought[0] it[0] would[0] and[0] is[0] definitely[0] one[0] of[0] the[0] better[0] personal[0] dramas[0] i[0] have[0] seen[0] in[0] the[0] last[0] few[0] years[0] and[0] as[0] of[0] right[0] now[0] it[0] stands[0] as[0] one[0] of[0] the[0] top[0] five[0] on[0] my[0] list[0] of[0] '97[0] films[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
