the heist of a flawless , 84 carat diamond , fixed bare knuckle fights , irish gypsies and a dog are just some of the goings on in director guy ritchies's sophomore feature , " snatch . " 	Translation	Positive	Negative	EmotionRationale
brick top , impressed by mickey's performance , decides to gives them another chance - after calmly explaining that it takes 16 pigs about eight minutes to completely devour a corpse . 	brick top , impressed by mickey's performance , decides to gives them another chance - after calmly explaining that it takes 16 pigs about eight minutes to completely devour a corpse .	2	-1	 brick[0] top[0] impressed[1] by[0] mickey's[0] performance[0] decides[0] to[0] gives[0] them[0] another[0] chance[0] after[0] calmly[1] explaining[0] that[0] it[0] takes[0] 16[0] pigs[0] about[0] eight[0] minutes[0] to[0] completely[0] devour[0] a[0] corpse[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
when avi doesn't get his precious rock , he jumps on a plane for london and hires a local legend , " bullet tooth " tony ( vinnie jones ) , to find frankie and the diamond . 	when avi doesn't get his precious rock , he jumps on a plane for london and hires a local legend , " bullet tooth " tony ( vinnie jones ) , to find frankie and the diamond .	3	-2	 when[0] avi[0] doesn't[0] get[0] his[0] precious[2] rock[1] he[0] jumps[0] on[0] a[0] plane[0] for[0] london[0] and[0] hires[0] a[0] local[0] legend[0] bullet[-1] tooth[0] tony[0] vinnie[0] jones[0] to[0] find[0] frankie[0] and[0] the[0] diamond[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
things spiral out of control as all these forces head on a collision course of double-cross and double-deals - and a dog that ate a squeaky toy . 	things spiral out of control as all these forces head on a collision course of double-cross and double-deals - and a dog that ate a squeaky toy .	1	-2	 things[0] spiral[0] out[0] of[0] control[0] as[0] all[0] these[0] forces[0] head[0] on[0] a[0] collision[-1] course[0] of[0] double[0] cross[-1] and[0] double[0] deals[0] and[0] a[0] dog[0] that[0] ate[0] a[0] squeaky[0] toy[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
guy ritchie ( mr . madonna to some ) is an extraordinarily talented auteur who has a wonderful knack for pulling together his unique collection of cast and crew and feeding them funny and gritty dialog that spews out of the characters' mouths like machine gun fire . 	guy ritchie ( mr .<br> madonna to some ) is an extraordinarily talented auteur who has a wonderful knack for pulling together his unique collection of cast and crew and feeding them funny and gritty dialog that spews out of the characters' mouths like machine gun fire .	3	-2	 guy[0] ritchie[0] mr[0] [[Sentence=-1,1=word max, 1-5]] madonna[0] to[0] some[0] is[0] an[0] extraordinarily[0] talented[1] auteur[0] who[0] has[0] a[0] wonderful[2] knack[0] for[0] pulling[0] together[0] his[0] unique[0] collection[0] of[0] cast[0] and[0] crew[0] and[0] feeding[0] them[0] funny[1] and[0] gritty[0] dialog[0] that[0] spews[-1] out[0] of[0] the[0] characters'[0] mouths[0] like[1] machine[0] gun[-1] fire[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
the helmer marshals his large ensemble actors in a frantically paced caper comedy that makes you laugh and feel queasy at the same time , the above description by brick top being just one example . 	the helmer marshals his large ensemble actors in a frantically paced caper comedy that makes you laugh and feel queasy at the same time , the above description by brick top being just one example .	2	-2	 the[0] helmer[0] marshals[0] his[0] large[0] ensemble[0] actors[0] in[0] a[0] frantically[-1] paced[0] caper[0] comedy[0] that[0] makes[0] you[0] laugh[1] and[0] feel[0] queasy[0] at[0] the[0] same[0] time[0] the[0] above[0] description[0] by[0] brick[0] top[0] being[0] just[0] one[0] example[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the assemblage of actors and non-actors in rough-and-tumble settings gives " snatch " an earthy feel in its depiction of london's criminal underworld . 	the assemblage of actors and non-actors in rough-and-tumble settings gives " snatch " an earthy feel in its depiction of london's criminal underworld .	1	-2	 the[0] assemblage[0] of[0] actors[0] and[0] non[0] actors[0] in[0] rough[-1] and[0] tumble[0] settings[0] gives[0] snatch[-1] an[0] earthy[0] feel[0] in[0] its[0] depiction[0] of[0] london's[0] criminal[-1] underworld[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the cast of characters is too large to credit here , but two of the performances - first among equals , you might say - are worth noting . 	the cast of characters is too large to credit here , but two of the performances - first among equals , you might say - are worth noting .	1	-1	 the[0] cast[0] of[0] characters[0] is[0] too[0] large[0] to[0] credit[0] here[0] but[0] two[0] of[0] the[0] performances[0] first[0] among[0] equals[0] you[0] might[0] say[0] are[0] worth[0] noting[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
alan ford is brilliant as the ruthless , evil brick top . 	alan ford is brilliant as the ruthless , evil brick top .	2	-4	 alan[0] ford[0] is[0] brilliant[1] as[0] the[0] ruthless[-2] evil[-2][-1 MultiplePositiveWords] brick[0] top[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
when he refuses sugar in his tea because " i'm sweet enough , " it makes you shiver , even as you laugh . 	when he refuses sugar in his tea because " i'm sweet enough , " it makes you shiver , even as you laugh .	2	-2	 when[0] he[0] refuses[-1] sugar[0] in[0] his[0] tea[0] because[0] i'm[0] sweet[1] enough[0] it[0] makes[0] you[0] shiver[-1] even[0] as[0] you[0] laugh[1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
his is one of the best gangster characters i've seen in years . 	his is one of the best gangster characters i've seen in years .	2	-1	 his[0] is[0] one[0] of[0] the[0] best[1] gangster[0] characters[0] i've[0] seen[0] in[0] years[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the other outstanding perf is given by none other than brad pitt , the name actor the movie's popularity may hang upon , at least initially . 	the other outstanding perf is given by none other than brad pit , the name actor the movie's popularity may hang upon , at least initially .	3	-1	 the[0] other[0] outstanding[2] perf[0] is[0] given[0] by[0] none[0] other[0] than[0] brad[0] pitt/pit[0] the[0] name[0] actor[0] the[0] movie's[0] popularity[1] may[0] hang[-1][--1 LastWordBoosterStrength] upon[0] at[0] least[0] initially[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
pitt , as mickey o'neil , is hard drinking , hard fighting , highly unreliable and nearly incomprehensible with a unique irish brogue and dialect of the pikers , the irish travelers of europe . 	pit , as mickey o'neil , is hard drinking , hard fighting , highly unreliable and nearly incomprehensible with a unique irish brogue and dialect of the pikers , the irish travelers of europe .	1	-3	 pitt/pit[0] as[0] mickey[0] o'neil[0] is[0] hard[0] drinking[0] hard[0] fighting[-2] highly[0] unreliable[-1] and[0] nearly[0] incomprehensible[0] with[0] a[0] unique[0] irish[0] brogue[0] and[0] dialect[0] of[0] the[0] pikers[0] the[0] irish[0] travelers[0] of[0] europe[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
this gypsy brigand would steal the fillings from your teeth , especially if it would benefit his beloved mum ( sorcha cusack ) . 	this gypsy brigand would steal the fillings from your teeth , especially if it would benefit his beloved mum ( sorcha cusack ) .	3	-2	 this[0] gypsy[0] brigand[0] would[0] steal[-2][--1 LastWordBoosterStrength] the[0] fillings[0] from[0] your[0] teeth[0] especially[0] if[0] it[0] would[0] benefit[0] his[0] beloved[2] mum[0] sorcha[0] cusack[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
when brick top threaten the safety of mickey's family , he makes an enemy that cannot be stopped . 	when brick top threaten the safety of mickey's family , he makes an enemy that cannot be stopped .	2	-3	 when[0] brick[0] top[0] threaten[-2] the[0] safety[1] of[0] mickey's[0] family[0] he[0] makes[0] an[0] enemy[-1] that[0] cannot[0] be[0] stopped[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
pitt puts a credible spin on his character and does some incredible physical stuff , too , as a bare-knuckle boxer . 	pit puts a credible spin on his character and does some incredible physical stuff , too , as a bare-knuckle boxer .	1	-1	 pitt/pit[0] puts[0] a[0] credible[0] spin[0] on[0] his[0] character[0] and[0] does[0] some[0] incredible[0] physical[0] stuff[0] too[0] as[0] a[0] bare[0] knuckle[0] boxer[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the production team behind the camera includes ritchie alumni , producer matthew vaughn and lenser tim maurice-jones , and other talented technical artist that bring the hyperactive imagination of the author to visual life . 	the production team behind the camera includes ritchie alumni , producer matthew vaughn and lenser tim maurice-jones , and other talented technical artist that bring the hyperactive imagination of the author to visual life .	2	-1	 the[0] production[0] team[0] behind[0] the[0] camera[0] includes[0] ritchie[0] alumni[0] producer[0] matthew[0] vaughn[0] and[0] lenser[0] tim[0] maurice[0] jones[0] and[0] other[0] talented[1] technical[0] artist[0] that[0] bring[0] the[0] hyperactive[0] imagination[0] of[0] the[0] author[0] to[0] visual[0] life[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
there is a patent feel to the look of " snatch " and " lock , stock and two smoking barrels " that reeks of " signature " for ritchie , but i'm not sure how this will translate in his future works . 	there is a patent feel to the look of " snatch " and " lock , stock and two smoking barrels " that reeks of " signature " for ritchie , but i'm not sure how this will translate in his future works .	1	-3	 there[0] is[0] a[0] patent[0] feel[0] to[0] the[0] look[0] of[0] snatch[-1] and[0] lock[0] stock[0] and[0] two[0] smoking[0] barrels[0] that[0] reeks[-2] of[0] signature[0] for[0] ritchie[0] but[0] i'm[0] not[0] sure[0] how[0] this[0] will[0] translate[0] in[0] his[0] future[0] works[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
there is so much talent in the filmmaker that i would like to see him branch out in other directions . 	there is so much talent in the filmmaker that i would like to see him branch out in other directions .	2	-1	 there[0] is[0] so[0] much[0] talent[1] in[0] the[0] filmmaker[0] that[0] i[0] would[0] like[1][-1 LastWordBoosterStrength] to[0] see[0] him[0] branch[0] out[0] in[0] other[0] directions[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
nonetheless , " snatch " is terrific sophomore effort , a darn good action comedy and a hoot to boot . 	nonetheless , " snatch " is terrific sophomore effort , a darn good action comedy and a hoot to boot .	4	-2	 nonetheless[0] snatch[-1] is[0] terrific[3] sophomore[0] effort[0] a[0] darn[-1] good[1] action[0] comedy[0] and[0] a[0] hoot[0] to[0] boot[0] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
i give it a b  . 	i give it a b  .	1	-1	 i[0] give[0] it[0] a[0] b[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
