tibet has entered the american consciousness slowly during the past few years and burst into the forefront recently . 	Translation	Positive	Negative	EmotionRationale
 " kundun " features only native actors and is more of an insider's story . 	 " kundun " features only native actors and is more of an insider's story .	1	-1	 kundun[0] features[0] only[0] native[0] actors[0] and[0] is[0] more[0] of[0] an[0] insider's[0] story[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in some ways , this makes this film a superior concept , but it lacks the movement and spark that made " seven years " such an audience-pleaser . 	in some ways , this makes this film a superior concept , but it lacks the movement and spark that made " seven years " such an audience-pleaser .	3	-1	 in[0] some[0] ways[0] this[0] makes[0] this[0] film[0] a[0] superior[2] concept[0] but[0] it[0] lacks[0] the[0] movement[0] and[0] spark[0] that[0] made[0] seven[0] years[0] such[0] an[0] audience[0] pleaser[1] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the actors contribute to the realistic feel of the movie ( filmed in morocco for obvious reasons ) . 	the actors contribute to the realistic feel of the movie ( filmed in morocco for obvious reasons ) .	1	-1	 the[0] actors[0] contribute[0] to[0] the[0] realistic[0] feel[0] of[0] the[0] movie[0] filmed[0] in[0] morocco[0] for[0] obvious[0] reasons[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the only disappointment is chairman mao who looks like a wax dummy and moves as if he were a computer-generated character . 	the only disappointment is chairman mao who looks like a wax dummy and moves as if he were a computer-generated character .	2	-2	 the[0] only[0] disappointment[-1] is[0] chairman[0] mao[0] who[0] looks[0] like[1] a[0] wax[0] dummy[0] and[0] moves[0] as[0] if[0] he[0] were[0] a[0] computer[0] generated[0] character[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
on an intellectual level , it is interesting to see how two different approaches handle the same facts . 	on an intellectual level , it is interesting to see how two different approaches handle the same facts .	2	-1	 on[0] an[0] intellectual[0] level[0] it[0] is[0] interesting[1] to[0] see[0] how[0] two[0] different[0] approaches[0] handle[0] the[0] same[0] facts[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
some events are depicted differently and pitt's austrian mountain-climber who was portrayed as a pivotal influence in the dalai lama's life isn't even mentioned here . 	some events are depicted differently and pitt's austrian mountain-climber who was portrayed as a pivotal influence in the dalai lama's life isn't even mentioned here .	1	-1	 some[0] events[0] are[0] depicted[0] differently[0] and[0] pitt's[0] austrian[0] mountain[0] climber[0] who[0] was[0] portrayed[0] as[0] a[0] pivotal[0] influence[0] in[0] the[0] dalai[0] lama's[0] life[0] isn't[0] even[0] mentioned[0] here[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
glossed over in " seven years " , the problems with the tibetan political system is hinted at here as the dalai lama muses " we were just about to change things " after the chinese attack . 	glossed over in " seven years " , the problems with the tibetan political system is hinted at here as the dalai lama muses " we were just about to change things " after the chinese attack .	1	-3	 glossed[0] over[0] in[0] seven[0] years[0] the[0] problems[-1] with[0] the[0] tibetan[0] political[0] system[0] is[0] hinted[0] at[0] here[0] as[0] the[0] dalai[0] lama[0] muses[0] we[0] were[0] just[0] about[0] to[0] change[0] things[0] after[0] the[0] chinese[0] attack[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the film is magnificently beautiful thanks primarily to the cinematography of roger deakins . 	the film is magnificently beautiful thanks primarily to the cinematography of roger deakins .	4	-1	 the[0] film[0] is[0] magnificently[3] beautiful[2][+1 MultiplePositiveWords] thanks[1] primarily[0] to[0] the[0] cinematography[0] of[0] roger[0] deakins[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
his lingering camera shows the exotic tibetan culture with luscious detail . 	his lingering camera shows the exotic tibetan culture with luscious detail .	1	-1	 his[0] lingering[0] camera[0] shows[0] the[0] exotic[0] tibetan[0] culture[0] with[0] luscious[0] detail[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
especially striking is an extreme moving close up of a sand mandala grain by grain . 	especially striking is an extreme moving close up of a sand mandala grain by grain .	1	-1	 especially[0] striking[0] is[0] an[0] extreme[0] moving[0] close[0] up[0] of[0] a[0] sand[0] mandala[0] grain[0] by[0] grain[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the visual treats more than make up for the movie's faults creating a poetic meditation for the audience . 	the visual treats more than make up for the movie's faults creating a poetic meditation for the audience .	1	-2	 the[0] visual[0] treats[0] more[0] than[0] make[0] up[0] for[0] the[0] movie's[0] faults[-1] creating[0] a[0] poetic[0] meditation[0] for[0] the[0] audience[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
walking out of the theater you feel like you have awakened from a transcendental experience . 	walking out of the theater you feel like you have awakened from a transcendental experience .	2	-1	 walking[0] out[0] of[0] the[0] theater[0] you[0] feel[0] like[1] you[0] have[0] awakened[0] from[0] a[0] transcendental[0] experience[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
martin scorsese , known for his dark tales of the underworld ( " goodfellas " , " taxi driver " , " casino " ) has shifted gears . 	martin scorsese , known for his dark tales of the underworld ( " goodfellas " , " taxi driver " , " casino " ) has shifted gears .	1	-2	 martin[0] scorsese[0] known[0] for[0] his[0] dark[0] tales[0] of[0] the[0] underworld[-1] goodfellas[0] taxi[-1] driver[0] casino[0] has[0] shifted[0] gears[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
something of a thematic follow-up to his " the last temptation of christ " , this is his slowest film yet . 	something of a thematic follow-up to his " the last temptation of christ " , this is his slowest film yet .	1	-2	 something[0] of[0] a[0] thematic[0] follow[0] up[0] to[0] his[0] the[0] last[0] temptation[-1] of[0] christ[0] this[0] is[0] his[0] slowest[0] film[0] yet[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
oddly enough for a director with a history of graphic violence presenting a history filled with atrocities by the chinese , most of these events take place off-screen . 	oddly enough for a director with a history of graphic violence presenting a history filled with atrocities by the chinese , most of these events take place off-screen .	1	-4	 oddly[0] enough[0] for[0] a[0] director[0] with[0] a[0] history[0] of[0] graphic[0] violence[-3] presenting[0] a[0] history[0] filled[0] with[0] atrocities[0] by[0] the[0] chinese[0] most[0] of[0] these[0] events[0] take[0] place[0] off[0] screen[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
his decision to not over-explain rituals is commendable . 	his decision to not over-explain rituals is commendable .	1	-1	 his[0] decision[0] to[0] not[0] over[0] explain[0] rituals[0] is[0] commendable[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the stumbling oracle who spits out his prophecies while in a trance state is much more effective as a mystery than if we were spoon-fed interpretations . 	the stumbling oracle who spits out his prophecies while in a trance state is much more effective as a mystery than if we were spoon-fed interpretations .	1	-1	 the[0] stumbling[0] oracle[0] who[0] spits[0] out[0] his[0] prophecies[0] while[0] in[0] a[0] trance[0] state[0] is[0] much[0] more[0] effective[0] as[0] a[0] mystery[0] than[0] if[0] we[0] were[0] spoon[0] fed[0] interpretations[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
philip glass's score is impressive although at times it is too overwhelming and distracting . 	philip glass's score is impressive although at times it is too overwhelming and distracting .	2	-3	 philip[0] glass's[0] score[0] is[0] impressive[1] although[0] at[0] times[0] it[0] is[0] too[0] overwhelming[-2] and[0] distracting[-1] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
i talked to a tibetan i met outside the theater who had just seen the film and was walking back in to see it again . 	i talked to a tibetan i met outside the theater who had just seen the film and was walking back in to see it again .	1	-1	 i[0] talked[0] to[0] a[0] tibetan[0] i[0] met[0] outside[0] the[0] theater[0] who[0] had[0] just[0] seen[0] the[0] film[0] and[0] was[0] walking[0] back[0] in[0] to[0] see[0] it[0] again[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
hearing his description of how he escaped from tibet at the age of seven and how his father was one of the soldiers accompanying the dalai lama during his trip to india , i was struck by what was missing in the movie . 	hearing his description of how he escaped from tibet at the age of seven and how his father was one of the soldiers accompanying the dalai lama during his trip to india , i was struck by what was missing in the movie .	1	-2	 hearing[0] his[0] description[0] of[0] how[0] he[0] escaped[0] from[0] tibet[0] at[0] the[0] age[0] of[0] seven[0] and[0] how[0] his[0] father[0] was[0] one[0] of[0] the[0] soldiers[0] accompanying[0] the[0] dalai[0] lama[0] during[0] his[0] trip[0] to[0] india[0] i[0] was[0] struck[-1] by[0] what[0] was[0] missing[0] in[0] the[0] movie[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
as grand as it looks and as historically accurate as it is , there is a distance between the audience and the movie . 	as grand as it looks and as historically accurate as it is , there is a distance between the audience and the movie .	2	-1	 as[0] grand[1] as[0] it[0] looks[0] and[0] as[0] historically[0] accurate[0] as[0] it[0] is[0] there[0] is[0] a[0] distance[0] between[0] the[0] audience[0] and[0] the[0] movie[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the film is more concerned with visuals and history and less so with human beings . 	the film is more concerned with visuals and history and less so with human beings .	1	-2	 the[0] film[0] is[0] more[0] concerned[-1] with[0] visuals[0] and[0] history[0] and[0] less[0] so[0] with[0] human[0] beings[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
with the exception of a few scenes , involvement with the characters is slight . 	with the exception of a few scenes , involvement with the characters is slight .	1	-1	 with[0] the[0] exception[0] of[0] a[0] few[0] scenes[0] involvement[0] with[0] the[0] characters[0] is[0] slight[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
one of those exceptions is the portrayal of the young dalai lama , shown as a mischievous boy who can't resist being a kid sometimes . 	one of those exceptions is the portrayal of the young dalai lama , shown as a mischievous boy who can't resist being a kid sometimes .	1	-2	 one[0] of[0] those[0] exceptions[0] is[0] the[0] portrayal[0] of[0] the[0] young[0] dalai[0] lama[0] shown[0] as[0] a[0] mischievous[-1] boy[0] who[0] can't[0] resist[0] being[0] a[0] kid[0] sometimes[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
an encounter with his older brother thubten j . norbu ( a retired indiana university professor ) who tells the young leader the chinese have ordered him to persuade him to accept communist rule or kill him is an outstanding moment , but there aren't many of these . 	an encounter with his older brother thubten j .<br> norbu ( a retired indiana university professor ) who tells the young leader the chinese have ordered him to persuade him to accept communist rule or kill him is an outstanding moment , but there aren't many of these .	3	-2	 an[0] encounter[0] with[0] his[0] older[0] brother[0] thubten[0] j[0] [[Sentence=-1,1=word max, 1-5]] norbu[0] a[0] retired[-1] indiana[0] university[0] professor[0] who[0] tells[0] the[0] young[0] leader[0] the[0] chinese[0] have[0] ordered[0] him[0] to[0] persuade[0] him[0] to[0] accept[0] communist[0] rule[0] or[0] kill[-1] him[0] is[0] an[0] outstanding[2] moment[0] but[0] there[0] aren't[0] many[0] of[0] these[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
even with its problems , the " kundun " experience is phenomenal , but one that i fear most will miss . 	even with its problems , the " kundun " experience is phenomenal , but one that i fear most will miss .	2	-4	 even[0] with[0] its[0] problems[-1] the[0] kundun[0] experience[0] is[0] phenomenal[0] but[0] one[0] that[0] i[0] fear[-3] most[0] will[0] miss[-1] [[Sentence=-4,1=word max, 1-5]] [[changed to +2 due to 'miss']][[[2,-4 max of sentences]]]
many people who saw " seven years in tibet " will have a " been there , done that " attitude . 	many people who saw " seven years in tibet " will have a " been there , done that " attitude .	1	-1	 many[0] people[0] who[0] saw[0] seven[0] years[0] in[0] tibet[0] will[0] have[0] a[0] been[0] there[0] done[0] that[0] attitude[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it's likely that the film will miss a wide-spread appeal and public response will be the sound of one hand clapping . 	it's likely that the film will miss a wide-spread appeal and public response will be the sound of one hand clapping .	2	-2	 it's[0] likely[0] that[0] the[0] film[0] will[0] miss[-1] a[0] wide[0] spread[0] appeal[0] and[0] public[0] response[0] will[0] be[0] the[0] sound[0] of[0] one[0] hand[0] clapping[0] [[Sentence=-2,1=word max, 1-5]] [[changed to +2 due to 'miss']][[[2,-2 max of sentences]]]
