 " seven " is one of the best mystery movies i've ever seen . 	Translation	Positive	Negative	EmotionRationale
we become just as tense and worried as the detectives because of this thick atmosphere of the unknown . 	we become just as tense and worried as the detectives because of this thick atmosphere of the unknown .	1	-4	 we[0] become[0] just[0] as[0] tense[-2] and[0] worried[-3] as[0] the[0] detectives[0] because[0] of[0] this[0] thick[0] atmosphere[0] of[0] the[0] unknown[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
not that many films have such an interesting and intriguing screenplay as this . 	not that many films have such an interesting and intriguing screenplay as this .	2	-1	 not[0] that[0] many[0] films[0] have[0] such[0] an[0] interesting[1] and[0] intriguing[0] screenplay[0] as[0] this[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the only problem i had with the film is the way in which mills and sommerset are lead to a suspect . 	the only problem i had with the film is the way in which mills and sommerset are lead to a suspect .	1	-2	 the[0] only[0] problem[-1] i[0] had[0] with[0] the[0] film[0] is[0] the[0] way[0] in[0] which[0] mills[0] and[0] sommerset[0] are[0] lead[0] to[0] a[0] suspect[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
let's just say it seems a little too " mystery movie , " or too convenient in other words . 	let's just say it seems a little too " mystery movie , " or too convenient in other words .	1	-1	 let's[0] just[0] say[0] it[0] seems[0] a[0] little[0] too[0] mystery[0] movie[0] or[0] too[0] convenient[0] in[0] other[0] words[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
when they are led to a suspect by the name of john doe , a terrific chase scene ensues . 	when they are led to a suspect by the name of john doe , a terrific chase scene ensues .	4	-2	 when[0] they[0] are[0] led[0] to[0] a[0] suspect[-1] by[0] the[0] name[0] of[0] john[0] doe[0] a[0] terrific[3] chase[-1] scene[0] ensues[0] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
this is a typical thrilling element , but it works perfectly here because of the process of the story . 	this is a typical thrilling element , but it works perfectly here because of the process of the story .	4	-1	 this[0] is[0] a[0] typical[0] thrilling[3] element[0] but[0] it[0] works[0] perfectly[1] here[0] because[0] of[0] the[0] process[0] of[0] the[0] story[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
if anything , this film is the epitome of twist endings . 	if anything , this film is the epitome of twist endings .	1	-1	 if[0] anything[0] this[0] film[0] is[0] the[0] epitome[0] of[0] twist[0] endings[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i don't have to tell you mills and sommerset finally catch the criminal , but the way in which this happens is surprising . 	i don't have to tell you mills and sommerset finally catch the criminal , but the way in which this happens is surprising .	1	-2	 i[0] don't[0] have[0] to[0] tell[0] you[0] mills[0] and[0] sommerset[0] finally[0] catch[0] the[0] criminal[-1] but[0] the[0] way[0] in[0] which[0] this[0] happens[0] is[0] surprising[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
there is a scene of intriguing philosophy between the killer and the detectives , and even though he's obviously insane , his charisma makes for some good points . 	there is a scene of intriguing philosophy between the killer and the detectives , and even though he's obviously insane , his charisma makes for some good points .	1	-2	 there[0] is[0] a[0] scene[0] of[0] intriguing[0] philosophy[0] between[0] the[0] killer[-1] and[0] the[0] detectives[0] and[0] even[0] though[0] he's[0] obviously[0] insane[-1] his[0] charisma[0] makes[0] for[0] some[0] good[1][-1 LastWordBoosterStrength] points[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
what's even more surprising is the last few scenes themselves as the suspense comes to a terrific climax as the film's resolution comes down to a question of what justice really is . 	what's even more surprising is the last few scenes themselves as the suspense comes to a terrific climax as the film's resolution comes down to a question of what justice really is .	4	-1	 what's[0] even[0] more[0] surprising[0] is[0] the[0] last[0] few[0] scenes[0] themselves[0] as[0] the[0] suspense[0] comes[0] to[0] a[0] terrific[3] climax[0] as[0] the[0] film's[0] resolution[0] comes[0] down[0] to[0] a[0] question[0] of[0] what[0] justice[0] really[0] is[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
 " seven " is not just a film about crime , but about the evil within man . 	 " seven " is not just a film about crime , but about the evil within man .	1	-3	 seven[0] is[0] not[0] just[0] a[0] film[0] about[0] crime[-1] but[0] about[0] the[0] evil[-2] within[0] man[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
john doe felt he was doing society a favor by ridding it of " scum . " 	john doe felt he was doing society a favor by ridding it of " scum .<br> "	2	-3	 john[0] doe[0] felt[0] he[0] was[0] doing[0] society[0] a[0] favor[1] by[0] ridding[0] it[0] of[0] scum[-2] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
but as justified as he makes himself seem , we must never be tempted by such twisted ideals of justice . 	but as justified as he makes himself seem , we must never be tempted by such twisted ideals of justice .	1	-1	 but[0] as[0] justified[0] as[0] he[0] makes[0] himself[0] seem[0] we[0] must[0] never[0] be[0] tempted[0] by[0] such[0] twisted[0] ideals[0] of[0] justice[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
