i remember seeing the trailer of the black cauldron on the pinocchio video . 	Translation	Positive	Negative	EmotionRationale
along the way , he meets up with a mischievous little creature named gurgi , who desires  munchings and crunchings' , much to his dismay ( besides , he stole an apple that taran was trying to use to bring back hen wen ) . 	along the way , he meets up with a mischievous little creature named gurgi , who desires  munchings and crunchings' , much to his dismay ( besides , he stole an apple that taran was trying to use to bring back hen wen ) .	1	-3	 along[0] the[0] way[0] he[0] meets[0] up[0] with[0] a[0] mischievous[-1] little[0] creature[0] named[0] gurgi[0] who[0] desires[0] munchings[0] and[0] crunchings'[0] much[0] to[0] his[0] dismay[-2] besides[0] he[0] stole[-1] an[0] apple[0] that[0] taran[0] was[0] trying[0] to[0] use[0] to[0] bring[0] back[0] hen[0] wen[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
when he hears hen wen's squeal from far away , though , he races to her rescue ? only to see her get kidnapped by dragonlike gwythants . 	when he hears hen wen's squeal from far away , though , he races to her rescue ?<br> only to see her get kidnapped by dragonlike gwythants .	1	-1	 when[0] he[0] hears[0] hen[0] wen's[0] squeal[0] from[0] far[0] away[0] though[0] he[0] races[0] to[0] her[0] rescue[0] [[Sentence=-1,1=word max, 1-5]] only[0] to[0] see[0] her[0] get[0] kidnapped[0] by[0] dragonlike[0] gwythants[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
taran chases after the gwythants and finds himself staring at the horned king's castle from far away . 	taran chases after the gwythants and finds himself staring at the horned king's castle from far away .	1	-2	 taran[0] chases[-1] after[0] the[0] gwythants[0] and[0] finds[0] himself[0] staring[0] at[0] the[0] horned[0] king's[0] castle[0] from[0] far[0] away[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
taran climbs the castle walls , and brings himself into the castle , where he attempts to rescue hen wen . 	taran climbs the castle walls , and brings himself into the castle , where he attempts to rescue hen wen .	1	-1	 taran[0] climbs[0] the[0] castle[0] walls[0] and[0] brings[0] himself[0] into[0] the[0] castle[0] where[0] he[0] attempts[0] to[0] rescue[0] hen[0] wen[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he manages to do so , but he is himself captured and thrown into the dungeon . 	he manages to do so , but he is himself captured and thrown into the dungeon .	1	-2	 he[0] manages[0] to[0] do[0] so[0] but[0] he[0] is[0] himself[0] captured[-1] and[0] thrown[0] into[0] the[0] dungeon[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
there , he meets princess eilonwy ( and her magic bauble , another thing which the horned king was hoping to use to find the cauldron ) , and the two escape through the deep castle walls . 	there , he meets princess eilonwy ( and her magic bauble , another thing which the horned king was hoping to use to find the cauldron ) , and the two escape through the deep castle walls .	2	-1	 there[0] he[0] meets[0] princess[0] eilonwy[0] and[0] her[0] magic[0] bauble[0] another[0] thing[0] which[0] the[0] horned[0] king[0] was[0] hoping[1] to[0] use[0] to[0] find[0] the[0] cauldron[0] and[0] the[0] two[0] escape[0] through[0] the[0] deep[0] castle[0] walls[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
along the way , taran finds a sword in a burial chamber , and they rescue a comic bard named fflewdurr flamm , who has a harp whose strings break whenever he tells a lie . 	along the way , taran finds a sword in a burial chamber , and they rescue a comic bard named fflewdur flam , who has a harp whose strings break whenever he tells a lie .	1	-1	 along[0] the[0] way[0] taran[0] finds[0] a[0] sword[0] in[0] a[0] burial[0] chamber[0] and[0] they[0] rescue[0] a[0] comic[0] bard[0] named[0] fflewdurr/fflewdur[0] flamm/flam[0] who[0] has[0] a[0] harp[0] whose[0] strings[0] break[0] whenever[0] he[0] tells[0] a[0] lie[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the three manage to escape the horned king's castle , but not before taran realizes that his sword is magic . 	the three manage to escape the horned king's castle , but not before taran realizes that his sword is magic .	1	-1	 the[0] three[0] manage[0] to[0] escape[0] the[0] horned[0] king's[0] castle[0] but[0] not[0] before[0] taran[0] realizes[0] that[0] his[0] sword[0] is[0] magic[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
as they rest in the forest , gurgi reappears , claiming to have found hen wen's trail . 	as they rest in the forest , gurgi reappears , claiming to have found hen wen's trail .	1	-1	 as[0] they[0] rest[0] in[0] the[0] forest[0] gurgi[0] reappears[0] claiming[0] to[0] have[0] found[0] hen[0] wen's[0] trail[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he leads taran , eilonwy and fflewdurr , by way of  pig tracks' , to a whirlpool . 	he leads taran , eilonwy and fflewdur , by way of  pig tracks' , to a whirlpool .	1	-1	 he[0] leads[0] taran[0] eilonwy[0] and[0] fflewdurr/fflewdur[0] by[0] way[0] of[0] pig[0] tracks'[0] to[0] a[0] whirlpool[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
suddenly , they all get sucked under , and they meet the fairy-like fairfolk . 	suddenly , they all get sucked under , and they meet the fairy-like fairfolk .	2	-2	 suddenly[0] they[0] all[0] get[0] sucked[-1] under[0] and[0] they[0] meet[0] the[0] fairy[0] like[1] fairfolk[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
taran is reunited with hen wen , and informed that the black cauldron is hidden in the land of morva . 	taran is reunited with hen wen , and informed that the black cauldron is hidden in the land of morva .	1	-1	 taran[0] is[0] reunited[0] with[0] hen[0] wen[0] and[0] informed[0] that[0] the[0] black[0] cauldron[0] is[0] hidden[0] in[0] the[0] land[0] of[0] morva[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he then devises a crazy idea that if they can destroy the cauldron , it would prevent the horned king from destroying their world . 	he then devises a crazy idea that if they can destroy the cauldron , it would prevent the horned king from destroying their world .	1	-3	 he[0] then[0] devises[0] a[0] crazy[-1] idea[0] that[0] if[0] they[0] can[0] destroy[-2] the[0] cauldron[0] it[0] would[0] prevent[0] the[0] horned[0] king[0] from[0] destroying[-2] their[0] world[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
with the help of a grumpy fairy named doli , the four travelers manage to find themselves at a mysterious cottage . 	with the help of a grumpy fairy named doli , the four travelers manage to find themselves at a mysterious cottage .	1	-1	 with[0] the[0] help[0] of[0] a[0] grumpy[0] fairy[0] named[0] doli[0] the[0] four[0] travelers[0] manage[0] to[0] find[0] themselves[0] at[0] a[0] mysterious[0] cottage[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it turns out to be no ordinary cottage ; three comically strange witches inhabit the place . 	it turns out to be no ordinary cottage ; three comically strange witches inhabit the place .	1	-1	 it[0] turns[0] out[0] to[0] be[0] no[0] ordinary[0] cottage[0] three[0] comically[0] strange[0] witches[0] inhabit[0] the[0] place[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
when taran tells them that they are searching for the black cauldron , they agree to let him have it ? in exchange for his sword . 	when taran tells them that they are searching for the black cauldron , they agree to let him have it ?<br> in exchange for his sword .	1	-1	 when[0] taran[0] tells[0] them[0] that[0] they[0] are[0] searching[0] for[0] the[0] black[0] cauldron[0] they[0] agree[0] to[0] let[0] him[0] have[0] it[0] [[Sentence=-1,1=word max, 1-5]] in[0] exchange[0] for[0] his[0] sword[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
taran agrees , much to eilonwy's horror , but at least they get the black cauldron . 	taran agrees , much to eilonwy's horror , but at least they get the black cauldron .	1	-4	 taran[0] agrees[0] much[0] to[0] eilonwy's[0] horror[-3] but[0] at[0] least[0] they[0] get[0] the[0] black[0] cauldron[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
but ? the cauldron can't be destroyed , only its evil powers can be stopped . 	but ?<br> the cauldron can't be destroyed , only its evil powers can be stopped .	3	-3	 but[0] [[Sentence=-1,1=word max, 1-5]] the[0] cauldron[0] can't[0] be[0] destroyed[-2][NegatedDueToPreviousWord] only[0] its[0] evil[-2] powers[0] can[0] be[0] stopped[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
the only way to do so is for a living being to climb into it of his own free will ? never to return alive . 	the only way to do so is for a living being to climb into it of his own free will ?<br> never to return alive .	1	-1	 the[0] only[0] way[0] to[0] do[0] so[0] is[0] for[0] a[0] living[0] being[0] to[0] climb[0] into[0] it[0] of[0] his[0] own[0] free[0] will[0] [[Sentence=-1,1=word max, 1-5]] never[0] to[0] return[0] alive[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
things take a turn for the worse when the horned king's henchmen capture taran , eilonwy , and fflewdurr , along with the black cauldron , and lead them back to the castle . 	things take a turn for the worse when the horned king's henchmen capture taran , eilonwy , and fflewdur , along with the black cauldron , and lead them back to the castle .	1	-3	 things[0] take[0] a[0] turn[0] for[0] the[0] worse[-2] when[0] the[0] horned[0] king's[0] henchmen[0] capture[-1] taran[0] eilonwy[0] and[0] fflewdurr/fflewdur[0] along[0] with[0] the[0] black[0] cauldron[0] and[0] lead[0] them[0] back[0] to[0] the[0] castle[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
taran , eilonwy , and fflewdurr watch in horror as the horned king unleashes the supernatural powers of the cauldron to ressurect his army of deathless warriors ( this is the most horrifying scene in the film , because here , a dead army comes alive ? ) . 	taran , eilonwy , and fflewdur watch in horror as the horned king unleashes the supernatural powers of the cauldron to ressurect his army of deathless warriors ( this is the most horrifying scene in the film , because here , a dead army comes alive ?<br> ) .	1	-4	 taran[0] eilonwy[0] and[0] fflewdurr/fflewdur[0] watch[0] in[0] horror[-3] as[0] the[0] horned[0] king[0] unleashes[0] the[0] supernatural[0] powers[0] of[0] the[0] cauldron[0] to[0] ressurect[0] his[0] army[0] of[0] deathless[-2] warriors[0] this[0] is[0] the[0] most[0] horrifying[-3] scene[0] in[0] the[0] film[0] because[0] here[0] a[0] dead[-2] army[0] comes[0] alive[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
just when all seems lost , though , gurgi reappears , and rescues taran , eilonwy , and fflewdurr . 	just when all seems lost , though , gurgi reappears , and rescues taran , eilonwy , and fflewdur .	1	-1	 just[0] when[0] all[0] seems[0] lost[0] though[0] gurgi[0] reappears[0] and[0] rescues[0] taran[0] eilonwy[0] and[0] fflewdurr/fflewdur[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
taran is about to jump into the black cauldron , but gurgi stops him , not wanting him to throw his life away . 	taran is about to jump into the black cauldron , but gurgi stops him , not wanting him to throw his life away .	1	-1	 taran[0] is[0] about[0] to[0] jump[0] into[0] the[0] black[0] cauldron[0] but[0] gurgi[0] stops[0] him[0] not[0] wanting[0] him[0] to[0] throw[0] his[0] life[0] away[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
gurgi then jumps into the black cauldron , and the deathless warriors decay . 	gurgi then jumps into the black cauldron , and the deathless warriors decay .	1	-3	 gurgi[0] then[0] jumps[0] into[0] the[0] black[0] cauldron[0] and[0] the[0] deathless[-2] warriors[0] decay[-1] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
taran tries to find a way to rescue gurgi , but he is forced to do battle against the horned king . 	taran tries to find a way to rescue gurgi , but he is forced to do battle against the horned king .	1	-2	 taran[0] tries[0] to[0] find[0] a[0] way[0] to[0] rescue[0] gurgi[0] but[0] he[0] is[0] forced[0] to[0] do[0] battle[-1] against[-1] the[0] horned[0] king[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
he kicks the horned king away , who is then magically sucked into the black cauldron , where its powers immediately destroy him completely . 	he kicks the horned king away , who is then magically sucked into the black cauldron , where its powers immediately destroy him completely .	1	-3	 he[0] kicks[-1] the[0] horned[0] king[0] away[0] who[0] is[0] then[0] magically[0] sucked[-1] into[0] the[0] black[0] cauldron[0] where[0] its[0] powers[0] immediately[0] destroy[-2] him[0] completely[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
taran , eilonwy , and fflewdurr manage to escape from the horned king's castle just as it self-destructs . 	taran , eilonwy , and fflewdur manage to escape from the horned king's castle just as it self-destructs .	1	-1	 taran[0] eilonwy[0] and[0] fflewdurr/fflewdur[0] manage[0] to[0] escape[0] from[0] the[0] horned[0] king's[0] castle[0] just[0] as[0] it[0] self[0] destructs[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the witches then reappear and attempt to take the now useless black cauldron away , but fflewdurr stops them , saying that they  never give anything away , they bargain' . 	the witches then reappear and attempt to take the now useless black cauldron away , but fflewdur stops them , saying that they  never give anything away , they bargain' .	1	-3	 the[0] witches[0] then[0] reappear[0] and[0] attempt[0] to[0] take[0] the[0] now[0] useless[-2] black[0] cauldron[0] away[0] but[0] fflewdurr/fflewdur[0] stops[0] them[0] saying[0] that[0] they[0] never[0] give[0] anything[0] away[0] they[0] bargain'[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
in response to this , the witches offer taran his sword back , but taran instead has a new trade : the cauldron for gurgi . 	in response to this , the witches offer taran his sword back , but taran instead has a new trade : the cauldron for gurgi .	1	-1	 in[0] response[0] to[0] this[0] the[0] witches[0] offer[0] taran[0] his[0] sword[0] back[0] but[0] taran[0] instead[0] has[0] a[0] new[0] trade[0] the[0] cauldron[0] for[0] gurgi[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the trade is made ; gurgi's seemingly lifeless body reappears before the heartbroken group . 	the trade is made ; gurgi's seemingly lifeless body reappears before the heartbroken group .	1	-4	 the[0] trade[0] is[0] made[0] gurgi's[0] seemingly[0] lifeless[-1] body[0] reappears[0] before[0] the[0] heartbroken[-3] group[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
as taran cradles him in his arms , though , gurgi stirs-he is not dead after all ! 	as taran cradles him in his arms , though , gurgi stirs-he is not dead after all !	3	-1	 as[0] taran[0] cradles[0] him[0] in[0] his[0] arms[0] though[0] gurgi[0] stirs[0] he[0] is[0] not[0] dead[-2][NegatedDueToPreviousWord] after[0] all[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the happy group then returns home , where hen wen ( brought home by the fairfolk once the dangers are past ) , dallben , and even doli , await their triumphant return . 	the happy group then returns home , where hen wen ( brought home by the fairfolk once the dangers are past ) , dallben , and even doli , await their triumphant return .	3	-2	 the[0] happy[1] group[0] then[0] returns[0] home[0] where[0] hen[0] wen[0] brought[0] home[0] by[0] the[0] fairfolk[0] once[0] the[0] dangers[-1] are[0] past[0] dallben[0] and[0] even[0] doli[0] await[0] their[0] triumphant[2] return[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
as spectacular as it sounds , the black cauldron really suffered a lot in its past times . 	as spectacular as it sounds , the black cauldron really suffered a lot in its past times .	1	-5	 as[0] spectacular[0] as[0] it[0] sounds[0] the[0] black[0] cauldron[0] really[0] suffered[-3][-1 LastWordBoosterStrength] a[0] lot[0] in[0] its[0] past[0] times[0] [[Sentence=-5,1=word max, 1-5]][[[1,-5 max of sentences]]]
before ron miller was fired from his position as chairman of walt disney productions , he had bought a novel by lloyd alexander called the black cauldron , a sword and sorcery tale for the studio . 	before ron miller was fired from his position as chairman of walt disney productions , he had bought a novel by lloyd alexander called the black cauldron , a sword and sorcery tale for the studio .	1	-3	 before[0] ron[0] miller[0] was[0] fired[-2] from[0] his[0] position[0] as[0] chairman[0] of[0] walt[0] disney[0] productions[0] he[0] had[0] bought[0] a[0] novel[0] by[0] lloyd[0] alexander[0] called[0] the[0] black[0] cauldron[0] a[0] sword[0] and[0] sorcery[0] tale[0] for[0] the[0] studio[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
bringing this book to the screen was the studio's fondest dream . 	bringing this book to the screen was the studio's fondest dream .	1	-1	 bringing[0] this[0] book[0] to[0] the[0] screen[0] was[0] the[0] studio's[0] fondest[0] dream[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
miller , who entitled himself as the executive producer , promised that they would do so after they had proved themselves on other projects . 	miller , who entitled himself as the executive producer , promised that they would do so after they had proved themselves on other projects .	2	-1	 miller[0] who[0] entitled[0] himself[0] as[0] the[0] executive[0] producer[0] promised[1] that[0] they[0] would[0] do[0] so[0] after[0] they[0] had[0] proved[0] themselves[0] on[0] other[0] projects[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
when micheal eisner and his executives arrived at the disney animation studio , the animators were struggling to complete the black cauldron . 	when micheal eisner and his executives arrived at the disney animation studio , the animators were struggling to complete the black cauldron .	1	-2	 when[0] micheal[0] eisner[0] and[0] his[0] executives[0] arrived[0] at[0] the[0] disney[0] animation[0] studio[0] the[0] animators[0] were[0] struggling[-1] to[0] complete[0] the[0] black[0] cauldron[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
by this time , things had gone really rocky for the animation department . 	by this time , things had gone really rocky for the animation department .	1	-1	 by[0] this[0] time[0] things[0] had[0] gone[0] really[0] rocky[0] for[0] the[0] animation[0] department[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
many of the studio's old men had retired or died . 	many of the studio's old men had retired or died .	1	-2	 many[0] of[0] the[0] studio's[0] old[0] men[0] had[0] retired[-1] or[0] died[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
therefore , the animators suffered a hard time making this film . 	therefore , the animators suffered a hard time making this film .	1	-4	 therefore[0] the[0] animators[0] suffered[-3] a[0] hard[0] time[0] making[0] this[0] film[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
originally budgeted at  25 million , the costs raised to  40 million because of constant changes on everything ? and when it was finally released on june 24 , 1985 , the black cauldron was greeted by praising reviews from some critics , but somehow the film flopped . 	originally budgeted at  25 million , the costs raised to  40 million because of constant changes on everything ?<br> and when it was finally released on june 24 , 1985 , the black cauldron was greeted by praising reviews from some critics , but somehow the film flopped .	3	-1	 originally[0] budgeted[0] at[0] 25[0] million[0] the[0] costs[0] raised[0] to[0] 40[0] million[0] because[0] of[0] constant[0] changes[0] on[0] everything[0] [[Sentence=-1,1=word max, 1-5]] and[0] when[0] it[0] was[0] finally[0] released[0] on[0] june[0] 24[0] 1985[0] the[0] black[0] cauldron[0] was[0] greeted[0] by[0] praising[2] reviews[0] from[0] some[0] critics[0] but[0] somehow[0] the[0] film[0] flopped[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the film was rated pg and the film , although  disneyfied' from lloyd alexander's chronicles of prydain ( which is what this film is based on ) , was much more scarier and darker than disney's other previous efforts , such as the rescuers and the fox and the hound , which is probably why so many people considered it too scary and stayed away from it . 	the film was rated pg and the film , although  disneyfied' from lloyd alexander's chronicles of prydain ( which is what this film is based on ) , was much more scarier and darker than disney's other previous efforts , such as the rescuers and the fox and the hound , which is probably why so many people considered it too scary and stayed away from it .	1	-4	 the[0] film[0] was[0] rated[0] pg[0] and[0] the[0] film[0] although[0] disneyfied'[0] from[0] lloyd[0] alexander's[0] chronicles[0] of[0] prydain[-1] which[0] is[0] what[0] this[0] film[0] is[0] based[0] on[0] was[0] much[0] more[0] scarier[0] and[0] darker[0] than[0] disney's[0] other[0] previous[0] efforts[0] such[0] as[0] the[0] rescuers[0] and[0] the[0] fox[0] and[0] the[0] hound[0] which[0] is[0] probably[0] why[0] so[0] many[0] people[0] considered[0] it[0] too[0] scary[-3] and[0] stayed[0] away[0] from[0] it[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
in addition , other critics rejected it for having  no heart' and  unmemorable' , compared to other disney animated features . 	in addition , other critics rejected it for having  no heart' and  unmemorable' , compared to other disney animated features .	1	-2	 in[0] addition[0] other[0] critics[0] rejected[-1] it[0] for[0] having[0] no[0] heart'[0] and[0] unmemorable'[0] compared[0] to[0] other[0] disney[0] animated[0] features[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
but whatever the real reason , the black cauldron was a financial disaster , grossing only  21 million . 	but whatever the real reason , the black cauldron was a financial disaster , grossing only  21 million .	1	-2	 but[0] whatever[0] the[0] real[0] reason[0] the[0] black[0] cauldron[0] was[0] a[0] financial[0] disaster[-1] grossing[-1] only[0] 21[0] million[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the failure of the film grounded the studio's animation department , and exiled the animation team to annex buildings in nearby glendale , and it seemed like animated features would no longer become a part of the studio's reputation . 	the failure of the film grounded the studio's animation department , and exiled the animation team to annex buildings in nearby glendale , and it seemed like animated features would no longer become a part of the studio's reputation .	2	-3	 the[0] failure[-2] of[0] the[0] film[0] grounded[0] the[0] studio's[0] animation[0] department[0] and[0] exiled[-1] the[0] animation[0] team[0] to[0] annex[0] buildings[0] in[0] nearby[0] glendale[0] and[0] it[0] seemed[0] like[1] animated[0] features[0] would[0] no[0] longer[0] become[0] a[0] part[0] of[0] the[0] studio's[0] reputation[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
the next two disney animated features , the great mouse detective and oliver and company , although a little more lighthearted than the black cauldron , didn't do much better ( although oliver and company grossed much more than the black cauldron and the great mouse detective ) . 	the next two disney animated features , the great mouse detective and oliver and company , although a little more lighthearted than the black cauldron , didn't do much better ( although oliver and company grossed much more than the black cauldron and the great mouse detective ) .	3	-2	 the[0] next[0] two[0] disney[0] animated[0] features[0] the[0] great[2] mouse[0] detective[0] and[0] oliver[0] and[0] company[0] although[0] a[0] little[0] more[0] lighthearted[0] than[0] the[0] black[0] cauldron[0] didn't[0] do[0] much[0] better[0] although[0] oliver[0] and[0] company[0] grossed[-1] much[0] more[0] than[0] the[0] black[0] cauldron[0] and[0] the[0] great[2] mouse[0] detective[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
only with the little mermaid did the studio regain its reputation for successful animated features . 	only with the little mermaid did the studio regain its reputation for successful animated features .	3	-1	 only[0] with[0] the[0] little[0] mermaid[0] did[0] the[0] studio[0] regain[0] its[0] reputation[0] for[0] successful[2] animated[0] features[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
as for the black cauldron , it was rereleased in some cities for a temporary time under the title taran and the magic cauldron . 	as for the black cauldron , it was rereleased in some cities for a temporary time under the title taran and the magic cauldron .	1	-1	 as[0] for[0] the[0] black[0] cauldron[0] it[0] was[0] rereleased[0] in[0] some[0] cities[0] for[0] a[0] temporary[0] time[0] under[0] the[0] title[0] taran[0] and[0] the[0] magic[0] cauldron[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
