 " jaws " is a rare film that grabs your attention before it shows you a single image on screen . 	Translation	Positive	Negative	EmotionRationale
the entire second act takes place on the orca as the three men hunt the shark , and inevitably , are hunted by it . 	the entire second act takes place on the orca as the three men hunt the shark , and inevitably , are hunted by it .	1	-2	 the[0] entire[0] second[0] act[0] takes[0] place[0] on[0] the[0] orca[0] as[0] the[0] three[0] men[0] hunt[0] the[0] shark[-1] and[0] inevitably[0] are[0] hunted[0] by[0] it[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
 " jaws " is a thriller with a keen sense of humor and an incredible sense of pacing , tension , and horror . 	 " jaws " is a thriller with a keen sense of humor and an incredible sense of pacing , tension , and horror .	3	-4	 jaws[0] is[0] a[0] thriller[1] with[0] a[0] keen[0] sense[0] of[0] humor[2] and[0] an[0] incredible[0] sense[0] of[0] pacing[0] tension[-2] and[0] horror[-3] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
it is like ten movies all rolled into one , and it's no wonder it took america by storm in the summer of 1975 , taking in enough money to crown it the box office champ of all time ( until it was unceremoniously dethroned in 1977 by " star wars " ) . 	it is like ten movies all rolled into one , and it's no wonder it took america by storm in the summer of 1975 , taking in enough money to crown it the box office champ of all time ( until it was unceremoniously dethroned in 1977 by " star wars " ) .	2	-3	 it[0] is[0] like[1] ten[0] movies[0] all[0] rolled[0] into[0] one[0] and[0] it's[0] no[0] wonder[0] it[0] took[0] america[0] by[0] storm[-1] in[0] the[0] summer[0] of[0] 1975[0] taking[0] in[0] enough[0] money[0] to[0] crown[0] it[0] the[0] box[0] office[0] champ[0] of[0] all[0] time[0] until[0] it[0] was[0] unceremoniously[0] dethroned[0] in[0] 1977[0] by[0] star[0] wars[-2] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
even today , fascination with this film is on par with hitchcock's " psycho , " and it never seems to age . 	even today , fascination with this film is on par with hitchcock's " psycho , " and it never seems to age .	1	-1	 even[0] today[0] fascination[0] with[0] this[0] film[0] is[0] on[0] par[0] with[0] hitchcock's[0] psycho[0] and[0] it[0] never[0] seems[0] to[0] age[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
although grand new technology exists that makes the technical sequences , including several mechanical sharks , obsolete , none of it could improve the film because it only would lead to overkill . 	although grand new technology exists that makes the technical sequences , including several mechanical sharks , obsolete , none of it could improve the film because it only would lead to overkill .	2	-2	 although[0] grand[1] new[0] technology[0] exists[0] that[0] makes[0] the[0] technical[0] sequences[0] including[0] several[0] mechanical[0] sharks[0] obsolete[-1] none[0] of[0] it[0] could[0] improve[1][-1 LastWordBoosterStrength] the[0] film[0] because[0] it[0] only[0] would[0] lead[0] to[0] overkill[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the technical limitations faced by spielberg in 1975 may have actually produced a better film because it forced him to rely on traditional cinematic elements like pacing , characterization , sharp editing , and creative photography , instead of simply dousing the audience with digital shark effects . 	the technical limitations faced by spielberg in 1975 may have actually produced a better film because it forced him to rely on traditional cinematic elements like pacing , characterization , sharp editing , and creative photography , instead of simply dousing the audience with digital shark effects .	2	-2	 the[0] technical[0] limitations[0] faced[0] by[0] spielberg[0] in[0] 1975[0] may[0] have[0] actually[0] produced[0] a[0] better[0] film[0] because[0] it[0] forced[0] him[0] to[0] rely[0] on[0] traditional[0] cinematic[0] elements[0] like[1] pacing[0] characterization[0] sharp[0] editing[0] and[0] creative[0] photography[0] instead[0] of[0] simply[0] dousing[0] the[0] audience[0] with[0] digital[0] shark[-1] effects[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
scheider , dreyfuss , and shaw were known actors at the time " jaws " was made , but none of them had the draw of a robert redford or paul newman . 	scheider , dreyfuss , and shaw were known actors at the time " jaws " was made , but none of them had the draw of a robert redford or paul newman .	1	-1	 scheider[0] dreyfuss[0] and[0] shaw[0] were[0] known[0] actors[0] at[0] the[0] time[0] jaws[0] was[0] made[0] but[0] none[0] of[0] them[0] had[0] the[0] draw[0] of[0] a[0] robert[0] redford[0] or[0] paul[0] newman[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
nevertheless , this film guaranteed them all successful careers because each gave an outstanding performance and refused to be overshadowed by the shark . 	nevertheless , this film guaranteed them all successful careers because each gave an outstanding performance and refused to be overshadowed by the shark .	3	-2	 nevertheless[0] this[0] film[0] guaranteed[0] them[0] all[0] successful[2] careers[0] because[0] each[0] gave[0] an[0] outstanding[2] performance[0] and[0] refused[-1] to[0] be[0] overshadowed[0] by[0] the[0] shark[-1] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
scheider hits just the right notes as a sympathetic husband and father caught in the political quagmire of doing what's right and going against the entire town . 	scheider hits just the right notes as a sympathetic husband and father caught in the political quagmire of doing what's right and going against the entire town .	1	-2	 scheider[0] hits[0] just[0] the[0] right[0] notes[0] as[0] a[0] sympathetic[0] husband[0] and[0] father[0] caught[0] in[0] the[0] political[0] quagmire[0] of[0] doing[0] what's[0] right[0] and[0] going[0] against[-1] the[0] entire[0] town[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
 " it's your first summer here , you know , " mayor vaughn warns him . 	 " it's your first summer here , you know , " mayor vaughn warns him .	1	-1	 it's[0] your[0] first[0] summer[0] here[0] you[0] know[0] mayor[0] vaughn[0] warns[0] him[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
dreyfuss , who had previously been seen in " american graffiti " ( 1973 ) and " the apprenticeship of duddy kravitz " ( 1974 ) gives a surprisingly mature , complex performance for someone who had literally only played kids and teenagers . 	dreyfuss , who had previously been seen in " american graffiti " ( 1973 ) and " the apprenticeship of duddy kravitz " ( 1974 ) gives a surprisingly mature , complex performance for someone who had literally only played kids and teenagers .	1	-1	 dreyfuss[0] who[0] had[0] previously[0] been[0] seen[0] in[0] american[0] graffiti[0] 1973[0] and[0] the[0] apprenticeship[0] of[0] duddy[0] kravitz[0] 1974[0] gives[0] a[0] surprisingly[0] mature[0] complex[0] performance[0] for[0] someone[0] who[0] had[0] literally[0] only[0] played[0] kids[0] and[0] teenagers[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
however , most outstanding is the gnarled performance by robert shaw as the movie's captain ahab , a performance sorely overlooked by the academy awards . 	however , most outstanding is the gnarled performance by robert shaw as the movie's captain ahab , a performance sorely overlooked by the academy awards .	3	-2	 however[0] most[0] outstanding[2] is[0] the[0] gnarled[0] performance[0] by[0] robert[0] shaw[0] as[0] the[0] movie's[0] captain[0] ahab[0] a[0] performance[0] sorely[0] overlooked[-1] by[0] the[0] academy[0] awards[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
bordering of parody , shaw plays quint as a grizzled old loner whose machismo borders on masochism . 	bordering of parody , shaw plays quint as a grizled old loner whose machismo borders on masochism .	2	-3	 bordering[0] of[0] parody[0] shaw[0] plays[1] quint[0] as[0] a[0] grizzled/grizled[0] old[0] loner[-1] whose[0] machismo[0] borders[0] on[0] masochism[-2] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
he's slightly deranged , and shaw's performance is almost a caricature . 	he's slightly deranged , and shaw's performance is almost a caricature .	1	-1	 he's[0] slightly[0] deranged[0] and[0] shaw's[0] performance[0] is[0] almost[0] a[0] caricature[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
however , there is one scene late in the film , when he and brody and hooper are below deck on the orca comparing scars . 	however , there is one scene late in the film , when he and brody and hooper are below deck on the orca comparing scars .	1	-1	 however[0] there[0] is[0] one[0] scene[0] late[0] in[0] the[0] film[0] when[0] he[0] and[0] brody[0] and[0] hooper[0] are[0] below[0] deck[0] on[0] the[0] orca[0] comparing[0] scars[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
quint is drawn into telling the story of his experiences aboard the u . s . s . 	quint is drawn into telling the story of his experiences aboard the you .<br> s .<br> s .	1	-1	 quint[0] is[0] drawn[0] into[0] telling[0] the[0] story[0] of[0] his[0] experiences[0] aboard[0] the[0] u[0] [[Sentence=-1,1=word max, 1-5]] s[0] [[Sentence=-1,1=word max, 1-5]] s[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
indianapolis , a navy ship in world war ii that was sunk by the japanese . 	indianapolis , a navy ship in world war i that was sunk by the japanese .	1	-3	 indianapolis[0] a[0] navy[0] ship[0] in[0] world[0] war[-2] ii/i[0] that[0] was[0] sunk[0] by[0] the[0] japanese[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
his tale of floating in the water for more than a week with over 1 , 000 other men while swarms of sharks slowly devoured them them is actually more hair-raising than anything spielberg put on screen . 	his tale of floating in the water for more than a week with over 1 , 00 other men while swarms of sharks slowly devoured them them is actually more hair-raising than anything spielberg put on screen .	1	-1	 his[0] tale[0] of[0] floating[0] in[0] the[0] water[0] for[0] more[0] than[0] a[0] week[0] with[0] over[0] 1[0] 000/00[0] other[0] men[0] while[0] swarms[0] of[0] sharks[0] slowly[0] devoured[0] them[0] them[0] is[0] actually[0] more[0] hair[0] raising[0] than[0] anything[0] spielberg[0] put[0] on[0] screen[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
shaw delivers the story in one long take , and it is the best acting in the film . 	shaw delivers the story in one long take , and it is the best acting in the film .	2	-1	 shaw[0] delivers[0] the[0] story[0] in[0] one[0] long[0] take[0] and[0] it[0] is[0] the[0] best[1] acting[0] in[0] the[0] film[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
of course , we can't leave out the shark itself ; with its black eyes , endless rows of teeth , and insatiable urge to eat , it is basically the epitome of all mankind's fears about what is unknown and threatening in nature . 	of course , we can't leave out the shark itself ; with its black eyes , endless rows of teeth , and insatiable urge to eat , it is basically the epitome of all mankind's fears about what is unknown and threatening in nature .	1	-3	 of[0] course[0] we[0] can't[0] leave[0] out[0] the[0] shark[-1] itself[0] with[0] its[0] black[0] eyes[0] endless[0] rows[0] of[0] teeth[0] and[0] insatiable[0] urge[0] to[0] eat[0] it[0] is[0] basically[0] the[0] epitome[0] of[0] all[0] mankind's[0] fears[-2] about[0] what[0] is[0] unknown[0] and[0] threatening[-2] in[0] nature[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
a shark is such a perfect nemesis it is real -- having survived sinch the dinosaurs , great whites do exist , they can be as large as the shark in " jaws , " and they are a threat . 	a shark is such a perfect nemesis it is real - having survived sinch the dinosaurs , great whites do exist , they can be as large as the shark in " jaws , " and they are a threat .	3	-3	 a[0] shark[-1] is[0] such[0] a[0] perfect[1] nemesis[0] it[0] is[0] real[0] having[0] survived[0] sinch[0] the[0] dinosaurs[0] great[2] whites[0] do[0] exist[0] they[0] can[0] be[0] as[0] large[0] as[0] the[0] shark[-1] in[0] jaws[0] and[0] they[0] are[0] a[0] threat[-2] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
every one of spielberg's subjective underwater shots makes us feel queasy because lets us see how we look to the shark : a bunch of writihing , dangling , completely unprotected legs just ready to be chomped into . 	every one of spielberg's subjective underwater shots makes us feel queasy because lets us see how we look to the shark : a bunch of writihing , dangling , completely unprotected legs just ready to be chomped into .	1	-4	 every[0] one[0] of[0] spielberg's[0] subjective[0] underwater[0] shots[0] makes[0] us[0] feel[0] queasy[0] because[0] lets[0] us[0] see[0] how[0] we[0] look[0] to[0] the[0] shark[-1] a[0] bunch[0] of[0] writihing[0] dangling[0] completely[0] unprotected[-2][-1 LastWordBoosterStrength] legs[0] just[0] ready[0] to[0] be[0] chomped[0] into[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
the shark in " jaws " was actually a combination of actual footage and five different mechanical sharks ( all nicknamed " bruce " by the crew ) built to be shot from different angles . 	the shark in " jaws " was actually a combination of actual footage and five different mechanical sharks ( all nicknamed " bruce " by the crew ) built to be shot from different angles .	1	-2	 the[0] shark[-1] in[0] jaws[0] was[0] actually[0] a[0] combination[0] of[0] actual[0] footage[0] and[0] five[0] different[0] mechanical[0] sharks[0] all[0] nicknamed[0] bruce[0] by[0] the[0] crew[0] built[0] to[0] be[0] shot[-1] from[0] different[0] angles[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
many have forgotten , but " jaws " was a sort of precursor to " waterworld " ( 1995 ) , a movie's who soggy production and cost overruns had universal studios worried about a bomb . 	many have forgotten , but " jaws " was a sort of precursor to " waterworld " ( 1995 ) , a movie's who soggy production and cost overruns had universal studios worried about a bomb .	1	-4	 many[0] have[0] forgotten[0] but[0] jaws[0] was[0] a[0] sort[0] of[0] precursor[0] to[0] waterworld[0] 1995[0] a[0] movie's[0] who[0] soggy[0] production[0] and[0] cost[0] overruns[0] had[0] universal[0] studios[0] worried[-3] about[0] a[0] bomb[-1] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
but , as we can see now , spielberg overcame all the obstacles , and delivered one of the finest primal scare-thrillers ever to come out of hollywood . 	but , as we can see now , spielberg overcame all the obstacles , and delivered one of the finest primal scare-thrillers ever to come out of hollywood .	2	-4	 but[0] as[0] we[0] can[0] see[0] now[0] spielberg[0] overcame[0] all[0] the[0] obstacles[-1] and[0] delivered[0] one[0] of[0] the[0] finest[0] primal[0] scare[-3] thrillers[1] ever[0] to[0] come[0] out[0] of[0] hollywood[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
