on seeing the outrageous previews for bulworth one wonders what plot could possibly allow beatty get away with making those statements ( in case you missed it , warren beatty plays a politician on the campaign trail . 	Translation	Positive	Negative	EmotionRationale
why not tell the people the truth about being a sleazy politician - that he is bought and paid for by lobbyists , and that racism among the populace protects politicians from being the target of charges of classism ? 	why not tell the people the truth about being a sleazy politician - that he is bought and paid for by lobbyists , and that racism among the populace protects politicians from being the target of charges of classism ?	2	-3	 why[0] not[0] tell[0] the[0] people[0] the[0] truth[1] about[0] being[0] a[0] sleazy[-2] politician[0] that[0] he[0] is[0] bought[0] and[0] paid[0] for[0] by[0] lobbyists[0] and[0] that[0] racism[-1] among[0] the[0] populace[0] protects[0] politicians[0] from[0] being[0] the[0] target[0] of[0] charges[-1] of[0] classism[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
bulworth's candor wins him three volunteers from the church , one of whom , nikki ( halle barry ) , he gets a crush on . 	bulworth's candor wins him three volunteers from the church , one of whom , niki ( hale barry ) , he gets a crush on .	1	-2	 bulworth's[0] candor[0] wins[0] him[0] three[0] volunteers[0] from[0] the[0] church[0] one[0] of[0] whom[0] nikki/niki[0] halle/hale[0] barry[0] he[0] gets[0] a[0] crush[-1] on[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
he feels so good afterwards that he actually eats something . 	he feels so good afterwards that he actually eats something .	2	-1	 he[0] feels[0] so[0] good[1] afterwards[0] that[0] he[0] actually[0] eats[0] something[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
chicken wings , appropriately enough . 	chicken wings , appropriately enough .	1	-1	 chicken[0] wings[0] appropriately[0] enough[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
bulworth shows up late for his meeting with some movie studio executives . 	bulworth shows up late for his meeting with some movie studio executives .	1	-1	 bulworth[0] shows[0] up[0] late[0] for[0] his[0] meeting[0] with[0] some[0] movie[0] studio[0] executives[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
when one of them asks where he stands on government regulation of movie and tv ratings , bulworth drifts to the topic of the quality of filmed entertainment . 	when one of them asks where he stands on government regulation of movie and tv ratings , bulworth drifts to the topic of the quality of filmed entertainment .	1	-1	 when[0] one[0] of[0] them[0] asks[0] where[0] he[0] stands[0] on[0] government[0] regulation[0] of[0] movie[0] and[0] tv[0] ratings[0] bulworth[0] drifts[0] to[0] the[0] topic[0] of[0] the[0] quality[0] of[0] filmed[0] entertainment[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
with so much money and so many talented people working so hard , he wonders , why can't hollywood make a quality product . 	with so much money and so many talented people working so hard , he wonders , why can't hollywood make a quality product .	2	-1	 with[0] so[0] much[0] money[0] and[0] so[0] many[0] talented[1] people[0] working[0] so[0] hard[0] he[0] wonders[0] why[0] can't[0] hollywood[0] make[0] a[0] quality[0] product[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
 ( you go , warren ! ) 	 ( you go , warren !<br> )	1	-1	 you[0] go[0] warren[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
when they become indignant and ask why he's talking to them if he has such a low opinion of their product , he callously admits that it's because they are rich jews . 	when they become indignant and ask why he's talking to them if he has such a low opinion of their product , he callously admits that it's because they are rich jews .	1	-4	 when[0] they[0] become[0] indignant[0] and[0] ask[0] why[0] he's[0] talking[0] to[0] them[0] if[0] he[0] has[0] such[0] a[0] low[-1] opinion[0] of[0] their[0] product[0] he[0] callously[-3] admits[0] that[0] it's[0] because[0] they[0] are[0] rich[0] jews[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
that night he drops the three african-american volunteers at their nightclub , and he decides to go in with them . 	that night he drops the three african-american volunteers at their nightclub , and he decides to go in with them .	1	-1	 that[0] night[0] he[0] drops[0] the[0] three[0] african[0] american[0] volunteers[0] at[0] their[0] nightclub[0] and[0] he[0] decides[0] to[0] go[0] in[0] with[0] them[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he stays up all night drinking , smoking pot , dancing , falling in love with nikki , and learning to scratch turntables and rap . 	he stays up all night drinking , smoking pot , dancing , falling in love with niki , and learning to scratch turntables and rap .	3	-1	 he[0] stays[0] up[0] all[0] night[0] drinking[0] smoking[0] pot[0] dancing[0] falling[0] in[0] love[2] with[0] nikki/niki[0] and[0] learning[0] to[0] scratch[0] turntables[0] and[0] rap[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the next day , he shuns his prepared speech and instead raps to the suit-and-tie fundraisers . 	the next day , he shuns his prepared speech and instead raps to the suit-and-tie fundraisers .	1	-2	 the[0] next[0] day[0] he[0] shuns[-1] his[0] prepared[0] speech[0] and[0] instead[0] raps[0] to[0] the[0] suit[0] and[0] tie[0] fundraisers[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
from then on , at all of his political appearances , he raps his political truth . 	from then on , at all of his political appearances , he raps his political truth .	2	-1	 from[0] then[0] on[0] at[0] all[0] of[0] his[0] political[0] appearances[0] he[0] raps[0] his[0] political[0] truth[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
his rap is not bad for a middle-aged white guy . 	his rap is not bad for a middle-aged white guy .	2	-1	 his[0] rap[0] is[0] not[0] bad[-1][NegatedDueToPreviousWord] for[0] a[0] middle[0] aged[0] white[0] guy[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
he's not very good , but it is his first try and at least he's not embarrassingly bad . 	he's not very good , but it is his first try and at least he's not embarrassingly bad .	3	-3	 he's[0] not[0] very[0] good[1][1 LastWordBoosterStrength][NegatedDueToPreviousWord] but[0] it[0] is[0] his[0] first[0] try[0] and[0] at[0] least[0] he's[0] not[0] embarrassingly[-2][NegatedDueToPreviousWord] bad[-1][NegatedDueToPreviousWord] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
his lobbyists are not amused , but the rest of his constituency seems to like the new bulworth . 	his lobbyists are not amused , but the rest of his constituency seems to like the new bulworth .	2	-2	 his[0] lobbyists[0] are[0] not[0] amused[1][NegatedDueToPreviousWord] but[0] the[0] rest[0] of[0] his[0] constituency[0] seems[0] to[0] like[1] the[0] new[0] bulworth[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
eventually , the movie's plot ( remember he hired a hit man ? ) 	eventually , the movie's plot ( remember he hired a hit man ?<br> )	1	-1	 eventually[0] the[0] movie's[0] plot[0] remember[0] he[0] hired[0] a[0] hit[0] man[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
overtakes the politics , which is too bad . 	overtakes the politics , which is too bad .	1	-2	 overtakes[0] the[0] politics[0] which[0] is[0] too[0] bad[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
screen time is spent with bulworth trying to cancel the request for his assassination while the hit man seems to be closing in on him . 	screen time is spent with bulworth trying to cancel the request for his assassination while the hit man seems to be closing in on him .	1	-3	 screen[0] time[0] is[0] spent[0] with[0] bulworth[0] trying[0] to[0] cancel[-1] the[0] request[0] for[0] his[0] assassination[-2] while[0] the[0] hit[0] man[0] seems[0] to[0] be[0] closing[0] in[0] on[0] him[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
there are even a few gratuitous chase scenes , bulworth fleeing his killer . 	there are even a few gratuitous chase scenes , bulworth fleeing his killer .	1	-2	 there[0] are[0] even[0] a[0] few[0] gratuitous[-1] chase[-1] scenes[0] bulworth[0] fleeing[-1] his[0] killer[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
these scenes may have been necessary to keep the events of the film moving along , but it distracted and detracted from bulworth's political ranting , which was much more interesting than the ever-present , obvious-looking assassin . 	these scenes may have been necessary to keep the events of the film moving along , but it distracted and detracted from bulworth's political ranting , which was much more interesting than the ever-present , obvious-looking assassin .	2	-3	 these[0] scenes[0] may[0] have[0] been[0] necessary[0] to[0] keep[0] the[0] events[0] of[0] the[0] film[0] moving[0] along[0] but[0] it[0] distracted[-1] and[0] detracted[-1] from[0] bulworth's[0] political[0] ranting[0] which[0] was[0] much[0] more[0] interesting[1] than[0] the[0] ever[0] present[0] obvious[0] looking[0] assassin[-2] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
still , most of the movie is original and very enjoyable , and beatty deserves most of credit for bringing it to the screen . 	still , most of the movie is original and very enjoyable , and beatty deserves most of credit for bringing it to the screen .	4	-1	 still[0] most[0] of[0] the[0] movie[0] is[0] original[0] and[0] very[0] enjoyable[2][1 LastWordBoosterStrength] and[0] beatty[0] deserves[0] most[0] of[0] credit[0] for[0] bringing[0] it[0] to[0] the[0] screen[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
as the story and screen writer , he came up first with a good structure , then with good dialogue to back it up ( jeremy pikser co-wrote the screenplay ) . 	as the story and screen writer , he came up first with a good structure , then with good dialogue to back it up ( jeremy pikser co-wrote the screenplay ) .	2	-1	 as[0] the[0] story[0] and[0] screen[0] writer[0] he[0] came[0] up[0] first[0] with[0] a[0] good[1] structure[0] then[0] with[0] good[1] dialogue[0] to[0] back[0] it[0] up[0] jeremy[0] pikser[0] co[0] wrote[0] the[0] screenplay[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
as an actor , he was able to convincingly portray bulworth's depression , then liberation and rebirth . 	as an actor , he was able to convincingly portray bulworth's depression , then liberation and rebirth .	1	-4	 as[0] an[0] actor[0] he[0] was[0] able[0] to[0] convincingly[0] portray[0] bulworth's[0] depression[-3] then[0] liberation[0] and[0] rebirth[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
as a producer ( there were four others ) he was able to keep the movie free from hollywood's indulgent formulas ( except for those inexcusable chase scenes ) . 	as a producer ( there were four others ) he was able to keep the movie free from hollywood's indulgent formulas ( except for those inexcusable chase scenes ) .	1	-2	 as[0] a[0] producer[0] there[0] were[0] four[0] others[0] he[0] was[0] able[0] to[0] keep[0] the[0] movie[0] free[0] from[0] hollywood's[0] indulgent[0] formulas[0] except[0] for[0] those[0] inexcusable[0] chase[-1] scenes[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
someone else probably could have directed , but since he was there anyway , what the heck . 	someone else probably could have directed , but since he was there anyway , what the heck .	1	-1	 someone[0] else[0] probably[0] could[0] have[0] directed[0] but[0] since[0] he[0] was[0] there[0] anyway[0] what[0] the[0] heck[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it's too bad that there aren't more movies like this around - movies that tackle political corruption in a way that challenges viewers to pay more attention to real politics . 	it's too bad that there aren't more movies like this around - movies that tackle political corruption in a way that challenges viewers to pay more attention to real politics .	2	-3	 it's[0] too[0] bad[-1] that[0] there[0] aren't[0] more[0] movies[0] like[1] this[0] around[0] movies[0] that[0] tackle[0] political[0] corruption[-2] in[0] a[0] way[0] that[0] challenges[-1] viewers[0] to[0] pay[0] more[0] attention[0] to[0] real[0] politics[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
after all , much of the inspiration for bulworth is straight out of the news . 	after all , much of the inspiration for bulworth is straight out of the news .	3	-1	 after[0] all[0] much[0] of[0] the[0] inspiration[2] for[0] bulworth[0] is[0] straight[0] out[0] of[0] the[0] news[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
just a little perception and insight and you could write your own bulworth rants . 	just a little perception and insight and you could write your own bulworth rants .	1	-1	 just[0] a[0] little[0] perception[0] and[0] insight[0] and[0] you[0] could[0] write[0] your[0] own[0] bulworth[0] rants[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
just don't expect to be popular with the insurance companies . 	just don't expect to be popular with the insurance companies .	1	-1	 just[0] don't[0] expect[0] to[0] be[0] popular[0] with[0] the[0] insurance[0] companies[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
