notice : this is a review and analysis of exotica . 	Translation	Positive	Negative	EmotionRationale
it opened to critic's praise worldwide ( i first saw it in mexico city , last december ) . 	it opened to critic's praise worldwide ( i first saw it in mexico city , last december ) .	3	-1	 it[0] opened[0] to[0] critic's[0] praise[2] worldwide[0] i[0] first[0] saw[0] it[0] in[0] mexico[0] city[0] last[0] december[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
in canada , it broke records for a movie of its kind , which prompted the american distributor to go for a wide release . 	in canada , it broke records for a movie of its kind , which prompted the american distributor to go for a wide release .	2	-2	 in[0] canada[0] it[0] broke[-1] records[0] for[0] a[0] movie[0] of[0] its[0] kind[1] which[0] prompted[0] the[0] american[0] distributor[0] to[0] go[0] for[0] a[0] wide[0] release[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
apart from a strong plot , acting is very convincing , and the soundtrack seems as if made for the movie . 	apart from a strong plot , acting is very convincing , and the soundtrack seems as if made for the movie .	1	-1	 apart[0] from[0] a[0] strong[0] plot[0] acting[0] is[0] very[0] convincing[0] and[0] the[0] soundtrack[0] seems[0] as[0] if[0] made[0] for[0] the[0] movie[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the spoon-fed-entertainment crowd may not appreciate this movie , and thus it might last little on screen . 	the spoon-fed-entertainment crowd may not appreciate this movie , and thus it might last little on screen .	1	-2	 the[0] spoon[0] fed[0] entertainment[0] crowd[0] may[0] not[0] appreciate[1][NegatedDueToPreviousWord] this[0] movie[0] and[0] thus[0] it[0] might[0] last[0] little[0] on[0] screen[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
but if you want to try a movie a cut above the crowd , with an originality that is ever so rare , by all means see exotica . 	but if you want to try a movie a cut above the crowd , with an originality that is ever so rare , by all means see exotica .	1	-1	 but[0] if[0] you[0] want[0] to[0] try[0] a[0] movie[0] a[0] cut[0] above[0] the[0] crowd[0] with[0] an[0] originality[0] that[0] is[0] ever[0] so[0] rare[0] by[0] all[0] means[0] see[0] exotica[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
analysis ( * * spoilers * * ahead ) 	analysis ( * * spoilers * * ahead )	1	-2	 analysis[0] spoilers[-1] ahead[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
what is behind the complex plot in exotica ? 	what is behind the complex plot in exotica ?	1	-1	 what[0] is[0] behind[0] the[0] complex[0] plot[0] in[0] exotica[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
first , a common theme of the quest for gratification by monetary means . 	first , a common theme of the quest for gratification by monetary means .	2	-1	 first[0] a[0] common[0] theme[0] of[0] the[0] quest[0] for[0] gratification[1] by[0] monetary[0] means[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the lone tax-auditor , the repressed homosexual pet shop owner , the pregnant woman which runs the nightclub , the rich man which has the club remodeled , the audience at the movie theatre , all use personal wealth to buy palliative relief for the penuries of the soul . . . . 	the lone tax-auditor , the repressed homosexual pet shop owner , the pregnant woman which runs the nightclub , the rich man which has the club remodeled , the audience at the movie theatre , all use personal wealth to buy palliative relief for the penuries of the soul .<br> .<br> .<br> .	2	-2	 the[0] lone[-1] tax[-1] auditor[0] the[0] repressed[-1] homosexual[0] pet[0] shop[0] owner[0] the[0] pregnant[0] woman[0] which[0] runs[0] the[0] nightclub[0] the[0] rich[0] man[0] which[0] has[0] the[0] club[0] remodeled[0] the[0] audience[0] at[0] the[0] movie[0] theatre[0] all[0] use[0] personal[0] wealth[0] to[0] buy[0] palliative[0] relief[1] for[0] the[0] penuries[0] of[0] the[0] soul[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
then we have the quest for gratification through visual means by most of the same people , including those who sit watching exotica . . . . 	then we have the quest for gratification through visual means by most of the same people , including those who sit watching exotica .<br> .<br> .<br> .	2	-1	 then[0] we[0] have[0] the[0] quest[0] for[0] gratification[1] through[0] visual[0] means[0] by[0] most[0] of[0] the[0] same[0] people[0] including[0] those[0] who[0] sit[0] watching[0] exotica[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
in that regard exotica stands for onlookers at a nightclub , for the rich man looking through silver mirrors , and poor-rich people looking at other's people lives through a silver screen . 	in that regard exotica stands for onlookers at a nightclub , for the rich man looking through silver mirrors , and poor-rich people looking at other's people lives through a silver screen .	1	-2	 in[0] that[0] regard[0] exotica[0] stands[0] for[0] onlookers[0] at[0] a[0] nightclub[0] for[0] the[0] rich[0] man[0] looking[0] through[0] silver[0] mirrors[0] and[0] poor[-1] rich[0] people[0] looking[0] at[0] other's[0] people[0] lives[0] through[0] a[0] silver[0] screen[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
exotica also stands for unwanted society attention into the lives of other people , such as the tax auditor and the pet shop owner . 	exotica also stands for unwanted society attention into the lives of other people , such as the tax auditor and the pet shop owner .	1	-2	 exotica[0] also[0] stands[0] for[0] unwanted[0] society[0] attention[0] into[0] the[0] lives[0] of[0] other[0] people[0] such[0] as[0] the[0] tax[-1] auditor[0] and[0] the[0] pet[0] shop[0] owner[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
exotica is the customer agent looking at the pet shop owner , which in turn is looking at the core of the problems between the strip dancer and the tax auditor through the detached eye of a gay person ( no attraction to the strip dancer ) , and only interested on avoiding jail ( no personal relationship with the tax auditor ) . 	exotica is the customer agent looking at the pet shop owner , which in turn is looking at the core of the problems between the strip dancer and the tax auditor through the detached eye of a gay person ( no attraction to the strip dancer ) , and only interested on avoiding jail ( no personal relationship with the tax auditor ) .	2	-2	 exotica[0] is[0] the[0] customer[0] agent[0] looking[0] at[0] the[0] pet[0] shop[0] owner[0] which[0] in[0] turn[0] is[0] looking[0] at[0] the[0] core[0] of[0] the[0] problems[-1] between[0] the[0] strip[0] dancer[0] and[0] the[0] tax[-1] auditor[0] through[0] the[0] detached[0] eye[0] of[0] a[0] gay[-1] person[0] no[0] attraction[1] to[0] the[0] strip[0] dancer[0] and[0] only[0] interested[1] on[0] avoiding[-1] jail[-1] no[0] personal[0] relationship[0] with[0] the[0] tax[-1] auditor[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
in exotica everybody is watching , and what is worse , everybody knows . 	in exotica everybody is watching , and what is worse , everybody knows .	1	-3	 in[0] exotica[0] everybody[0] is[0] watching[0] and[0] what[0] is[0] worse[-2] everybody[0] knows[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
second , exotica is about isolated people holding back their feelings ; about people which by voluntary or involuntary means transfer their view of reality to other characters . 	second , exotica is about isolated people holding back their feelings ; about people which by voluntary or involuntary means transfer their view of reality to other characters .	1	-2	 second[0] exotica[0] is[0] about[0] isolated[-1] people[0] holding[0] back[0] their[0] feelings[0] about[0] people[0] which[0] by[0] voluntary[0] or[0] involuntary[-1] means[0] transfer[0] their[0] view[0] of[0] reality[0] to[0] other[0] characters[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the strip dancer becomes the proverbial daughter , the dj becomes the proverbial killer by means of breaking the relationship between the father and the proverbial daughter . 	the strip dancer becomes the proverbial daughter , the dj becomes the proverbial killer by means of breaking the relationship between the father and the proverbial daughter .	1	-2	 the[0] strip[0] dancer[0] becomes[0] the[0] proverbial[0] daughter[0] the[0] dj[0] becomes[0] the[0] proverbial[0] killer[-1] by[0] means[0] of[0] breaking[0] the[0] relationship[0] between[0] the[0] father[0] and[0] the[0] proverbial[0] daughter[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the niece becomes the baby sitter , the baby sitter becomes the dancer , and the dancer becomes the proverbial daughter . 	the niece becomes the baby sitter , the baby sitter becomes the dancer , and the dancer becomes the proverbial daughter .	2	-1	 the[0] niece[0] becomes[0] the[0] baby[1] sitter[0] the[0] baby[1] sitter[0] becomes[0] the[0] dancer[0] and[0] the[0] dancer[0] becomes[0] the[0] proverbial[0] daughter[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the pet shop owner becomes the proverbial dj , by finding the proverbial daughter . 	the pet shop owner becomes the proverbial dj , by finding the proverbial daughter .	1	-1	 the[0] pet[0] shop[0] owner[0] becomes[0] the[0] proverbial[0] dj[0] by[0] finding[0] the[0] proverbial[0] daughter[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
a chain made of real and imagined links coming around full circle , just as everything comes around to a fitting whole at the end of the movie . 	a chain made of real and imagined links coming around full circle , just as everything comes around to a fitting whole at the end of the movie .	1	-1	 a[0] chain[0] made[0] of[0] real[0] and[0] imagined[0] links[0] coming[0] around[0] full[0] circle[0] just[0] as[0] everything[0] comes[0] around[0] to[0] a[0] fitting[0] whole[0] at[0] the[0] end[0] of[0] the[0] movie[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
