alien 3 is the only alien film i have seen in theaters . 	Translation	Positive	Negative	EmotionRationale
don't get me wrong--i'm not saying films should eliminate swearing , but when a film substitutes dialogue with these profane remarks , it gets rather distracting . 	don't get me wrong-i'm not saying films should eliminate swearing , but when a film substitutes dialogue with these profane remarks , it gets rather distracting .	1	-2	 don't[0] get[0] me[0] wrong[-1] i'm[0] not[0] saying[0] films[0] should[0] eliminate[-1][--1 LastWordBoosterStrength] swearing[0] but[0] when[0] a[0] film[0] substitutes[0] dialogue[0] with[0] these[0] profane[0] remarks[0] it[0] gets[0] rather[0] distracting[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
however , since seeing it again , i realize that the swearing is mainly just an aspect of the restrained hatred in the characters . 	however , since seeing it again , i realize that the swearing is mainly just an aspect of the restrained hatred in the characters .	1	-4	 however[0] since[0] seeing[0] it[0] again[0] i[0] realize[0] that[0] the[0] swearing[0] is[0] mainly[0] just[0] an[0] aspect[0] of[0] the[0] restrained[0] hatred[-3] in[0] the[0] characters[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
as a result , alien 3's only flaw ( albeit a major one ) is the underdeveloped characters . 	as a result , alien 3's only flaw ( albeit a major one ) is the underdeveloped characters .	1	-2	 as[0] a[0] result[0] alien[-1] 3's[0] only[0] flaw[-1] albeit[0] a[0] major[0] one[0] is[0] the[0] underdeveloped[0] characters[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
we never really care about any of them , and i get the feeling that many scenes were cut in order to shorten the length of the movie . 	we never really care about any of them , and i get the feeling that many scenes were cut in order to shorten the length of the movie .	1	-3	 we[0] never[0] really[0] care[1][1 LastWordBoosterStrength][NegatedDueToPreviousWord] about[0] any[0] of[0] them[0] and[0] i[0] get[0] the[0] feeling[0] that[0] many[0] scenes[0] were[0] cut[0] in[0] order[0] to[0] shorten[0] the[0] length[0] of[0] the[0] movie[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
there were only two characters i liked , and of course one was lt . ripley ( sigourney weaver ) , although we have gotten to know her through two other films . 	there were only two characters i liked , and of course one was lt .<br> ripley ( sigourney weaver ) , although we have gotten to know her through two other films .	3	-1	 there[0] were[0] only[0] two[0] characters[0] i[0] liked[2] and[0] of[0] course[0] one[0] was[0] lt[0] [[Sentence=-1,3=word max, 1-5]] ripley[0] sigourney[0] weaver[0] although[0] we[0] have[0] gotten[0] to[0] know[0] her[0] through[0] two[0] other[0] films[0] [[Sentence=-1,1=word max, 1-5]][[[3,-1 max of sentences]]]
the other character was dr . clemens ( charles dance ) , but because we like him , the inevitable occurs . 	the other character was dr .<br> clemens ( charles dance ) , but because we like him , the inevitable occurs .	2	-1	 the[0] other[0] character[0] was[0] dr[0] [[Sentence=-1,1=word max, 1-5]] clemens[0] charles[0] dance[0] but[0] because[0] we[0] like[1] him[0] the[0] inevitable[0] occurs[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
alien 3 begins exactly where aliens left off . 	alien 3 begins exactly where aliens left off .	1	-2	 alien[-1] 3[0] begins[0] exactly[0] where[0] aliens[0] left[0] off[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the prologue of alien 3 is a pure cinematic achievement by director david fincher , who had only directed music videos before his chance with this alien entry . 	the prologue of alien 3 is a pure cinematic achievement by director david fincher , who had only directed music videos before his chance with this alien entry .	1	-2	 the[0] prologue[0] of[0] alien[-1] 3[0] is[0] a[0] pure[0] cinematic[0] achievement[0] by[0] director[0] david[0] fincher[0] who[0] had[0] only[0] directed[0] music[0] videos[0] before[0] his[0] chance[0] with[0] this[0] alien[-1] entry[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
without using a single line of dialogue ( unless you count computer warnings ) , fincher sets up the entire film . 	without using a single line of dialogue ( unless you count computer warnings ) , fincher sets up the entire film .	1	-1	 without[0] using[0] a[0] single[0] line[0] of[0] dialogue[0] unless[0] you[0] count[0] computer[0] warnings[0] fincher[0] sets[0] up[0] the[0] entire[0] film[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
an impressive aspect of this is that fincher only shows a few seconds of film before cutting to a title card . 	an impressive aspect of this is that fincher only shows a few seconds of film before cutting to a title card .	2	-1	 an[0] impressive[1] aspect[0] of[0] this[0] is[0] that[0] fincher[0] only[0] shows[0] a[0] few[0] seconds[0] of[0] film[0] before[0] cutting[0] to[0] a[0] title[0] card[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
we see lt . ripley and the little girl in their cryogenic compartments . . . 	we see lt .<br> ripley and the little girl in their cryogenic compartments .<br> .<br> .	1	-1	 we[0] see[0] lt[0] [[Sentence=-1,1=word max, 1-5]] ripley[0] and[0] the[0] little[0] girl[0] in[0] their[0] cryogenic[0] compartments[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 ( title ) . . . 	 ( title ) .<br> .<br> .	1	-1	 title[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
a shot of an alien egg . . . 	a shot of an alien egg .<br> .<br> .	1	-2	 a[0] shot[-1] of[0] an[0] alien[-1] egg[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
 ( title ) . . . 	 ( title ) .<br> .<br> .	1	-1	 title[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
alien legs stretch up into the air . . . 	alien legs stretch up into the air .<br> .<br> .	1	-2	 alien[-1] legs[0] stretch[0] up[0] into[0] the[0] air[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
 ( title ) . . . 	 ( title ) .<br> .<br> .	1	-1	 title[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and so on and so on . 	and so on and so on .	1	-1	 and[0] so[0] on[0] and[0] so[0] on[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
during these first ten minutes , i learned everything i had to in order for alien 3 to proceed . 	during these first ten minutes , i learned everything i had to in order for alien 3 to proceed .	1	-2	 during[0] these[0] first[0] ten[0] minutes[0] i[0] learned[0] everything[0] i[0] had[0] to[0] in[0] order[0] for[0] alien[-1] 3[0] to[0] proceed[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it's quite a remarkable opening , and one which will remain in my mind for a long time . 	it's quite a remarkable opening , and one which will remain in my mind for a long time .	1	-1	 it's[0] quite[0] a[0] remarkable[0] opening[0] and[0] one[0] which[0] will[0] remain[0] in[0] my[0] mind[0] for[0] a[0] long[0] time[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
because of this face-hugger which has been hatched aboard the vessel from aliens , the hypersleep containers are sent into an escape pod , and sent down to the nearest planet : fiorina fury-161 , an ore refinery which has been turned into a maximum security prison . 	because of this face-hugger which has been hatched aboard the vessel from aliens , the hypersleep containers are sent into an escape pod , and sent down to the nearest planet : fiorina fury-161 , an ore refinery which has been turned into a maximum security prison .	3	-4	 because[0] of[0] this[0] face[0] hugger[2] which[0] has[0] been[0] hatched[0] aboard[0] the[0] vessel[0] from[0] aliens[0] the[0] hypersleep[0] containers[0] are[0] sent[0] into[0] an[0] escape[0] pod[0] and[0] sent[0] down[0] to[0] the[0] nearest[0] planet[0] fiorina[0] fury[-3] -161[0] an[0] ore[0] refinery[0] which[0] has[0] been[0] turned[0] into[0] a[0] maximum[0] security[1] prison[-1] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
however , the face-hugger managed to attach itself to one of the cryo-tubes , and is sent down with the escape pod . 	however , the face-hugger managed to attach itself to one of the cryo-tubes , and is sent down with the escape pod .	3	-1	 however[0] the[0] face[0] hugger[2] managed[0] to[0] attach[0] itself[0] to[0] one[0] of[0] the[0] cryo[0] tubes[0] and[0] is[0] sent[0] down[0] with[0] the[0] escape[0] pod[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
unfortunately , during the landing , all but one of the survivors from aliens is killed . 	unfortunately , during the landing , all but one of the survivors from aliens is killed .	1	-4	 unfortunately[-1] during[0] the[0] landing[0] all[0] but[0] one[0] of[0] the[0] survivors[0] from[0] aliens[0] is[0] killed[-3] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
ripley is discovered by some of the inmates and taken back to the refinery . 	ripley is discovered by some of the inmates and taken back to the refinery .	1	-1	 ripley[0] is[0] discovered[0] by[0] some[0] of[0] the[0] inmates[0] and[0] taken[0] back[0] to[0] the[0] refinery[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
of course , you need a carrier for this face-hugger , and it attachs itself to the dog which came with the team of inmates . 	of course , you need a carrier for this face-hugger , and it attachs itself to the dog which came with the team of inmates .	3	-1	 of[0] course[0] you[0] need[0] a[0] carrier[0] for[0] this[0] face[0] hugger[2] and[0] it[0] attachs[0] itself[0] to[0] the[0] dog[0] which[0] came[0] with[0] the[0] team[0] of[0] inmates[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
ripley is revived and asks to see the ship . 	ripley is revived and asks to see the ship .	1	-1	 ripley[0] is[0] revived[0] and[0] asks[0] to[0] see[0] the[0] ship[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
after seeing a mysterious acid-eaten section , ripley asks to see the dead bodies , and then have them cremated . 	after seeing a mysterious acid-eaten section , ripley asks to see the dead bodies , and then have them cremated .	1	-3	 after[0] seeing[0] a[0] mysterious[0] acid[0] eaten[0] section[0] ripley[0] asks[0] to[0] see[0] the[0] dead[-2] bodies[0] and[0] then[0] have[0] them[0] cremated[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
this cremation scene is one of the most powerful and impressive of all the alien films . 	this cremation scene is one of the most powerful and impressive of all the alien films .	2	-2	 this[0] cremation[0] scene[0] is[0] one[0] of[0] the[0] most[0] powerful[0] and[0] impressive[1] of[0] all[0] the[0] alien[-1] films[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
featuring a monologue from dillon ( charles s . dutton ) , a prisoner who has found god , the movie cuts back and forth from the ceremony to the dog's demise . 	featuring a monologue from dillon ( charles s .<br> dutton ) , a prisoner who has found god , the movie cuts back and forth from the ceremony to the dog's demise .	1	-2	 featuring[0] a[0] monologue[0] from[0] dillon[0] charles[0] s[0] [[Sentence=-1,1=word max, 1-5]] dutton[0] a[0] prisoner[-1] who[0] has[0] found[0] god[0] the[0] movie[0] cuts[0] back[0] and[0] forth[0] from[0] the[0] ceremony[0] to[0] the[0] dog's[0] demise[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it's one of the most memorable moments , as the speech reflects exactly what is going on with the dog . 	it's one of the most memorable moments , as the speech reflects exactly what is going on with the dog .	1	-1	 it's[0] one[0] of[0] the[0] most[0] memorable[0] moments[0] as[0] the[0] speech[0] reflects[0] exactly[0] what[0] is[0] going[0] on[0] with[0] the[0] dog[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and this is where alien 3 succeeds . 	and this is where alien 3 succeeds .	3	-2	 and[0] this[0] is[0] where[0] alien[-1] 3[0] succeeds[2] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
fincher normally injects a lot of symbolism into his films , and i can easily see him becoming the next stanley kubrick or alfred hitchcock ( in fact , he is the mixture of both ) . 	fincher normally injects a lot of symbolism into his films , and i can easily see him becoming the next stanley kubrick or alfred hitchcock ( in fact , he is the mixture of both ) .	1	-1	 fincher[0] normally[0] injects[0] a[0] lot[0] of[0] symbolism[0] into[0] his[0] films[0] and[0] i[0] can[0] easily[0] see[0] him[0] becoming[0] the[0] next[0] stanley[0] kubrick[0] or[0] alfred[0] hitchcock[0] in[0] fact[0] he[0] is[0] the[0] mixture[0] of[0] both[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
fincher knows exactly what to film and how to film it , and i figure that he will be one of the few directors with complete control over his films . 	fincher knows exactly what to film and how to film it , and i figure that he will be one of the few directors with complete control over his films .	1	-1	 fincher[0] knows[0] exactly[0] what[0] to[0] film[0] and[0] how[0] to[0] film[0] it[0] and[0] i[0] figure[0] that[0] he[0] will[0] be[0] one[0] of[0] the[0] few[0] directors[0] with[0] complete[0] control[0] over[0] his[0] films[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
alien 3 is riddled with symbolic speeches and metaphorical images . 	alien 3 is riddled with symbolic speeches and metaphorical images .	1	-2	 alien[-1] 3[0] is[0] riddled[0] with[0] symbolic[0] speeches[0] and[0] metaphorical[0] images[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
by doing so , fincher creates some of the best scenes in the entire alien franchise . 	by doing so , fincher creates some of the best scenes in the entire alien franchise .	2	-2	 by[0] doing[0] so[0] fincher[0] creates[0] some[0] of[0] the[0] best[1] scenes[0] in[0] the[0] entire[0] alien[-1] franchise[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
many people have criticized fincher's filming of the death scene of ripley ( i reveal nothing by saying this ) as looking too fake , but i enjoy and relish in the portrayal . 	many people have criticized fincher's filming of the death scene of ripley ( i reveal nothing by saying this ) as looking too fake , but i enjoy and relish in the portrayal .	3	-3	 many[0] people[0] have[0] criticized[-1] fincher's[0] filming[0] of[0] the[0] death[-2] scene[0] of[0] ripley[0] i[0] reveal[0] nothing[0] by[0] saying[0] this[0] as[0] looking[0] too[0] fake[-1] but[0] i[0] enjoy[2] and[0] relish[0] in[0] the[0] portrayal[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
showing ripley fall in slow motion is a nice touch , but by actually not showing her hit the vat of iron , a great deal of symbolism is derived . 	showing ripley fall in slow motion is a nice touch , but by actually not showing her hit the vat of iron , a great deal of symbolism is derived .	3	-1	 showing[0] ripley[0] fall[0] in[0] slow[0] motion[0] is[0] a[0] nice[1] touch[0] but[0] by[0] actually[0] not[0] showing[0] her[0] hit[0] the[0] vat[0] of[0] iron[0] a[0] great[2] deal[0] of[0] symbolism[0] is[0] derived[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
i feel that it would have spoiled the mood of the entire film if they had actually shown her splash into the molten iron . 	i feel that it would have spoiled the mood of the entire film if they had actually shown her splash into the molten iron .	1	-2	 i[0] feel[0] that[0] it[0] would[0] have[0] spoiled[-1] the[0] mood[0] of[0] the[0] entire[0] film[0] if[0] they[0] had[0] actually[0] shown[0] her[0] splash[0] into[0] the[0] molten[0] iron[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
however , most people seem to want to witness ripley die ( which creates a paradox , as she is the character i didn't want to see die ) . 	however , most people seem to want to witness ripley die ( which creates a paradox , as she is the character i didn't want to see die ) .	1	-1	 however[0] most[0] people[0] seem[0] to[0] want[0] to[0] witness[0] ripley[0] die[0] which[0] creates[0] a[0] paradox[0] as[0] she[0] is[0] the[0] character[0] i[0] didn't[0] want[0] to[0] see[0] die[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
why she is killed is one of the surprises of the film , and i don't plan on spoiling that in this review . 	why she is killed is one of the surprises of the film , and i don't plan on spoiling that in this review .	1	-4	 why[0] she[0] is[0] killed[-3] is[0] one[0] of[0] the[0] surprises[0] of[0] the[0] film[0] and[0] i[0] don't[0] plan[0] on[0] spoiling[-1] that[0] in[0] this[0] review[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
 from every alien film comes several memorable moments which seem to stick with you forever . 	 from every alien film comes several memorable moments which seem to stick with you forever .	1	-2	 from[0] every[0] alien[-1] film[0] comes[0] several[0] memorable[0] moments[0] which[0] seem[0] to[0] stick[0] with[0] you[0] forever[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
in alien , it was , of course , the moment the alien burst out of kane's stomach . 	in alien , it was , of course , the moment the alien burst out of kane's stomach .	1	-2	 in[0] alien[-1] it[0] was[0] of[0] course[0] the[0] moment[0] the[0] alien[-1] burst[0] out[0] of[0] kane's[0] stomach[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
in aliens , it was the showdown between alien and ripley in a machine . 	in aliens , it was the showdown between alien and ripley in a machine .	1	-2	 in[0] aliens[0] it[0] was[0] the[0] showdown[0] between[0] alien[-1] and[0] ripley[0] in[0] a[0] machine[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
alien 3 has several , but most memorable is the terrific shot involving the alien and ripley . 	alien 3 has several , but most memorable is the terrific shot involving the alien and ripley .	4	-2	 alien[-1] 3[0] has[0] several[0] but[0] most[0] memorable[0] is[0] the[0] terrific[3] shot[-1] involving[0] the[0] alien[-1] and[0] ripley[0] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
ripley is pushed up against a wall , and the alien stands inches away from her . 	ripley is pushed up against a wall , and the alien stands inches away from her .	1	-2	 ripley[0] is[0] pushed[0] up[0] against[-1] a[0] wall[0] and[0] the[0] alien[-1] stands[0] inches[0] away[0] from[0] her[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
why it doesn't kill her is a shocker , which later leads to a surprise ending . 	why it doesn't kill her is a shocker , which later leads to a surprise ending .	1	-3	 why[0] it[0] doesn't[0] kill[-1] her[0] is[0] a[0] shocker[-2] which[0] later[0] leads[0] to[0] a[0] surprise[0] ending[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
fincher apparently loves to use close-ups of actors' faces ( michael douglas and the clown face-off in the game in the same style ) , and by shaving off the actors' hair , the only thing we have to look at is their faces . 	fincher apparently loves to use close-ups of actors' faces ( michael douglas and the clown face-off in the game in the same style ) , and by shaving off the actors' hair , the only thing we have to look at is their faces .	3	-1	 fincher[0] apparently[0] loves[2] to[0] use[0] close[0] ups[0] of[0] actors'[0] faces[0] michael[0] douglas[0] and[0] the[0] clown[0] face[0] off[0] in[0] the[0] game[0] in[0] the[0] same[0] style[0] and[0] by[0] shaving[0] off[0] the[0] actors'[0] hair[0] the[0] only[0] thing[0] we[0] have[0] to[0] look[0] at[0] is[0] their[0] faces[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
many critics didn't like all the actors being bald , but it makes complete sense when taken in context of the plot . 	many critics didn't like all the actors being bald , but it makes complete sense when taken in context of the plot .	2	-1	 many[0] critics[0] didn't[0] like[1] all[0] the[0] actors[0] being[0] bald[0] but[0] it[0] makes[0] complete[0] sense[0] when[0] taken[0] in[0] context[0] of[0] the[0] plot[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
most of alien 3 works when you take it in context of the story , but when you try to compare it to its predecessors , fincher's turn seems a bit gloomy and dark , though that's not always a bad thing . 	most of alien 3 works when you take it in context of the story , but when you try to compare it to its predecessors , fincher's turn seems a bit gloomy and dark , though that's not always a bad thing .	1	-3	 most[0] of[0] alien[-1] 3[0] works[0] when[0] you[0] take[0] it[0] in[0] context[0] of[0] the[0] story[0] but[0] when[0] you[0] try[0] to[0] compare[0] it[0] to[0] its[0] predecessors[0] fincher's[0] turn[0] seems[0] a[0] bit[0] gloomy[-2] and[0] dark[0] though[0] that's[0] not[0] always[0] a[0] bad[-1] thing[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the plot is pretty much a rehash of the first two films , with some major twists . 	the plot is pretty much a rehash of the first two films , with some major twists .	3	-1	 the[0] plot[0] is[0] pretty[2] much[0] a[0] rehash[0] of[0] the[0] first[0] two[0] films[0] with[0] some[0] major[0] twists[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
again , we are setup with several different characters , and one by one , they are picked off . 	again , we are setup with several different characters , and one by one , they are picked off .	1	-1	 again[0] we[0] are[0] setup[0] with[0] several[0] different[0] characters[0] and[0] one[0] by[0] one[0] they[0] are[0] picked[0] off[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
however , while the first two had tons of arsenal ( especially cameron's film ) , alien 3 takes place on a planet devoid of human life except for this run-down prison . 	however , while the first two had tons of arsenal ( especially cameron's film ) , alien 3 takes place on a planet devoid of human life except for this run-down prison .	1	-2	 however[0] while[0] the[0] first[0] two[0] had[0] tons[0] of[0] arsenal[0] especially[0] cameron's[0] film[0] alien[-1] 3[0] takes[0] place[0] on[0] a[0] planet[0] devoid[-1] of[0] human[0] life[0] except[0] for[0] this[0] run[0] down[0] prison[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
as a result , no weapons are to be found . 	as a result , no weapons are to be found .	1	-2	 as[0] a[0] result[0] no[0] weapons[-1] are[0] to[0] be[0] found[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
this creates a lot of tension , although i must admit that fincher could have added a lot more suspense . 	this creates a lot of tension , although i must admit that fincher could have added a lot more suspense .	1	-3	 this[0] creates[0] a[0] lot[0] of[0] tension[-2] although[0] i[0] must[0] admit[0] that[0] fincher[0] could[0] have[0] added[0] a[0] lot[0] more[0] suspense[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
as an alien film , alien 3 is the worst of the series , but by itself , it is an extremely well-made motion picture , with a lot more merits than not . 	as an alien film , alien 3 is the worst of the series , but by itself , it is an extremely well-made motion picture , with a lot more merits than not .	2	-3	 as[0] an[0] alien[-1] film[0] alien[-1] 3[0] is[0] the[0] worst[-2] of[0] the[0] series[0] but[0] by[0] itself[0] it[0] is[0] an[0] extremely[0] well[0] made[0] motion[0] picture[0] with[0] a[0] lot[0] more[0] merits[1] than[0] not[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
the unfortunate thing surrounding this second sequel is the one-dimensional characters . 	the unfortunate thing surrounding this second sequel is the one-dimensional characters .	1	-2	 the[0] unfortunate[-1] thing[0] surrounding[0] this[0] second[0] sequel[0] is[0] the[0] one[0] dimensional[0] characters[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
i never was really emotionally involved on screen because most of the characters are hardcore criminals whom i really could care less about . 	i never was really emotionally involved on screen because most of the characters are hardcore criminals whom i really could care less about .	1	-2	 i[0] never[0] was[0] really[0] emotionally[0] involved[0] on[0] screen[0] because[0] most[0] of[0] the[0] characters[0] are[0] hardcore[0] criminals[-1] whom[0] i[0] really[0] could[0] care[1][-1 LastWordBoosterStrength] less[0] about[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
despite this , ripley was the central figure , and that's what is important . 	despite this , ripley was the central figure , and that's what is important .	1	-1	 despite[0] this[0] ripley[0] was[0] the[0] central[0] figure[0] and[0] that's[0] what[0] is[0] important[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
we care for her , even though she began to act just like one of the guys . 	we care for her , even though she began to act just like one of the guys .	2	-1	 we[0] care[1] for[0] her[0] even[0] though[0] she[0] began[0] to[0] act[0] just[0] like[1][-1 LastWordBoosterStrength] one[0] of[0] the[0] guys[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
