there's more to a quilt than fabric and thread--each patchwork design has its own unique story ( or stories ) to tell . 	Translation	Positive	Negative	EmotionRationale
there are probably too many characters . 	there are probably too many characters .	1	-1	 there[0] are[0] probably[0] too[0] many[0] characters[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
so , instead of really getting to know a few of them , we are presented with quick glimpses into a single defining event in each of their lives . 	so , instead of really getting to know a few of them , we are presented with quick glimpses into a single defining event in each of their lives .	1	-1	 so[0] instead[0] of[0] really[0] getting[0] to[0] know[0] a[0] few[0] of[0] them[0] we[0] are[0] presented[0] with[0] quick[0] glimpses[0] into[0] a[0] single[0] defining[0] event[0] in[0] each[0] of[0] their[0] lives[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
we learn about the root of the smoldering resentment between gladys and hy , and are told the reasons why emma stays with her husband and sophia is so irascible . 	we learn about the root of the smoldering resentment between gladys and hy , and are told the reasons why emma stays with her husband and sophia is so irascible .	1	-3	 we[0] learn[0] about[0] the[0] root[0] of[0] the[0] smoldering[0] resentment[-2] between[0] gladys[0] and[0] hy[0] and[0] are[0] told[0] the[0] reasons[0] why[0] emma[0] stays[0] with[0] her[0] husband[0] and[0] sophia[0] is[0] so[0] irascible[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
there are other episodes as well : the love of anna's life , marianna's soul mate , and a look at the reasons why constance entered into an affair with her friend's husband . 	there are other episodes as well : the love of anna's life , marianna's soul mate , and a look at the reasons why constance entered into an affair with her friend's husband .	3	-1	 there[0] are[0] other[0] episodes[0] as[0] well[0] the[0] love[2] of[0] anna's[0] life[0] marianna's[0] soul[0] mate[1] and[0] a[0] look[0] at[0] the[0] reasons[0] why[0] constance[0] entered[0] into[0] an[0] affair[0] with[0] her[0] friend's[1] husband[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the sum total of these tales is meant to provide the framework for finn's story : whether to go forward with her marriage or dally with a hunky stranger . 	the sum total of these tales is meant to provide the framework for finn's story : whether to go forward with her marriage or dally with a hunky stranger .	1	-1	 the[0] sum[0] total[0] of[0] these[0] tales[0] is[0] meant[0] to[0] provide[0] the[0] framework[0] for[0] finn's[0] story[0] whether[0] to[0] go[0] forward[0] with[0] her[0] marriage[0] or[0] dally[0] with[0] a[0] hunky[0] stranger[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
there is no emotional epiphany in how to make an american quilt . 	there is no emotional epiphany in how to make an american quilt .	1	-2	 there[0] is[0] no[0] emotional[-1] epiphany[0] in[0] how[0] to[0] make[0] an[0] american[0] quilt[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the stories are all well-told , but it's difficult to really connect with the characters--their moments pass so quickly . 	the stories are all well-told , but it's difficult to really connect with the characters-their moments pass so quickly .	1	-2	 the[0] stories[0] are[0] all[0] well[0] told[0] but[0] it's[0] difficult[-1] to[0] really[0] connect[0] with[0] the[0] characters[0] their[0] moments[0] pass[0] so[0] quickly[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
while we certainly feel something for each of the eight principals , our emotional investment is tenuous . 	while we certainly feel something for each of the eight principals , our emotional investment is tenuous .	1	-2	 while[0] we[0] certainly[0] feel[0] something[0] for[0] each[0] of[0] the[0] eight[0] principals[0] our[0] emotional[-1] investment[0] is[0] tenuous[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
there isn't enough depth to pull the viewer in all the way , and many of the personalities and relationships feel half- formed , like a quilt with patches missing . 	there isn't enough depth to pull the viewer in all the way , and many of the personalities and relationships feel half- formed , like a quilt with patches missing .	2	-1	 there[0] isn't[0] enough[0] depth[0] to[0] pull[0] the[0] viewer[0] in[0] all[0] the[0] way[0] and[0] many[0] of[0] the[0] personalities[0] and[0] relationships[0] feel[0] half[0] formed[0] like[1] a[0] quilt[0] with[0] patches[0] missing[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
to put it bluntly , while i enjoyed watching this film , it didn't " do much " for me . 	to put it bluntly , while i enjoyed watching this film , it didn't " do much " for me .	3	-2	 to[0] put[0] it[0] bluntly[-1] while[0] i[0] enjoyed[2] watching[0] this[0] film[0] it[0] didn't[0] do[0] much[0] for[0] me[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
on the whole , how to make an american quilt is a nicely-understated drama that has a lot to say about love , passion , and monogamy in relationships . 	on the whole , how to make an american quilt is a nicely-understated drama that has a lot to say about love , passion , and monogamy in relationships .	4	-1	 on[0] the[0] whole[0] how[0] to[0] make[0] an[0] american[0] quilt[0] is[0] a[0] nicely[1] understated[0] drama[0] that[0] has[0] a[0] lot[0] to[0] say[0] about[0] love[2] passion[2][+1 MultiplePositiveWords] and[0] monogamy[0] in[0] relationships[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
finn's segment is by far the most compelling , because she's the focal point : her actions are shaped by everyone else's experiences . 	finn's segment is by far the most compelling , because she's the focal point : her actions are shaped by everyone else's experiences .	1	-1	 finn's[0] segment[0] is[0] by[0] far[0] the[0] most[0] compelling[0] because[0] she's[0] the[0] focal[0] point[0] her[0] actions[0] are[0] shaped[0] by[0] everyone[0] else's[0] experiences[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the other patches of this american quilt are successful only to varying degrees . 	the other patches of this american quilt are successful only to varying degrees .	3	-1	 the[0] other[0] patches[0] of[0] this[0] american[0] quilt[0] are[0] successful[2] only[0] to[0] varying[0] degrees[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
if there's a disappointment here , it's that the script doesn't have more resonance , but the privilege of seeing such a fine cast in top form allows a viewer to enjoy this picture even if the story is somewhat conventional . 	if there's a disappointment here , it's that the script doesn't have more resonance , but the privilege of seeing such a fine cast in top form allows a viewer to enjoy this picture even if the story is somewhat conventional .	3	-2	 if[0] there's[0] a[0] disappointment[-1] here[0] it's[0] that[0] the[0] script[0] doesn't[0] have[0] more[0] resonance[0] but[0] the[0] privilege[1] of[0] seeing[0] such[0] a[0] fine[2] cast[0] in[0] top[0] form[0] allows[0] a[0] viewer[0] to[0] enjoy[2] this[0] picture[0] even[0] if[0] the[0] story[0] is[0] somewhat[0] conventional[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
