quentin tarantino seems to have a knack for giving his stars big careers . 	Translation	Positive	Negative	EmotionRationale
pam grier gives a stunning performance as jackie brown , and she is supported by an incredible mix of talent--samuel l . jackson , bridget fonda , michael keaton , robert de niro , and robert forster . 	pam grier gives a stunning performance as jackie brown , and she is supported by an incredible mix of talent-samuel l .<br> jackson , bridget fonda , michael keaton , robert de niro , and robert forster .	2	-1	 pam[0] grier[0] gives[0] a[0] stunning[0] performance[0] as[0] jackie[0] brown[0] and[0] she[0] is[0] supported[1] by[0] an[0] incredible[0] mix[0] of[0] talent[1] samuel[0] l[0] [[Sentence=-1,2=word max, 1-5]] jackson[0] bridget[0] fonda[0] michael[0] keaton[0] robert[0] de[0] niro[0] and[0] robert[0] forster[0] [[Sentence=-1,1=word max, 1-5]][[[2,-1 max of sentences]]]
more than likely , you will see a few of these names in the oscar pool come oscar nominations . 	more than likely , you will see a few of these names in the oscar pool come oscar nominations .	1	-1	 more[0] than[0] likely[0] you[0] will[0] see[0] a[0] few[0] of[0] these[0] names[0] in[0] the[0] oscar[0] pool[0] come[0] oscar[0] nominations[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
describing a quentin tarantino film is very difficult , as you really can't say much or you spoil it for everyone else . 	describing a quentin tarantino film is very difficult , as you really can't say much or you spoil it for everyone else .	1	-3	 describing[0] a[0] quentin[0] tarantino[0] film[0] is[0] very[0] difficult[-1][-1 LastWordBoosterStrength] as[0] you[0] really[0] can't[0] say[0] much[0] or[0] you[0] spoil[-1] it[0] for[0] everyone[0] else[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
i will tread lightly . 	i will tread lightly .	1	-1	 i[0] will[0] tread[0] lightly[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
jackie brown opens with an impressive shot of jackie brown ( grier ) in a blue outfit walking through the airport . 	jackie brown opens with an impressive shot of jackie brown ( grier ) in a blue outfit walking through the airport .	2	-2	 jackie[0] brown[0] opens[0] with[0] an[0] impressive[1] shot[-1] of[0] jackie[0] brown[0] grier[0] in[0] a[0] blue[0] outfit[0] walking[0] through[0] the[0] airport[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the camera tracks along with her , and ends up revealing her occupation . 	the camera tracks along with her , and ends up revealing her occupation .	1	-1	 the[0] camera[0] tracks[0] along[0] with[0] her[0] and[0] ends[0] up[0] revealing[0] her[0] occupation[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
we are also introduced to ordell robbie ( jackson ) , who sells illegal guns to interested buyers . . . 	we are also introduced to ordell robbie ( jackson ) , who sells illegal guns to interested buyers .<br> .<br> .	2	-2	 we[0] are[0] also[0] introduced[0] to[0] ordell[0] robbie[0] jackson[0] who[0] sells[0] illegal[-1] guns[-1] to[0] interested[1] buyers[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
for a hefty price . 	for a hefty price .	1	-1	 for[0] a[0] hefty[0] price[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
ms . brown carries the money from buyer to ordell in order to keep the cops away . 	ms .<br> brown carries the money from buyer to ordell in order to keep the cops away .	1	-1	 ms[0] [[Sentence=-1,1=word max, 1-5]] brown[0] carries[0] the[0] money[0] from[0] buyer[0] to[0] ordell[0] in[0] order[0] to[0] keep[0] the[0] cops[0] away[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
however , an fbi agent ( keaton ) and a local l . a . cop ( michael bowen ) are out to find ordell and catch him while taking the money . 	however , an fbi agent ( keaton ) and a local l .<br> a .<br> cop ( michael bowen ) are out to find ordell and catch him while taking the money .	1	-1	 however[0] an[0] fbi[0] agent[0] keaton[0] and[0] a[0] local[0] l[0] [[Sentence=-1,1=word max, 1-5]] a[0] [[Sentence=-1,1=word max, 1-5]] cop[0] michael[0] bowen[0] are[0] out[0] to[0] find[0] ordell[0] and[0] catch[0] him[0] while[0] taking[0] the[0] money[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
they try to reach him through beaumont livingston ( chris tucker ) , one of ordell's buyers , but he mysteriously ends up dead . 	they try to reach him through beaumont livingston ( chris tucker ) , one of ordell's buyers , but he mysteriously ends up dead .	1	-3	 they[0] try[0] to[0] reach[0] him[0] through[0] beaumont[0] livingston[0] chris[0] tucker[0] one[0] of[0] ordell's[0] buyers[0] but[0] he[0] mysteriously[0] ends[0] up[0] dead[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
they try again through brown , but she is hesitant to admit to any wrong-doing . 	they try again through brown , but she is hesitant to admit to any wrong-doing .	1	-2	 they[0] try[0] again[0] through[0] brown[0] but[0] she[0] is[0] hesitant[0] to[0] admit[0] to[0] any[0] wrong[-1] doing[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
but after unknowingly carrying some drugs for one of ordell's friends ( fonda ) , she is caught and sent to jail . 	but after unknowingly carrying some drugs for one of ordell's friends ( fonda ) , she is caught and sent to jail .	2	-2	 but[0] after[0] unknowingly[0] carrying[0] some[0] drugs[0] for[0] one[0] of[0] ordell's[0] friends[1] fonda[0] she[0] is[0] caught[0] and[0] sent[0] to[0] jail[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
ordell pays her bail through a bail bond agent , max cherry ( forster ) , and then wants to find out what she told the cops . 	ordell pays her bail through a bail bond agent , max cherry ( forster ) , and then wants to find out what she told the cops .	1	-2	 ordell[0] pays[0] her[0] bail[-1] through[0] a[0] bail[-1] bond[0] agent[0] max[0] cherry[0] forster[0] and[0] then[0] wants[0] to[0] find[0] out[0] what[0] she[0] told[0] the[0] cops[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
after she claims to have said nothing , she reveals the fact that she will tell them about ordell in order to stay out of prison . 	after she claims to have said nothing , she reveals the fact that she will tell them about ordell in order to stay out of prison .	1	-2	 after[0] she[0] claims[0] to[0] have[0] said[0] nothing[0] she[0] reveals[0] the[0] fact[0] that[0] she[0] will[0] tell[0] them[0] about[0] ordell[0] in[0] order[0] to[0] stay[0] out[0] of[0] prison[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
ordell doesn't like this , but they both come up with a scheme to throw the feds and cops off their track . 	ordell doesn't like this , but they both come up with a scheme to throw the feds and cops off their track .	2	-1	 ordell[0] doesn't[0] like[1] this[0] but[0] they[0] both[0] come[0] up[0] with[0] a[0] scheme[0] to[0] throw[0] the[0] feds[0] and[0] cops[0] off[0] their[0] track[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
this scheme seems to be going as planned , but unexpected occurances may or may not foul up their goal . 	this scheme seems to be going as planned , but unexpected occurances may or may not foul up their goal .	1	-1	 this[0] scheme[0] seems[0] to[0] be[0] going[0] as[0] planned[0] but[0] unexpected[0] occurances[0] may[0] or[0] may[0] not[0] foul[0] up[0] their[0] goal[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
revealing more would spoil the fun of jackie brown , and that's the biggest reason to go see a tarantino film . 	revealing more would spoil the fun of jackie brown , and that's the biggest reason to go see a tarantino film .	2	-1	 revealing[0] more[0] would[0] spoil[-1][--1 LastWordBoosterStrength] the[0] fun[1] of[0] jackie[0] brown[0] and[0] that's[0] the[0] biggest[0] reason[0] to[0] go[0] see[0] a[0] tarantino[0] film[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
tarantino seems to have a fascination with hitmen and unusual predicaments ( and slang terms ) , but they are always done very well and believably . 	tarantino seems to have a fascination with hitmen and unusual predicaments ( and slang terms ) , but they are always done very well and believably .	1	-2	 tarantino[0] seems[0] to[0] have[0] a[0] fascination[0] with[0] hitmen[0] and[0] unusual[0] predicaments[-1] and[0] slang[0] terms[0] but[0] they[0] are[0] always[0] done[0] very[0] well[0] and[0] believably[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
his hitmen are normally cruel , but pleasant , in that nasty sort of way . 	his hitmen are normally cruel , but pleasant , in that nasty sort of way .	3	-4	 his[0] hitmen[0] are[0] normally[0] cruel[-3] but[0] pleasant[2] in[0] that[0] nasty[-2] sort[0] of[0] way[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
they talk like normal people , except for when doing business , and they are rude to their girlfriends . 	they talk like normal people , except for when doing business , and they are rude to their girlfriends .	2	-3	 they[0] talk[0] like[1] normal[0] people[0] except[0] for[0] when[0] doing[0] business[0] and[0] they[0] are[0] rude[-2] to[0] their[0] girlfriends[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
of course , this is a tarantino film , and you know you can expect some awkward situations to arise . 	of course , this is a tarantino film , and you know you can expect some awkward situations to arise .	1	-1	 of[0] course[0] this[0] is[0] a[0] tarantino[0] film[0] and[0] you[0] know[0] you[0] can[0] expect[0] some[0] awkward[-1][--1 LastWordBoosterStrength] situations[0] to[0] arise[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and perhaps the biggest flaw with jackie brown is the slow middle section in which the pace begins to drop . 	and perhaps the biggest flaw with jackie brown is the slow middle section in which the pace begins to drop .	1	-2	 and[0] perhaps[0] the[0] biggest[0] flaw[-1] with[0] jackie[0] brown[0] is[0] the[0] slow[0] middle[0] section[0] in[0] which[0] the[0] pace[0] begins[0] to[0] drop[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
of course , tarantino fixes this by moving onto the climax of the film , adding a lot of his reservoir dogs-style storytelling to it . 	of course , tarantino fixes this by moving onto the climax of the film , adding a lot of his reservoir dogs-style storytelling to it .	1	-1	 of[0] course[0] tarantino[0] fixes[0] this[0] by[0] moving[0] onto[0] the[0] climax[0] of[0] the[0] film[0] adding[0] a[0] lot[0] of[0] his[0] reservoir[0] dogs[0] style[0] storytelling[0] to[0] it[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
things are told from one person's perspective , and then from another , and then from another , each time learning more and more . 	things are told from one person's perspective , and then from another , and then from another , each time learning more and more .	1	-1	 things[0] are[0] told[0] from[0] one[0] person's[0] perspective[0] and[0] then[0] from[0] another[0] and[0] then[0] from[0] another[0] each[0] time[0] learning[0] more[0] and[0] more[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this all leads up to a very interesting conclusion , which decides who is on whose side . 	this all leads up to a very interesting conclusion , which decides who is on whose side .	3	-1	 this[0] all[0] leads[0] up[0] to[0] a[0] very[0] interesting[1][1 LastWordBoosterStrength] conclusion[0] which[0] decides[0] who[0] is[0] on[0] whose[0] side[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
on the technical side of jackie brown , quentin tarantino directs it with the same style as he did with his 1994 film . 	on the technical side of jackie brown , quentin tarantino directs it with the same style as he did with his 1994 film .	1	-1	 on[0] the[0] technical[0] side[0] of[0] jackie[0] brown[0] quentin[0] tarantino[0] directs[0] it[0] with[0] the[0] same[0] style[0] as[0] he[0] did[0] with[0] his[0] 1994[0] film[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
however , this time around it isn't as nearly as impressive or original . 	however , this time around it isn't as nearly as impressive or original .	2	-1	 however[0] this[0] time[0] around[0] it[0] isn't[0] as[0] nearly[0] as[0] impressive[1] or[0] original[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the writing , on the other hand , is quite good , although i do find tarantino's use of slang terms offensive . 	the writing , on the other hand , is quite good , although i do find tarantino's use of slang terms offensive .	2	-3	 the[0] writing[0] on[0] the[0] other[0] hand[0] is[0] quite[0] good[1] although[0] i[0] do[0] find[0] tarantino's[0] use[0] of[0] slang[0] terms[0] offensive[-2] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
the story jumps back and forth in time as in pulp fiction , but it's much more easy to understand . 	the story jumps back and forth in time as in pulp fiction , but it's much more easy to understand .	1	-1	 the[0] story[0] jumps[0] back[0] and[0] forth[0] in[0] time[0] as[0] in[0] pulp[0] fiction[0] but[0] it's[0] much[0] more[0] easy[0] to[0] understand[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
his previous film needed a second viewing in order to understand the time differentiation , but jackie brown is very simply to follow , especially considering that the time is given during the " leaps " in time . 	his previous film needed a second viewing in order to understand the time differentiation , but jackie brown is very simply to follow , especially considering that the time is given during the " leaps " in time .	1	-1	 his[0] previous[0] film[0] needed[0] a[0] second[0] viewing[0] in[0] order[0] to[0] understand[0] the[0] time[0] differentiation[0] but[0] jackie[0] brown[0] is[0] very[0] simply[0] to[0] follow[0] especially[0] considering[0] that[0] the[0] time[0] is[0] given[0] during[0] the[0] leaps[0] in[0] time[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
perhaps this is a result of the screenplay being written from the novel " rum punch " by elmore leonard . 	perhaps this is a result of the screenplay being written from the novel " rum punch " by elmore leonard .	1	-2	 perhaps[0] this[0] is[0] a[0] result[0] of[0] the[0] screenplay[0] being[0] written[0] from[0] the[0] novel[0] rum[0] punch[-1] by[0] elmore[0] leonard[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the dialogue is pretty much intelligent , and all the characters are fully realized . 	the dialogue is pretty much intelligent , and all the characters are fully realized .	3	-1	 the[0] dialogue[0] is[0] pretty[2] much[0] intelligent[1] and[0] all[0] the[0] characters[0] are[0] fully[0] realized[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the cinematography is very well done by guillermo navarro ( who has worked with tarantino on previous films ) and the editing is very good . 	the cinematography is very well done by guillermo navarro ( who has worked with tarantino on previous films ) and the editing is very good .	3	-1	 the[0] cinematography[0] is[0] very[0] well[0] done[0] by[0] guillermo[0] navarro[0] who[0] has[0] worked[0] with[0] tarantino[0] on[0] previous[0] films[0] and[0] the[0] editing[0] is[0] very[0] good[1][1 LastWordBoosterStrength] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
and as with pulp fiction , the music is a highlight , bringing back memorable songs from the 70s and 80s . 	and as with pulp fiction , the music is a highlight , bringing back memorable songs from the 70s and 80s .	1	-1	 and[0] as[0] with[0] pulp[0] fiction[0] the[0] music[0] is[0] a[0] highlight[0] bringing[0] back[0] memorable[0] songs[0] from[0] the[0] 70s[0] and[0] 80s[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the acting side of jackie brown is unforgettable . 	the acting side of jackie brown is unforgettable .	1	-1	 the[0] acting[0] side[0] of[0] jackie[0] brown[0] is[0] unforgettable[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the performances are incredibly rich , with hidden meaning behind every characters' actions . 	the performances are incredibly rich , with hidden meaning behind every characters' actions .	1	-1	 the[0] performances[0] are[0] incredibly[0] rich[0] with[0] hidden[0] meaning[0] behind[0] every[0] characters'[0] actions[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
nothing is quite as it seems , and you can't really tell which side one person is on . 	nothing is quite as it seems , and you can't really tell which side one person is on .	1	-1	 nothing[0] is[0] quite[0] as[0] it[0] seems[0] and[0] you[0] can't[0] really[0] tell[0] which[0] side[0] one[0] person[0] is[0] on[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the real treat , of course , is pam grier who gives an astonishing performance as jackie brown . 	the real treat , of course , is pam grier who gives an astonishing performance as jackie brown .	2	-1	 the[0] real[0] treat[1] of[0] course[0] is[0] pam[0] grier[0] who[0] gives[0] an[0] astonishing[0] performance[0] as[0] jackie[0] brown[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
her poor living conditions are superceded by her superior wits , which play an important role in the film . 	her poor living conditions are superceded by her superior wits , which play an important role in the film .	3	-2	 her[0] poor[-1] living[0] conditions[0] are[0] superceded[0] by[0] her[0] superior[2] wits[0] which[0] play[0] an[0] important[0] role[0] in[0] the[0] film[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
watching grieg , i could tell what was going through her mind , even if i didn't know what she was thinking . 	watching grieg , i could tell what was going through her mind , even if i didn't know what she was thinking .	1	-1	 watching[0] grieg[0] i[0] could[0] tell[0] what[0] was[0] going[0] through[0] her[0] mind[0] even[0] if[0] i[0] didn't[0] know[0] what[0] she[0] was[0] thinking[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
her face portrays a lot of emotion that you can tell when she is sad , happy , or in deep thought . 	her face portrays a lot of emotion that you can tell when she is sad , happy , or in deep thought .	2	-4	 her[0] face[0] portrays[0] a[0] lot[0] of[0] emotion[0] that[0] you[0] can[0] tell[0] when[0] she[0] is[0] sad[-3] happy[1] or[0] in[0] deep[0] thought[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
bridget fonda gives a very good performance as a druggie couch potato . 	bridget fonda gives a very good performance as a druggie couch potato .	3	-1	 bridget[0] fonda[0] gives[0] a[0] very[0] good[1][1 LastWordBoosterStrength] performance[0] as[0] a[0] druggie[0] couch[0] potato[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
i didn't even realize it was fonda until i saw her name in the final credits ( her performance actually reminded me of heather graham's in boogie nights ) . 	i didn't even realize it was fonda until i saw her name in the final credits ( her performance actually reminded me of heather graham's in boogie nights ) .	1	-1	 i[0] didn't[0] even[0] realize[0] it[0] was[0] fonda[0] until[0] i[0] saw[0] her[0] name[0] in[0] the[0] final[0] credits[0] her[0] performance[0] actually[0] reminded[0] me[0] of[0] heather[0] graham's[0] in[0] boogie[0] nights[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
michael keaton comes across very well , as does michael bowen . 	michael keaton comes across very well , as does michael bowen .	1	-1	 michael[0] keaton[0] comes[0] across[0] very[0] well[0] as[0] does[0] michael[0] bowen[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
chris tucker has a small , but effective performance . 	chris tucker has a small , but effective performance .	1	-1	 chris[0] tucker[0] has[0] a[0] small[0] but[0] effective[0] performance[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
samuel l . jackson is very good , but it seems to me that he was replaying his jules winnfield character from pulp fiction ( although much less cynical ) . 	samuel l .<br> jackson is very good , but it seems to me that he was replaying his jules winnfield character from pulp fiction ( although much less cynical ) .	3	-2	 samuel[0] l[0] [[Sentence=-1,1=word max, 1-5]] jackson[0] is[0] very[0] good[1][1 LastWordBoosterStrength] but[0] it[0] seems[0] to[0] me[0] that[0] he[0] was[0] replaying[0] his[0] jules[0] winnfield[0] character[0] from[0] pulp[0] fiction[0] although[0] much[0] less[0] cynical[-1] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
but no matter . . . 	but no matter .<br> .<br> .	1	-1	 but[0] no[0] matter[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
jackson is very strong in his role . 	jackson is very strong in his role .	1	-1	 jackson[0] is[0] very[0] strong[0] in[0] his[0] role[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
robert de niro is actually a little annoying at times , but overall he does a good job as one of ordell's perspective clients and friends . 	robert de niro is actually a little annoying at times , but overall he does a good job as one of ordell's perspective clients and friends .	2	-3	 robert[0] de[0] niro[0] is[0] actually[0] a[0] little[0] annoying[-2] at[0] times[0] but[0] overall[0] he[0] does[0] a[0] good[1] job[0] as[0] one[0] of[0] ordell's[0] perspective[0] clients[0] and[0] friends[1] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
robert forster gives one of the best performances in the film , as he has one of the most developed characters . 	robert forster gives one of the best performances in the film , as he has one of the most developed characters .	2	-1	 robert[0] forster[0] gives[0] one[0] of[0] the[0] best[1] performances[0] in[0] the[0] film[0] as[0] he[0] has[0] one[0] of[0] the[0] most[0] developed[0] characters[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
he is present throughout most of the film , and he holds his own against jackson and grier . 	he is present throughout most of the film , and he holds his own against jackson and grier .	1	-2	 he[0] is[0] present[0] throughout[0] most[0] of[0] the[0] film[0] and[0] he[0] holds[0] his[0] own[0] against[-1] jackson[0] and[0] grier[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
jackie brown is rated r for language , sex , violence , drug use , and some offensive remarks . 	jackie brown is rated are for language , sex , violence , drug use , and some offensive remarks .	1	-4	 jackie[0] brown[0] is[0] rated[0] r[0] for[0] language[0] sex[0] violence[-3] drug[0] use[0] and[0] some[0] offensive[-2][--1 LastWordBoosterStrength] remarks[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
as a film by itself , jackie brown is a terrific piece of entertainment , with a complex plot to draw viewers in . 	as a film by itself , jackie brown is a terrific piece of entertainment , with a complex plot to draw viewers in .	4	-1	 as[0] a[0] film[0] by[0] itself[0] jackie[0] brown[0] is[0] a[0] terrific[3] piece[0] of[0] entertainment[0] with[0] a[0] complex[0] plot[0] to[0] draw[0] viewers[0] in[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
however , one can not help but compare it to tarantino's pulp fiction , and expect great results . 	however , one can not help but compare it to tarantino's pulp fiction , and expect great results .	3	-1	 however[0] one[0] can[0] not[0] help[0] but[0] compare[0] it[0] to[0] tarantino's[0] pulp[0] fiction[0] and[0] expect[0] great[2] results[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
when compared , it comes up short , but not that short . 	when compared , it comes up short , but not that short .	1	-1	 when[0] compared[0] it[0] comes[0] up[0] short[0] but[0] not[0] that[0] short[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it's a worthy effort , with terrific acting and some impressive writing from elmore leonard and tarantino . 	it's a worthy effort , with terrific acting and some impressive writing from elmore leonard and tarantino .	4	-1	 it's[0] a[0] worthy[0] effort[0] with[0] terrific[3] acting[0] and[0] some[0] impressive[1][-1 LastWordBoosterStrength] writing[0] from[0] elmore[0] leonard[0] and[0] tarantino[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
perhaps the best thing about jackie brown is the discovery of pam grier as a major hollywood actress . 	perhaps the best thing about jackie brown is the discovery of pam grier as a major hollywood actress .	2	-1	 perhaps[0] the[0] best[1] thing[0] about[0] jackie[0] brown[0] is[0] the[0] discovery[0] of[0] pam[0] grier[0] as[0] a[0] major[0] hollywood[0] actress[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
i can't remember seeing her in anything ( except for a small role in mars attacks ! ) , but hopefully she will get many more roles from this one . 	i can't remember seeing her in anything ( except for a small role in mars attacks !<br> ) , but hopefully she will get many more roles from this one .	1	-3	 i[0] can't[0] remember[0] seeing[0] her[0] in[0] anything[0] except[0] for[0] a[0] small[0] role[0] in[0] mars[0] attacks[-2] [[Sentence=-3,1=word max, 1-5]] but[0] hopefully[0] she[0] will[0] get[0] many[0] more[0] roles[0] from[0] this[0] one[0] [[Sentence=-1,1=word max, 1-5]][[[1,-3 max of sentences]]]
expect to see her name floating around the oscar nominations ( and hopefully she will even be able to nab one ) . 	expect to see her name floating around the oscar nominations ( and hopefully she will even be able to nab one ) .	1	-1	 expect[0] to[0] see[0] her[0] name[0] floating[0] around[0] the[0] oscar[0] nominations[0] and[0] hopefully[0] she[0] will[0] even[0] be[0] able[0] to[0] nab[0] one[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
