with the release of gattaca , i began to wonder why all science fiction films deal with destructive aliens , or aliens in general . 	Translation	Positive	Negative	EmotionRationale
one of the directors of the program has been murdered , and the main suspect is one vincent freeman . 	one of the directors of the program has been murdered , and the main suspect is one vincent freeman .	1	-4	 one[0] of[0] the[0] directors[0] of[0] the[0] program[0] has[0] been[0] murdered[-3] and[0] the[0] main[0] suspect[-1] is[0] one[0] vincent[0] freeman[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
the only problem is that jerome morrow is vincent freeman . 	the only problem is that jerome morrow is vincent freeman .	1	-2	 the[0] only[0] problem[-1] is[0] that[0] jerome[0] morrow[0] is[0] vincent[0] freeman[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
vincent was born the natural way when his parents decided on bringing their first child into the world through love . 	vincent was born the natural way when his parents decided on bringing their first child into the world through love .	3	-1	 vincent[0] was[0] born[0] the[0] natural[0] way[0] when[0] his[0] parents[0] decided[0] on[0] bringing[0] their[0] first[0] child[0] into[0] the[0] world[0] through[0] love[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
however , after his birth , and through several genetic tests , doctors tell his parents that he will have a 99% chance of a weak heart , as well as poor eye sight and a short life span . 	however , after his birth , and through several genetic tests , doctors tell his parents that he will have a 99% chance of a weak heart , as well as poor eye sight and a short life span .	1	-2	 however[0] after[0] his[0] birth[0] and[0] through[0] several[0] genetic[0] tests[0] doctors[0] tell[0] his[0] parents[0] that[0] he[0] will[0] have[0] a[0] 99%[0] chance[0] of[0] a[0] weak[-1] heart[0] as[0] well[0] as[0] poor[-1] eye[0] sight[0] and[0] a[0] short[0] life[0] span[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
as a result , both parents decide to bring their next baby into the world via genetics . 	as a result , both parents decide to bring their next baby into the world via genetics .	2	-1	 as[0] a[0] result[0] both[0] parents[0] decide[0] to[0] bring[0] their[0] next[0] baby[1] into[0] the[0] world[0] via[0] genetics[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
anton ( loren dean ) is produced without flaws , and the competition between brothers spawns . 	anton ( loren dean ) is produced without flaws , and the competition between brothers spawns .	1	-1	 anton[0] loren[0] dean[0] is[0] produced[0] without[0] flaws[0] and[0] the[0] competition[0] between[0] brothers[0] spawns[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
vincent has a dream to fly a solo-flight around the titan , the 14th moon of saturn , but because of his condition , gattaca , and society in general , forces him to do menial labor around the company . 	vincent has a dream to fly a solo-flight around the titan , the 14th moon of saturn , but because of his condition , gattaca , and society in general , forces him to do menial labor around the company .	1	-2	 vincent[0] has[0] a[0] dream[0] to[0] fly[0] a[0] solo[0] flight[0] around[0] the[0] titan[0] the[0] 14th[0] moon[0] of[0] saturn[0] but[0] because[0] of[0] his[0] condition[0] gattaca[0] and[0] society[0] in[0] general[0] forces[0] him[0] to[0] do[0] menial[-1] labor[0] around[0] the[0] company[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
labeled an " in-valid , " vincent's dream seems impossible , until he meets a black-market dna specialist , german ( tony shalhoub ) . 	labeled an " in-valid , " vincent's dream seems impossible , until he meets a black-market dna specialist , german ( tony shalhoub ) .	2	-2	 labeled[0] an[0] in[0] valid[0] vincent's[0] dream[0] seems[0] impossible[0] until[0] he[0] meets[0] a[0] black[0] market[0] dna[0] specialist[1] german[-1] tony[0] shalhoub[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
german introduces him to a " valid " who has been paralized from the waste down due to an automobile accident . 	german introduces him to a " valid " who has been paralized from the waste down due to an automobile accident .	1	-2	 german[-1] introduces[0] him[0] to[0] a[0] valid[0] who[0] has[0] been[0] paralized[0] from[0] the[0] waste[-1] down[0] due[0] to[0] an[0] automobile[0] accident[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
jerome morrow ( jude law ) agrees to give vincent all the proper identification tools ( urine , blood , skin and hair samples , etc . ) that he will need to get past gattaca's tight security . 	jerome morrow ( jude law ) agrees to give vincent all the proper identification tools ( urine , blood , skin and hair samples , etc .<br> ) that he will need to get past gattaca's tight security .	2	-1	 jerome[0] morrow[0] jude[0] law[0] agrees[0] to[0] give[0] vincent[0] all[0] the[0] proper[0] identification[0] tools[0] urine[0] blood[0] skin[0] and[0] hair[0] samples[0] etc[0] [[Sentence=-1,1=word max, 1-5]] that[0] he[0] will[0] need[0] to[0] get[0] past[0] gattaca's[0] tight[0] security[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
in exchange , vincent will provide jerome with the rent money and friendship . 	in exchange , vincent will provide jerome with the rent money and friendship .	2	-1	 in[0] exchange[0] vincent[0] will[0] provide[0] jerome[0] with[0] the[0] rent[0] money[0] and[0] friendship[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
after the murder , however , his dreams are put at risk due to one of vincent's eyelashes left at the scene of the crime . 	after the murder , however , his dreams are put at risk due to one of vincent's eyelashes left at the scene of the crime .	1	-4	 after[0] the[0] murder[-3] however[0] his[0] dreams[0] are[0] put[0] at[0] risk[-1] due[0] to[0] one[0] of[0] vincent's[0] eyelashes[0] left[0] at[0] the[0] scene[0] of[0] the[0] crime[-1] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
irene cassini ( uma thurman ) is a genetically flawed " valid " working for gattaca , and she begins to fall in love with vincent/jerome . 	irene cassini ( uma thurman ) is a genetically flawed " valid " working for gattaca , and she begins to fall in love with vincent/jerome .	3	-1	 irene[0] cassini[0] uma[0] thurman[0] is[0] a[0] genetically[0] flawed[0] valid[0] working[0] for[0] gattaca[0] and[0] she[0] begins[0] to[0] fall[0] in[0] love[2] with[0] vincent/jerome[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
gattaca is one of the best science fiction films i have seen in a long time . 	gattaca is one of the best science fiction films i have seen in a long time .	2	-1	 gattaca[0] is[0] one[0] of[0] the[0] best[1] science[0] fiction[0] films[0] i[0] have[0] seen[0] in[0] a[0] long[0] time[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
only two other intelligent science fiction films have come out in the past two years ( contact and the arrival ) and gattaca will rank among them . 	only two other intelligent science fiction films have come out in the past two years ( contact and the arrival ) and gattaca will rank among them .	2	-1	 only[0] two[0] other[0] intelligent[1] science[0] fiction[0] films[0] have[0] come[0] out[0] in[0] the[0] past[0] two[0] years[0] contact[0] and[0] the[0] arrival[0] and[0] gattaca[0] will[0] rank[0] among[0] them[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
unfortunately , whenever one intelligent film comes out against special effects-laden films , it normally gets buried . 	unfortunately , whenever one intelligent film comes out against special effects-laden films , it normally gets buried .	2	-3	 unfortunately[-1] whenever[0] one[0] intelligent[1] film[0] comes[0] out[0] against[-1] special[1] effects[0] laden[0] films[0] it[0] normally[0] gets[0] buried[-2] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
the second best thing about gattaca is the production design by jan roelfs . 	the second best thing about gattaca is the production design by jan roelfs .	2	-1	 the[0] second[0] best[1] thing[0] about[0] gattaca[0] is[0] the[0] production[0] design[0] by[0] jan[0] roelfs[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the orange glow of gattaca's scenes are impressive , but the sets deserve most of the credit . 	the orange glow of gattaca's scenes are impressive , but the sets deserve most of the credit .	2	-1	 the[0] orange[0] glow[0] of[0] gattaca's[0] scenes[0] are[0] impressive[1] but[0] the[0] sets[0] deserve[0] most[0] of[0] the[0] credit[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the sets are very well done , creating a futuristic sense , but not too futuristic as to alienate viewers . 	the sets are very well done , creating a futuristic sense , but not too futuristic as to alienate viewers .	1	-2	 the[0] sets[0] are[0] very[0] well[0] done[0] creating[0] a[0] futuristic[0] sense[0] but[0] not[0] too[0] futuristic[0] as[0] to[0] alienate[-1] viewers[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
as we look at the designs , we realize that these buildings aren't too far into the future . 	as we look at the designs , we realize that these buildings aren't too far into the future .	1	-1	 as[0] we[0] look[0] at[0] the[0] designs[0] we[0] realize[0] that[0] these[0] buildings[0] aren't[0] too[0] far[0] into[0] the[0] future[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this brings the plot even more credibility as genetic engineering becomes more possible by every passing day . 	this brings the plot even more credibility as genetic engineering becomes more possible by every passing day .	1	-1	 this[0] brings[0] the[0] plot[0] even[0] more[0] credibility[0] as[0] genetic[0] engineering[0] becomes[0] more[0] possible[0] by[0] every[0] passing[0] day[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the best thing , however , is the plot . 	the best thing , however , is the plot .	2	-1	 the[0] best[1] thing[0] however[0] is[0] the[0] plot[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the story is more than your average sci-fi/thriller . 	the story is more than your average sci-fi/thriller .	1	-1	 the[0] story[0] is[0] more[0] than[0] your[0] average[0] sci[0] fi/thriller[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
at its heart , it develops a theme which is never overpowering but is always present . 	at its heart , it develops a theme which is never overpowering but is always present .	2	-1	 at[0] its[0] heart[0] it[0] develops[0] a[0] theme[0] which[0] is[0] never[0] overpowering[-1][NegatedDueToPreviousWord] but[0] is[0] always[0] present[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
perhaps niccol is warning our race about the changes genetic tampering could bring . 	perhaps niccol is warning our race about the changes genetic tampering could bring .	1	-2	 perhaps[0] niccol[0] is[0] warning[0] our[0] race[0] about[0] the[0] changes[0] genetic[0] tampering[-1] could[0] bring[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
would our society become a bunch of soulless zombies ? 	would our society become a bunch of soulless zombies ?	1	-1	 would[0] our[0] society[0] become[0] a[0] bunch[0] of[0] soulless[0] zombies[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
maybe human nature is a result of mankind's flaws . 	maybe human nature is a result of mankind's flaws .	1	-1	 maybe[0] human[0] nature[0] is[0] a[0] result[0] of[0] mankind's[0] flaws[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
if we get rid of flaws , do we get rid of dreams as well ? 	if we get rid of flaws , do we get rid of dreams as well ?	1	-2	 if[0] we[0] get[0] rid[-1] of[0] flaws[0] do[0] we[0] get[0] rid[-1] of[0] dreams[0] as[0] well[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
niccol's intelligent script handles all these questions extremely well , and the result is an incredibly smart thriller set against a dramatic story , or vice versa . 	niccol's intelligent script handles all these questions extremely well , and the result is an incredibly smart thriller set against a dramatic story , or vice versa .	4	-2	 niccol's[0] intelligent[1] script[0] handles[0] all[0] these[0] questions[0] extremely[0] well[0] and[0] the[0] result[0] is[0] an[0] incredibly[0] smart[1][2 LastWordBoosterStrength] thriller[1] set[0] against[-1] a[0] dramatic[0] story[0] or[0] vice[-1] versa[0] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
the power of the actors brings a lot of credibility to flat characters . 	the power of the actors brings a lot of credibility to flat characters .	1	-1	 the[0] power[0] of[0] the[0] actors[0] brings[0] a[0] lot[0] of[0] credibility[0] to[0] flat[0] characters[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
while flat may sound like a poor job on niccol's part , it actually enhances the meaning behind the story . 	while flat may sound like a poor job on niccol's part , it actually enhances the meaning behind the story .	2	-2	 while[0] flat[0] may[0] sound[0] like[1] a[0] poor[-1] job[0] on[0] niccol's[0] part[0] it[0] actually[0] enhances[0] the[0] meaning[0] behind[0] the[0] story[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
ethan hawke has developed into a handsome adult actor , giving his best performance of his lifetime so far . 	ethan hawke has developed into a handsome adult actor , giving his best performance of his lifetime so far .	2	-1	 ethan[0] hawke[0] has[0] developed[0] into[0] a[0] handsome[1] adult[0] actor[0] giving[0] his[0] best[1] performance[0] of[0] his[0] lifetime[0] so[0] far[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
his curiosity and motivation pushes his character past all the discouraging remarks from his parents and " valid " peers . 	his curiosity and motivation pushes his character past all the discouraging remarks from his parents and " valid " peers .	1	-2	 his[0] curiosity[0] and[0] motivation[0] pushes[0] his[0] character[0] past[0] all[0] the[0] discouraging[-1] remarks[0] from[0] his[0] parents[0] and[0] valid[0] peers[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
uma thurman is . . . well , uma thurman . 	uma thurman is .<br> .<br> .<br> well , uma thurman .	1	-1	 uma[0] thurman[0] is[0] [[Sentence=-1,1=word max, 1-5]] well[0] uma[0] thurman[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
her character is slightly underdeveloped , but the story isn't about her . 	her character is slightly underdeveloped , but the story isn't about her .	1	-1	 her[0] character[0] is[0] slightly[0] underdeveloped[0] but[0] the[0] story[0] isn't[0] about[0] her[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
however , thurman gives a lot of depth to the flat character . 	however , thurman gives a lot of depth to the flat character .	1	-1	 however[0] thurman[0] gives[0] a[0] lot[0] of[0] depth[0] to[0] the[0] flat[0] character[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
jude law gives the most complex performance of the film with the most disturbingly realistic character . 	jude law gives the most complex performance of the film with the most disturbingly realistic character .	1	-2	 jude[0] law[0] gives[0] the[0] most[0] complex[0] performance[0] of[0] the[0] film[0] with[0] the[0] most[0] disturbingly[-1] realistic[0] character[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
he provides several nice touches , and his final scene is a very touching and heartwrenching one . 	he provides several nice touches , and his final scene is a very touching and heartwrenching one .	2	-1	 he[0] provides[0] several[0] nice[1] touches[0] and[0] his[0] final[0] scene[0] is[0] a[0] very[0] touching[0] and[0] heartwrenching[0] one[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
loren dean gives a nice performance in his well-developed character . 	loren dean gives a nice performance in his well-developed character .	2	-1	 loren[0] dean[0] gives[0] a[0] nice[1] performance[0] in[0] his[0] well[0] developed[0] character[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
dean is also responsible for some of the most suspenseful scenes in the movie . 	dean is also responsible for some of the most suspenseful scenes in the movie .	1	-1	 dean[0] is[0] also[0] responsible[0] for[0] some[0] of[0] the[0] most[0] suspenseful[0] scenes[0] in[0] the[0] movie[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
alan arkin portrays one of the detectives with a little less more excitement than with his psychiatrist in grosse pointe blank . 	alan arkin portrays one of the detectives with a little less more excitement than with his psychiatrist in grosse pointe blank .	3	-2	 alan[0] arkin[0] portrays[0] one[0] of[0] the[0] detectives[0] with[0] a[0] little[0] less[0] more[0] excitement[2] than[0] with[0] his[0] psychiatrist[0] in[0] grosse[-1] pointe[0] blank[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
still , he does a good job . 	still , he does a good job .	2	-1	 still[0] he[0] does[0] a[0] good[1] job[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
gore vidal and xander berkeley both provide some very good supporting roles , and berkeley also gives a heartfelt discussion towards the end of the film . 	gore vidal and xander berkeley both provide some very good supporting roles , and berkeley also gives a heartfelt discussion towards the end of the film .	3	-1	 gore[0] vidal[0] and[0] xander[0] berkeley[0] both[0] provide[0] some[0] very[0] good[1][1 LastWordBoosterStrength] supporting[1] roles[0] and[0] berkeley[0] also[0] gives[0] a[0] heartfelt[1] discussion[0] towards[0] the[0] end[0] of[0] the[0] film[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
gattaca is rated pg-13 for brief violent images , language , some sexuality , and nudity . 	gattaca is rated pg-13 for brief violent images , language , some sexuality , and nudity .	1	-3	 gattaca[0] is[0] rated[0] pg[0] -13[0] for[0] brief[0] violent[-2] images[0] language[0] some[0] sexuality[0] and[0] nudity[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
despite the somber and desolate mood of the entire film , i wasn't exactly prepared for the ending which left me feeling empty . 	despite the somber and desolate mood of the entire film , i wasn't exactly prepared for the ending which left me feeling empty .	1	-2	 despite[0] the[0] somber[-1] and[0] desolate[-1] mood[0] of[0] the[0] entire[0] film[0] i[0] wasn't[0] exactly[0] prepared[0] for[0] the[0] ending[0] which[0] left[0] me[0] feeling[0] empty[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it turned me off slightly , but then i realized that everything turned out the way it should have . 	it turned me off slightly , but then i realized that everything turned out the way it should have .	1	-1	 it[0] turned[0] me[0] off[0] slightly[0] but[0] then[0] i[0] realized[0] that[0] everything[0] turned[0] out[0] the[0] way[0] it[0] should[0] have[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
if this had been a typical hollywood film , it would have ended much differently . 	if this had been a typical hollywood film , it would have ended much differently .	1	-1	 if[0] this[0] had[0] been[0] a[0] typical[0] hollywood[0] film[0] it[0] would[0] have[0] ended[0] much[0] differently[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
however , with all the mindless science fiction films out there , it is nice to have a film which doesn't talk down to its audience ( i especially like the ironic title and how it consists of the four letters which make up the genetic coding : g , t , c , and a ) . 	however , with all the mindless science fiction films out there , it is nice to have a film which doesn't talk down to its audience ( i especially like the ironic title and how it consists of the four letters which make up the genetic coding : grin� , t , c , and a ) .	3	-2	 however[0] with[0] all[0] the[0] mindless[0] science[0] fiction[0] films[0] out[0] there[0] it[0] is[0] nice[1] to[0] have[0] a[0] film[0] which[0] doesn't[0] talk[0] down[0] to[0] its[0] audience[0] i[0] especially[0] like[1][1 LastWordBoosterStrength] the[0] ironic[-1] title[0] and[0] how[0] it[0] consists[0] of[0] the[0] four[0] letters[0] which[0] make[0] up[0] the[0] genetic[0] coding[0] g[0] t[0] c[0] and[0] a[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
instead , it provides some much needed entertainment which gives us science fiction fanatics just what we want : a science fiction film with morals behind it . 	instead , it provides some much needed entertainment which gives us science fiction fanatics just what we want : a science fiction film with morals behind it .	1	-2	 instead[0] it[0] provides[0] some[0] much[0] needed[0] entertainment[0] which[0] gives[0] us[0] science[0] fiction[0] fanatics[-1] just[0] what[0] we[0] want[0] a[0] science[0] fiction[0] film[0] with[0] morals[0] behind[0] it[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
whatever happened to giving the audience a lesson while entertaining ? 	whatever happened to giving the audience a lesson while entertaining ?	1	-1	 whatever[0] happened[0] to[0] giving[0] the[0] audience[0] a[0] lesson[0] while[0] entertaining[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
hopefully more writers and directors will learn from gattaca . . . 	hopefully more writers and directors will learn from gattaca .<br> .<br> .	1	-1	 hopefully[0] more[0] writers[0] and[0] directors[0] will[0] learn[0] from[0] gattaca[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and hopefully audiences will too . 	and hopefully audiences will too .	1	-1	 and[0] hopefully[0] audiences[0] will[0] too[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
p . s . personal note to p . j . gladnick : how dare you call this film the worst film of the year . 	p .<br> s .<br> personal note to p .<br> j .<br> gladnick : how dare you call this film the worst film of the year .	1	-3	 p[0] [[Sentence=-1,1=word max, 1-5]] s[0] [[Sentence=-1,1=word max, 1-5]] personal[0] note[0] to[0] p[0] [[Sentence=-1,1=word max, 1-5]] j[0] [[Sentence=-1,1=word max, 1-5]] gladnick[0] how[0] dare[0] you[0] call[0] this[0] film[0] the[0] worst[-2] film[0] of[0] the[0] year[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
i can't even begin to image what film you do like . 	i can't even begin to image what film you do like .	2	-1	 i[0] can't[0] even[0] begin[0] to[0] image[0] what[0] film[0] you[0] do[0] like[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
that frightens me beyond anything . 	that frightens me beyond anything .	1	-4	 that[0] frightens[-3] me[0] beyond[0] anything[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
