people who enjoy science fiction are often faced with unpleasant surprises due to the improper labelling of novels , stories , comic books or movies . 	Translation	Positive	Negative	EmotionRationale
such high position could be explained with the fact that kaufman's film looks quite atypical for its time . 	such high position could be explained with the fact that kaufman's film looks quite atypical for its time .	1	-1	 such[0] high[0] position[0] could[0] be[0] explained[0] with[0] the[0] fact[0] that[0] kaufman's[0] film[0] looks[0] quite[0] atypical[0] for[0] its[0] time[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
with more than three hours of length and epic scope it looked more suitable for 1950s and 1960s - age when hollywood used to make films larger than life . 	with more than three hours of length and epic scope it looked more suitable for 1950s and 1960s - age when hollywood used to make films larger than life .	1	-1	 with[0] more[0] than[0] three[0] hours[0] of[0] length[0] and[0] epic[0] scope[0] it[0] looked[0] more[0] suitable[0] for[0] 1950s[0] and[0] 1960s[0] age[0] when[0] hollywood[0] used[0] to[0] make[0] films[0] larger[0] than[0] life[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but the real reason lies in the fact that it was made by truly remarkable and talented filmmaker . 	but the real reason lies in the fact that it was made by truly remarkable and talented filmmaker .	2	-3	 but[0] the[0] real[0] reason[0] lies[-2] in[0] the[0] fact[0] that[0] it[0] was[0] made[0] by[0] truly[1] remarkable[0] and[0] talented[1] filmmaker[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
philip kaufman created reputation in 1970s by using all the opportunities of that golden age in order to create original , memorable movies . 	philip kaufman created reputation in 1970s by using all the opportunities of that golden age in order to create original , memorable movies .	1	-1	 philip[0] kaufman[0] created[0] reputation[0] in[0] 1970s[0] by[0] using[0] all[0] the[0] opportunities[0] of[0] that[0] golden[0] age[0] in[0] order[0] to[0] create[0] original[0] memorable[0] movies[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the right stuff was the last of them , swan song of an era when producers allowed directors to spend big bucks on unusual , risk-taking " artsy " projects . 	the right stuff was the last of them , swan song of an era when producers allowed directors to spend big bucks on unusual , risk-taking " artsy " projects .	1	-2	 the[0] right[0] stuff[0] was[0] the[0] last[0] of[0] them[0] swan[0] song[0] of[0] an[0] era[0] when[0] producers[0] allowed[0] directors[0] to[0] spend[0] big[0] bucks[0] on[0] unusual[0] risk[-1] taking[0] artsy[0] projects[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the right stuff is unusual because it lacks many standard elements of hollywood film . 	the right stuff is unusual because it lacks many standard elements of hollywood film .	1	-1	 the[0] right[0] stuff[0] is[0] unusual[0] because[0] it[0] lacks[0] many[0] standard[0] elements[0] of[0] hollywood[0] film[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the plot is almost non-existent and not very coherent ; the story , featuring many interesting incidents and anecdotes , shifts focus from the old generation of test pilots , embodied in yeager , to new generation of the astronauts . 	the plot is almost non-existent and not very coherent ; the story , featuring many interesting incidents and anecdotes , shifts focus from the old generation of test pilots , embodied in yeager , to new generation of the astronauts .	2	-1	 the[0] plot[0] is[0] almost[0] non[0] existent[0] and[0] not[0] very[0] coherent[0] the[0] story[0] featuring[0] many[0] interesting[1] incidents[0] and[0] anecdotes[0] shifts[0] focus[0] from[0] the[0] old[0] generation[0] of[0] test[0] pilots[0] embodied[0] in[0] yeager[0] to[0] new[0] generation[0] of[0] the[0] astronauts[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the film also lacks conventional protagonist - yeager ( who also appears in small cameo ) remains the true hero of the film , but equal time and exposure is also given to other astronauts and their wives , making this movie into ensemble piece . 	the film also lacks conventional protagonist - yeager ( who also appears in small cameo ) remains the true hero of the film , but equal time and exposure is also given to other astronauts and their wives , making this movie into ensemble piece .	3	-1	 the[0] film[0] also[0] lacks[0] conventional[0] protagonist[0] yeager[0] who[0] also[0] appears[0] in[0] small[0] cameo[0] remains[0] the[0] true[1] hero[2] of[0] the[0] film[0] but[0] equal[0] time[0] and[0] exposure[0] is[0] also[0] given[0] to[0] other[0] astronauts[0] and[0] their[0] wives[0] making[0] this[0] movie[0] into[0] ensemble[0] piece[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
that gave opportunity for kaufman to use multitude of great acting talents , until that specialised only for bit or character roles . 	that gave opportunity for kaufman to use multitude of great acting talents , until that specialised only for bit or character roles .	3	-1	 that[0] gave[0] opportunity[0] for[0] kaufman[0] to[0] use[0] multitude[0] of[0] great[2] acting[0] talents[1] until[0] that[0] specialised[1] only[0] for[0] bit[0] or[0] character[0] roles[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
sam shepard is great as yeager , war hero whose greatest achievement - breech of the sound barrier - remained obscured in history books , probably due to his own modesty . 	sam shepard is great as yeager , war hero whose greatest achievement - breech of the sound barrier - remained obscured in history books , probably due to his own modesty .	3	-3	 sam[0] shepard[0] is[0] great[2] as[0] yeager[0] war[-2] hero[2] whose[0] greatest[2] achievement[0] breech[0] of[0] the[0] sound[0] barrier[-1] remained[0] obscured[0] in[0] history[0] books[0] probably[0] due[0] to[0] his[0] own[0] modesty[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
on the surface , he lacks personality compared with his hyped and more fortunate astronaut colleagues , but shepard gives texture to this character with subtle gestures and phrases . 	on the surface , he lacks personality compared with his hyped and more fortunate astronaut colleagues , but shepard gives texture to this character with subtle gestures and phrases .	1	-1	 on[0] the[0] surface[0] he[0] lacks[0] personality[0] compared[0] with[0] his[0] hyped[0] and[0] more[0] fortunate[0] astronaut[0] colleagues[0] but[0] shepard[0] gives[0] texture[0] to[0] this[0] character[0] with[0] subtle[0] gestures[0] and[0] phrases[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
shepard's performance is followed with great acting by ed harris as clean-cut marine ( and future politician ) john glenn . 	shepard's performance is followed with great acting by ed harris as clean-cut marine ( and future politician ) john glen .	3	-1	 shepard's[0] performance[0] is[0] followed[0] with[0] great[2] acting[0] by[0] ed[0] harris[0] as[0] clean[0] cut[0] marine[0] and[0] future[0] politician[0] john[0] glenn/glen[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
young dennis quaid is more than fine as arrogant fighter jock gordo cooper , and this arrogance is mirrored in his friend and most tragic figure of virgil grissom , superbly played by fred ward . 	young dennis quaid is more than fine as arrogant fighter jock gordo cooper , and this arrogance is mirrored in his friend and most tragic figure of virgil grissom , superbly played by fred ward .	3	-4	 young[0] dennis[0] quaid[0] is[0] more[0] than[0] fine[2] as[0] arrogant[-2] fighter[-2][-1 MultiplePositiveWords] jock[0] gordo[0] cooper[0] and[0] this[0] arrogance[-2] is[0] mirrored[0] in[0] his[0] friend[1] and[0] most[0] tragic[-2] figure[0] of[0] virgil[0] grissom[0] superbly[0] played[0] by[0] fred[0] ward[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
always reliable character actor scott glenn provides some comic relief as navy aviator and ( arguably ) first american man in space alan shepard . 	always reliable character actor scot glen provides some comic relief as navy aviator and ( arguably ) first american man in space alan shepard .	2	-2	 always[0] reliable[0] character[0] actor[0] scott/scot[0] glenn/glen[0] provides[0] some[0] comic[0] relief[1] as[0] navy[0] aviator[0] and[0] arguably[-1] first[0] american[0] man[0] in[0] space[0] alan[0] shepard[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
kaufman left room for female talents to excel too - barbara hershey , pamela reed , veronica cartwright and mary jo deschanel are great as pilots' wives . 	kaufman left room for female talents to excel too - barbara hershey , pamela reed , veronica cartwright and mary jo deschanel are great as pilots' wives .	3	-1	 kaufman[0] left[0] room[0] for[0] female[0] talents[1] to[0] excel[2] too[0] barbara[0] hershey[0] pamela[0] reed[0] veronica[0] cartwright[0] and[0] mary[0] jo[0] deschanel[0] are[0] great[2] as[0] pilots'[0] wives[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
royal dano is also impressive as menacing figure of preacher , but the most memorable performances belong to donald moffat as vice-president lyndon b . johnson and jane dornacker as nurse murch . 	royal dano is also impressive as menacing figure of preacher , but the most memorable performances belong to donald moffat as vice-president lyndon b .<br> johnson and jane dornacker as nurse murch .	2	-2	 royal[0] dano[0] is[0] also[0] impressive[1] as[0] menacing[0] figure[0] of[0] preacher[0] but[0] the[0] most[0] memorable[0] performances[0] belong[0] to[0] donald[0] moffat[0] as[0] vice[-1] president[0] lyndon[0] b[0] [[Sentence=-2,2=word max, 1-5]] johnson[0] and[0] jane[0] dornacker[0] as[0] nurse[0] murch[0] [[Sentence=-1,1=word max, 1-5]][[[2,-2 max of sentences]]]
great acting talent assembled for this film was mirrored with kaufman's superb direction . 	great acting talent assembled for this film was mirrored with kaufman's superb direction .	3	-1	 great[2] acting[0] talent[1] assembled[0] for[0] this[0] film[0] was[0] mirrored[0] with[0] kaufman's[0] superb[0] direction[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
most notable of all is the methods kaufman uses in order to suggest the passage of time . 	most notable of all is the methods kaufman uses in order to suggest the passage of time .	1	-1	 most[0] notable[0] of[0] all[0] is[0] the[0] methods[0] kaufman[0] uses[0] in[0] order[0] to[0] suggest[0] the[0] passage[0] of[0] time[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the beginning of the film shows test pilots living in the middle of desert , as virtual unknowns , far away from strict rules and discipline . 	the beginning of the film shows test pilots living in the middle of desert , as virtual unknowns , far away from strict rules and discipline .	1	-2	 the[0] beginning[0] of[0] the[0] film[0] shows[0] test[0] pilots[0] living[0] in[0] the[0] middle[0] of[0] desert[0] as[0] virtual[0] unknowns[0] far[0] away[0] from[0] strict[-1] rules[0] and[0] discipline[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
everything seems natural -yeager can indulge himself in horse riding just few yards away from the fastest and most precious aircraft in the world . 	everything seems natural -yeager can indulge himself in horse riding just few yards away from the fastest and most precious aircraft in the world .	3	-2	 everything[0] seems[0] natural[0] yeager[0] can[0] indulge[-1] himself[0] in[0] horse[0] riding[0] just[0] few[0] yards[0] away[0] from[0] the[0] fastest[0] and[0] most[0] precious[2] aircraft[0] in[0] the[0] world[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
in that setting , it's quite normal for important technical problems to be solved with simple chainsaw and for the test pilots not to report their ribs being broken before most important flights . 	in that setting , it's quite normal for important technical problems to be solved with simple chainsaw and for the test pilots not to report their ribs being broken before most important flights .	1	-2	 in[0] that[0] setting[0] it's[0] quite[0] normal[0] for[0] important[0] technical[0] problems[-1] to[0] be[0] solved[0] with[0] simple[0] chainsaw[0] and[0] for[0] the[0] test[0] pilots[0] not[0] to[0] report[0] their[0] ribs[0] being[0] broken[-1] before[0] most[0] important[0] flights[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
but the times are changing ; ww2 alliance with ussr is replaced with cold war , and " natural " pilots like yeager must be replaced with more disciplined , conventional pilots . 	but the times are changing ; ww2 alliance with ussr is replaced with cold war , and " natural " pilots like yeager must be replaced with more disciplined , conventional pilots .	2	-3	 but[0] the[0] times[0] are[0] changing[0] ww2[0] alliance[0] with[0] ussr[0] is[0] replaced[0] with[0] cold[-1] war[-2] and[0] natural[0] pilots[0] like[1] yeager[0] must[0] be[0] replaced[0] with[0] more[0] disciplined[0] conventional[0] pilots[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
their entire lives become focus of media frenzy , and their job is subjected to strict rules , meticulous plans and they must fight the bureaucrats , publicity-seeking politicians and uncaring scientists ( like former nazi rocket expert werner von braun , played by scott beach ) only to preserve their most basic human dignity . 	their entire lives become focus of media frenzy , and their job is subjected to strict rules , meticulous plans and they must fight the bureaucrats , publicity-seeking politicians and uncaring scientists ( like former nazi rocket expert werner von braun , played by scot beach ) only to preserve their most basic human dignity .	2	-3	 their[0] entire[0] lives[0] become[0] focus[0] of[0] media[0] frenzy[0] and[0] their[0] job[0] is[0] subjected[0] to[0] strict[-1] rules[0] meticulous[0] plans[0] and[0] they[0] must[0] fight[-2] the[0] bureaucrats[0] publicity[0] seeking[0] politicians[0] and[0] uncaring[0] scientists[0] like[1] former[0] nazi[-1] rocket[0] expert[0] werner[0] von[0] braun[0] played[0] by[0] scott/scot[0] beach[0] only[0] to[0] preserve[0] their[0] most[0] basic[0] human[0] dignity[1] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
this contrast is underlined with the beautifully edited sequence - while yeager conducts his final and most spectacular test flight in absolute obscurity , " mercury " astronauts receive fame and fortune , although some of them even before going in the space . 	this contrast is underlined with the beautifully edited sequence - while yeager conducts his final and most spectacular test flight in absolute obscurity , " mercury " astronauts receive fame and fortune , although some of them even before going in the space .	3	-1	 this[0] contrast[0] is[0] underlined[0] with[0] the[0] beautifully[2] edited[0] sequence[0] while[0] yeager[0] conducts[0] his[0] final[0] and[0] most[0] spectacular[0] test[0] flight[0] in[0] absolute[0] obscurity[0] mercury[0] astronauts[0] receive[0] fame[0] and[0] fortune[0] although[0] some[0] of[0] them[0] even[0] before[0] going[0] in[0] the[0] space[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
those contrasts and similar effects are achieved with kaufman's superb use of poetic movie language . 	those contrasts and similar effects are achieved with kaufman's superb use of poetic movie language .	1	-1	 those[0] contrasts[0] and[0] similar[0] effects[0] are[0] achieved[0] with[0] kaufman's[0] superb[0] use[0] of[0] poetic[0] movie[0] language[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
editing is great , and photography by caleb deschanel provides many memorable scenes like the funeral in the desert or astronauts in their suits walking in slow motion ( the same image would be copied in many latter films ) . 	editing is great , and photography by caleb deschanel provides many memorable scenes like the funeral in the desert or astronauts in their suits walking in slow motion ( the same image would be copied in many latter films ) .	3	-1	 editing[0] is[0] great[2] and[0] photography[0] by[0] caleb[0] deschanel[0] provides[0] many[0] memorable[0] scenes[0] like[1] the[0] funeral[0] in[0] the[0] desert[0] or[0] astronauts[0] in[0] their[0] suits[0] walking[0] in[0] slow[0] motion[0] the[0] same[0] image[0] would[0] be[0] copied[0] in[0] many[0] latter[0] films[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
although kaufman enjoyed support of nasa and american military , which provided authentic locations and period equipment , he still had to use special effects in order to simulate space flights . 	although kaufman enjoyed support of nasa and american military , which provided authentic locations and period equipment , he still had to use special effects in order to simulate space flights .	3	-1	 although[0] kaufman[0] enjoyed[2] support[1] of[0] nasa[0] and[0] american[0] military[0] which[0] provided[0] authentic[0] locations[0] and[0] period[0] equipment[0] he[0] still[0] had[0] to[0] use[0] special[1] effects[0] in[0] order[0] to[0] simulate[0] space[0] flights[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
those effects are excellent and they can still fool the audience accustomed to cgi and real footage of earth from outer space . 	those effects are excellent and they can still fool the audience accustomed to cgi and real footage of earth from outer space .	4	-2	 those[0] effects[0] are[0] excellent[3] and[0] they[0] can[0] still[0] fool[-1] the[0] audience[0] accustomed[-1] to[0] cgi[0] and[0] real[0] footage[0] of[0] earth[0] from[0] outer[0] space[0] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
another fine contribution of this film is " oscar " -awarded musical score by bill conti ; i still tremble from excitement every time i hear it . 	another fine contribution of this film is " oscar " -awarded musical score by bill conti ; i still tremble from excitement every time i hear it .	3	-3	 another[0] fine[2] contribution[0] of[0] this[0] film[0] is[0] oscar[0] awarded[0] musical[0] score[0] by[0] bill[0] conti[0] i[0] still[0] tremble[-2] from[0] excitement[2] every[0] time[0] i[0] hear[0] it[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
it is accompanied with the use of holst and debussy . 	it is accompanied with the use of holst and debussy .	1	-1	 it[0] is[0] accompanied[0] with[0] the[0] use[0] of[0] holst[0] and[0] debussy[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
some of the songs used in the background also provide authentic atmosphere of the historical period . 	some of the songs used in the background also provide authentic atmosphere of the historical period .	1	-1	 some[0] of[0] the[0] songs[0] used[0] in[0] the[0] background[0] also[0] provide[0] authentic[0] atmosphere[0] of[0] the[0] historical[0] period[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this film is great , and its cult status is well deserved , but there are some minor flaws . 	this film is great , and its cult status is well deserved , but there are some minor flaws .	3	-1	 this[0] film[0] is[0] great[2] and[0] its[0] cult[0] status[0] is[0] well[0] deserved[0] but[0] there[0] are[0] some[0] minor[0] flaws[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
some of the " mercury " astronauts aren't fleshed out enough ( although being played by fine actors , like lance henriksen ) . 	some of the " mercury " astronauts aren't fleshed out enough ( although being played by fine actors , like lance henriksen ) .	3	-1	 some[0] of[0] the[0] mercury[0] astronauts[0] aren't[0] fleshed[0] out[0] enough[0] although[0] being[0] played[0] by[0] fine[2] actors[0] like[1] lance[0] henriksen[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
film also lacks proper closure . 	film also lacks proper closure .	1	-1	 film[0] also[0] lacks[0] proper[0] closure[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
on the other hand , most logical conclusion of the film - landing on the moon - would require this film to be more than six hours long . 	on the other hand , most logical conclusion of the film - landing on the moon - would require this film to be more than six hours long .	1	-1	 on[0] the[0] other[0] hand[0] most[0] logical[0] conclusion[0] of[0] the[0] film[0] landing[0] on[0] the[0] moon[0] would[0] require[0] this[0] film[0] to[0] be[0] more[0] than[0] six[0] hours[0] long[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
also , some critics were prone to attack this film as too amerocentric and hard on russians , who were portrayed as evil monsters , just in line with most virulent cold war rhetoric of reagan's america . 	also , some critics were prone to attack this film as too amerocentric and hard on russians , who were portrayed as evil monsters , just in line with most virulent cold war rhetoric of reagan's america .	1	-3	 also[0] some[0] critics[0] were[0] prone[0] to[0] attack[-2] this[0] film[0] as[0] too[0] amerocentric[0] and[0] hard[0] on[0] russians[0] who[0] were[0] portrayed[0] as[0] evil[-2] monsters[0] just[0] in[0] line[0] with[0] most[0] virulent[0] cold[-1] war[-2] rhetoric[0] of[0] reagan's[0] america[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
in some of contemporary interviews , kaufman defended that approach by claiming that he wanted to make film as authentic as possible , and in order to do that , he portrayed russians not as they were in real life , but as they were perceived by americans in early 1960s . 	in some of contemporary interviews , kaufman defended that approach by claiming that he wanted to make film as authentic as possible , and in order to do that , he portrayed russians not as they were in real life , but as they were perceived by americans in early 1960s .	1	-1	 in[0] some[0] of[0] contemporary[0] interviews[0] kaufman[0] defended[0] that[0] approach[0] by[0] claiming[0] that[0] he[0] wanted[0] to[0] make[0] film[0] as[0] authentic[0] as[0] possible[0] and[0] in[0] order[0] to[0] do[0] that[0] he[0] portrayed[0] russians[0] not[0] as[0] they[0] were[0] in[0] real[0] life[0] but[0] as[0] they[0] were[0] perceived[0] by[0] americans[0] in[0] early[0] 1960s[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
time has passed ; now we don't see astronauts as heroes . 	time has passed ; now we don't see astronauts as heroes .	3	-1	 time[0] has[0] passed[0] now[0] we[0] don't[0] see[0] astronauts[0] as[0] heroes[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
in this age of widespread satellite communications and routine space missions , those men and women in space suits are seen as mere maintenance workers . 	in this age of widespread satellite communications and routine space missions , those men and women in space suits are seen as mere maintenance workers .	1	-1	 in[0] this[0] age[0] of[0] widespread[0] satellite[0] communications[0] and[0] routine[0] space[0] missions[0] those[0] men[0] and[0] women[0] in[0] space[0] suits[0] are[0] seen[0] as[0] mere[0] maintenance[0] workers[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
few young boys want to be astronauts when they grow up . 	few young boys want to be astronauts when they grow up .	1	-1	 few[0] young[0] boys[0] want[0] to[0] be[0] astronauts[0] when[0] they[0] grow[0] up[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but this film , sentimental reminder of the times " when future began " , perhaps could encourage at least some of them to follow " mercury " astronauts' footsteps seek new frontiers in the sky . 	but this film , sentimental reminder of the times " when future began " , perhaps could encourage at least some of them to follow " mercury " astronauts' footsteps seek new frontiers in the sky .	3	-1	 but[0] this[0] film[0] sentimental[2] reminder[0] of[0] the[0] times[0] when[0] future[0] began[0] perhaps[0] could[0] encourage[1][-1 LastWordBoosterStrength] at[0] least[0] some[0] of[0] them[0] to[0] follow[0] mercury[0] astronauts'[0] footsteps[0] seek[0] new[0] frontiers[0] in[0] the[0] sky[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
