plot : odin is a great high school basketball player . 	Translation	Positive	Negative	EmotionRationale
hartnett especially should be applauded for taking on such a despicable character , a dude who you just want to grab by the throat and beat the shit out of ( sign of a good actor , if you ask me ) . 	hartnett especially should be applauded for taking on such a despicable character , a dude who you just want to grab by the throat and beat the shit out of ( sign of a good actor , if you ask me ) .	2	-4	 hartnett[0] especially[0] should[0] be[0] applauded[1] for[0] taking[0] on[0] such[0] a[0] despicable[-3] character[0] a[0] dude[0] who[0] you[0] just[0] want[0] to[0] grab[-1] by[0] the[0] throat[0] and[0] beat[0] the[0] shit[-1] out[0] of[0] sign[0] of[0] a[0] good[1] actor[0] if[0] you[0] ask[0] me[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
phifer also comes to play in this movie , with a nice blend of charisma , fear , love and anger spread over his character . 	phifer also comes to play in this movie , with a nice blend of charisma , fear , love and anger spread over his character .	3	-4	 phifer[0] also[0] comes[0] to[0] play[0] in[0] this[0] movie[0] with[0] a[0] nice[1] blend[0] of[0] charisma[0] fear[-3] love[2] and[0] anger[-3] spread[0] over[0] his[0] character[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
i was always on this guy's side and definitely felt sorry for him as things moved along . 	i was always on this guy's side and definitely felt sorry for him as things moved along .	1	-2	 i[0] was[0] always[0] on[0] this[0] guy's[0] side[0] and[0] definitely[0] felt[0] sorry[-1] for[0] him[0] as[0] things[0] moved[0] along[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
julia stiles was also good , but her character wasn't much different from others that she's played recently . 	julia stiles was also good , but her character wasn't much different from others that she's played recently .	2	-1	 julia[0] stiles[0] was[0] also[0] good[1] but[0] her[0] character[0] wasn't[0] much[0] different[0] from[0] others[0] that[0] she's[0] played[0] recently[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
i was however very surprised with martin sheen's showing , since i hadn't taken him too seriously as an actor over the past few years . 	i was however very surprised with martin sheen's showing , since i hadn't taken him too seriously as an actor over the past few years .	1	-1	 i[0] was[0] however[0] very[0] surprised[0] with[0] martin[0] sheen's[0] showing[0] since[0] i[0] hadn't[0] taken[0] him[0] too[0] seriously[0] as[0] an[0] actor[0] over[0] the[0] past[0] few[0] years[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
his character is definitely over-the-top in this film , but i appreciated his fervor , his rage , his ultimate and blind desire to win above all . 	his character is definitely over-the-top in this film , but i appreciated his fervor , his rage , his ultimate and blind desire to win above all .	2	-4	 his[0] character[0] is[0] definitely[0] over[0] the[0] top[0] in[0] this[0] film[0] but[0] i[0] appreciated[1] his[0] fervor[0] his[0] rage[-3] his[0] ultimate[0] and[0] blind[-1] desire[0] to[0] win[0] above[0] all[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
a great example of a workaholic man who cannot see the trees from the forest . 	a great example of a workaholic man who cannot see the trees from the forest .	3	-1	 a[0] great[2] example[0] of[0] a[0] workaholic[0] man[0] who[0] cannot[0] see[0] the[0] trees[0] from[0] the[0] forest[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
i did have a few reservations about the movie though . 	i did have a few reservations about the movie though .	1	-1	 i[0] did[0] have[0] a[0] few[0] reservations[0] about[0] the[0] movie[0] though[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
first of all , what was with all of the gangsta hip-hop music used in pretty much every other scene transition ? 	first of all , what was with all of the gangsta hip-hop music used in pretty much every other scene transition ?	3	-1	 first[0] of[0] all[0] what[0] was[0] with[0] all[0] of[0] the[0] gangsta[0] hip[0] hop[0] music[0] used[0] in[0] pretty[2] much[0] every[0] other[0] scene[0] transition[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
it was cute at first , but became a little too obvious and annoying after a few times . 	it was cute at first , but became a little too obvious and annoying after a few times .	2	-3	 it[0] was[0] cute[1] at[0] first[0] but[0] became[0] a[0] little[0] too[0] obvious[0] and[0] annoying[-2] after[0] a[0] few[0] times[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
the film was also edited pretty choppily . . . like 	the film was also edited pretty choppily .<br> .<br> .<br> like	3	-1	 the[0] film[0] was[0] also[0] edited[0] pretty[2] choppily[0] [[Sentence=-1,3=word max, 1-5]] like[1] [[Sentence=-1,2=word max, 1-5]][[[3,-1 max of sentences]]]
some scenes were cut out and no one " cleaned it up " afterwards . 	some scenes were cut out and no one " cleaned it up " afterwards .	1	-1	 some[0] scenes[0] were[0] cut[0] out[0] and[0] no[0] one[0] cleaned[0] it[0] up[0] afterwards[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i also didn't like the fact that hartnett's character , the man behind much of the nastiness that goes down in this film , was infallible . 	i also didn't like the fact that hartnett's character , the man behind much of the nastiness that goes down in this film , was infallible .	2	-3	 i[0] also[0] didn't[0] like[1] the[0] fact[0] that[0] hartnett's[0] character[0] the[0] man[0] behind[0] much[0] of[0] the[0] nastiness[-2] that[0] goes[0] down[0] in[0] this[0] film[0] was[0] infallible[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
in other words , pretty much everything he says or asks of someone , happens automatically and without any goofups . 	in other words , pretty much everything he says or asks of someone , happens automatically and without any goofups .	3	-1	 in[0] other[0] words[0] pretty[2] much[0] everything[0] he[0] says[0] or[0] asks[0] of[0] someone[0] happens[0] automatically[0] and[0] without[0] any[0] goofups[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
i mean , i know the guy is smart and all , but i would have appreciated a little more " realism " under some of the circumstances . 	i mean , i know the guy is smart and all , but i would have appreciated a little more " realism " under some of the circumstances .	2	-1	 i[0] mean[0] i[0] know[0] the[0] guy[0] is[0] smart[1] and[0] all[0] but[0] i[0] would[0] have[0] appreciated[1] a[0] little[0] more[0] realism[0] under[0] some[0] of[0] the[0] circumstances[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
but overall , the movie will devastate you . 	but overall , the movie will devastate you .	1	-3	 but[0] overall[0] the[0] movie[0] will[0] devastate[-2] you[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
it's not a " fun date movie " . 	it's not a " fun date movie " .	1	-2	 it's[0] not[0] a[0] fun[1][NegatedDueToPreviousWord] date[0] movie[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it's not a movie about the high school basketball team and how its black star falls for the white girl from the other side of the tracks . 	it's not a movie about the high school basketball team and how its black star falls for the white girl from the other side of the tracks .	1	-1	 it's[0] not[0] a[0] movie[0] about[0] the[0] high[0] school[0] basketball[0] team[0] and[0] how[0] its[0] black[0] star[0] falls[0] for[0] the[0] white[0] girl[0] from[0] the[0] other[0] side[0] of[0] the[0] tracks[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it's about jealousy , love , envy , fury , passion , revenge and pretty much any other negative thought that's ever passed through your head . 	it's about jealousy , love , envy , fury , passion , revenge and pretty much any other negative thought that's ever passed through your head .	3	-5	 it's[0] about[0] jealousy[-2] love[2] envy[-2] fury[-3][-1 MultiplePositiveWords] passion[2] revenge[-1] and[0] pretty[2] much[0] any[0] other[0] negative[-1] thought[0] that's[0] ever[0] passed[0] through[0] your[0] head[0] [[Sentence=-5,3=word max, 1-5]][[[3,-5 max of sentences]]]
is it worth seeing ? 	is it worth seeing ?	1	-1	 is[0] it[0] worth[0] seeing[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
oh , most definitely ! 	oh , most definitely !	1	-1	 oh[0] most[0] definitely[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 ( pun intended ) it's a moving picture with great performances , no shakespearian speak ( thank you , god ! ) and an outstanding directorial job by nelson . 	 ( pun intended ) it's a moving picture with great performances , no shakespearian speak ( thank you , god !<br> ) and an outstanding directorial job by nelson .	3	-1	 pun[0] intended[0] it's[0] a[0] moving[0] picture[0] with[0] great[2] performances[0] no[0] shakespearian[0] speak[0] thank[1] you[0] god[0] [[Sentence=-1,3=word max, 1-5]] and[0] an[0] outstanding[2] directorial[0] job[0] by[0] nelson[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the final scene alone is enough to send a massive chill down your spine , and i was especially impressed with the director's choice of music near the end . 	the final scene alone is enough to send a massive chill down your spine , and i was especially impressed with the director's choice of music near the end .	3	-1	 the[0] final[0] scene[0] alone[0] is[0] enough[0] to[0] send[0] a[0] massive[0] chill[0] down[0] your[0] spine[0] and[0] i[0] was[0] especially[0] impressed[1][1 LastWordBoosterStrength] with[0] the[0] director's[0] choice[0] of[0] music[0] near[0] the[0] end[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
in fact , the whole sequence was quite reminiscent of the final showdown scene from taxi driver , and i guess that's saying something right there . 	in fact , the whole sequence was quite reminiscent of the final showdown scene from taxi driver , and i guess that's saying something right there .	1	-2	 in[0] fact[0] the[0] whole[0] sequence[0] was[0] quite[0] reminiscent[0] of[0] the[0] final[0] showdown[0] scene[0] from[0] taxi[-1] driver[0] and[0] i[0] guess[0] that's[0] saying[0] something[0] right[0] there[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
where's joblo coming from ? 	where's joblo coming from ?	1	-1	 where's[0] joblo[0] coming[0] from[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
10 things i hate about you ( 7/10 ) - election ( 7/10 ) - hamlet ( 6/10 ) - love's labor's lost ( 8/10 ) - natural born killers ( 9/10 ) - save the last dance ( 7/10 ) - shakespeare in love ( 5/10 ) 	10 things i hate about you ( 7/10 ) - election ( 7/10 ) - hamlet ( 6/10 ) - love's labor's lost ( 8/10 ) - natural born killers ( 9/10 ) - save the last dance ( 7/10 ) - shakespeare in love ( 5/10 )	3	-4	 10[0] things[0] i[0] hate[-3] about[0] you[0] 7/10[0] election[0] 7/10[0] hamlet[0] 6/10[0] love's[0] labor's[0] lost[0] 8/10[0] natural[0] born[0] killers[0] 9/10[0] save[1] the[0] last[0] dance[0] 7/10[0] shakespeare[0] in[0] love[2] 5/10[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
