john cusack is the kind of actor who seems to effortlessly slide into his respective film roles . 	Translation	Positive	Negative	EmotionRationale
with his pleasant , common man looks , and charming semi-articulate blatherings he has become one of the most likeable romantic leading men of the 90's . 	with his pleasant , common man looks , and charming semi-articulate blatherings he has become one of the most likeable romantic leading men of the 90's .	5	-2	 with[0] his[0] pleasant[2] common[0] man[0] looks[0] and[0] charming[1] semi[0] articulate[0] blatherings[-1] he[0] has[0] become[0] one[0] of[0] the[0] most[0] likeable[2] romantic[3][+1 MultiplePositiveWords] leading[0] men[0] of[0] the[0] 90's[0] [[Sentence=-2,5=word max, 1-5]][[[5,-2 max of sentences]]]
from the sure thing to say anything cusack has merged the talents of early tom hanks and early jack lemmon . 	from the sure thing to say anything cusack has merged the talents of early tom hanks and early jack lemon .	2	-1	 from[0] the[0] sure[0] thing[0] to[0] say[0] anything[0] cusack[0] has[0] merged[0] the[0] talents[1] of[0] early[0] tom[0] hanks[0] and[0] early[0] jack[0] lemmon/lemon[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
despite the fact that nearly every character he plays is a variation of the character before it ( the schlumpy every man ) , he's a constantly enjoyable screen persona , like albert brooks or woody allen . 	despite the fact that nearly every character he plays is a variation of the character before it ( the schlumpy every man ) , he's a constantly enjoyable screen persona , like albert brooks or woody allen .	3	-1	 despite[0] the[0] fact[0] that[0] nearly[0] every[0] character[0] he[0] plays[1] is[0] a[0] variation[0] of[0] the[0] character[0] before[0] it[0] the[0] schlumpy[0] every[0] man[0] he's[0] a[0] constantly[0] enjoyable[2] screen[0] persona[0] like[1] albert[0] brooks[0] or[0] woody[0] allen[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
and he knows how to chose scripts , while the stephan baldwin's and val kilmer's seem to put them selves in everything ( the former actually had the insight to follow up oscar winner usual suspects with a pauly shore vehicle , and judging from his latest projects it looks like he still has yet to fire his agent ) , cusack generally picks rewarding projects ( save for the unwatchable hot pursuit , a 1988 film also featuring a young ben stiller ) . 	and he knows how to chose scripts , while the stephan baldwin's and val kilmer's seem to put them selves in everything ( the former actually had the insight to follow up oscar winner usual suspects with a pauly shore vehicle , and judging from his latest projects it looks like he still has yet to fire his agent ) , cusack generally picks rewarding projects ( save for the unwatchable hot pursuit , a 1988 film also featuring a young ben stiller ) .	2	-1	 and[0] he[0] knows[0] how[0] to[0] chose[0] scripts[0] while[0] the[0] stephan[0] baldwin's[0] and[0] val[0] kilmer's[0] seem[0] to[0] put[0] them[0] selves[0] in[0] everything[0] the[0] former[0] actually[0] had[0] the[0] insight[0] to[0] follow[0] up[0] oscar[0] winner[1] usual[0] suspects[0] with[0] a[0] pauly[0] shore[0] vehicle[0] and[0] judging[0] from[0] his[0] latest[0] projects[0] it[0] looks[0] like[1] he[0] still[0] has[0] yet[0] to[0] fire[0] his[0] agent[0] cusack[0] generally[0] picks[0] rewarding[1] projects[0] save[1] for[0] the[0] unwatchable[0] hot[0] pursuit[0] a[0] 1988[0] film[0] also[0] featuring[0] a[0] young[0] ben[0] stiller[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
high fidelity is his second collaboration with hit or miss english director stephan fears ( the grifters , the hi-lo country ) , and it's a hit . 	high fidelity is his second collaboration with hit or miss english director stephan fears ( the grifters , the hi-lo country ) , and it's a hit .	2	-3	 high[0] fidelity[0] is[0] his[0] second[0] collaboration[0] with[0] hit[0] or[0] miss[-1] english[0] director[0] stephan[0] fears[-2] the[0] grifters[0] the[0] hi[0] lo[0] country[0] and[0] it's[0] a[0] hit[0] [[Sentence=-3,1=word max, 1-5]] [[changed to +2 due to 'miss']][[[2,-3 max of sentences]]]
it was also co-written by cusack , and some of his collaborators on the terrific comedy , grosse point blank . 	it was also co-written by cusack , and some of his collaborators on the terrific comedy , grosse point blank .	4	-2	 it[0] was[0] also[0] co[0] written[0] by[0] cusack[0] and[0] some[0] of[0] his[0] collaborators[0] on[0] the[0] terrific[3] comedy[0] grosse[-1] point[0] blank[0] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
it's not quite as entertaining or as funny as that film , but as it progresses in its meandering fashion , the movie cast something of a spell over me . 	it's not quite as entertaining or as funny as that film , but as it progresses in its meandering fashion , the movie cast something of a spell over me .	2	-1	 it's[0] not[0] quite[0] as[0] entertaining[0] or[0] as[0] funny[1] as[0] that[0] film[0] but[0] as[0] it[0] progresses[0] in[0] its[0] meandering[0] fashion[0] the[0] movie[0] cast[0] something[0] of[0] a[0] spell[0] over[0] me[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
high fidelity begins as a hipster ode to the non-committal rob , a vinyl record store owner , who opens the film by breaking down the fourth wall with much abandon and educating us in his " top 5 break ups list " . 	high fidelity begins as a hipster ode to the non-committal rob , a vinyl record store owner , who opens the film by breaking down the fourth wall with much abandon and educating us in his " top 5 break ups list " .	1	-2	 high[0] fidelity[0] begins[0] as[0] a[0] hipster[0] ode[0] to[0] the[0] non[0] committal[0] rob[0] a[0] vinyl[0] record[0] store[0] owner[0] who[0] opens[0] the[0] film[0] by[0] breaking[0] down[0] the[0] fourth[0] wall[0] with[0] much[0] abandon[-1] and[0] educating[0] us[0] in[0] his[0] top[0] 5[0] break[0] ups[0] list[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
this is something cusack does the entire film a la ferris bueller's day off . 	this is something cusack does the entire film a la ferris bueller's day off .	1	-1	 this[0] is[0] something[0] cusack[0] does[0] the[0] entire[0] film[0] a[0] la[0] ferris[0] bueller's[0] day[0] off[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
at first the talking-directly-into-the-camera-schtick had me vaguely annoyed , mostly because it reminded me so much of the film body shots which used a similar conceit , but it began to grow on me due almost entirely to cusack's witty delivery . 	at first the talking-directly-into-the-camera-schtick had me vaguely annoyed , mostly because it reminded me so much of the film body shots which used a similar conceit , but it began to grow on me due almost entirely to cusack's witty delivery .	1	-3	 at[0] first[0] the[0] talking[0] directly[0] into[0] the[0] camera[0] schtick[0] had[0] me[0] vaguely[-1] annoyed[-2] mostly[0] because[0] it[0] reminded[0] me[0] so[0] much[0] of[0] the[0] film[0] body[0] shots[0] which[0] used[0] a[0] similar[0] conceit[-1] but[0] it[0] began[0] to[0] grow[0] on[0] me[0] due[0] almost[0] entirely[0] to[0] cusack's[0] witty[0] delivery[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
he's the kind of guy we don't mind talking directly to us . 	he's the kind of guy we don't mind talking directly to us .	2	-1	 he's[0] the[0] kind[1] of[0] guy[0] we[0] don't[0] mind[0] talking[0] directly[0] to[0] us[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
gradually the film settles into a shampoo-like tragi-comic character study , of a guy who must confront himself and his personal failures in order to figure out the true person he is ( yes it's all very existential ) . 	gradually the film settles into a shampoo-like tragi-comic character study , of a guy who must confront himself and his personal failures in order to figure out the true person he is ( yes it's all very existential ) .	2	-3	 gradually[0] the[0] film[0] settles[0] into[0] a[0] shampoo[0] like[1] tragi[0] comic[0] character[0] study[0] of[0] a[0] guy[0] who[0] must[0] confront[-2] himself[0] and[0] his[0] personal[0] failures[-2] in[0] order[0] to[0] figure[0] out[0] the[0] true[1] person[0] he[0] is[0] yes[0] it's[0] all[0] very[0] existential[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
though that plot-line is mostly enjoyable , the thing i liked the most about the film is how much pleasure it offers in introducing us to minor characters , all of whom ( now this is really something ) are terrific enough to warrant their own films . 	though that plot-line is mostly enjoyable , the thing i liked the most about the film is how much pleasure it offers in introducing us to minor characters , all of whom ( now this is really something ) are terrific enough to warrant their own films .	4	-1	 though[0] that[0] plot[0] line[0] is[0] mostly[0] enjoyable[2] the[0] thing[0] i[0] liked[2] the[0] most[0] about[0] the[0] film[0] is[0] how[0] much[0] pleasure[2] it[0] offers[0] in[0] introducing[0] us[0] to[0] minor[0] characters[0] all[0] of[0] whom[0] now[0] this[0] is[0] really[0] something[0] are[0] terrific[3] enough[0] to[0] warrant[0] their[0] own[0] films[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
the best of which is jack black ( of the very funny show tenacious d , a program that sadly went the way of bruce willis' hair ? ? ? unfortunately that annoying smirk remains ) , an ardent record store employee who bullies customers into buying exactly what he wants them to buy . 	the best of which is jack black ( of the very funny show tenacious d , a program that sadly went the way of bruce willis' hair ?<br> ?<br> ?<br> unfortunately that annoying smirk remains ) , an ardent record store employee who bullies customers into buying exactly what he wants them to buy .	3	-3	 the[0] best[1] of[0] which[0] is[0] jack[0] black[0] of[0] the[0] very[0] funny[1][1 LastWordBoosterStrength] show[0] tenacious[0] d[0] a[0] program[0] that[0] sadly[-1] went[0] the[0] way[0] of[0] bruce[0] willis'[0] hair[0] [[Sentence=-2,3=word max, 1-5]] unfortunately[-1] that[0] annoying[-2] smirk[0] remains[0] an[0] ardent[2] record[0] store[0] employee[0] who[0] bullies[0] customers[0] into[0] buying[0] exactly[0] what[0] he[0] wants[0] them[0] to[0] buy[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
he's the kind of guy i'm sure we've all met before , a blowhard who thinks he's always right and will do anything in his power ( be it yell , argue , insult ) to hoist his opinion onto others . 	he's the kind of guy i'm sure we've all met before , a blowhard who thinks he's always right and will do anything in his power ( be it yell , argue , insult ) to hoist his opinion onto others .	2	-3	 he's[0] the[0] kind[1] of[0] guy[0] i'm[0] sure[0] we've[0] all[0] met[0] before[0] a[0] blowhard[0] who[0] thinks[0] he's[0] always[0] right[0] and[0] will[0] do[0] anything[0] in[0] his[0] power[0] be[0] it[0] yell[0] argue[-1] insult[-2] to[0] hoist[0] his[0] opinion[0] onto[0] others[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
but i like this guy , because of how black plays him . 	but i like this guy , because of how black plays him .	2	-1	 but[0] i[0] like[1] this[0] guy[0] because[0] of[0] how[0] black[0] plays[1] him[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the actor is portly with a round baby face and crazy eyes , but despite his size he leaps to and fro like a manic speed freak ( which might be a bit of a redundant description , seeing as how all the speed freaks i know are manic ) . 	the actor is portly with a round baby face and crazy eyes , but despite his size he leaps to and fro like a manic speed freak ( which might be a bit of a redundant description , seeing as how all the speed freaks i know are manic ) .	2	-2	 the[0] actor[0] is[0] portly[0] with[0] a[0] round[0] baby[1] face[0] and[0] crazy[-1] eyes[0] but[0] despite[0] his[0] size[0] he[0] leaps[0] to[0] and[0] fro[0] like[1] a[0] manic[0] speed[0] freak[-1] which[0] might[0] be[0] a[0] bit[0] of[0] a[0] redundant[-1] description[0] seeing[0] as[0] how[0] all[0] the[0] speed[0] freaks[-1] i[0] know[0] are[0] manic[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
he's the kind of supporting character who would be impossibly annoying comic relief in most other films . 	he's the kind of supporting character who would be impossibly annoying comic relief in most other films .	2	-3	 he's[0] the[0] kind[1] of[0] supporting[1] character[0] who[0] would[0] be[0] impossibly[0] annoying[-2] comic[0] relief[1] in[0] most[0] other[0] films[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
 ( look at what that hack jan de bont did to poor phillip seymour hoffman in twister ) . 	 ( look at what that hack jan de bont did to poor phillip seymour hoffman in twister ) .	1	-2	 look[0] at[0] what[0] that[0] hack[-1] jan[0] de[0] bont[0] did[0] to[0] poor[-1] phillip[0] seymour[0] hoffman[0] in[0] twister[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
but fears and black never let that happen . 	but fears and black never let that happen .	1	-3	 but[0] fears[-2] and[0] black[0] never[0] let[0] that[0] happen[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the character , for all his shucking and jiving is steeped in reality . 	the character , for all his shucking and jiving is steeped in reality .	1	-1	 the[0] character[0] for[0] all[0] his[0] shucking[0] and[0] jiving[0] is[0] steeped[0] in[0] reality[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he's over the top , but in a way we can all probably relate to . 	he's over the top , but in a way we can all probably relate to .	1	-1	 he's[0] over[0] the[0] top[0] but[0] in[0] a[0] way[0] we[0] can[0] all[0] probably[0] relate[0] to[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
catherine zeta-jones , in her brief role , gives a vivid portrayal of a women completely enamored with her own " charm " . 	catherine zeta-jones , in her brief role , gives a vivid portrayal of a women completely enamored with her own " charm " .	2	-1	 catherine[0] zeta[0] jones[0] in[0] her[0] brief[0] role[0] gives[0] a[0] vivid[0] portrayal[0] of[0] a[0] women[0] completely[0] enamored[0] with[0] her[0] own[0] charm[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
tim robbins registers in an even tinier part as a new age-type , a character played entirely for cartoon yuks , but still manages to work its desired comic effect . 	tim robins registers in an even tinier part as a new age-type , a character played entirely for cartoon yuks , but still manages to work its desired comic effect .	1	-1	 tim[0] robbins/robins[0] registers[0] in[0] an[0] even[0] tinier[0] part[0] as[0] a[0] new[0] age[0] type[0] a[0] character[0] played[0] entirely[0] for[0] cartoon[0] yuks[0] but[0] still[0] manages[0] to[0] work[0] its[0] desired[0] comic[0] effect[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the one exception in the acting department is a bit of a doozy , the main love interest played by danish actress iben hjejle ( mifune ) , who completely obliterates any trace of a danish accent , replacing it with a stilted american phonation . 	the one exception in the acting department is a bit of a dozy , the main love interest played by danish actress iben hjejle ( mifune ) , who completely obliterates any trace of a danish accent , replacing it with a stilted american phonation .	3	-3	 the[0] one[0] exception[0] in[0] the[0] acting[0] department[0] is[0] a[0] bit[0] of[0] a[0] doozy/dozy[0] the[0] main[0] love[2] interest[1] played[0] by[0] danish[0] actress[0] iben[0] hjejle[0] mifune[0] who[0] completely[0] obliterates[-1][-1 LastWordBoosterStrength] any[0] trace[0] of[0] a[0] danish[0] accent[0] replacing[0] it[0] with[0] a[0] stilted[0] american[0] phonation[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
i give her kudos for attempting such a contradictory role , but instead of being likeable , she comes across as rather robotic , and as such it's hard to see why cusack's character would be so obsessed with her especially when he has a beautiful , intelligent writer ( natasha gregson wagner ) potentially waiting in the wings . 	i give her kudos for attempting such a contradictory role , but instead of being likeable , she comes across as rather robotic , and as such it's hard to see why cusack's character would be so obsessed with her especially when he has a beautiful , intelligent writer ( natasha gregson wagner ) potentially waiting in the wings .	3	-3	 i[0] give[0] her[0] kudos[0] for[0] attempting[0] such[0] a[0] contradictory[-1] role[0] but[0] instead[0] of[0] being[0] likeable[2] she[0] comes[0] across[0] as[0] rather[0] robotic[0] and[0] as[0] such[0] it's[0] hard[0] to[0] see[0] why[0] cusack's[0] character[0] would[0] be[0] so[0] obsessed[-2] with[0] her[0] especially[0] when[0] he[0] has[0] a[0] beautiful[2] intelligent[1] writer[0] natasha[0] gregson[0] wagner[0] potentially[0] waiting[0] in[0] the[0] wings[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
this reminded me of say anything , where the charming cusack was paired with the charmless ione skye , and in midnight in the garden of good and evil where the poor bastard had to put up with alison eastwood ( whose unbelievably more wooden then father , clint for those " special people " whose wheels turn a little slower ) . 	this reminded me of say anything , where the charming cusack was paired with the charmless ione skye , and in midnight in the garden of good and evil where the poor bastard had to put up with alison eastwood ( whose unbelievably more wooden then father , clint for those " special people " whose wheels turn a little slower ) .	2	-3	 this[0] reminded[0] me[0] of[0] say[0] anything[0] where[0] the[0] charming[1] cusack[0] was[0] paired[0] with[0] the[0] charmless[1] ione[0] skye[0] and[0] in[0] midnight[0] in[0] the[0] garden[0] of[0] good[1] and[0] evil[-2] where[0] the[0] poor[-1] bastard[-2] had[0] to[0] put[0] up[0] with[0] alison[0] eastwood[0] whose[0] unbelievably[-1] more[0] wooden[0] then[0] father[0] clint[0] for[0] those[0] special[1] people[0] whose[0] wheels[0] turn[0] a[0] little[0] slower[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
in fact cusack is rarely paired up with a personality that matches his , though i'd bet that if laura and natasha switched roles , the result would be more effective . 	in fact cusack is rarely paired up with a personality that matches his , though i'd bet that if laura and natasha switched roles , the result would be more effective .	1	-1	 in[0] fact[0] cusack[0] is[0] rarely[0] paired[0] up[0] with[0] a[0] personality[0] that[0] matches[0] his[0] though[0] i'd[0] bet[0] that[0] if[0] laura[0] and[0] natasha[0] switched[0] roles[0] the[0] result[0] would[0] be[0] more[0] effective[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
high fidelity works almost entirely on the strength of its characters and performances . 	high fidelity works almost entirely on the strength of its characters and performances .	1	-1	 high[0] fidelity[0] works[0] almost[0] entirely[0] on[0] the[0] strength[0] of[0] its[0] characters[0] and[0] performances[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
fears' direction is somewhat stilted , and the script is sometimes a little too ( and this is a word i'm beginning to hate to use but alas i must ) quirky for its own good ( i think i'll blame that on scott rosenberg , who judging from what he did with beautiful girls , con air , and things to do in denver while your dead , has his fingerprints all over the most irritating bits of this movie ) . 	fears' direction is somewhat stilted , and the script is sometimes a little too ( and this is a word i'm beginning to hate to use but alas i must ) quirky for its own good ( i think i'll blame that on scot rosenberg , who judging from what he did with beautiful girls , con air , and things to do in denver while your dead , has his fingerprints all over the most irritating bits of this movie ) .	3	-4	 fears'[0] direction[0] is[0] somewhat[0] stilted[0] and[0] the[0] script[0] is[0] sometimes[0] a[0] little[0] too[0] and[0] this[0] is[0] a[0] word[0] i'm[0] beginning[0] to[0] hate[-3] to[0] use[0] but[0] alas[-1] i[0] must[0] quirky[0] for[0] its[0] own[0] good[1] i[0] think[0] i'll[0] blame[-1] that[0] on[0] scott/scot[0] rosenberg[0] who[0] judging[0] from[0] what[0] he[0] did[0] with[0] beautiful[2] girls[0] con[0] air[0] and[0] things[0] to[0] do[0] in[0] denver[0] while[0] your[0] dead[-2] has[0] his[0] fingerprints[0] all[0] over[0] the[0] most[0] irritating[-2] bits[0] of[0] this[0] movie[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
