oliver stone's latest feature is the last one standing in the long line of biographies of american presidents . 	Translation	Positive	Negative	EmotionRationale
sir anthony hopkins is staggering and plays nixon with incredible honesty and understanding , creating a very emotional picture of the 37th american president . 	sir anthony hopkins is staggering and plays nixon with incredible honesty and understanding , creating a very emotional picture of the 37th american president .	2	-3	 sir[0] anthony[0] hopkins[0] is[0] staggering[0] and[0] plays[1] nixon[0] with[0] incredible[0] honesty[1] and[0] understanding[0] creating[0] a[0] very[0] emotional[-1][-1 LastWordBoosterStrength] picture[0] of[0] the[0] 37th[0] american[0] president[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
joan allen's magnificent and captivating performance is certainly worth an oscar statuette . 	joan allen's magnificent and captivating performance is certainly worth an oscar statuette .	4	-1	 joan[0] allen's[0] magnificent[3] and[0] captivating[0] performance[0] is[0] certainly[0] worth[0] an[0] oscar[0] statuette[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
she is strong and loyal as mrs . nixon . 	she is strong and loyal as mrs .<br> nixon .	2	-1	 she[0] is[0] strong[0] and[0] loyal[1] as[0] mrs[0] [[Sentence=-1,2=word max, 1-5]] nixon[0] [[Sentence=-1,1=word max, 1-5]][[[2,-1 max of sentences]]]
the rest of the cast is equally magnificent , including : james woods , j . t . walsh , paul sorvino , ed harris and bob hoskins . 	the rest of the cast is equally magnificent , including : james woods , j .<br> t .<br> walsh , paul sorvino , ed harris and bob hoskins .	4	-1	 the[0] rest[0] of[0] the[0] cast[0] is[0] equally[0] magnificent[3] including[0] james[0] woods[0] j[0] [[Sentence=-1,4=word max, 1-5]] t[0] [[Sentence=-1,1=word max, 1-5]] walsh[0] paul[0] sorvino[0] ed[0] harris[0] and[0] bob[0] hoskins[0] [[Sentence=-1,1=word max, 1-5]][[[4,-1 max of sentences]]]
everyone does a serious and demanding job , no one are disappointing . 	everyone does a serious and demanding job , no one are disappointing .	1	-2	 everyone[0] does[0] a[0] serious[-1] and[0] demanding[0] job[0] no[0] one[0] are[0] disappointing[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
stone never loses focus and his direction is steddy , honest and determined . 	stone never loses focus and his direction is steddy , honest and determined .	2	-1	 stone[0] never[0] loses[-1][NegatedDueToPreviousWord] focus[0] and[0] his[0] direction[0] is[0] steddy[0] honest[0] and[0] determined[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
he is displaying the historical facts and at the same time concentrating at the human element . 	he is displaying the historical facts and at the same time concentrating at the human element .	1	-1	 he[0] is[0] displaying[0] the[0] historical[0] facts[0] and[0] at[0] the[0] same[0] time[0] concentrating[0] at[0] the[0] human[0] element[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
at times he is showing to black and white showing flashbacks from nixon's youth and childhood . 	at times he is showing to black and white showing flashbacks from nixon's youth and childhood .	1	-1	 at[0] times[0] he[0] is[0] showing[0] to[0] black[0] and[0] white[0] showing[0] flashbacks[0] from[0] nixon's[0] youth[0] and[0] childhood[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the flashy editing by brian berdan and frank corwin , robert richardson's rich cinematography and john williams' musical score create a hectic and bizarre atmosphere . 	the flashy editing by brian berdan and frank corwin , robert richardson's rich cinematography and john williams' musical score create a hectic and bizarre atmosphere .	1	-2	 the[0] flashy[0] editing[0] by[0] brian[0] berdan[0] and[0] frank[0] corwin[0] robert[0] richardson's[0] rich[0] cinematography[0] and[0] john[0] williams'[0] musical[0] score[0] create[0] a[0] hectic[-1] and[0] bizarre[-1] atmosphere[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the film's only fault is that it's a bit tiering and overloaded with too much political material and legal maneuvers . 	the film's only fault is that it's a bit tiering and overloaded with too much political material and legal maneuvers .	1	-2	 the[0] film's[0] only[0] fault[-1] is[0] that[0] it's[0] a[0] bit[0] tiering[0] and[0] overloaded[0] with[0] too[0] much[0] political[0] material[0] and[0] legal[0] maneuvers[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
still it's an honest and captivating - a solid piece of movie making . 	still it's an honest and captivating - a solid piece of movie making .	1	-1	 still[0] it's[0] an[0] honest[0] and[0] captivating[0] a[0] solid[0] piece[0] of[0] movie[0] making[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
