nosferatu the vampyre ( germany 1979 ) 	Translation	Positive	Negative	EmotionRationale
his story has been so bastardised on film over the years that a brief reminder of the basic plot certainly won't hurt . 	his story has been so bastardised on film over the years that a brief reminder of the basic plot certainly won't hurt .	3	-3	 his[0] story[0] has[0] been[0] so[0] bastardised[-2] on[0] film[0] over[0] the[0] years[0] that[0] a[0] brief[0] reminder[0] of[0] the[0] basic[0] plot[0] certainly[0] won't[0] hurt[-2][NegatedDueToPreviousWord] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
jonathan harker is a young lawyer sent to the gloomy castle dracula in transylvania to do business with a creepy count ( played by klaus kinski ) who wants to buy a house in harker's hometown . 	jonathan harker is a young lawyer sent to the gloomy castle dracula in transylvania to do business with a creepy count ( played by klaus kinski ) who wants to buy a house in harker's hometown .	1	-3	 jonathan[0] harker[0] is[0] a[0] young[0] lawyer[0] sent[0] to[0] the[0] gloomy[-2] castle[0] dracula[0] in[0] transylvania[0] to[0] do[0] business[0] with[0] a[0] creepy[0] count[0] played[0] by[0] klaus[0] kinski[0] who[0] wants[0] to[0] buy[0] a[0] house[0] in[0] harker's[0] hometown[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
upon seeing a photo of harker's wife ( the radiant isabelle adjani ) he instantly falls in love with her . 	upon seeing a photo of harker's wife ( the radiant isabelle adjani ) he instantly falls in love with her .	3	-1	 upon[0] seeing[0] a[0] photo[0] of[0] harker's[0] wife[0] the[0] radiant[2] isabelle[0] adjani[0] he[0] instantly[0] falls[0] in[0] love[2] with[0] her[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
locking harker up in his castle , he sets off on a long journey to meet this woman whose beauty so bewitches him . 	locking harker up in his castle , he sets off on a long journey to meet this woman whose beauty so bewitches him .	3	-1	 locking[0] harker[0] up[0] in[0] his[0] castle[0] he[0] sets[0] off[0] on[0] a[0] long[0] journey[0] to[0] meet[0] this[0] woman[0] whose[0] beauty[2] so[0] bewitches[0] him[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
upon divining his identity as a vampire , adjani seduces the count and lures him to his death one morning as the sun rises . 	upon divining his identity as a vampire , adjani seduces the count and lures him to his death one morning as the sun rises .	2	-3	 upon[0] divining[1] his[0] identity[0] as[0] a[0] vampire[0] adjani[0] seduces[0] the[0] count[0] and[0] lures[0] him[0] to[0] his[0] death[-2] one[0] morning[0] as[0] the[0] sun[0] rises[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
that is a story familiar to millions , but herzog has elevated stoker's tale into the realm of - and i use this term a tad reluctantly - cinematic art . 	that is a story familiar to millions , but herzog has elevated stoker's tale into the realm of - and i use this term a tad reluctantly - cinematic art .	1	-2	 that[0] is[0] a[0] story[0] familiar[0] to[0] millions[0] but[0] herzog[0] has[0] elevated[0] stoker's[0] tale[0] into[0] the[0] realm[0] of[0] and[0] i[0] use[0] this[0] term[0] a[0] tad[0] reluctantly[-1] cinematic[0] art[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
nosferatu is as much a meditation as it is a film , shot through blue-ish and white filters and peopled with characters who perform as if they were half hypnotised . 	nosferatu is as much a meditation as it is a film , shot through blue-ish and white filters and peopled with characters who perform as if they were half hypnotised .	1	-2	 nosferatu[0] is[0] as[0] much[0] a[0] meditation[0] as[0] it[0] is[0] a[0] film[0] shot[-1] through[0] blue[0] ish[0] and[0] white[0] filters[0] and[0] peopled[0] with[0] characters[0] who[0] perform[0] as[0] if[0] they[0] were[0] half[0] hypnotised[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the film's surreal , dream-like quality is utterly mesmerising . 	the film's surreal , dream-like quality is utterly mesmerising .	2	-1	 the[0] film's[0] surreal[0] dream[0] like[1] quality[0] is[0] utterly[0] mesmerising[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
there is much to enjoy , but i'll limit my praise to a few key points . 	there is much to enjoy , but i'll limit my praise to a few key points .	3	-1	 there[0] is[0] much[0] to[0] enjoy[2] but[0] i'll[0] limit[0] my[0] praise[2] to[0] a[0] few[0] key[0] points[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
holding the film together is kinski's remarkable performance as count dracula . 	holding the film together is kinski's remarkable performance as count dracula .	1	-1	 holding[0] the[0] film[0] together[0] is[0] kinski's[0] remarkable[0] performance[0] as[0] count[0] dracula[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
past screen portrayals , including bela lugosi's famous turn , have largely been one dimensional and tended towards camp . 	past screen portrayals , including bela lugosi's famous turn , have largely been one dimensional and tended towards camp .	1	-1	 past[0] screen[0] portrayals[0] including[0] bela[0] lugosi's[0] famous[0] turn[0] have[0] largely[0] been[0] one[0] dimensional[0] and[0] tended[0] towards[0] camp[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but kinski . . . oh boy , this is something far more compelling . 	but kinski .<br> .<br> .<br> oh boy , this is something far more compelling .	1	-1	 but[0] kinski[0] [[Sentence=-1,1=word max, 1-5]] oh[0] boy[0] this[0] is[0] something[0] far[0] more[0] compelling[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
aided by a startling make-up job , he portrays dracula's vampirism not simply as pure evil but as some sort of loathsome disease . 	aided by a startling make-up job , he portrays dracula's vampirism not simply as pure evil but as some sort of loathsome disease .	1	-3	 aided[0] by[0] a[0] startling[-1] make[0] up[0] job[0] he[0] portrays[0] dracula's[0] vampirism[0] not[0] simply[0] as[0] pure[0] evil[-2] but[0] as[0] some[0] sort[0] of[0] loathsome[0] disease[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
this man is dreadfully lonely . 	this man is dreadfully lonely .	1	-4	 this[0] man[0] is[0] dreadfully[-3] lonely[-1] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
he lives in utter solitude , shunned by the locals for his hideous appearance and reputation for bloodlust . 	he lives in utter solitude , shunned by the locals for his hideous appearance and reputation for bloodlust .	1	-2	 he[0] lives[0] in[0] utter[0] solitude[0] shunned[-1] by[0] the[0] locals[0] for[0] his[0] hideous[-1] appearance[0] and[0] reputation[0] for[0] bloodlust[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
kinski's portrayal of the count is both creepy and deeply affecting . 	kinski's portrayal of the count is both creepy and deeply affecting .	1	-1	 kinski's[0] portrayal[0] of[0] the[0] count[0] is[0] both[0] creepy[0] and[0] deeply[0] affecting[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
when he dies , you almost feel as if this man's tortured soul has been freed at last . 	when he dies , you almost feel as if this man's tortured soul has been freed at last .	1	-4	 when[0] he[0] dies[0] you[0] almost[0] feel[0] as[0] if[0] this[0] man's[0] tortured[-3] soul[0] has[0] been[0] freed[0] at[0] last[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
then there's the unforgettable soundtrack , largely composed by german group popul vuh . 	then there's the unforgettable soundtrack , largely composed by german group popul vuh .	1	-2	 then[0] there's[0] the[0] unforgettable[0] soundtrack[0] largely[0] composed[0] by[0] german[-1] group[0] popul[0] vuh[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it is so eerily beautiful and evocative that it's quite impossible to imagine the film without it . 	it is so eerily beautiful and evocative that it's quite impossible to imagine the film without it .	3	-1	 it[0] is[0] so[0] eerily[0] beautiful[2] and[0] evocative[0] that[0] it's[0] quite[0] impossible[0] to[0] imagine[0] the[0] film[0] without[0] it[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
popul vuh are longtime herzog collaborators and play an ancient-sounding kind of spacemusic using piano , chants , and exotic instruments . 	popul vuh are longtime herzog collaborators and play an ancient-sounding kind of spacemusic using piano , chants , and exotic instruments .	2	-1	 popul[0] vuh[0] are[0] longtime[0] herzog[0] collaborators[0] and[0] play[0] an[0] ancient[0] sounding[0] kind[1] of[0] spacemusic[0] using[0] piano[0] chants[0] and[0] exotic[0] instruments[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
when i first saw this film some years ago i was so impressed i tracked down and bought a number of their albums . 	when i first saw this film some years ago i was so impressed i tracked down and bought a number of their albums .	2	-1	 when[0] i[0] first[0] saw[0] this[0] film[0] some[0] years[0] ago[0] i[0] was[0] so[0] impressed[1] i[0] tracked[0] down[0] and[0] bought[0] a[0] number[0] of[0] their[0] albums[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the one i still listen to the most is " tantric songs " , from which most of the music in nosferatu is taken . 	the one i still listen to the most is " tantric songs " , from which most of the music in nosferatu is taken .	1	-1	 the[0] one[0] i[0] still[0] listen[0] to[0] the[0] most[0] is[0] tantric[0] songs[0] from[0] which[0] most[0] of[0] the[0] music[0] in[0] nosferatu[0] is[0] taken[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it's a testament to the music's depth that it is as powerful without the pictures as it is with them . 	it's a testament to the music's depth that it is as powerful without the pictures as it is with them .	1	-1	 it's[0] a[0] testament[0] to[0] the[0] music's[0] depth[0] that[0] it[0] is[0] as[0] powerful[0] without[0] the[0] pictures[0] as[0] it[0] is[0] with[0] them[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the album is still available on the highly respected ambient and world music label celestial harmonies . 	the album is still available on the highly respected ambient and world music label celestial harmonies .	3	-1	 the[0] album[0] is[0] still[0] available[0] on[0] the[0] highly[0] respected[2] ambient[0] and[0] world[0] music[0] label[0] celestial[0] harmonies[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
this is a timely re-release by anchor bay . 	this is a timely re-release by anchor bay .	1	-1	 this[0] is[0] a[0] timely[0] re[0] release[0] by[0] anchor[0] bay[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
after francis ford coppola's unscary and woefully overblown version of bram stoker's tale in 1992 , it is a joy to go back to herzog's film and see the amazing things he has done with what is now a century-old story . 	after francis ford coppola's unscary and woefully overblown version of bram stoker's tale in 1992 , it is a joy to go back to herzog's film and see the amazing things he has done with what is now a century-old story .	3	-3	 after[0] francis[0] ford[0] coppola's[0] unscary[0] and[0] woefully[-2] overblown[0] version[0] of[0] bram[0] stoker's[0] tale[0] in[0] 1992[0] it[0] is[0] a[0] joy[2] to[0] go[0] back[0] to[0] herzog's[0] film[0] and[0] see[0] the[0] amazing[2] things[0] he[0] has[0] done[0] with[0] what[0] is[0] now[0] a[0] century[0] old[0] story[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
to some aficionados , nosferatu is quite simply the greatest vampire film ever made . 	to some aficionados , nosferatu is quite simply the greatest vampire film ever made .	3	-1	 to[0] some[0] aficionados[0] nosferatu[0] is[0] quite[0] simply[0] the[0] greatest[2] vampire[0] film[0] ever[0] made[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
without a doubt , it is an unmistakable classic of the genre . 	without a doubt , it is an unmistakable classic of the genre .	1	-2	 without[0] a[0] doubt[-1] it[0] is[0] an[0] unmistakable[0] classic[0] of[0] the[0] genre[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
don't miss it . 	don't miss it .	2	-1	 don't[0] miss[-1][NegatedDueToPreviousWord] it[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
