wild things is a suspenseful thriller starring matt dillon , denise richards , and neve campbell that deals with all the issues ; sex , love , murder , and betrayal . 	Translation	Positive	Negative	EmotionRationale
sam is the kind of guy that every woman would like to sink their claws into , and sam obviously knows it and uses it to his own advantage . 	sam is the kind of guy that every woman would like to sink their claws into , and sam obviously knows it and uses it to his own advantage .	2	-1	 sam[0] is[0] the[0] kind[1] of[0] guy[0] that[0] every[0] woman[0] would[0] like[1][-1 LastWordBoosterStrength] to[0] sink[0] their[0] claws[0] into[0] and[0] sam[0] obviously[0] knows[0] it[0] and[0] uses[0] it[0] to[0] his[0] own[0] advantage[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
he isn't the obvious best of actors , but dillon does give a convincing performance . 	he isn't the obvious best of actors , but dillon does give a convincing performance .	2	-1	 he[0] isn't[0] the[0] obvious[0] best[1] of[0] actors[0] but[0] dillon[0] does[0] give[0] a[0] convincing[0] performance[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
however , his talents seem to be rendered useless near the end of the film , making it look as though his character has lost all of his ethics and principles , although he never had many to start out with in the first place . 	however , his talents seem to be rendered useless near the end of the film , making it look as though his character has lost all of his ethics and principles , although he never had many to start out with in the first place .	2	-3	 however[0] his[0] talents[1] seem[0] to[0] be[0] rendered[0] useless[-2] near[0] the[0] end[0] of[0] the[0] film[0] making[0] it[0] look[0] as[0] though[0] his[0] character[0] has[0] lost[0] all[0] of[0] his[0] ethics[0] and[0] principles[0] although[0] he[0] never[0] had[0] many[0] to[0] start[0] out[0] with[0] in[0] the[0] first[0] place[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
neve campbell , who most people relate to scream and scream 2 , plays blue bay outcast suzie toller . 	neve campbell , who most people relate to scream and scream 2 , plays blue bay outcast suzie toller .	2	-4	 neve[0] campbell[0] who[0] most[0] people[0] relate[0] to[0] scream[-3] and[0] scream[-3] 2[0] plays[1] blue[0] bay[0] outcast[-1] suzie[0] toller[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
suzie obviously has some serious issues to deal with which are obvious from her first scene in the film . 	suzie obviously has some serious issues to deal with which are obvious from her first scene in the film .	1	-1	 suzie[0] obviously[0] has[0] some[0] serious[-1][--1 LastWordBoosterStrength] issues[0] to[0] deal[0] with[0] which[0] are[0] obvious[0] from[0] her[0] first[0] scene[0] in[0] the[0] film[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
campbell is very successful with this character , adding the slightest bit of charm to a seemingly repulsive character and making her fun to watch . 	campbell is very successful with this character , adding the slightest bit of charm to a seemingly repulsive character and making her fun to watch .	4	-4	 campbell[0] is[0] very[0] successful[2][1 LastWordBoosterStrength] with[0] this[0] character[0] adding[0] the[0] slightest[0] bit[0] of[0] charm[1] to[0] a[0] seemingly[0] repulsive[-3] character[0] and[0] making[0] her[0] fun[1] to[0] watch[0] [[Sentence=-4,4=word max, 1-5]][[[4,-4 max of sentences]]]
playing kelly van ryan is denise richards . 	playing kelly van ryan is denise richards .	2	-1	 playing[1] kelly[0] van[0] ryan[0] is[0] denise[0] richards[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
kelly is your typical , rich , sexy , head cheerleader who thinks she can have any man she choses , like her sexpot mother sandra . 	kelly is your typical , rich , sexy , head cheerleader who thinks she can have any man she choses , like her sexpot mother sandra .	3	-1	 kelly[0] is[0] your[0] typical[0] rich[0] sexy[2] head[0] cheerleader[0] who[0] thinks[0] she[0] can[0] have[0] any[0] man[0] she[0] choses[0] like[1] her[0] sexpot[0] mother[0] sandra[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
one of the most interesting things about this film is how it compares and contrasts the relationship between kelly and her mother . 	one of the most interesting things about this film is how it compares and contrasts the relationship between kelly and her mother .	2	-1	 one[0] of[0] the[0] most[0] interesting[1] things[0] about[0] this[0] film[0] is[0] how[0] it[0] compares[0] and[0] contrasts[0] the[0] relationship[0] between[0] kelly[0] and[0] her[0] mother[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
denise richards , still hot off the press from starship troopers , gives the most interesting performance in the entire film . 	denise richards , still hot off the press from starship troopers , gives the most interesting performance in the entire film .	2	-1	 denise[0] richards[0] still[0] hot[0] off[0] the[0] press[0] from[0] starship[0] troopers[0] gives[0] the[0] most[0] interesting[1] performance[0] in[0] the[0] entire[0] film[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
in the beginning , kelly looks to be a paper thin character , but richards adds a little more spice and ultimately makes the character not only sexy , but dominating as well . 	in the beginning , kelly looks to be a paper thin character , but richards adds a little more spice and ultimately makes the character not only sexy , but dominating as well .	1	-3	 in[0] the[0] beginning[0] kelly[0] looks[0] to[0] be[0] a[0] paper[0] thin[0] character[0] but[0] richards[0] adds[0] a[0] little[0] more[0] spice[0] and[0] ultimately[0] makes[0] the[0] character[0] not[0] only[0] sexy[2][NegatedDueToPreviousWord] but[0] dominating[0] as[0] well[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
kevin bacon gives one of his fair performances as ray duquette . 	kevin bacon gives one of his fair performances as ray duquette .	1	-1	 kevin[0] bacon[0] gives[0] one[0] of[0] his[0] fair[0] performances[0] as[0] ray[0] duquette[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this character looks to be one of the most boring , predictable in the film . 	this character looks to be one of the most boring , predictable in the film .	1	-2	 this[0] character[0] looks[0] to[0] be[0] one[0] of[0] the[0] most[0] boring[-1] predictable[0] in[0] the[0] film[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
however , it is a relationship revealed between him and suzie that adds depth to his story . 	however , it is a relationship revealed between him and suzie that adds depth to his story .	1	-1	 however[0] it[0] is[0] a[0] relationship[0] revealed[0] between[0] him[0] and[0] suzie[0] that[0] adds[0] depth[0] to[0] his[0] story[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
still , the film doesn't seem to gain much from bacon's performance , only his name . 	still , the film doesn't seem to gain much from bacon's performance , only his name .	1	-1	 still[0] the[0] film[0] doesn't[0] seem[0] to[0] gain[0] much[0] from[0] bacon's[0] performance[0] only[0] his[0] name[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in the supporting cast , theresa russell plays the much oversexed sandra van ryan , daphne rubin-vega gives an unappealing performance as cop gloria perez , and bill murray shines as sam's lawyer , ken bowden . 	in the supporting cast , theresa russell plays the much oversexed sandra van ryan , daphne rubin-vega gives an unappealing performance as cop gloria perez , and bill murray shines as sam's lawyer , ken bowden .	2	-1	 in[0] the[0] supporting[1] cast[0] theresa[0] russell[0] plays[1] the[0] much[0] oversexed[0] sandra[0] van[0] ryan[0] daphne[0] rubin[0] vega[0] gives[0] an[0] unappealing[0] performance[0] as[0] cop[0] gloria[1] perez[0] and[0] bill[0] murray[0] shines[0] as[0] sam's[0] lawyer[0] ken[0] bowden[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
hats off to murray for adding the perfect touch of comedy to the film . 	hats off to murray for adding the perfect touch of comedy to the film .	2	-1	 hats[0] off[0] to[0] murray[0] for[0] adding[0] the[0] perfect[1] touch[0] of[0] comedy[0] to[0] the[0] film[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
although wild things was displayed by the press as being an erotic thriller , the eroticism , which is portrayed with good taste , is kept to a minimum and focuses more on the plot and the relationships between the characters . 	although wild things was displayed by the press as being an erotic thriller , the eroticism , which is portrayed with good taste , is kept to a minimum and focuses more on the plot and the relationships between the characters .	2	-1	 although[0] wild[0] things[0] was[0] displayed[0] by[0] the[0] press[0] as[0] being[0] an[0] erotic[0] thriller[1] the[0] eroticism[0] which[0] is[0] portrayed[0] with[0] good[1] taste[0] is[0] kept[0] to[0] a[0] minimum[0] and[0] focuses[0] more[0] on[0] the[0] plot[0] and[0] the[0] relationships[0] between[0] the[0] characters[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
this is truly a very good film worth seeing if your looking for a movie with a thick plot filled with it's share of twists . 	this is truly a very good film worth seeing if your looking for a movie with a thick plot filled with it's share of twists .	3	-1	 this[0] is[0] truly[1] a[0] very[0] good[1][1 LastWordBoosterStrength] film[0] worth[0] seeing[0] if[0] your[0] looking[0] for[0] a[0] movie[0] with[0] a[0] thick[0] plot[0] filled[0] with[0] it's[0] share[0] of[0] twists[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
