there seem to be two reactions to dark city . 	Translation	Positive	Negative	EmotionRationale
one example stands out in my mind : the coated figures who haunt the city can attack telekinetically . 	one example stands out in my mind : the coated figures who haunt the city can attack telekinetically .	1	-3	 one[0] example[0] stands[0] out[0] in[0] my[0] mind[0] the[0] coated[0] figures[0] who[0] haunt[-1] the[0] city[0] can[0] attack[-2] telekinetically[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
a simple ripple effect is used . 	a simple ripple effect is used .	1	-1	 a[0] simple[0] ripple[0] effect[0] is[0] used[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
a more showy effect could have been chosen , but then it would have just been gratuitous . 	a more showy effect could have been chosen , but then it would have just been gratuitous .	1	-2	 a[0] more[0] showy[0] effect[0] could[0] have[0] been[0] chosen[0] but[0] then[0] it[0] would[0] have[0] just[0] been[0] gratuitous[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
restraint was shown where necessary , letting the more critical effects look more impressive . 	restraint was shown where necessary , letting the more critical effects look more impressive .	2	-2	 restraint[0] was[0] shown[0] where[0] necessary[0] letting[0] the[0] more[0] critical[-1] effects[0] look[0] more[0] impressive[1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
finally , like gattaca , dark city spends a just a little effort striving for mythical significance . 	finally , like gattaca , dark city spends a just a little effort striving for mythical significance .	2	-1	 finally[0] like[1] gattaca[0] dark[0] city[0] spends[0] a[0] just[0] a[0] little[0] effort[0] striving[0] for[0] mythical[0] significance[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
unlike gattaca , the story is just open-ended and non-literal enough to be successful . 	unlike gattaca , the story is just open-ended and non-literal enough to be successful .	3	-1	 unlike[0] gattaca[0] the[0] story[0] is[0] just[0] open[0] ended[0] and[0] non[0] literal[0] enough[0] to[0] be[0] successful[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
john murdoch's recovery from amnesia is tied to the passing of the night , and the hopeful coming of the dawn . 	john murdoch's recovery from amnesia is tied to the passing of the night , and the hopeful coming of the dawn .	2	-1	 john[0] murdoch's[0] recovery[0] from[0] amnesia[0] is[0] tied[0] to[0] the[0] passing[0] of[0] the[0] night[0] and[0] the[0] hopeful[1] coming[0] of[0] the[0] dawn[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
his struggle with amnesia is both figuratively and literally the struggle of all mankind ( at least in his world ) . 	his struggle with amnesia is both figuratively and literally the struggle of all mankind ( at least in his world ) .	1	-2	 his[0] struggle[-1] with[0] amnesia[0] is[0] both[0] figuratively[0] and[0] literally[0] the[0] struggle[-1] of[0] all[0] mankind[0] at[0] least[0] in[0] his[0] world[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
when we finally see the big picture of the movie's world , it is as mysterious as the iroquois image of the world being carried on the back of a giant turtle . 	when we finally see the big picture of the movie's world , it is as mysterious as the iroquois image of the world being carried on the back of a giant turtle .	1	-1	 when[0] we[0] finally[0] see[0] the[0] big[0] picture[0] of[0] the[0] movie's[0] world[0] it[0] is[0] as[0] mysterious[0] as[0] the[0] iroquois[0] image[0] of[0] the[0] world[0] being[0] carried[0] on[0] the[0] back[0] of[0] a[0] giant[0] turtle[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
a few minor flaws keep me from giving this movie the same perfect score roger ebert gave , but i do strongly recommend it , for its look , its pace , its story , and its timelessness . 	a few minor flaws keep me from giving this movie the same perfect score roger ebert gave , but i do strongly recommend it , for its look , its pace , its story , and its timelessness .	2	-1	 a[0] few[0] minor[0] flaws[0] keep[0] me[0] from[0] giving[0] this[0] movie[0] the[0] same[0] perfect[1] score[0] roger[0] ebert[0] gave[0] but[0] i[0] do[0] strongly[0] recommend[0] it[0] for[0] its[0] look[0] its[0] pace[0] its[0] story[0] and[0] its[0] timelessness[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
