in intolerance , d . w . griffith told four different historical stories at the same time , cutting from one to the other . 	Translation	Positive	Negative	EmotionRationale
officer jim kurring ( john c . reilly ) is a patrolman who has a need to feel he is making the world a better place . 	officer jim kurring ( john c .<br> reilly ) is a patrolman who has a need to feel he is making the world a better place .	1	-1	 officer[0] jim[0] kurring[0] john[0] c[0] [[Sentence=-1,1=word max, 1-5]] reilly[0] is[0] a[0] patrolman[0] who[0] has[0] a[0] need[0] to[0] feel[0] he[0] is[0] making[0] the[0] world[0] a[0] better[0] place[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
jimmy gator ( philip baker hall ) hosts a popular children's tv quiz show that really exploits and destroys children as we see from the stories of current quiz kid stanley spector ( jeremy blackman ) and former quiz kid donnie smith ( william h . macy ) . 	jimmy gator ( philip baker hall ) hosts a popular children's tv quiz show that really exploits and destroys children as we see from the stories of current quiz kid stanley spector ( jeremy blackman ) and former quiz kid donnie smith ( william h .<br> macy ) .	1	-3	 jimmy[0] gator[0] philip[0] baker[0] hall[0] hosts[0] a[0] popular[0] children's[0] tv[0] quiz[0] show[0] that[0] really[0] exploits[0] and[0] destroys[-2] children[0] as[0] we[0] see[0] from[0] the[0] stories[0] of[0] current[0] quiz[0] kid[0] stanley[0] spector[0] jeremy[0] blackman[0] and[0] former[0] quiz[0] kid[0] donnie[0] smith[0] william[0] h[0] [[Sentence=-3,1=word max, 1-5]] macy[0] [[Sentence=-1,1=word max, 1-5]][[[1,-3 max of sentences]]]
the film juggles all these stories for over three hours , but even after all this time not one story is resolved satisfactorily . 	the film juggles all these stories for over three hours , but even after all this time not one story is resolved satisfactorily .	2	-1	 the[0] film[0] juggles[0] all[0] these[0] stories[0] for[0] over[0] three[0] hours[0] but[0] even[0] after[0] all[0] this[0] time[0] not[0] one[0] story[0] is[0] resolved[1] satisfactorily[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
each story moves toward a single bizarre common climax , but it is not one that seems to do much but derail each story . 	each story moves toward a single bizarre common climax , but it is not one that seems to do much but derail each story .	1	-2	 each[0] story[0] moves[0] toward[0] a[0] single[0] bizarre[-1] common[0] climax[0] but[0] it[0] is[0] not[0] one[0] that[0] seems[0] to[0] do[0] much[0] but[0] derail[0] each[0] story[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the common climax itself is ambiguous in many ways and it fails to really tie up any of the stories . 	the common climax itself is ambiguous in many ways and it fails to really tie up any of the stories .	1	-3	 the[0] common[0] climax[0] itself[0] is[0] ambiguous[-1] in[0] many[0] ways[0] and[0] it[0] fails[-2] to[0] really[0] tie[0] up[0] any[0] of[0] the[0] stories[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the film seems to be built around strange events and weird history , but it really has little to do with the content of the stories , though they all are connected in part by one weird event . 	the film seems to be built around strange events and weird history , but it really has little to do with the content of the stories , though they all are connected in part by one weird event .	1	-2	 the[0] film[0] seems[0] to[0] be[0] built[0] around[0] strange[0] events[0] and[0] weird[-1] history[0] but[0] it[0] really[0] has[0] little[0] to[0] do[0] with[0] the[0] content[0] of[0] the[0] stories[0] though[0] they[0] all[0] are[0] connected[0] in[0] part[0] by[0] one[0] weird[-1] event[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
magnolia will probably bring some much deserved attention to paul thomas anderson , though in my opinion his two previous films , hard eight and boogie nights were better told stories . 	magnolia will probably bring some much deserved attention to paul thomas anderson , though in my opinion his two previous films , hard eight and boogie nights were better told stories .	1	-1	 magnolia[0] will[0] probably[0] bring[0] some[0] much[0] deserved[0] attention[0] to[0] paul[0] thomas[0] anderson[0] though[0] in[0] my[0] opinion[0] his[0] two[0] previous[0] films[0] hard[0] eight[0] and[0] boogie[0] nights[0] were[0] better[0] told[0] stories[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it is interesting that one starts to look forward to actors from anderson's company . 	it is interesting that one starts to look forward to actors from anderson's company .	2	-1	 it[0] is[0] interesting[1] that[0] one[0] starts[0] to[0] look[0] forward[0] to[0] actors[0] from[0] anderson's[0] company[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
john c . reilly seems to be a standard fixture . 	john c .<br> reilly seems to be a standard fixture .	1	-1	 john[0] c[0] [[Sentence=-1,1=word max, 1-5]] reilly[0] seems[0] to[0] be[0] a[0] standard[0] fixture[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
particularly notable is philip baker hall who gave a mesmerizing performance from the first scene of hard eight . 	particularly notable is philip baker hall who gave a mesmerizing performance from the first scene of hard eight .	1	-1	 particularly[0] notable[0] is[0] philip[0] baker[0] hall[0] who[0] gave[0] a[0] mesmerizing[0] performance[0] from[0] the[0] first[0] scene[0] of[0] hard[0] eight[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
here he several of the characters are mesmerizing , but that characteristic is not really used . 	here he several of the characters are mesmerizing , but that characteristic is not really used .	1	-1	 here[0] he[0] several[0] of[0] the[0] characters[0] are[0] mesmerizing[0] but[0] that[0] characteristic[0] is[0] not[0] really[0] used[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
as studies of characters these stories are each worth following . 	as studies of characters these stories are each worth following .	1	-1	 as[0] studies[0] of[0] characters[0] these[0] stories[0] are[0] each[0] worth[0] following[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
as well-rounded stories with a beginning , middle and end , they leave something to be desired . 	as well-rounded stories with a beginning , middle and end , they leave something to be desired .	1	-1	 as[0] well[0] rounded[0] stories[0] with[0] a[0] beginning[0] middle[0] and[0] end[0] they[0] leave[0] something[0] to[0] be[0] desired[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but the film is willing to do the unexpected and that helps make the film worth sitting through . 	but the film is willing to do the unexpected and that helps make the film worth sitting through .	1	-1	 but[0] the[0] film[0] is[0] willing[0] to[0] do[0] the[0] unexpected[0] and[0] that[0] helps[0] make[0] the[0] film[0] worth[0] sitting[0] through[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i rate it a 7 on the 0 to 10 scale and a low  2 on the -4 to  4 scale . 	i rate it a 7 on the 0 to 10 scale and a low  2 on the -4 to  4 scale .	1	-2	 i[0] rate[0] it[0] a[0] 7[0] on[0] the[0] 0[0] to[0] 10[0] scale[0] and[0] a[0] low[-1] 2[0] on[0] the[0] -4[0] to[0] 4[0] scale[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
heavy spoiler . . . 	heavy spoiler .<br> .<br> .	1	-2	 heavy[0] spoiler[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
heavy spoiler . . . 	heavy spoiler .<br> .<br> .	1	-2	 heavy[0] spoiler[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
heavy spoiler . . . 	heavy spoiler .<br> .<br> .	1	-2	 heavy[0] spoiler[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
heavy spoiler . . . 	heavy spoiler .<br> .<br> .	1	-2	 heavy[0] spoiler[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
during the strange climactic event of the film we get multiple messages from the filmmaker that the event we are seeing really does happen . 	during the strange climactic event of the film we get multiple messages from the filmmaker that the event we are seeing really does happen .	1	-1	 during[0] the[0] strange[0] climactic[0] event[0] of[0] the[0] film[0] we[0] get[0] multiple[0] messages[0] from[0] the[0] filmmaker[0] that[0] the[0] event[0] we[0] are[0] seeing[0] really[0] does[0] happen[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and in actual fact , it does . 	and in actual fact , it does .	1	-1	 and[0] in[0] actual[0] fact[0] it[0] does[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
since biblical times rains of frogs have been interpreted as signs of displeasure of the gods . 	since biblical times rains of frogs have been interpreted as signs of displeasure of the gods .	1	-3	 since[0] biblical[0] times[0] rains[0] of[0] frogs[0] have[0] been[0] interpreted[0] as[0] signs[0] of[0] displeasure[-2] of[0] the[0] gods[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
it is , however , a perfectly natural , if somewhat unnerving , phenomenon . 	it is , however , a perfectly natural , if somewhat unnerving , phenomenon .	2	-1	 it[0] is[0] however[0] a[0] perfectly[1] natural[0] if[0] somewhat[0] unnerving[0] phenomenon[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the cause is associated with whirlwinds . 	the cause is associated with whirlwinds .	1	-1	 the[0] cause[0] is[0] associated[0] with[0] whirlwinds[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
we know that tornadoes over land can rip up land and even objects of some size from the ground and hurl them into the air , holding them aloft . 	we know that tornadoes over land can rip up land and even objects of some size from the ground and hurl them into the air , holding them aloft .	1	-2	 we[0] know[0] that[0] tornadoes[0] over[0] land[0] can[0] rip[-1] up[0] land[0] and[0] even[0] objects[0] of[0] some[0] size[0] from[0] the[0] ground[0] and[0] hurl[0] them[0] into[0] the[0] air[0] holding[0] them[0] aloft[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the reader may remember the unfortunate cow in twister . 	the reader may remember the unfortunate cow in twister .	1	-2	 the[0] reader[0] may[0] remember[0] the[0] unfortunate[-1] cow[0] in[0] twister[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
smaller objects can be hurled high into the atmosphere and then be kept aloft by the updrafts for surprisingly long periods of time much as hail and chunks of ice are . 	smaller objects can be hurled high into the atmosphere and then be kept aloft by the updrafts for surprisingly long periods of time much as hail and chunks of ice are .	1	-1	 smaller[0] objects[0] can[0] be[0] hurled[0] high[0] into[0] the[0] atmosphere[0] and[0] then[0] be[0] kept[0] aloft[0] by[0] the[0] updrafts[0] for[0] surprisingly[0] long[0] periods[0] of[0] time[0] much[0] as[0] hail[0] and[0] chunks[0] of[0] ice[0] are[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
when the whirlwind is over water , animals near the surface , frequently fish and frogs , may suffer the same fate . 	when the whirlwind is over water , animals near the surface , frequently fish and frogs , may suffer the same fate .	1	-3	 when[0] the[0] whirlwind[0] is[0] over[0] water[0] animals[0] near[0] the[0] surface[0] frequently[0] fish[0] and[0] frogs[0] may[0] suffer[-3][--1 LastWordBoosterStrength] the[0] same[0] fate[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
essentially they are vacuumed up by the whirlwind , held aloft by updrafts , and finally dropped elsewhere . 	essentially they are vacumed up by the whirlwind , held aloft by updrafts , and finally dropped elsewhere .	1	-1	 essentially[0] they[0] are[0] vacuumed/vacumed[0] up[0] by[0] the[0] whirlwind[0] held[0] aloft[0] by[0] updrafts[0] and[0] finally[0] dropped[0] elsewhere[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
so while the rain is possible , some doubts do creep in . 	so while the rain is possible , some doubts do creep in .	1	-1	 so[0] while[0] the[0] rain[0] is[0] possible[0] some[0] doubts[-1][--1 LastWordBoosterStrength] do[0] creep[0] in[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the rain of frogs depicted in this film may be of greater scale than i had pictured for a rain of frogs . 	the rain of frogs depicted in this film may be of greater scale than i had pictured for a rain of frogs .	3	-1	 the[0] rain[0] of[0] frogs[0] depicted[0] in[0] this[0] film[0] may[0] be[0] of[0] greater[2] scale[0] than[0] i[0] had[0] pictured[0] for[0] a[0] rain[0] of[0] frogs[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
it seems unlikely the frogs would still be alive when dropped . 	it seems unlikely the frogs would still be alive when dropped .	1	-1	 it[0] seems[0] unlikely[0] the[0] frogs[0] would[0] still[0] be[0] alive[0] when[0] dropped[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it is not clear that geographic conditions are right for los angeles to have this sort of phenomenon . 	it is not clear that geographic conditions are right for los angeles to have this sort of phenomenon .	1	-1	 it[0] is[0] not[0] clear[0] that[0] geographic[0] conditions[0] are[0] right[0] for[0] los[0] angeles[0] to[0] have[0] this[0] sort[0] of[0] phenomenon[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 ( frankly i have no idea on these points . ) 	 ( frankly i have no idea on these points .<br> )	1	-1	 frankly[0] i[0] have[0] no[0] idea[0] on[0] these[0] points[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
otherwise the event was quite believable . 	otherwise the event was quite believable .	1	-1	 otherwise[0] the[0] event[0] was[0] quite[0] believable[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
what we see in this film is much more credible than the phenomena we saw in volcano . 	what we see in this film is much more credible than the phenomena we saw in volcano .	1	-1	 what[0] we[0] see[0] in[0] this[0] film[0] is[0] much[0] more[0] credible[0] than[0] the[0] phenomena[0] we[0] saw[0] in[0] volcano[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in the film it is left ambiguous if the rain is a sign from god since there are many references to exodus 8 : 2 . 	in the film it is left ambiguous if the rain is a sign from god since there are many references to exodus 8 : 2 .	1	-2	 in[0] the[0] film[0] it[0] is[0] left[0] ambiguous[-1] if[0] the[0] rain[0] is[0] a[0] sign[0] from[0] god[0] since[0] there[0] are[0] many[0] references[0] to[0] exodus[0] 8[0] 2[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
 " and the frogs shall come up both on thee and upon thy people , and upon all thy servants . " 	 " and the frogs shall come up both on thee and upon thy people , and upon all thy servants .<br> "	1	-1	 and[0] the[0] frogs[0] shall[0] come[0] up[0] both[0] on[0] thee[0] and[0] upon[0] thy[0] people[0] and[0] upon[0] all[0] thy[0] servants[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
however a rain of frogs , though it feels biblical , is most definitely not a biblical portent . 	however a rain of frogs , though it feels biblical , is most definitely not a biblical portent .	1	-1	 however[0] a[0] rain[0] of[0] frogs[0] though[0] it[0] feels[0] biblical[0] is[0] most[0] definitely[0] not[0] a[0] biblical[0] portent[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
note that the previous verse says " and the river shall bring forth frogs abundantly which shall go up . . . , " 	note that the previous verse says " and the river shall bring forth frogs abundantly which shall go up .<br> .<br> .<br> , "	1	-1	 note[0] that[0] the[0] previous[0] verse[0] says[0] and[0] the[0] river[0] shall[0] bring[0] forth[0] frogs[0] abundantly[0] which[0] shall[0] go[0] up[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
so the bible is referring not to a rain but to an infestation from the river . 	so the bible is referring not to a rain but to an infestation from the river .	1	-3	 so[0] the[0] bible[0] is[0] referring[0] not[0] to[0] a[0] rain[0] but[0] to[0] an[0] infestation[-2] from[0] the[0] river[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the only other reference to frogs in the bible is as a symbol for uncleanness in revelation 16 : 13 . 	the only other reference to frogs in the bible is as a symbol for uncleanness in revelation 16 : 13 .	1	-1	 the[0] only[0] other[0] reference[0] to[0] frogs[0] in[0] the[0] bible[0] is[0] as[0] a[0] symbol[0] for[0] uncleanness[0] in[0] revelation[0] 16[0] 13[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
