i don't box with kid gloves . 	Translation	Positive	Negative	EmotionRationale
down with america concerns a government agent , needless murder , and a book containing everything from the unabomber's manifesto to the 1995 apple computer profit report . 	down with america concerns a government agent , needless murder , and a book containing everything from the unabomber's manifesto to the 1995 apple computer profit report .	2	-4	 down[0] with[0] america[0] concerns[-1] a[0] government[0] agent[0] needless[0] murder[-3] and[0] a[0] book[0] containing[0] everything[0] from[0] the[0] unabomber's[0] manifesto[0] to[0] the[0] 1995[0] apple[0] computer[0] profit[1] report[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
like the previous films of rigormortis that i have reviewed , it displays an off-kilter humor and intelligence ? it succeeds in making me laugh where countless studio films fail . 	like the previous films of rigormortis that i have reviewed , it displays an off-kilter humor and intelligence ?<br> it succeeds in making me laugh where countless studio films fail .	3	-3	 like[1] the[0] previous[0] films[0] of[0] rigormortis[0] that[0] i[0] have[0] reviewed[0] it[0] displays[0] an[0] off[0] kilter[0] humor[2] and[0] intelligence[0] [[Sentence=-1,3=word max, 1-5]] it[0] succeeds[2] in[0] making[0] me[0] laugh[1] where[0] countless[0] studio[0] films[0] fail[-2] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
the best way to see this film would be as a parody of the countless conspiracy films that we have been drowned in since the paranoia of the 80s . 	the best way to see this film would be as a parody of the countless conspiracy films that we have been drowned in since the paranoia of the 80s .	2	-3	 the[0] best[1] way[0] to[0] see[0] this[0] film[0] would[0] be[0] as[0] a[0] parody[0] of[0] the[0] countless[0] conspiracy[-1] films[0] that[0] we[0] have[0] been[0] drowned[-1] in[0] since[0] the[0] paranoia[-2] of[0] the[0] 80s[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
a dying movement from the day they started , these paranoid  thrillers' had the government always covering up something and had the same favorite word :  roswell . ' 	a dying movement from the day they started , these paranoid  thrillers' had the government always covering up something and had the same favorite word :  roswell .<br> '	2	-3	 a[0] dying[-1] movement[0] from[0] the[0] day[0] they[0] started[0] these[0] paranoid[-2] thrillers'[1] had[0] the[0] government[0] always[0] covering[0] up[0] something[0] and[0] had[0] the[0] same[0] favorite[1] word[0] roswell[0] [[Sentence=-3,2=word max, 1-5]] '[0] [[Sentence=-1,1=word max, 1-5]][[[2,-3 max of sentences]]]
in down with america , the line  roswell' is highly absent . 	in down with america , the line  roswell' is highly absent .	1	-2	 in[0] down[0] with[0] america[0] the[0] line[0] roswell'[0] is[0] highly[0] absent[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
with an about ten minute running time , down with america effortlessly sidesteps every clich ? that the conspiracy films fell into , makes jokes at them at the same time , and provides us with funny and memorable characters . 	with an about ten minute running time , down with america effortlessly sidesteps every clich ?<br> that the conspiracy films fell into , makes jokes at them at the same time , and provides us with funny and memorable characters .	2	-2	 with[0] an[0] about[0] ten[0] minute[0] running[0] time[0] down[0] with[0] america[0] effortlessly[0] sidesteps[0] every[0] clich[0] [[Sentence=-1,1=word max, 1-5]] that[0] the[0] conspiracy[-1] films[0] fell[0] into[0] makes[0] jokes[1] at[0] them[0] at[0] the[0] same[0] time[0] and[0] provides[0] us[0] with[0] funny[1] and[0] memorable[0] characters[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
again , i have seen movies that have gone on two hours with characters i couldn't care less about . 	again , i have seen movies that have gone on two hours with characters i couldn't care less about .	1	-2	 again[0] i[0] have[0] seen[0] movies[0] that[0] have[0] gone[0] on[0] two[0] hours[0] with[0] characters[0] i[0] couldn't[0] care[1][NegatedDueToPreviousWord] less[0] about[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the film , as previously stated , concerns a federal agent ( peter roach ) , an obsessed librarian ( meri stevens ) , a mystery man ( joe kaczkowski ) , and two people obsessed with silence in the library ( robb sherman , kevin flowers ) . 	the film , as previously stated , concerns a federal agent ( peter roach ) , an obsessed librarian ( meri stevens ) , a mystery man ( joe kaczkowski ) , and two people obsessed with silence in the library ( rob sherman , kevin flowers ) .	1	-3	 the[0] film[0] as[0] previously[0] stated[0] concerns[-1] a[0] federal[0] agent[0] peter[0] roach[0] an[0] obsessed[-2] librarian[0] meri[0] stevens[0] a[0] mystery[0] man[0] joe[0] kaczkowski[0] and[0] two[0] people[0] obsessed[-2] with[0] silence[0] in[0] the[0] library[0] robb/rob[0] sherman[0] kevin[0] flowers[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the plot : a book containing the secrets of all anarchists is hidden in ? a public library where it can be viewed by all . 	the plot : a book containing the secrets of all anarchists is hidden in ?<br> a public library where it can be viewed by all .	1	-2	 the[0] plot[0] a[0] book[0] containing[0] the[0] secrets[0] of[0] all[0] anarchists[-1] is[0] hidden[0] in[0] [[Sentence=-2,1=word max, 1-5]] a[0] public[0] library[0] where[0] it[0] can[0] be[0] viewed[0] by[0] all[0] [[Sentence=-1,1=word max, 1-5]][[[1,-2 max of sentences]]]
from there we go into a delightful parody . 	from there we go into a delightful parody .	3	-1	 from[0] there[0] we[0] go[0] into[0] a[0] delightful[2] parody[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the federal agent claims his sovereign right to alter the truth , the librarian goes on a diatribe about the sanctity of books . 	the federal agent claims his sovereign right to alter the truth , the librarian goes on a diatribe about the sanctity of books .	2	-1	 the[0] federal[0] agent[0] claims[0] his[0] sovereign[0] right[0] to[0] alter[0] the[0] truth[1] the[0] librarian[0] goes[0] on[0] a[0] diatribe[0] about[0] the[0] sanctity[0] of[0] books[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
we spend our time laughing at fairly idiotic jokes that are performed much too well considering the lack of coaching of the cast . 	we spend our time laughing at fairly idiotic jokes that are performed much too well considering the lack of coaching of the cast .	2	-3	 we[0] spend[0] our[0] time[0] laughing[1] at[0] fairly[0] idiotic[-2] jokes[1] that[0] are[0] performed[0] much[0] too[0] well[0] considering[0] the[0] lack[-1] of[0] coaching[0] of[0] the[0] cast[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
although the actors and actresses are in small roles and give a whole new meaning to  no-name' , it ends up being the no-name people who do a good job , delivering better performances as comic villains than half the crap that hollywood turns out . 	although the actors and actresses are in small roles and give a whole new meaning to  no-name' , it ends up being the no-name people who do a good job , delivering better performances as comic villains than half the crap that hollywood turns out .	2	-3	 although[0] the[0] actors[0] and[0] actresses[0] are[0] in[0] small[0] roles[0] and[0] give[0] a[0] whole[0] new[0] meaning[0] to[0] no[0] name'[0] it[0] ends[0] up[0] being[0] the[0] no[0] name[0] people[0] who[0] do[0] a[0] good[1] job[0] delivering[0] better[0] performances[0] as[0] comic[0] villains[-2] than[0] half[0] the[0] crap[-2] that[0] hollywood[0] turns[0] out[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
for once , i don't have a url that i know offhand to give you as to where to locate the film online . 	for once , i don't have a url that i know offhand to give you as to where to locate the film online .	1	-1	 for[0] once[0] i[0] don't[0] have[0] a[0] url[0] that[0] i[0] know[0] offhand[0] to[0] give[0] you[0] as[0] to[0] where[0] to[0] locate[0] the[0] film[0] online[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i can only say that you should find my previous reviews of l'auto and les x-files and look up the rigormortis productions site in and of itself . 	i can only say that you should find my previous reviews of l'auto and les x-files and look up the rigormortis productions site in and of itself .	2	-1	 i[0] can[0] only[0] say[0] that[0] you[0] should[0] find[0] my[0] previous[0] reviews[0] of[0] l'auto[0] and[0] les[0] x[1] files[0] and[0] look[0] up[0] the[0] rigormortis[0] productions[0] site[0] in[0] and[0] of[0] itself[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
it's almost as much fun as the film . 	it's almost as much fun as the film .	2	-1	 it's[0] almost[0] as[0] much[0] fun[1] as[0] the[0] film[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
