waiting at the train station near the beginning of fury , joe says : `after all , we're human . ' 	Translation	Positive	Negative	EmotionRationale
lang educes this discomfort not through movement of the camera , but rather its stillness . 	lang educes this discomfort not through movement of the camera , but rather its stillness .	1	-2	 lang[0] educes[0] this[0] discomfort[-1] not[0] through[0] movement[0] of[0] the[0] camera[0] but[0] rather[0] its[0] stillness[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the shot's composition places the audience equidistant and directly across from the pair of arguing patrons and the deputy effectively becomes a mirror to our own apprehensions . 	the shot's composition places the audience equidistant and directly across from the pair of arguing patrons and the deputy effectively becomes a mirror to our own apprehensions .	1	-3	 the[0] shot's[0] composition[0] places[0] the[0] audience[0] equidistant[0] and[0] directly[0] across[0] from[0] the[0] pair[0] of[0] arguing[-1] patrons[0] and[0] the[0] deputy[0] effectively[0] becomes[0] a[0] mirror[0] to[0] our[0] own[0] apprehensions[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
as the intensity of the mob closes around deputy meyers , it does so around the viewer as well . 	as the intensity of the mob closes around deputy meyers , it does so around the viewer as well .	1	-1	 as[0] the[0] intensity[0] of[0] the[0] mob[0] closes[0] around[0] deputy[0] meyers[0] it[0] does[0] so[0] around[0] the[0] viewer[0] as[0] well[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the stationary camera in this shot heightens our fears because when the deputy escapes , we are deserted by our reflection and the viewer becomes the sole proprietor of sensibility amongst a swarm of irrationality . 	the stationary camera in this shot heightens our fears because when the deputy escapes , we are deserted by our reflection and the viewer becomes the sole proprietor of sensibility amongst a swarm of irrationality .	1	-3	 the[0] stationary[0] camera[0] in[0] this[0] shot[-1] heightens[0] our[0] fears[-2] because[0] when[0] the[0] deputy[0] escapes[0] we[0] are[0] deserted[0] by[0] our[0] reflection[0] and[0] the[0] viewer[0] becomes[0] the[0] sole[0] proprietor[0] of[0] sensibility[0] amongst[0] a[0] swarm[0] of[0] irrationality[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
because the camera does not track the deputy's movement , we are left with an amplified perception of desertion and vulnerability . 	because the camera does not track the deputy's movement , we are left with an amplified perception of desertion and vulnerability .	1	-3	 because[0] the[0] camera[0] does[0] not[0] track[0] the[0] deputy's[0] movement[0] we[0] are[0] left[0] with[0] an[0] amplified[0] perception[0] of[0] desertion[-1] and[0] vulnerability[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
as the bar scene progresses , the camera pans 180 degrees to reveal the fury of the mob . 	as the bar scene progresses , the camera pans 180 degrees to reveal the fury of the mob .	1	-4	 as[0] the[0] bar[0] scene[0] progresses[0] the[0] camera[0] pans[0] 180[0] degrees[0] to[0] reveal[0] the[0] fury[-3] of[0] the[0] mob[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
this shot is unique because it is a point-of-view shot where the audience , not a character in the film is the subject . 	this shot is unique because it is a point-of-view shot where the audience , not a character in the film is the subject .	1	-2	 this[0] shot[-1] is[0] unique[0] because[0] it[0] is[0] a[0] point[0] of[0] view[0] shot[-1] where[0] the[0] audience[0] not[0] a[0] character[0] in[0] the[0] film[0] is[0] the[0] subject[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
while a long , or dolly shot may objectively reveal the size of the mob , panning from the mob's belly distorts the audience's spatial reference and exaggerates the claustrophobia of the scene ; we feel we are at the epicenter of something infinitely large . 	while a long , or dolly shot may objectively reveal the size of the mob , panning from the mob's belly distorts the audience's spatial reference and exaggerates the claustrophobia of the scene ; we feel we are at the epicenter of something infinitely large .	1	-2	 while[0] a[0] long[0] or[0] dolly[0] shot[-1] may[0] objectively[0] reveal[0] the[0] size[0] of[0] the[0] mob[0] panning[0] from[0] the[0] mob's[0] belly[0] distorts[-1] the[0] audience's[0] spatial[0] reference[0] and[0] exaggerates[-1] the[0] claustrophobia[0] of[0] the[0] scene[0] we[0] feel[0] we[0] are[0] at[0] the[0] epicenter[0] of[0] something[0] infinitely[0] large[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
we see close shots of people's faces , contorted by their rage . 	we see close shots of people's faces , contorted by their rage .	1	-4	 we[0] see[0] close[0] shots[0] of[0] people's[0] faces[0] contorted[0] by[0] their[0] rage[-3] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
with the pivot of the pan being in the center of the mob and angry members within a short radius of the pan , lang offers the viewer a sense of what it feels like to be the subject of a lynching . 	with the pivot of the pan being in the center of the mob and angry members within a short radius of the pan , lang offers the viewer a sense of what it feels like to be the subject of a lynching .	2	-4	 with[0] the[0] pivot[0] of[0] the[0] pan[0] being[0] in[0] the[0] center[0] of[0] the[0] mob[0] and[0] angry[-3] members[0] within[0] a[0] short[0] radius[0] of[0] the[0] pan[0] lang[0] offers[0] the[0] viewer[0] a[0] sense[0] of[0] what[0] it[0] feels[0] like[1] to[0] be[0] the[0] subject[0] of[0] a[0] lynching[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
in this shot the audience is at the mercy of the mob ; lang's camera makes us feel vulnerable and powerless as joe must have felt in the jail . 	in this shot the audience is at the mercy of the mob ; lang's camera makes us feel vulnerable and powerless as joe must have felt in the jail .	1	-3	 in[0] this[0] shot[-1] the[0] audience[0] is[0] at[0] the[0] mercy[0] of[0] the[0] mob[0] lang's[0] camera[0] makes[0] us[0] feel[0] vulnerable[-2] and[0] powerless[-1] as[0] joe[0] must[0] have[0] felt[0] in[0] the[0] jail[-1] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
in some greater sense , it must have been what lang felt when he saw his countrymen overcome with unjustifiable hatred towards their own humankind . 	in some greater sense , it must have been what lang felt when he saw his countrymen overcome with unjustifiable hatred towards their own humankind .	2	-5	 in[0] some[0] greater[2][-1 LastWordBoosterStrength] sense[0] it[0] must[0] have[0] been[0] what[0] lang[0] felt[0] when[0] he[0] saw[0] his[0] countrymen[0] overcome[0] with[0] unjustifiable[-2] hatred[-3][-1 MultiplePositiveWords] towards[0] their[0] own[0] humankind[0] [[Sentence=-5,2=word max, 1-5]][[[2,-5 max of sentences]]]
lang's observations of his fellow man succumbing to mob behavior left him with an indelible image of malevolent human behavior . 	lang's observations of his fellow man succumbing to mob behavior left him with an indelible image of malevolent human behavior .	1	-2	 lang's[0] observations[0] of[0] his[0] fellow[0] man[0] succumbing[-1] to[0] mob[0] behavior[0] left[0] him[0] with[0] an[0] indelible[0] image[0] of[0] malevolent[0] human[0] behavior[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
as joe faces his peril , trapped in his burning cell , his dog rainbow rushes to be by his side . 	as joe faces his peril , trapped in his burning cell , his dog rainbow rushes to be by his side .	1	-2	 as[0] joe[0] faces[0] his[0] peril[-1] trapped[0] in[0] his[0] burning[-1] cell[0] his[0] dog[0] rainbow[0] rushes[0] to[0] be[0] by[0] his[0] side[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
lang makes rainbow a martyr to contrast his humanity against the recklessness of his human counterparts . 	lang makes rainbow a martyr to contrast his humanity against the recklessness of his human counterparts .	1	-2	 lang[0] makes[0] rainbow[0] a[0] martyr[-1] to[0] contrast[0] his[0] humanity[0] against[-1] the[0] recklessness[-1] of[0] his[0] human[0] counterparts[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
using his camera to create shots that elicit disturbing images of mob mentality , lang depicts man's volatility and  impulse' towards inconceivable cruelty . 	using his camera to create shots that elicit disturbing images of mob mentality , lang depicts man's volatility and  impulse' towards inconceivable cruelty .	1	-4	 using[0] his[0] camera[0] to[0] create[0] shots[0] that[0] elicit[0] disturbing[-1] images[0] of[0] mob[0] mentality[0] lang[0] depicts[0] man's[0] volatility[-1] and[0] impulse'[0] towards[0] inconceivable[0] cruelty[-3] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
reprising joe' s line at the train station , we are induced to question why our primeval impulses so easily transcend our humanity . 	reprising joe' s line at the train station , we are induced to question why our primeval impulses so easily transcend our humanity .	1	-1	 reprising[0] joe'[0] s[0] line[0] at[0] the[0] train[0] station[0] we[0] are[0] induced[0] to[0] question[0] why[0] our[0] primeval[0] impulses[0] so[0] easily[0] transcend[0] our[0] humanity[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
