the question isn't why has grease been reissued . 	Translation	Positive	Negative	EmotionRationale
secondly , a lack of talent . 	secondly , a lack of talent .	2	-2	 secondly[0] a[0] lack[-1] of[0] talent[1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
performers with the charisma , the style , the larger-than-life panache of fred astaire , gene kelly , ginger rogers and judy garland are gone . 	performers with the charisma , the style , the larger-than-life panache of fred astaire , gene kelly , ginger rogers and judy garland are gone .	1	-1	 performers[0] with[0] the[0] charisma[0] the[0] style[0] the[0] larger[0] than[0] life[0] panache[0] of[0] fred[0] astaire[0] gene[0] kelly[0] ginger[0] rogers[0] and[0] judy[0] garland[0] are[0] gone[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
most singers and dancers remain on the stage , and those who do succeed in movies usually wind up in serious dramatic parts . 	most singers and dancers remain on the stage , and those who do succeed in movies usually wind up in serious dramatic parts .	3	-2	 most[0] singers[0] and[0] dancers[0] remain[0] on[0] the[0] stage[0] and[0] those[0] who[0] do[0] succeed[2] in[0] movies[0] usually[0] wind[0] up[0] in[0] serious[-1] dramatic[0] parts[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
a good example is gregory hines , one of the greatest dancers in the world . 	a good example is gregory hines , one of the greatest dancers in the world .	3	-1	 a[0] good[1] example[0] is[0] gregory[0] hines[0] one[0] of[0] the[0] greatest[2] dancers[0] in[0] the[0] world[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
he danced a bit in the cotton club , tap and white nights , but those were essentially dramatic vehicles . 	he danced a bit in the cotton club , tap and white nights , but those were essentially dramatic vehicles .	1	-1	 he[0] danced[0] a[0] bit[0] in[0] the[0] cotton[0] club[0] tap[0] and[0] white[0] nights[0] but[0] those[0] were[0] essentially[0] dramatic[0] vehicles[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
so , perhaps the reissue of grease can serve a purpose . 	so , perhaps the reissue of grease can serve a purpose .	1	-1	 so[0] perhaps[0] the[0] reissue[0] of[0] grease[0] can[0] serve[0] a[0] purpose[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
if audiences show enough interest , meaning if the re-release earns the studio enough revenue , it may spark a revival in movie musicals . 	if audiences show enough interest , meaning if the re-release earns the studio enough revenue , it may spark a revival in movie musicals .	2	-1	 if[0] audiences[0] show[0] enough[0] interest[1] meaning[0] if[0] the[0] re[0] release[0] earns[0] the[0] studio[0] enough[0] revenue[0] it[0] may[0] spark[0] a[0] revival[0] in[0] movie[0] musicals[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
perhaps not original musicals such as singin' in the rain , an american in paris or seven brides for seven brothers , but for broadway properties that have been in the planning stages for film adaptations for several years . 	perhaps not original musicals such as singin' in the rain , an american in paris or seven brides for seven brothers , but for broadway properties that have been in the planning stages for film adaptations for several years .	1	-1	 perhaps[0] not[0] original[0] musicals[0] such[0] as[0] singin'[0] in[0] the[0] rain[0] an[0] american[0] in[0] paris[0] or[0] seven[0] brides[0] for[0] seven[0] brothers[0] but[0] for[0] broadway[0] properties[0] that[0] have[0] been[0] in[0] the[0] planning[0] stages[0] for[0] film[0] adaptations[0] for[0] several[0] years[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
at one time or another , according to the industry rumor mill , hollywood has been set to create an animated version of andrew lloyd webber's cats , a filming of the popular phantom of the opera as well as les miserables and chicago , the latter reportedly to star madonna . 	at one time or another , according to the industry rumor mill , hollywood has been set to create an animated version of andrew lloyd webber's cats , a filming of the popular phantom of the opera as well as les miserables and chicago , the latter reportedly to star madonna .	1	-3	 at[0] one[0] time[0] or[0] another[0] according[0] to[0] the[0] industry[0] rumor[-1] mill[0] hollywood[0] has[0] been[0] set[0] to[0] create[0] an[0] animated[0] version[0] of[0] andrew[0] lloyd[0] webber's[0] cats[0] a[0] filming[0] of[0] the[0] popular[0] phantom[0] of[0] the[0] opera[0] as[0] well[0] as[0] les[0] miserables[-2] and[0] chicago[0] the[0] latter[0] reportedly[0] to[0] star[0] madonna[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
so , let this grease be the forerunner of an armada of movie musicals . 	so , let this grease be the forerunner of an armada of movie musicals .	1	-1	 so[0] let[0] this[0] grease[0] be[0] the[0] forerunner[0] of[0] an[0] armada[0] of[0] movie[0] musicals[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
let grease be the word that sparks this revival . 	let grease be the word that sparks this revival .	1	-1	 let[0] grease[0] be[0] the[0] word[0] that[0] sparks[0] this[0] revival[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
