hedwig and the angry inch ( 2001 ) john cameron mitchell , miriam shor , stephen trask , michael pitt , theodore liscinski , michael aronov , andrea martin , maurice dean wint , ben mayer-goodman . 	Translation	Positive	Negative	EmotionRationale
i was so busy trying to keep up with national releases like " summer catch " and " bubble boy " that i passed over any independent film that looked like it would only have a short local run . 	i was so busy trying to keep up with national releases like " summer catch " and " bubble boy " that i passed over any independent film that looked like it would only have a short local run .	2	-1	 i[0] was[0] so[0] busy[0] trying[0] to[0] keep[0] up[0] with[0] national[0] releases[0] like[1] summer[0] catch[0] and[0] bubble[0] boy[0] that[0] i[0] passed[0] over[0] any[0] independent[0] film[0] that[0] looked[0] like[1] it[0] would[0] only[0] have[0] a[0] short[0] local[0] run[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
but an e-mail from a reader asking why i hadn't reviewed the movie prompted me to make a late evening trip to the theater . 	but an e-mail from a reader asking why i hadn't reviewed the movie prompted me to make a late evening trip to the theater .	1	-1	 but[0] an[0] e[0] mail[0] from[0] a[0] reader[0] asking[0] why[0] i[0] hadn't[0] reviewed[0] the[0] movie[0] prompted[0] me[0] to[0] make[0] a[0] late[0] evening[0] trip[0] to[0] the[0] theater[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
thank goodness for readers like him . 	thank goodness for readers like him .	3	-1	 thank[1] goodness[2] for[0] readers[0] like[1] him[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
 " hedwig and the angry inch " is a gender-bending glam-rock spectacular packed with great songs . 	 " hedwig and the angry inch " is a gender-bending glam-rock spectacular packed with great songs .	3	-4	 hedwig[0] and[0] the[0] angry[-3] inch[0] is[0] a[0] gender[0] bending[0] glam[0] rock[1] spectacular[0] packed[0] with[0] great[2] songs[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
stylistically , the hook-laden tunes are reminiscent of bowie , " bat out of hell " era meatloaf and " the rocky horror show , " without ever seeming like imitations . 	stylistically , the hook-laden tunes are reminiscent of bowie , " bat out of hell " era meatloaf and " the rocky horror show , " without ever seeming like imitations .	2	-4	 stylistically[0] the[0] hook[0] laden[0] tunes[0] are[0] reminiscent[0] of[0] bowie[0] bat[0] out[0] of[0] hell[-1] era[0] meatloaf[0] and[0] the[0] rocky[0] horror[-3] show[0] without[0] ever[0] seeming[0] like[1] imitations[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
as with " tommy , " " hedwig " tells a story of isolation , pain and defiance , but without the bloated feel of that beloved , but overrated rock opera . 	as with " tommy , " " hedwig " tells a story of isolation , pain and defiance , but without the bloated feel of that beloved , but overrated rock opera .	3	-4	 as[0] with[0] tommy[0] hedwig[0] tells[0] a[0] story[0] of[0] isolation[-1] pain[-3] and[0] defiance[-1] but[0] without[0] the[0] bloated[0] feel[0] of[0] that[0] beloved[2] but[0] overrated[0] rock[1] opera[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
writer-director-star john cameron mitchell and composer-lyricist stephen trask have cooked up a real winner . 	writer-director-star john cameron mitchell and composer-lyricist stephen trask have cooked up a real winner .	2	-1	 writer[0] director[0] star[0] john[0] cameron[0] mitchell[0] and[0] composer[0] lyricist[0] stephen[0] trask[0] have[0] cooked[0] up[0] a[0] real[0] winner[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
mitchell stars as hedwig , a singer from east berlin touring a chain of u . s . coffee shops with her pan-slavic band , the angry inch . 	mitchell stars as hedwig , a singer from east berlin touring a chain of you .<br> s .<br> coffee shops with her pan-slavic band , the angry inch .	1	-4	 mitchell[0] stars[0] as[0] hedwig[0] a[0] singer[0] from[0] east[0] berlin[0] touring[0] a[0] chain[0] of[0] u[0] [[Sentence=-1,1=word max, 1-5]] s[0] [[Sentence=-1,1=word max, 1-5]] coffee[0] shops[0] with[0] her[0] pan[0] slavic[0] band[0] the[0] angry[-3] inch[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
while the patrons of the run-down restaurants look on in shock , and sometimes horror , hedwig boldly tells the sad story of her life in song . 	while the patrons of the run-down restaurants look on in shock , and sometimes horror , hedwig boldly tells the sad story of her life in song .	1	-4	 while[0] the[0] patrons[0] of[0] the[0] run[0] down[0] restaurants[0] look[0] on[0] in[0] shock[-2] and[0] sometimes[0] horror[-3][--1 LastWordBoosterStrength] hedwig[0] boldly[0] tells[0] the[0] sad[-3] story[0] of[0] her[0] life[0] in[0] song[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
she was once a boy named hansel ( ben mayer-goodman ) , living with his mother ( alberta watson ) and listening to rock and roll on american armed forces radio . 	she was once a boy named hansel ( ben mayer-goodman ) , living with his mother ( alberta watson ) and listening to rock and roll on american armed forces radio .	2	-1	 she[0] was[0] once[0] a[0] boy[0] named[0] hansel[0] ben[0] mayer[0] goodman[0] living[0] with[0] his[0] mother[0] alberta[0] watson[0] and[0] listening[0] to[0] rock[1] and[0] roll[0] on[0] american[0] armed[0] forces[0] radio[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
life is an exercise in duality for hansel . 	life is an exercise in duality for hansel .	1	-1	 life[0] is[0] an[0] exercise[0] in[0] duality[0] for[0] hansel[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
a wall splits his hometown into two parts . 	a wall splits his hometown into two parts .	1	-1	 a[0] wall[0] splits[0] his[0] hometown[0] into[0] two[0] parts[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
mother describes love as the emotion that comes when you find your other half . 	mother describes love as the emotion that comes when you find your other half .	3	-1	 mother[0] describes[0] love[2] as[0] the[0] emotion[0] that[0] comes[0] when[0] you[0] find[0] your[0] other[0] half[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
as hansel grows up , the duality becomes more pronounced . 	as hansel grows up , the duality becomes more pronounced .	1	-1	 as[0] hansel[0] grows[0] up[0] the[0] duality[0] becomes[0] more[0] pronounced[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
after initially mistaking him for a girl , a gi from the states ( maurice dean wint ) falls in love with hansel and wants to marry him . 	after initially mistaking him for a girl , a gi from the states ( maurice dean wint ) falls in love with hansel and wants to marry him .	3	-2	 after[0] initially[0] mistaking[-1] him[0] for[0] a[0] girl[0] a[0] gi[0] from[0] the[0] states[0] maurice[0] dean[0] wint[0] falls[0] in[0] love[2] with[0] hansel[0] and[0] wants[0] to[0] marry[0] him[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
alas , hansel will never pass the mandatory physical . 	alas , hansel will never pass the mandatory physical .	1	-2	 alas[-1] hansel[0] will[0] never[0] pass[0] the[0] mandatory[0] physical[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
mother helpfully suggests a sex change , but the operation goes bad , hence the references to " the angry inch " ( yes , i know this part is squirm-inducing , but stick with me - it's worth it ) . 	mother helpfully suggests a sex change , but the operation goes bad , hence the references to " the angry inch " ( yes , i know this part is squirm-inducing , but stick with me - it's worth it ) .	2	-4	 mother[0] helpfully[1] suggests[0] a[0] sex[0] change[0] but[0] the[0] operation[0] goes[0] bad[-1] hence[0] the[0] references[0] to[0] the[0] angry[-3] inch[0] yes[0] i[0] know[0] this[0] part[0] is[0] squirm[-2] inducing[0] but[0] stick[0] with[0] me[0] it's[0] worth[0] it[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
several years later , mr . right is long gone and hansel becomes hedwig , decked out in a farrah fawcett-style wig and fronting a band made up of korean women . 	several years later , mr .<br> right is long gone and hansel becomes hedwig , decked out in a farrah fawcett-style wig and fronting a band made up of korean women .	1	-1	 several[0] years[0] later[0] mr[0] [[Sentence=-1,1=word max, 1-5]] right[0] is[0] long[0] gone[0] and[0] hansel[0] becomes[0] hedwig[0] decked[0] out[0] in[0] a[0] farrah[0] fawcett[0] style[0] wig[0] and[0] fronting[0] a[0] band[0] made[0] up[0] of[0] korean[0] women[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
hedwig finds a new love in tommy ( michael pitt ) , a beatific lad with a unique take on christianity . 	hedwig finds a new love in tommy ( michael pit ) , a beatific lad with a unique take on christianity .	3	-1	 hedwig[0] finds[0] a[0] new[0] love[2] in[0] tommy[0] michael[0] pitt/pit[0] a[0] beatific[0] lad[0] with[0] a[0] unique[0] take[0] on[0] christianity[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
but tommy does hedwig wrong , stealing her songs and becoming a superstar . 	but tommy does hedwig wrong , stealing her songs and becoming a superstar .	1	-3	 but[0] tommy[0] does[0] hedwig[0] wrong[-1] stealing[-2] her[0] songs[0] and[0] becoming[0] a[0] superstar[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
cut to the present . 	cut to the present .	1	-1	 cut[0] to[0] the[0] present[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
tommy gnosis' stadium tour is thriving and hedwig is suing him . 	tommy gnosis' stadium tour is thriving and hedwig is suing him .	1	-1	 tommy[0] gnosis'[0] stadium[0] tour[0] is[0] thriving[0] and[0] hedwig[0] is[0] suing[0] him[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
despite warnings from her manager ( andrea martin ) that she could easily be labeled a stalker , hegwig and her new band , the angry inch , continue their coffee shop tour , shadowing the thief by playing whatever city he is in . 	despite warnings from her manager ( andrea martin ) that she could easily be labeled a stalker , hegwig and her new band , the angry inch , continue their coffee shop tour , shadowing the thief by playing whatever city he is in .	2	-4	 despite[0] warnings[0] from[0] her[0] manager[0] andrea[0] martin[0] that[0] she[0] could[0] easily[0] be[0] labeled[0] a[0] stalker[0] hegwig[0] and[0] her[0] new[0] band[0] the[0] angry[-3] inch[0] continue[0] their[0] coffee[0] shop[0] tour[0] shadowing[0] the[0] thief[-1] by[0] playing[1] whatever[0] city[0] he[0] is[0] in[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
if this sounds like a bizarre premise for a rock musical , take a few seconds and consider the plotlines of " tommy " and " rocky horror . " 	if this sounds like a bizarre premise for a rock musical , take a few seconds and consider the plotlines of " tommy " and " rocky horror .<br> "	2	-4	 if[0] this[0] sounds[0] like[1] a[0] bizarre[-1] premise[0] for[0] a[0] rock[1] musical[0] take[0] a[0] few[0] seconds[0] and[0] consider[0] the[0] plotlines[0] of[0] tommy[0] and[0] rocky[0] horror[-3] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
as hedwig , john cameron mitchell does a magnificent job taking a character that could have simply been a caricature or an icon and turning her into a compelling human being . 	as hedwig , john cameron mitchell does a magnificent job taking a character that could have simply been a caricature or an icon and turning her into a compelling human being .	4	-1	 as[0] hedwig[0] john[0] cameron[0] mitchell[0] does[0] a[0] magnificent[3] job[0] taking[0] a[0] character[0] that[0] could[0] have[0] simply[0] been[0] a[0] caricature[0] or[0] an[0] icon[0] and[0] turning[0] her[0] into[0] a[0] compelling[0] human[0] being[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
mitchell has world-class style and vocal chords to match . 	mitchell has world-class style and vocal chords to match .	1	-1	 mitchell[0] has[0] world[0] class[0] style[0] and[0] vocal[0] chords[0] to[0] match[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
even though the backstory is unusually strong , mitchell never forgets that the production is first and foremost a rock musical . 	even though the backstory is unusually strong , mitchell never forgets that the production is first and foremost a rock musical .	2	-1	 even[0] though[0] the[0] backstory[0] is[0] unusually[0] strong[0] mitchell[0] never[0] forgets[0] that[0] the[0] production[0] is[0] first[0] and[0] foremost[0] a[0] rock[1] musical[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
everything is propelled by one terrific song after another and , trust me , these are full-fledged rock songs , not the over-processed fluff that passes for rock in most musicals . 	everything is propelled by one terrific song after another and , trust me , these are full-fledged rock songs , not the over-processed fluff that passes for rock in most musicals .	4	-1	 everything[0] is[0] propelled[0] by[0] one[0] terrific[3] song[0] after[0] another[0] and[0] trust[1] me[0] these[0] are[0] full[0] fledged[0] rock[1] songs[0] not[0] the[0] over[0] processed[0] fluff[0] that[0] passes[0] for[0] rock[1] in[0] most[0] musicals[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
while mitchell remains in the center of the stage throughout the film , there is much of interest on the sidelines . 	while mitchell remains in the center of the stage throughout the film , there is much of interest on the sidelines .	2	-1	 while[0] mitchell[0] remains[0] in[0] the[0] center[0] of[0] the[0] stage[0] throughout[0] the[0] film[0] there[0] is[0] much[0] of[0] interest[1] on[0] the[0] sidelines[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
miriam shor does fine work as yitzhak , hedwig's lover and bandmate , conveying a great deal through expressions alone . 	miriam shor does fine work as yitzhak , hedwig's lover and bandmate , conveying a great deal through expressions alone .	4	-1	 miriam[0] shor[0] does[0] fine[2] work[0] as[0] yitzhak[0] hedwig's[0] lover[3] and[0] bandmate[0] conveying[0] a[0] great[2] deal[0] through[0] expressions[0] alone[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
decked out in a bandanna and a surprisingly convincing beard , she makes a mighty attractive man . 	decked out in a bandanna and a surprisingly convincing beard , she makes a mighty attractive man .	2	-1	 decked[0] out[0] in[0] a[0] bandanna[0] and[0] a[0] surprisingly[0] convincing[0] beard[0] she[0] makes[0] a[0] mighty[0] attractive[1] man[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
as always , " sctv " veteran andrea martin is a welcome presence onscreen and michael pitt is beguiling as tommy , the angelic-appearing little rat . 	as always , " sctv " veteran andrea martin is a welcome presence onscreen and michael pit is beguiling as tommy , the angelic-appearing little rat .	2	-2	 as[0] always[0] sctv[0] veteran[0] andrea[0] martin[0] is[0] a[0] welcome[1] presence[0] onscreen[0] and[0] michael[0] pitt/pit[0] is[0] beguiling[0] as[0] tommy[0] the[0] angelic[1] appearing[0] little[0] rat[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
artist emily hubley adds to the magic with a string of dandy animated sequences that charm the eye while underlining the central themes of the musical . 	artist emily hubley adds to the magic with a string of dandy animated sequences that charm the eye while underlining the central themes of the musical .	2	-1	 artist[0] emily[0] hubley[0] adds[0] to[0] the[0] magic[0] with[0] a[0] string[0] of[0] dandy[0] animated[0] sequences[0] that[0] charm[1] the[0] eye[0] while[0] underlining[0] the[0] central[0] themes[0] of[0] the[0] musical[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
 " hedwig and the angry inch " surrounds a weird , funny and touching story with a knockout series of songs performed by an exceptional cast . 	 " hedwig and the angry inch " surrounds a weird , funny and touching story with a knockout series of songs performed by an exceptional cast .	2	-4	 hedwig[0] and[0] the[0] angry[-3] inch[0] surrounds[0] a[0] weird[-1] funny[1] and[0] touching[0] story[0] with[0] a[0] knockout[0] series[0] of[0] songs[0] performed[0] by[0] an[0] exceptional[0] cast[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
true originals do not come along very often ? don't let this slip out of town without seeing it . 	true originals do not come along very often ?<br> don't let this slip out of town without seeing it .	2	-1	 true[1] originals[0] do[0] not[0] come[0] along[0] very[0] often[0] [[Sentence=-1,2=word max, 1-5]] don't[0] let[0] this[0] slip[0] out[0] of[0] town[0] without[0] seeing[0] it[0] [[Sentence=-1,1=word max, 1-5]][[[2,-1 max of sentences]]]
