kadosh means sacred in hebrew . 	Translation	Positive	Negative	EmotionRationale
the film opens as meir rises at dawn and goes through his prayer ritual , where every prayer is made to the virtues of god . 	the film opens as meir rises at dawn and goes through his prayer ritual , where every prayer is made to the virtues of god .	3	-1	 the[0] film[0] opens[0] as[0] meir[0] rises[0] at[0] dawn[0] and[0] goes[0] through[0] his[0] prayer[0] ritual[0] where[0] every[0] prayer[0] is[0] made[0] to[0] the[0] virtues[2] of[0] god[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
he even thanks god that he didn't make him a woman . 	he even thanks god that he didn't make him a woman .	2	-1	 he[0] even[0] thanks[1] god[0] that[0] he[0] didn't[0] make[0] him[0] a[0] woman[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
his wife rivka accepts the fate she was born into and looks at him from the next bed where she sleeps separately according to hasidic custom . 	his wife rivka accepts the fate she was born into and looks at him from the next bed where she sleeps separately according to hasidic custom .	1	-1	 his[0] wife[0] rivka[0] accepts[0] the[0] fate[0] she[0] was[0] born[0] into[0] and[0] looks[0] at[0] him[0] from[0] the[0] next[0] bed[0] where[0] she[0] sleeps[0] separately[0] according[0] to[0] hasidic[0] custom[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
she looks at him with glistening eyes , not questioning the laws or rebelling against her secondary role and how her religion keeps her from studying the talmud and having all the modern conveniences of life , and from seeing movies and tv . 	she looks at him with glistening eyes , not questioning the laws or rebelling against her secondary role and how her religion keeps her from studying the talmud and having all the modern conveniences of life , and from seeing movies and tv .	1	-2	 she[0] looks[0] at[0] him[0] with[0] glistening[0] eyes[0] not[0] questioning[0] the[0] laws[0] or[0] rebelling[-1] against[-1] her[0] secondary[0] role[0] and[0] how[0] her[0] religion[0] keeps[0] her[0] from[0] studying[0] the[0] talmud[0] and[0] having[0] all[0] the[0] modern[0] conveniences[0] of[0] life[0] and[0] from[0] seeing[0] movies[0] and[0] tv[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
meir is a talmudic scholar . 	meir is a talmudic scholar .	1	-1	 meir[0] is[0] a[0] talmudic[0] scholar[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
his father ( abu warda ) is a rabbi at the yeshiva . 	his father ( abu warda ) is a rabbi at the yeshiva .	1	-1	 his[0] father[0] abu[0] warda[0] is[0] a[0] rabbi[0] at[0] the[0] yeshiva[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he has been married for ten years and his wife has not been able to give him a child . 	he has been married for ten years and his wife has not been able to give him a child .	1	-1	 he[0] has[0] been[0] married[0] for[0] ten[0] years[0] and[0] his[0] wife[0] has[0] not[0] been[0] able[0] to[0] give[0] him[0] a[0] child[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
since the hasidim look upon a woman's role in life being only to conceive children , and cook and clean house for the man , while the man's role is to spend his time in prayer , therefore there is an insurmountable problem in this otherwise loving marriage . 	since the hasidim look upon a woman's role in life being only to conceive children , and cook and clean house for the man , while the man's role is to spend his time in prayer , therefore there is an insurmountable problem in this otherwise loving marriage .	4	-2	 since[0] the[0] hasidim[0] look[0] upon[0] a[0] woman's[0] role[0] in[0] life[0] being[0] only[0] to[0] conceive[0] children[0] and[0] cook[0] and[0] clean[0] house[0] for[0] the[0] man[0] while[0] the[0] man's[0] role[0] is[0] to[0] spend[0] his[0] time[0] in[0] prayer[0] therefore[0] there[0] is[0] an[0] insurmountable[0] problem[-1] in[0] this[0] otherwise[0] loving[3] marriage[0] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
she receives an anonymous letter that states " a woman without a child is no better than dead . " 	she receives an anonymous letter that states " a woman without a child is no better than dead .<br> "	1	-3	 she[0] receives[0] an[0] anonymous[0] letter[0] that[0] states[0] a[0] woman[0] without[0] a[0] child[0] is[0] no[0] better[0] than[0] dead[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
meir's response , is that it is written like that in the talmud . 	meir's response , is that it is written like that in the talmud .	2	-1	 meir's[0] response[0] is[0] that[0] it[0] is[0] written[0] like[1] that[0] in[0] the[0] talmud[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
meir's father tells him that the marriage contract must be broken : " a man who dies without progeny rips a page from the torah . " 	meir's father tells him that the marriage contract must be broken : " a man who dies without progeny rips a page from the torah .<br> "	1	-2	 meir's[0] father[0] tells[0] him[0] that[0] the[0] marriage[0] contract[0] must[0] be[0] broken[-1] a[0] man[0] who[0] dies[0] without[0] progeny[0] rips[0] a[0] page[0] from[0] the[0] torah[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
all the blame is placed on rivka , who is thought of as unpure as the reason for her being barren . 	all the blame is placed on rivka , who is thought of as unpure as the reason for her being barren .	1	-2	 all[0] the[0] blame[-1] is[0] placed[0] on[0] rivka[0] who[0] is[0] thought[0] of[0] as[0] unpure[0] as[0] the[0] reason[0] for[0] her[0] being[0] barren[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
she will go through countless ritual baths to cleanse herself , as her rigid mother ( koenig ) dunks her in the holy water and says a ritual prayer for the 12 times she is dunked as an homage to the 12 tribes of israel . 	she will go through countless ritual baths to cleanse herself , as her rigid mother ( koenig ) dunks her in the holy water and says a ritual prayer for the 12 times she is dunked as an homage to the 12 tribes of israel .	1	-2	 she[0] will[0] go[0] through[0] countless[0] ritual[0] baths[0] to[0] cleanse[0] herself[0] as[0] her[0] rigid[-1] mother[0] koenig[0] dunks[0] her[0] in[0] the[0] holy[0] water[0] and[0] says[0] a[0] ritual[0] prayer[0] for[0] the[0] 12[0] times[0] she[0] is[0] dunked[0] as[0] an[0] homage[0] to[0] the[0] 12[0] tribes[0] of[0] israel[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
their religion doesn't permit them to be examined extensively by a doctor . 	their religion doesn't permit them to be examined extensively by a doctor .	1	-1	 their[0] religion[0] doesn't[0] permit[0] them[0] to[0] be[0] examined[0] extensively[0] by[0] a[0] doctor[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
rivka goes on the sly and finds out that it is her husband who is sterile , but she cannot tell him that because of their religion . 	rivka goes on the sly and finds out that it is her husband who is sterile , but she cannot tell him that because of their religion .	1	-2	 rivka[0] goes[0] on[0] the[0] sly[-1] and[0] finds[0] out[0] that[0] it[0] is[0] her[0] husband[0] who[0] is[0] sterile[0] but[0] she[0] cannot[0] tell[0] him[0] that[0] because[0] of[0] their[0] religion[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
so when meir's father chooses a younger woman for his son , she is exiled to live alone in a cold apartment in the same jewish quarters . 	so when meir's father chooses a younger woman for his son , she is exiled to live alone in a cold apartment in the same jewish quarters .	1	-2	 so[0] when[0] meir's[0] father[0] chooses[0] a[0] younger[0] woman[0] for[0] his[0] son[0] she[0] is[0] exiled[-1] to[0] live[0] alone[0] in[0] a[0] cold[-1] apartment[0] in[0] the[0] same[0] jewish[0] quarters[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
rivka's spirited younger sister malka does not want to get married but wants to live a more liberated life . 	rivka's spirited younger sister malka does not want to get married but wants to live a more liberated life .	1	-1	 rivka's[0] spirited[0] younger[0] sister[0] malka[0] does[0] not[0] want[0] to[0] get[0] married[0] but[0] wants[0] to[0] live[0] a[0] more[0] liberated[0] life[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
she has a long time romantic relationship with a fellow hasidic yaakov . 	she has a long time romantic relationship with a fellow hasidic yakov .	4	-1	 she[0] has[0] a[0] long[0] time[0] romantic[3] relationship[0] with[0] a[0] fellow[0] hasidic[0] yaakov/yakov[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
but , because of the way they were both raised , she is still a virgin . 	but , because of the way they were both raised , she is still a virgin .	1	-1	 but[0] because[0] of[0] the[0] way[0] they[0] were[0] both[0] raised[0] she[0] is[0] still[0] a[0] virgin[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
when yaakov joined the israeli army to fight in lebanon , something his sect is not allowed to do , he is thereby banished from the sect even though he is still a believer . 	when yakov joined the israeli army to fight in lebanon , something his sect is not allowed to do , he is thereby banished from the sect even though he is still a believer .	1	-3	 when[0] yaakov/yakov[0] joined[0] the[0] israeli[0] army[0] to[0] fight[-2] in[0] lebanon[0] something[0] his[0] sect[0] is[0] not[0] allowed[0] to[0] do[0] he[0] is[0] thereby[0] banished[-1] from[0] the[0] sect[0] even[0] though[0] he[0] is[0] still[0] a[0] believer[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
he now works as a singer in a nightclub . 	he now works as a singer in a nightclub .	1	-1	 he[0] now[0] works[0] as[0] a[0] singer[0] in[0] a[0] nightclub[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
malka's mother is worried that her daughter won't get married , so she arranges with the rabbi for her to marry yossef , someone whom she doesn't love . 	malka's mother is worried that her daughter won't get married , so she arranges with the rabbi for her to marry yossef , someone whom she doesn't love .	3	-4	 malka's[0] mother[0] is[0] worried[-3] that[0] her[0] daughter[0] won't[0] get[0] married[0] so[0] she[0] arranges[0] with[0] the[0] rabbi[0] for[0] her[0] to[0] marry[0] yossef[0] someone[0] whom[0] she[0] doesn't[0] love[2] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
yossef is a very stern follower of the order , he is also a political activist who drives around the city in a sound-truck with a bull-horn urging jews to stick together and fight their godless enemies . 	yossef is a very stern follower of the order , he is also a political activist who drives around the city in a sound-truck with a bull-horn urging jews to stick together and fight their godless enemies .	1	-3	 yossef[0] is[0] a[0] very[0] stern[-1][-1 LastWordBoosterStrength] follower[0] of[0] the[0] order[0] he[0] is[0] also[0] a[0] political[0] activist[0] who[0] drives[0] around[0] the[0] city[0] in[0] a[0] sound[0] truck[0] with[0] a[0] bull[0] horn[0] urging[0] jews[0] to[0] stick[0] together[0] and[0] fight[-2] their[0] godless[0] enemies[-1] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the two sisters are close and languidly discuss their options , with rivka telling her sister to accept the marriage , it will make her happy ; but , while malka is reluctantly forced into accepting it , she has other plans to ruin this bogus marriage . 	the two sisters are close and languidly discuss their options , with rivka telling her sister to accept the marriage , it will make her happy ; but , while malka is reluctantly forced into accepting it , she has other plans to ruin this bogus marriage .	2	-2	 the[0] two[0] sisters[0] are[0] close[0] and[0] languidly[0] discuss[0] their[0] options[0] with[0] rivka[0] telling[0] her[0] sister[0] to[0] accept[0] the[0] marriage[0] it[0] will[0] make[0] her[0] happy[1] but[0] while[0] malka[0] is[0] reluctantly[-1] forced[0] into[0] accepting[0] it[0] she[0] has[0] other[0] plans[0] to[0] ruin[-1] this[0] bogus[-1] marriage[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the harshest scene in the film is on malka's wedding night . 	the harshest scene in the film is on malka's wedding night .	1	-1	 the[0] harshest[0] scene[0] in[0] the[0] film[0] is[0] on[0] malka's[0] wedding[0] night[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
yossef prays to god for a child and then robotically gets malka to spread her legs , and without the least bit of affection , only a nervousness shown on his part for the function he supplies , as he goes inside her and rams her hard , thrusting away until the act is completed and then retiring without a word or gesture of love . 	yossef prays to god for a child and then robotically gets malka to spread her legs , and without the least bit of affection , only a nervousness shown on his part for the function he supplies , as he goes inside her and rams her hard , thrusting away until the act is completed and then retiring without a word or gesture of love .	3	-3	 yossef[0] prays[0] to[0] god[0] for[0] a[0] child[0] and[0] then[0] robotically[0] gets[0] malka[0] to[0] spread[0] her[0] legs[0] and[0] without[0] the[0] least[0] bit[0] of[0] affection[2] only[0] a[0] nervousness[-2] shown[0] on[0] his[0] part[0] for[0] the[0] function[0] he[0] supplies[0] as[0] he[0] goes[0] inside[0] her[0] and[0] rams[0] her[0] hard[0] thrusting[0] away[0] until[0] the[0] act[0] is[0] completed[0] and[0] then[0] retiring[0] without[0] a[0] word[0] or[0] gesture[0] of[0] love[2] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
the sisters have choices , like everyone else in life does . 	the sisters have choices , like everyone else in life does .	2	-1	 the[0] sisters[0] have[0] choices[0] like[1] everyone[0] else[0] in[0] life[0] does[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
but the choices are obliterated by one's beliefs , circumstances , and inward nature , and how difficult it is to carry out those choices if it goes completely against the way one is brought up . 	but the choices are obliterated by one's beliefs , circumstances , and inward nature , and how difficult it is to carry out those choices if it goes completely against the way one is brought up .	1	-3	 but[0] the[0] choices[0] are[0] obliterated[-1] by[0] one's[0] beliefs[0] circumstances[0] and[0] inward[0] nature[0] and[0] how[0] difficult[-1] it[0] is[0] to[0] carry[0] out[0] those[0] choices[0] if[0] it[0] goes[0] completely[0] against[-1][-1 LastWordBoosterStrength] the[0] way[0] one[0] is[0] brought[0] up[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
for the sisters , the choices are life or death ones . 	for the sisters , the choices are life or death ones .	1	-3	 for[0] the[0] sisters[0] the[0] choices[0] are[0] life[0] or[0] death[-2] ones[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
gitai by closing in on the daily rituals , tight living quarters and close-knit community , has shown how difficult these choices are for those who have never seen another world and have been kept in the dark all their life . 	gitai by closing in on the daily rituals , tight living quarters and close-knit community , has shown how difficult these choices are for those who have never seen another world and have been kept in the dark all their life .	1	-2	 gitai[0] by[0] closing[0] in[0] on[0] the[0] daily[0] rituals[0] tight[0] living[0] quarters[0] and[0] close[0] knit[0] community[0] has[0] shown[0] how[0] difficult[-1] these[0] choices[0] are[0] for[0] those[0] who[0] have[0] never[0] seen[0] another[0] world[0] and[0] have[0] been[0] kept[0] in[0] the[0] dark[0] all[0] their[0] life[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the film ends with the forlorn malka walking atop of jerusalem and looking down upon it as an outsider would , and everything seems strange to her , all the things she once thought of as being set in stone are now harsh memories , as she has made her choice , and the price of that choice is very heavy indeed . 	the film ends with the forlorn malka walking atop of jerusalem and looking down upon it as an outsider would , and everything seems strange to her , all the things she once thought of as being set in stone are now harsh memories , as she has made her choice , and the price of that choice is very heavy indeed .	1	-3	 the[0] film[0] ends[0] with[0] the[0] forlorn[-2] malka[0] walking[0] atop[0] of[0] jerusalem[0] and[0] looking[0] down[0] upon[0] it[0] as[0] an[0] outsider[-1] would[0] and[0] everything[0] seems[0] strange[0] to[0] her[0] all[0] the[0] things[0] she[0] once[0] thought[0] of[0] as[0] being[0] set[0] in[0] stone[0] are[0] now[0] harsh[-1] memories[0] as[0] she[0] has[0] made[0] her[0] choice[0] and[0] the[0] price[0] of[0] that[0] choice[0] is[0] very[0] heavy[0] indeed[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
