>from the man who presented us with henry : the portrait of a serial killer ( 6 . 5/10 ) 	Translation	Positive	Negative	EmotionRationale
denise richards ( from starship troopers ( 7/10 ) fame ) solidifies herself as hollywood's jelly-donut pinup girl of the moment , and proves that all breast implants needn't lead to lawsuits . 	denise richards ( from starship troopers ( 7/10 ) fame ) solidifies herself as hollywood's jelly-donut pinup girl of the moment , and proves that all breast implants needn't lead to lawsuits .	1	-1	 denise[0] richards[0] from[0] starship[0] troopers[0] 7/10[0] fame[0] solidifies[0] herself[0] as[0] hollywood's[0] jelly[0] donut[0] pinup[0] girl[0] of[0] the[0] moment[0] and[0] proves[0] that[0] all[0] breast[0] implants[0] needn't[0] lead[0] to[0] lawsuits[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
bacon is solid , and so is dillon ( while continuing to prove his inability to age to the whole wide wondering world ! ! ) . 	bacon is solid , and so is dillon ( while continuing to prove his inability to age to the whole wide wondering world !<br> !<br> ) .	1	-2	 bacon[0] is[0] solid[0] and[0] so[0] is[0] dillon[0] while[0] continuing[0] to[0] prove[0] his[0] inability[-1] to[0] age[0] to[0] the[0] whole[0] wide[0] wondering[0] world[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
sprinkle the story with a bunch o' shots of alligators peeking through the swamp waters , bacon showing the world the size of his ding-dong ( do we really need to see this ? ? ) , a couple of lesbian kissing scenes , and a menage-a-trois , and you've got yourself a decent time at the movie theatre . 	sprinkle the story with a bunch o' shots of alligators peeking through the swamp waters , bacon showing the world the size of his ding-dong ( do we really need to see this ?<br> ?<br> ) , a couple of lesbian kissing scenes , and a menage-a-trois , and you've got yourself a decent time at the movie theatre .	3	-1	 sprinkle[0] the[0] story[0] with[0] a[0] bunch[0] o'[0] shots[0] of[0] alligators[0] peeking[0] through[0] the[0] swamp[0] waters[0] bacon[0] showing[0] the[0] world[0] the[0] size[0] of[0] his[0] ding[0] dong[0] do[0] we[0] really[0] need[0] to[0] see[0] this[0] [[Sentence=-1,1=word max, 1-5]] a[0] couple[0] of[0] lesbian[0] kissing[2] scenes[0] and[0] a[0] menage[0] a[0] trois[0] and[0] you've[0] got[0] yourself[0] a[0] decent[0] time[0] at[0] the[0] movie[0] theatre[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
on the down side , the soundtrack was not as prominent ( or slick ) as i thought it would be , and theresa russell ( real name : theresa paup ) seems to have lost her way in every which way possible . . . . ooooh , 	on the down side , the soundtrack was not as prominent ( or slick ) as i thought it would be , and theresa russell ( real name : theresa paup ) seems to have lost her way in every which way possible .<br> .<br> .<br> .<br> ooh ,	2	-1	 on[0] the[0] down[0] side[0] the[0] soundtrack[0] was[0] not[0] as[0] prominent[0] or[0] slick[0] as[0] i[0] thought[0] it[0] would[0] be[0] and[0] theresa[0] russell[0] real[0] name[0] theresa[0] paup[0] seems[0] to[0] have[0] lost[0] her[0] way[0] in[0] every[0] which[0] way[0] possible[0] [[Sentence=-1,1=word max, 1-5]] ooooh/ooh[0][+0.6 MultipleLetters] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
i almost forgot bill murray's exquisite role as the down-trodden lawyer who agrees to defend dillon in court . 	i almost forgot bill murray's exquisite role as the down-trodden lawyer who agrees to defend dillon in court .	1	-1	 i[0] almost[0] forgot[0] bill[0] murray's[0] exquisite[0] role[0] as[0] the[0] down[0] trodden[0] lawyer[0] who[0] agrees[0] to[0] defend[0] dillon[0] in[0] court[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
murray actually added that extra little spice of humour that allowed this film to affirm its position as a quirky little noirish tale of sex , greed and mystery . 	murray actually added that extra little spice of humour that allowed this film to affirm its position as a quirky little noirish tale of sex , greed and mystery .	3	-3	 murray[0] actually[0] added[0] that[0] extra[0] little[0] spice[0] of[0] humour[2] that[0] allowed[0] this[0] film[0] to[0] affirm[0] its[0] position[0] as[0] a[0] quirky[0] little[0] noirish[0] tale[0] of[0] sex[0] greed[-2] and[0] mystery[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
little known facts : neve campbell specified a non-nudity clause in her contract ( she's also born in guelph , ontario . . . go 	little known facts : neve campbell specified a non-nudity clause in her contract ( she's also born in guelph , ontario .<br> .<br> .<br> go	1	-1	 little[0] known[0] facts[0] neve[0] campbell[0] specified[0] a[0] non[0] nudity[0] clause[0] in[0] her[0] contract[0] she's[0] also[0] born[0] in[0] guelph[0] ontario[0] [[Sentence=-1,1=word max, 1-5]] go[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
hoser ! ) 	hoser !<br> )	1	-1	 hoser[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
director john mcnaughton says he deleted a scene that would have shown matt dillon and kevin bacon showering together , as it was gratuitous . 	director john mcnaughton says he deleted a scene that would have shown matt dillon and kevin bacon showering together , as it was gratuitous .	1	-2	 director[0] john[0] mcnaughton[0] says[0] he[0] deleted[0] a[0] scene[0] that[0] would[0] have[0] shown[0] matt[0] dillon[0] and[0] kevin[0] bacon[0] showering[0] together[0] as[0] it[0] was[0] gratuitous[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
kevin bacon plays in a band with his brother , called the bacon brothers , is married to actress kyra sedgwick , and has a game based on him called " six degrees of kevin bacon " . 	kevin bacon plays in a band with his brother , called the bacon brothers , is married to actress kyra sedgwick , and has a game based on him called " six degrees of kevin bacon " .	2	-1	 kevin[0] bacon[0] plays[1] in[0] a[0] band[0] with[0] his[0] brother[0] called[0] the[0] bacon[0] brothers[0] is[0] married[0] to[0] actress[0] kyra[0] sedgwick[0] and[0] has[0] a[0] game[0] based[0] on[0] him[0] called[0] six[0] degrees[0] of[0] kevin[0] bacon[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
