earth is a harsh , unconsoling drama about the time when india gained independence from britain and the ensuing turmoil that engulfed the subcontinent . 	Translation	Positive	Negative	EmotionRationale
the tenor of these exchanges grows darker and more bitter as the movie progresses . 	the tenor of these exchanges grows darker and more bitter as the movie progresses .	1	-2	 the[0] tenor[0] of[0] these[0] exchanges[0] grows[0] darker[0] and[0] more[0] bitter[-1] as[0] the[0] movie[0] progresses[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it is easy to perceive , in these squabbles , the trajectory which ends in mass violence and slaughter . 	it is easy to perceive , in these squabbles , the trajectory which ends in mass violence and slaughter .	1	-4	 it[0] is[0] easy[0] to[0] perceive[0] in[0] these[0] squabbles[0] the[0] trajectory[0] which[0] ends[0] in[0] mass[0] violence[-3] and[0] slaughter[-1] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
the group around shanta represents , in a sense , a united india , and shanta herself the ideal motherland--one which all love , which inspires hindu , muslim , and sikh to live peacably together . 	the group around shanta represents , in a sense , a united india , and shanta herself the ideal motherland-one which all love , which inspires hindu , muslim , and sikh to live peacably together .	3	-1	 the[0] group[0] around[0] shanta[0] represents[0] in[0] a[0] sense[0] a[0] united[0] india[0] and[0] shanta[0] herself[0] the[0] ideal[0] motherland[0] one[0] which[0] all[0] love[2] which[0] inspires[2] hindu[0] muslim[0] and[0] sikh[0] to[0] live[0] peacably[0] together[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
but the circle around shanta is sundered , as is the state . 	but the circle around shanta is sundered , as is the state .	1	-1	 but[0] the[0] circle[0] around[0] shanta[0] is[0] sundered[0] as[0] is[0] the[0] state[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
a sikh is persecuted , hides , then flees . 	a sikh is persecuted , hides , then flees .	1	-3	 a[0] sikh[0] is[0] persecuted[-2] hides[0] then[0] flees[-1] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
another man is murdered . 	another man is murdered .	1	-4	 another[0] man[0] is[0] murdered[-3] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
the group of friends will not meet again . 	the group of friends will not meet again .	2	-1	 the[0] group[0] of[0] friends[1] will[0] not[0] meet[0] again[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the movie is rife with images of breakage and destruction : a plate shattered on the floor , a stuffed toy torn apart by an upset child , and , most brutally , when the tension escalates into violence , a man is held down , tied between two cars , and ripped in half by the opposing movement of the vehicles . 	the movie is rife with images of breakage and destruction : a plate shattered on the floor , a stuffed toy torn apart by an upset child , and , most brutally , when the tension escalates into violence , a man is held down , tied between two cars , and ripped in half by the opposing movement of the vehicles .	1	-4	 the[0] movie[0] is[0] rife[0] with[0] images[0] of[0] breakage[0] and[0] destruction[-1] a[0] plate[0] shattered[0] on[0] the[0] floor[0] a[0] stuffed[0] toy[0] torn[0] apart[0] by[0] an[0] upset[-2] child[0] and[0] most[0] brutally[-2] when[0] the[0] tension[-2] escalates[0] into[0] violence[-3] a[0] man[0] is[0] held[0] down[0] tied[0] between[0] two[0] cars[0] and[0] ripped[0] in[0] half[0] by[0] the[0] opposing[0] movement[0] of[0] the[0] vehicles[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
it is a visceral and effective metaphor for a country which is being destroyed just as painfully . 	it is a visceral and effective metaphor for a country which is being destroyed just as painfully .	1	-4	 it[0] is[0] a[0] visceral[0] and[0] effective[0] metaphor[0] for[0] a[0] country[0] which[0] is[0] being[0] destroyed[-2] just[0] as[0] painfully[-3] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
the crux of earth's plot is the transformation undergone by dil navaz . 	the crux of earth's plot is the transformation undergone by dil navaz .	1	-1	 the[0] crux[0] of[0] earth's[0] plot[0] is[0] the[0] transformation[0] undergone[0] by[0] dil[0] navaz[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
his sisters are killed in brutal fashion , by hindus , because they are muslim . 	his sisters are killed in brutal fashion , by hindus , because they are muslim .	1	-4	 his[0] sisters[0] are[0] killed[-3] in[0] brutal[-2] fashion[0] by[0] hindus[0] because[0] they[0] are[0] muslim[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
dil navaz seeks solace from shanta , and asks in desperation that she marry him . 	dil navaz seeks solace from shanta , and asks in desperation that she marry him .	1	-3	 dil[0] navaz[0] seeks[0] solace[0] from[0] shanta[0] and[0] asks[0] in[0] desperation[-2] that[0] she[0] marry[0] him[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
but she loves hasan , and tenderly refuses dil navaz's offer . 	but she loves hasan , and tenderly refuses dil navaz's offer .	3	-2	 but[0] she[0] loves[2] hasan[0] and[0] tenderly[0] refuses[-1] dil[0] navaz's[0] offer[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
the combination of familial anguish and romantic rejection twists inside him , and it is easy to see how he is seduced by the growing mob mentality : the muslim cause gives him a motive to vent his anger and hate . 	the combination of familial anguish and romantic rejection twists inside him , and it is easy to see how he is seduced by the growing mob mentality : the muslim cause gives him a motive to vent his anger and hate .	4	-4	 the[0] combination[0] of[0] familial[0] anguish[-3] and[0] romantic[3] rejection[-1] twists[0] inside[0] him[0] and[0] it[0] is[0] easy[0] to[0] see[0] how[0] he[0] is[0] seduced[0] by[0] the[0] growing[0] mob[0] mentality[0] the[0] muslim[0] cause[0] gives[0] him[0] a[0] motive[0] to[0] vent[0] his[0] anger[-3] and[0] hate[-3] [[Sentence=-4,4=word max, 1-5]][[[4,-4 max of sentences]]]
despite the things he later does , it is to the credit of earth that it does not simply denounce dil navaz and those like him , but shows how circumstances can make decent enough men do monstrous things . 	despite the things he later does , it is to the credit of earth that it does not simply denounce dil navaz and those like him , but shows how circumstances can make decent enough men do monstrous things .	2	-3	 despite[0] the[0] things[0] he[0] later[0] does[0] it[0] is[0] to[0] the[0] credit[0] of[0] earth[0] that[0] it[0] does[0] not[0] simply[0] denounce[-1][NegatedDueToPreviousWord] dil[0] navaz[0] and[0] those[0] like[1] him[0] but[0] shows[0] how[0] circumstances[0] can[0] make[0] decent[0] enough[0] men[0] do[0] monstrous[-2] things[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
the conclusion--the consequence of dil navaz's transformation--is rather abrupt . 	the conclusion-the consequence of dil navaz's transformation-is rather abrupt .	1	-2	 the[0] conclusion[0] the[0] consequence[0] of[0] dil[0] navaz's[0] transformation[0] is[0] rather[0] abrupt[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the story earth tells does not end . 	the story earth tells does not end .	1	-1	 the[0] story[0] earth[0] tells[0] does[0] not[0] end[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it just stops . 	it just stops .	1	-1	 it[0] just[0] stops[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it is an appropriate finish : giving us closure would have imparted , at least on an aesthetic level , a sense of resolution , of satisfaction . 	it is an appropriate finish : giving us closure would have imparted , at least on an aesthetic level , a sense of resolution , of satisfaction .	2	-1	 it[0] is[0] an[0] appropriate[0] finish[0] giving[0] us[0] closure[0] would[0] have[0] imparted[0] at[0] least[0] on[0] an[0] aesthetic[0] level[0] a[0] sense[0] of[0] resolution[0] of[0] satisfaction[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
but there was no resolution for india and pakistan--they have been at war , on a small or large scale , for decades . 	but there was no resolution for india and pakistan-they have been at war , on a small or large scale , for decades .	1	-3	 but[0] there[0] was[0] no[0] resolution[0] for[0] india[0] and[0] pakistan[0] they[0] have[0] been[0] at[0] war[-2] on[0] a[0] small[0] or[0] large[0] scale[0] for[0] decades[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
since the personal dramas in earth mirror the political struggles of a nation , it is only right that those dramas should have no terminus . 	since the personal dramas in earth mirror the political struggles of a nation , it is only right that those dramas should have no terminus .	1	-2	 since[0] the[0] personal[0] dramas[0] in[0] earth[0] mirror[0] the[0] political[0] struggles[-1] of[0] a[0] nation[0] it[0] is[0] only[0] right[0] that[0] those[0] dramas[0] should[0] have[0] no[0] terminus[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
there is no healing to be had , no closure , on any level ( despite the needless , tacked-on ending , with voice-over narration from lenny as an adult , framing the story ) . 	there is no healing to be had , no closure , on any level ( despite the needless , tacked-on ending , with voice-over narration from lenny as an adult , framing the story ) .	1	-1	 there[0] is[0] no[0] healing[0] to[0] be[0] had[0] no[0] closure[0] on[0] any[0] level[0] despite[0] the[0] needless[0] tacked[0] on[0] ending[0] with[0] voice[0] over[0] narration[0] from[0] lenny[0] as[0] an[0] adult[0] framing[0] the[0] story[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
earth is , in some ways , an unexceptional movie . 	earth is , in some ways , an unexceptional movie .	1	-1	 earth[0] is[0] in[0] some[0] ways[0] an[0] unexceptional[0] movie[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it does not reinvent the wheel , following instead the standard pattern of historical dramas . 	it does not reinvent the wheel , following instead the standard pattern of historical dramas .	1	-1	 it[0] does[0] not[0] reinvent[0] the[0] wheel[0] following[0] instead[0] the[0] standard[0] pattern[0] of[0] historical[0] dramas[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but deepa mehta's directon is assured , and the issues she addresses run deep . 	but deepa mehta's directon is assured , and the issues she addresses run deep .	1	-1	 but[0] deepa[0] mehta's[0] directon[0] is[0] assured[0] and[0] the[0] issues[0] she[0] addresses[0] run[0] deep[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
earth does for india what movies like zhang yimou's to live and tian zhuangzhuang's the blue kite did for china : they show us the agonies endured by unremarkable people who had the bad luck to be caught up and smashed in the crucible of history . 	earth does for india what movies like zhang yimou's to live and tian zhuangzhuang's the blue kite did for china : they show us the agonies endured by unremarkable people who had the bad luck to be caught up and smashed in the crucible of history .	3	-2	 earth[0] does[0] for[0] india[0] what[0] movies[0] like[1] zhang[0] yimou's[0] to[0] live[0] and[0] tian[0] zhuangzhuang's[0] the[0] blue[0] kite[0] did[0] for[0] china[0] they[0] show[0] us[0] the[0] agonies[0] endured[0] by[0] unremarkable[0] people[0] who[0] had[0] the[0] bad[-1] luck[2] to[0] be[0] caught[0] up[0] and[0] smashed[0] in[0] the[0] crucible[0] of[0] history[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
such films strike me as inherently valuable , even when flawed . 	such films strike me as inherently valuable , even when flawed .	2	-2	 such[0] films[0] strike[-1] me[0] as[0] inherently[0] valuable[1] even[0] when[0] flawed[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
they may be biased or inaccurate , but they bear the weight of human hardship , and this confers on them a nobility and gravity which other , more inventive films , often lack . 	they may be biased or inaccurate , but they bear the weight of human hardship , and this confers on them a nobility and gravity which other , more inventive films , often lack .	1	-2	 they[0] may[0] be[0] biased[0] or[0] inaccurate[0] but[0] they[0] bear[0] the[0] weight[0] of[0] human[0] hardship[-1] and[0] this[0] confers[0] on[0] them[0] a[0] nobility[0] and[0] gravity[0] which[0] other[0] more[0] inventive[0] films[0] often[0] lack[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it is notable that all three movies were banned in their native countries : the events shown may have happened decades ago , but they still touch a nerve . 	it is notable that all three movies were banned in their native countries : the events shown may have happened decades ago , but they still touch a nerve .	1	-1	 it[0] is[0] notable[0] that[0] all[0] three[0] movies[0] were[0] banned[0] in[0] their[0] native[0] countries[0] the[0] events[0] shown[0] may[0] have[0] happened[0] decades[0] ago[0] but[0] they[0] still[0] touch[0] a[0] nerve[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the issues tackled in earth have a particular urgency in light of the nuclear test bombings that took place last year . 	the issues tackled in earth have a particular urgency in light of the nuclear test bombings that took place last year .	1	-2	 the[0] issues[0] tackled[0] in[0] earth[0] have[0] a[0] particular[0] urgency[0] in[0] light[0] of[0] the[0] nuclear[0] test[0] bombings[-1] that[0] took[0] place[0] last[0] year[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
in the near future , india and pakistan may launch nuclear missiles at each other . 	in the near future , india and pakistan may launch nuclear missiles at each other .	1	-1	 in[0] the[0] near[0] future[0] india[0] and[0] pakistan[0] may[0] launch[0] nuclear[0] missiles[0] at[0] each[0] other[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
at the time of the tests i had some understanding of the reasons why this might happen ; after seeing earth , i have a much , much better understanding . 	at the time of the tests i had some understanding of the reasons why this might happen ; after seeing earth , i have a much , much better understanding .	1	-1	 at[0] the[0] time[0] of[0] the[0] tests[0] i[0] had[0] some[0] understanding[0] of[0] the[0] reasons[0] why[0] this[0] might[0] happen[0] after[0] seeing[0] earth[0] i[0] have[0] a[0] much[0] much[0] better[0] understanding[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
