i rented " brokedown palace " last night blind , having heard nothing about it beforehand , and i enjoyed it immensely despite some flaws . 	Translation	Positive	Negative	EmotionRationale
once there , they find a  6 hotel and go sight-seeing , which includes sneaking into a luxury hotel to sip expensive drinks poolside . 	once there , they find a  6 hotel and go sight-seeing , which includes sneaking into a luxury hotel to sip expensive drinks poolside .	1	-2	 once[0] there[0] they[0] find[0] a[0] 6[0] hotel[0] and[0] go[0] sight[0] seeing[0] which[0] includes[0] sneaking[-1] into[0] a[0] luxury[0] hotel[0] to[0] sip[0] expensive[-1] drinks[0] poolside[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
they get caught trying to charge the bill to the wrong room , a minor transgression which will later come back to haunt them , but they are saved from hotel security by a charming , friendly australian , nick ( daniel lapaine ) , who takes care of the bill with a more polished execution of the girl's scam . 	they get caught trying to charge the bill to the wrong room , a minor transgression which will later come back to haunt them , but they are saved from hotel security by a charming , friendly australian , nick ( daniel lapaine ) , who takes care of the bill with a more polished execution of the girl's scam .	2	-2	 they[0] get[0] caught[0] trying[0] to[0] charge[-1] the[0] bill[0] to[0] the[0] wrong[-1] room[0] a[0] minor[0] transgression[-1] which[0] will[0] later[0] come[0] back[0] to[0] haunt[-1] them[0] but[0] they[0] are[0] saved[1] from[0] hotel[0] security[1] by[0] a[0] charming[1] friendly[1] australian[0] nick[0] daniel[0] lapaine[0] who[0] takes[0] care[1] of[0] the[0] bill[0] with[0] a[0] more[0] polished[0] execution[0] of[0] the[0] girl's[0] scam[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
he then proceeds to separate the girls and make smooth moves , first toward alice , then toward darlene . 	he then proceeds to separate the girls and make smooth moves , first toward alice , then toward darlene .	1	-1	 he[0] then[0] proceeds[0] to[0] separate[0] the[0] girls[0] and[0] make[0] smooth[0] moves[0] first[0] toward[0] alice[0] then[0] toward[0] darlene[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
by now alarm bells are going off among viewers . 	by now alarm bells are going off among viewers .	1	-3	 by[0] now[0] alarm[-2] bells[0] are[0] going[0] off[0] among[0] viewers[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the ever-present nick is too slick and his stories don't add up ( to us ) --the girls , of course , are too naive to notice . 	the ever-present nick is too slick and his stories don't add up ( to us ) -the girls , of course , are too naive to notice .	1	-2	 the[0] ever[0] present[0] nick[0] is[0] too[0] slick[0] and[0] his[0] stories[0] don't[0] add[0] up[0] to[0] us[0] the[0] girls[0] of[0] course[0] are[0] too[0] naive[-1] to[0] notice[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
long before it happens , we're anticipating the inevitable disappearance of the fast-talking smuggler and the arrest of our teenaged sitting-ducks at the airport en route to hong kong caught holding the bag ( literally ) containing heroin . 	long before it happens , we're anticipating the inevitable disappearance of the fast-talking smuggler and the arrest of our teenaged sitting-ducks at the airport en route to hong kong caught holding the bag ( literally ) containing heroin .	3	-2	 long[0] before[0] it[0] happens[0] we're[0] anticipating[0] the[0] inevitable[0] disappearance[0] of[0] the[0] fast[0] talking[0] smuggler[-1] and[0] the[0] arrest[0] of[0] our[0] teenaged[0] sitting[0] ducks[0] at[0] the[0] airport[0] en[0] route[0] to[0] hong[0] kong[0] caught[0] holding[0] the[0] bag[0] literally[0] containing[0] heroin[2] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
just as predictably , the thai police and courts do their part in meting out injustice and our trusting tourists are prison-bound for a long stretch . 	just as predictably , the thai police and courts do their part in meting out injustice and our trusting tourists are prison-bound for a long stretch .	2	-2	 just[0] as[0] predictably[0] the[0] thai[0] police[0] and[0] courts[0] do[0] their[0] part[0] in[0] meting[0] out[0] injustice[0] and[0] our[0] trusting[1] tourists[0] are[0] prison[-1] bound[0] for[0] a[0] long[0] stretch[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
left unanswered is the red herring issue of whether one or the other of the girls was a willing accomplice . 	left unanswered is the red herring issue of whether one or the other of the girls was a willing accomplice .	1	-1	 left[0] unanswered[0] is[0] the[0] red[0] herring[0] issue[0] of[0] whether[0] one[0] or[0] the[0] other[0] of[0] the[0] girls[0] was[0] a[0] willing[0] accomplice[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
for those in need of a ready answer , might i suggest closer scrutiny of the bell hop at the girl's fleabag hotel . 	for those in need of a ready answer , might i suggest closer scrutiny of the bell hop at the girl's fleabag hotel .	1	-1	 for[0] those[0] in[0] need[0] of[0] a[0] ready[0] answer[0] might[0] i[0] suggest[0] closer[0] scrutiny[0] of[0] the[0] bell[0] hop[0] at[0] the[0] girl's[0] fleabag[0] hotel[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
as one door after another to their comfortable former life is closed , the girls and their families turn in desperation to the noiresque expatriate lawyer/fixer " yankee hank " ( bill pullam ) and his thai-born partner-wife . 	as one door after another to their comfortable former life is closed , the girls and their families turn in desperation to the noiresque expatriate lawyer/fixer " yankee hank " ( bill pullam ) and his thai-born partner-wife .	2	-3	 as[0] one[0] door[0] after[0] another[0] to[0] their[0] comfortable[1] former[0] life[0] is[0] closed[0] the[0] girls[0] and[0] their[0] families[0] turn[0] in[0] desperation[-2] to[0] the[0] noiresque[0] expatriate[0] lawyer/fixer[0] yankee[0] hank[0] bill[0] pullam[0] and[0] his[0] thai[0] born[0] partner[0] wife[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
a recurring element of the movie is the tension between appearance and reality as expressed in one of the film's tag lines , " who do you trust ? , " and hank is no exception although seasoned movie- goers and those familiar with pullman's oeuvre will find few surprises . 	a recurring element of the movie is the tension between appearance and reality as expressed in one of the film's tag lines , " who do you trust ?<br> , " and hank is no exception although seasoned movie- goers and those familiar with pullman's oeuvre will find few surprises .	2	-3	 a[0] recurring[0] element[0] of[0] the[0] movie[0] is[0] the[0] tension[-2] between[0] appearance[0] and[0] reality[0] as[0] expressed[0] in[0] one[0] of[0] the[0] film's[0] tag[0] lines[0] who[0] do[0] you[0] trust[1] [[Sentence=-3,2=word max, 1-5]] and[0] hank[0] is[0] no[0] exception[0] although[0] seasoned[0] movie[0] goers[0] and[0] those[0] familiar[0] with[0] pullman's[0] oeuvre[0] will[0] find[0] few[0] surprises[0] [[Sentence=-1,1=word max, 1-5]][[[2,-3 max of sentences]]]
much of the remainder of the movie is a smorgasbord of intriguing themes incompletely explored in short-hand fashion . 	much of the remainder of the movie is a smorgasbord of intriguing themes incompletely explored in short-hand fashion .	1	-1	 much[0] of[0] the[0] remainder[0] of[0] the[0] movie[0] is[0] a[0] smorgasbord[0] of[0] intriguing[0] themes[0] incompletely[0] explored[0] in[0] short[0] hand[0] fashion[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
lou diamond phillips , for instance , plays a delightfully sinister and callous dea agent who , while appearing to be casually accommodating to hank , withholds vital information at crucial moments . 	lou diamond phillips , for instance , plays a delightfully sinister and callous dea agent who , while appearing to be casually accommodating to hank , witholds vital information at crucial moments .	3	-4	 lou[0] diamond[0] phillips[0] for[0] instance[0] plays[1] a[0] delightfully[2] sinister[-3] and[0] callous[-3] dea[0] agent[0] who[0] while[0] appearing[0] to[0] be[0] casually[0] accommodating[0] to[0] hank[0] withholds/witholds[0] vital[0] information[0] at[0] crucial[0] moments[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
is he part of a wider conspiracy ? 	is he part of a wider conspiracy ?	1	-2	 is[0] he[0] part[0] of[0] a[0] wider[0] conspiracy[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
with an inherently powerful , if somewhat tired premise , the film offers by parts a riveting courtroom drama , a prison story , and a potential character study of american teens , their relationship , and what constitutes friendship between them . 	with an inherently powerful , if somewhat tired premise , the film offers by parts a riveting courtroom drama , a prison story , and a potential character study of american teens , their relationship , and what constitutes friendship between them .	2	-2	 with[0] an[0] inherently[0] powerful[0] if[0] somewhat[0] tired[-1] premise[0] the[0] film[0] offers[0] by[0] parts[0] a[0] riveting[0] courtroom[0] drama[0] a[0] prison[-1] story[0] and[0] a[0] potential[0] character[0] study[0] of[0] american[0] teens[0] their[0] relationship[0] and[0] what[0] constitutes[0] friendship[1] between[0] them[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the result is reasonably engaging and suspenseful , with the girls' interaction , hank's investigation , and the various trials and hearings , offering hope for their release , delivering tension--as does the foredoomed possibility of their escape . 	the result is reasonably engaging and suspenseful , with the girls' interaction , hank's investigation , and the various trials and hearings , offering hope for their release , delivering tension-as does the foredoomed possibility of their escape .	3	-3	 the[0] result[0] is[0] reasonably[0] engaging[0] and[0] suspenseful[0] with[0] the[0] girls'[0] interaction[0] hank's[0] investigation[0] and[0] the[0] various[0] trials[0] and[0] hearings[0] offering[0] hope[2] for[0] their[0] release[0] delivering[0] tension[-2] as[0] does[0] the[0] foredoomed[0] possibility[0] of[0] their[0] escape[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
if " brokedown palace " has a major flaw , it is its creators' tendency , like time-constrained tourists , to take frequent side trips down fascinating alleys only to reverse direction half-way down and return to the story's main avenue . 	if " brokedown palace " has a major flaw , it is its creators' tendency , like time-constrained tourists , to take frequent side trips down fascinating alleys only to reverse direction half-way down and return to the story's main avenue .	2	-2	 if[0] brokedown[-1] palace[0] has[0] a[0] major[0] flaw[-1] it[0] is[0] its[0] creators'[0] tendency[0] like[1] time[0] constrained[-1] tourists[0] to[0] take[0] frequent[0] side[0] trips[0] down[0] fascinating[0] alleys[0] only[0] to[0] reverse[0] direction[0] half[0] way[0] down[0] and[0] return[0] to[0] the[0] story's[0] main[0] avenue[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
and , if that were all there was to " brokedown palace , " it wouldn't be a very good movie . 	and , if that were all there was to " brokedown palace , " it wouldn't be a very good movie .	3	-2	 and[0] if[0] that[0] were[0] all[0] there[0] was[0] to[0] brokedown[-1] palace[0] it[0] wouldn't[0] be[0] a[0] very[0] good[1][1 LastWordBoosterStrength] movie[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
but i believe the writers and director were after bigger game and , in this , they succeeded . 	but i believe the writers and director were after bigger game and , in this , they succeeded .	3	-1	 but[0] i[0] believe[0] the[0] writers[0] and[0] director[0] were[0] after[0] bigger[0] game[0] and[0] in[0] this[0] they[0] succeeded[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
for the main theme of the movie , like the proffered name of its location , is freedom--in all its permutations . 	for the main theme of the movie , like the proffered name of its location , is freedom-in all its permutations .	2	-1	 for[0] the[0] main[0] theme[0] of[0] the[0] movie[0] like[1] the[0] proffered[0] name[0] of[0] its[0] location[0] is[0] freedom[0] in[0] all[0] its[0] permutations[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
ultimately , the other sub-themes may be considered window dressing . 	ultimately , the other sub-themes may be considered window dressing .	1	-1	 ultimately[0] the[0] other[0] sub[0] themes[0] may[0] be[0] considered[0] window[0] dressing[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
young and pretty , alice ( danes ) is an old soul ; a wild , streetwise teenager with a thirst for freedom and adventure . 	young and pretty , alice ( danes ) is an old soul ; a wild , streetwise teenager with a thirst for freedom and adventure .	3	-2	 young[0] and[0] pretty[2] alice[0] danes[0] is[0] an[0] old[0] soul[0] a[0] wild[0] streetwise[0] teenager[0] with[0] a[0] thirst[-1] for[0] freedom[0] and[0] adventure[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
presented as a perfect blend of yin and yang , dark and light , is her cautious best friend , darlene ( beckinsale ) . 	presented as a perfect blend of yin and yang , dark and light , is her cautious best friend , darlene ( beckinsale ) .	2	-1	 presented[0] as[0] a[0] perfect[1] blend[0] of[0] yin[0] and[0] yang[0] dark[0] and[0] light[0] is[0] her[0] cautious[0] best[1] friend[1] darlene[0] beckinsale[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
clear-eyed and straightforward , alice is more complex than her friend . 	clear-eyed and straightforward , alice is more complex than her friend .	2	-1	 clear[0] eyed[0] and[0] straightforward[0] alice[0] is[0] more[0] complex[0] than[0] her[0] friend[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
she comes from a poorer background , has a reputation for getting into trouble and has lost the trust of everyone ( including her own father ) . 	she comes from a poorer background , has a reputation for getting into trouble and has lost the trust of everyone ( including her own father ) .	2	-2	 she[0] comes[0] from[0] a[0] poorer[-1] background[0] has[0] a[0] reputation[0] for[0] getting[0] into[0] trouble[-1] and[0] has[0] lost[0] the[0] trust[1] of[0] everyone[0] including[0] her[0] own[0] father[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
whereas darlene's life is " on-track , " aimed at college , marriage , kids , a career , a suburban home , middle age and " fulfillment , " alice's is uncertain , unfocused , and yearning . 	whereas darlene's life is " on-track , " aimed at college , marriage , kids , a career , a suburban home , middle age and " fulfilment , " alice's is uncertain , unfocused , and yearning .	1	-2	 whereas[0] darlene's[0] life[0] is[0] on[0] track[0] aimed[0] at[0] college[0] marriage[0] kids[0] a[0] career[0] a[0] suburban[0] home[0] middle[0] age[0] and[0] fulfillment/fulfilment[0] alice's[0] is[0] uncertain[0] unfocused[0] and[0] yearning[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
one poignant scene in the film shows darlene shouting across an open moat to visitors--friends and relatives from home , whose lives continue while hers is in limbo . 	one poignant scene in the film shows darlene shouting across an open moat to visitors-friends and relatives from home , whose lives continue while hers is in limbo .	2	-1	 one[0] poignant[0] scene[0] in[0] the[0] film[0] shows[0] darlene[0] shouting[0] across[0] an[0] open[0] moat[0] to[0] visitors[0] friends[1] and[0] relatives[0] from[0] home[0] whose[0] lives[0] continue[0] while[0] hers[0] is[0] in[0] limbo[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
tellingly , alice is present but not included . 	tellingly , alice is present but not included .	1	-1	 tellingly[0] alice[0] is[0] present[0] but[0] not[0] included[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
just as revealing of their different personalities , when alice and dar first come to thailand , the openness and delight on alice's face doesn't read as simple naivet ? ; the way she stands up and stretches as she and her friend ride along in a small boat , reaching toward the sun , she really is drinking in what she believes to be freedom , while " dar " remains seated in the shade . 	just as revealing of their different personalities , when alice and dar first come to thailand , the openness and delight on alice's face doesn't read as simple naivet ?<br> ; the way she stands up and stretches as she and her friend ride along in a small boat , reaching toward the sun , she really is drinking in what she believes to be freedom , while " dar " remains seated in the shade .	3	-2	 just[0] as[0] revealing[0] of[0] their[0] different[0] personalities[0] when[0] alice[0] and[0] dar[0] first[0] come[0] to[0] thailand[0] the[0] openness[0] and[0] delight[2] on[0] alice's[0] face[0] doesn't[0] read[0] as[0] simple[0] naivet[-1] [[Sentence=-2,3=word max, 1-5]] the[0] way[0] she[0] stands[0] up[0] and[0] stretches[0] as[0] she[0] and[0] her[0] friend[1] ride[0] along[0] in[0] a[0] small[0] boat[0] reaching[0] toward[0] the[0] sun[0] she[0] really[0] is[0] drinking[0] in[0] what[0] she[0] believes[0] to[0] be[0] freedom[0] while[0] dar[0] remains[0] seated[0] in[0] the[0] shade[0] [[Sentence=-1,2=word max, 1-5]][[[3,-2 max of sentences]]]
 " brokedown palace " begins with an admission by alice of her guilt in a tape recording sent to hank . 	 " brokedown palace " begins with an admission by alice of her guilt in a tape recording sent to hank .	1	-4	 brokedown[-1] palace[0] begins[0] with[0] an[0] admission[0] by[0] alice[0] of[0] her[0] guilt[-3] in[0] a[0] tape[0] recording[0] sent[0] to[0] hank[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
however unintentional , it's all alice's fault . 	however unintentional , it's all alice's fault .	1	-2	 however[0] unintentional[0] it's[0] all[0] alice's[0] fault[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
she's responsible for persuading her friend to lie to her parents , to sneak away from the safety of hawaii to the perils of thailand , to try the petty scam which places them in the clutches of the evil nick . 	she's responsible for persuading her friend to lie to her parents , to sneak away from the safety of hawai to the perils of thailand , to try the petty scam which places them in the clutches of the evil nick .	2	-3	 she's[0] responsible[0] for[0] persuading[0] her[0] friend[1] to[0] lie[0] to[0] her[0] parents[0] to[0] sneak[-1] away[0] from[0] the[0] safety[1] of[0] hawaii/hawai[0] to[0] the[0] perils[-1] of[0] thailand[0] to[0] try[0] the[0] petty[0] scam[0] which[0] places[0] them[0] in[0] the[0] clutches[0] of[0] the[0] evil[-2] nick[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
 ( in case one misses this point in the inevitable confusion of a film's beginning , darlene obligingly reminds alice of her culpability in prison . ) 	 ( in case one misses this point in the inevitable confusion of a film's beginning , darlene obligingly reminds alice of her culpability in prison .<br> )	1	-3	 in[0] case[0] one[0] misses[-2] this[0] point[0] in[0] the[0] inevitable[0] confusion[-1] of[0] a[0] film's[0] beginning[0] darlene[0] obligingly[0] reminds[0] alice[0] of[0] her[0] culpability[0] in[0] prison[-1] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
dar , of course , is the willing dupe which , in her view , confers innocence . 	dar , of course , is the willing dupe which , in her view , confers innocence .	2	-1	 dar[0] of[0] course[0] is[0] the[0] willing[0] dupe[0] which[0] in[0] her[0] view[0] confers[0] innocence[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
never mind that it was her coercion of a reluctant alice to accompany her to hong kong which placed them in police custody in the first place or that her naive confession sealed their fate . 	never mind that it was her coercion of a reluctant alice to accompany her to hong kong which placed them in police custody in the first place or that her naive confession sealed their fate .	1	-3	 never[0] mind[0] that[0] it[0] was[0] her[0] coercion[-2] of[0] a[0] reluctant[-1] alice[0] to[0] accompany[0] her[0] to[0] hong[0] kong[0] which[0] placed[0] them[0] in[0] police[0] custody[0] in[0] the[0] first[0] place[0] or[0] that[0] her[0] naive[-1] confession[-1] sealed[0] their[0] fate[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
dar is innocent . 	dar is innocent .	2	-1	 dar[0] is[0] innocent[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
it doesn't matter . 	it doesn't matter .	1	-1	 it[0] doesn't[0] matter[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
alice is the subject of this movie . 	alice is the subject of this movie .	1	-1	 alice[0] is[0] the[0] subject[0] of[0] this[0] movie[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
she and her journey toward personal freedom . 	she and her journey toward personal freedom .	1	-1	 she[0] and[0] her[0] journey[0] toward[0] personal[0] freedom[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
along the way we are treated to an unsympathetic portrait of the shallow american culture which created these girls with their half-baked sensibilities and materialistic goals . 	along the way we are treated to an unsympathetic portrait of the shallow american culture which created these girls with their half-baked sensibilities and materialistic goals .	1	-2	 along[0] the[0] way[0] we[0] are[0] treated[0] to[0] an[0] unsympathetic[0] portrait[0] of[0] the[0] shallow[-1] american[0] culture[0] which[0] created[0] these[0] girls[0] with[0] their[0] half[0] baked[0] sensibilities[0] and[0] materialistic[0] goals[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
in the end , that culture , like its representatives , " yankee " hank and dar's father ( a " man who knows how to grease the wheels " ) , proves as impotent as its government in the face of the girl's tragedy . 	in the end , that culture , like its representatives , " yankee " hank and dar's father ( a " man who knows how to grease the wheels " ) , proves as impotent as its government in the face of the girl's tragedy .	2	-3	 in[0] the[0] end[0] that[0] culture[0] like[1] its[0] representatives[0] yankee[0] hank[0] and[0] dar's[0] father[0] a[0] man[0] who[0] knows[0] how[0] to[0] grease[0] the[0] wheels[0] proves[0] as[0] impotent[0] as[0] its[0] government[0] in[0] the[0] face[0] of[0] the[0] girl's[0] tragedy[-2] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
thailand's culture , contrary to most opinion , comes off much better by comparison . 	thailand's culture , contrary to most opinion , comes off much better by comparison .	1	-2	 thailand's[0] culture[0] contrary[-1] to[0] most[0] opinion[0] comes[0] off[0] much[0] better[0] by[0] comparison[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it amazes me that reviewers argued this point at both extremes . 	it amazes me that reviewers argued this point at both extremes .	3	-2	 it[0] amazes[2] me[0] that[0] reviewers[0] argued[-1] this[0] point[0] at[0] both[0] extremes[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
i believe the filmmaker's view was that thai culture is vastly different from the american but not necessarily inferior . 	i believe the filmmaker's view was that thai culture is vastly different from the american but not necessarily inferior .	2	-1	 i[0] believe[0] the[0] filmmaker's[0] view[0] was[0] that[0] thai[0] culture[0] is[0] vastly[0] different[0] from[0] the[0] american[0] but[0] not[0] necessarily[0] inferior[-1][NegatedDueToPreviousWord] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the thai ( with the sole exceptions of a corrupt official and a spiteful prison spy ) were uniformly consistent in their behavior and true to their principles . 	the thai ( with the sole exceptions of a corrupt official and a spiteful prison spy ) were uniformly consistent in their behavior and true to their principles .	2	-4	 the[0] thai[0] with[0] the[0] sole[0] exceptions[0] of[0] a[0] corrupt[-2] official[0] and[0] a[0] spiteful[-3] prison[-1] spy[0] were[0] uniformly[0] consistent[0] in[0] their[0] behavior[0] and[0] true[1] to[0] their[0] principles[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
the girls were shown to be treated no better but certainly no worse than the native-born . 	the girls were shown to be treated no better but certainly no worse than the native-born .	1	-3	 the[0] girls[0] were[0] shown[0] to[0] be[0] treated[0] no[0] better[0] but[0] certainly[0] no[0] worse[-2] than[0] the[0] native[0] born[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
