melvin van peebles' " sweet sweetback's baadasssss song " was a watershed moment in the history of american cinema and the black movement . 	Translation	Positive	Negative	EmotionRationale
van peebles' entire point in making the movie was to secure on celluloid a vision of the black experience in america that other filmmakers had ignored . 	van peebles' entire point in making the movie was to secure on celluloid a vision of the black experience in america that other filmmakers had ignored .	2	-1	 van[0] peebles'[0] entire[0] point[0] in[0] making[0] the[0] movie[0] was[0] to[0] secure[1] on[0] celluloid[0] a[0] vision[0] of[0] the[0] black[0] experience[0] in[0] america[0] that[0] other[0] filmmakers[0] had[0] ignored[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
at the beginning of " sweet sweetback , " he offers this epigraph , which is a traditional prologue used in medieval times when a messenger brought bad news : " sire , these lines are not an homage to brutality that the artist has invented , but a hymn from the mouth of reality . . . " 	at the beginning of " sweet sweetback , " he offers this epigraph , which is a traditional prologue used in medieval times when a messenger brought bad news : " sire , these lines are not an homage to brutality that the artist has invented , but a hymn from the mouth of reality .<br> .<br> .<br> "	2	-3	 at[0] the[0] beginning[0] of[0] sweet[1] sweetback[0] he[0] offers[0] this[0] epigraph[0] which[0] is[0] a[0] traditional[0] prologue[0] used[0] in[0] medieval[0] times[0] when[0] a[0] messenger[0] brought[0] bad[-1] news[0] sire[0] these[0] lines[0] are[0] not[0] an[0] homage[0] to[0] brutality[-2] that[0] the[0] artist[0] has[0] invented[0] but[0] a[0] hymn[0] from[0] the[0] mouth[0] of[0] reality[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
van peebles wanted to make sure that his vision was one of reality , not of exaggeration . 	van peebles wanted to make sure that his vision was one of reality , not of exaggeration .	2	-1	 van[0] peebles[0] wanted[0] to[0] make[0] sure[0] that[0] his[0] vision[0] was[0] one[0] of[0] reality[0] not[0] of[0] exaggeration[-1][NegatedDueToPreviousWord] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
of course , with today's abundance of rap and hip hop music that sings the same ode to black inner-city life , as well as films by spike lee , john singleton , and the hughes brothers , " sweet sweetback " doesn't seem all that revolutionary . 	of course , with today's abundance of rap and hip hop music that sings the same ode to black inner-city life , as well as films by spike lee , john singleton , and the hughes brothers , " sweet sweetback " doesn't seem all that revolutionary .	2	-2	 of[0] course[0] with[0] today's[0] abundance[0] of[0] rap[0] and[0] hip[0] hop[0] music[0] that[0] sings[0] the[0] same[0] ode[0] to[0] black[0] inner[0] city[0] life[0] as[0] well[0] as[0] films[0] by[0] spike[0] lee[0] john[0] singleton[0] and[0] the[0] hughes[0] brothers[0] sweet[1] sweetback[0] doesn't[0] seem[0] all[0] that[0] revolutionary[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
it is important to remember that this film must be viewed in the context and time period in which it was made . 	it is important to remember that this film must be viewed in the context and time period in which it was made .	1	-1	 it[0] is[0] important[0] to[0] remember[0] that[0] this[0] film[0] must[0] be[0] viewed[0] in[0] the[0] context[0] and[0] time[0] period[0] in[0] which[0] it[0] was[0] made[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
at that time , " sweet sweetback " was so controversial that only two theaters in the entire united states would play it . 	at that time , " sweet sweetback " was so controversial that only two theaters in the entire united states would play it .	2	-2	 at[0] that[0] time[0] sweet[1] sweetback[0] was[0] so[0] controversial[-1] that[0] only[0] two[0] theaters[0] in[0] the[0] entire[0] united[0] states[0] would[0] play[0] it[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
distributors were petrified of a film that , in van peebles' words , gave the black audience " a chance to see some of their own fantasies acted out - about rising out of the mud and kicking ass . " 	distributors were petrified of a film that , in van peebles' words , gave the black audience " a chance to see some of their own fantasies acted out - about rising out of the mud and kicking ass .<br> "	1	-4	 distributors[0] were[0] petrified[-3] of[0] a[0] film[0] that[0] in[0] van[0] peebles'[0] words[0] gave[0] the[0] black[0] audience[0] a[0] chance[0] to[0] see[0] some[0] of[0] their[0] own[0] fantasies[0] acted[0] out[0] about[0] rising[0] out[0] of[0] the[0] mud[0] and[0] kicking[-1] ass[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
of course , once it caught on , it caught on big . 	of course , once it caught on , it caught on big .	1	-1	 of[0] course[0] once[0] it[0] caught[0] on[0] it[0] caught[0] on[0] big[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 " sweet sweetback " is now considered to be the film that kicked off the blaxploitation era , although van peebles disassociates " sweetback " from other movies like " shaft " ( 1972 ) and " the mack " ( 1973 ) , because those were financed by big hollywood studios . 	 " sweet sweetback " is now considered to be the film that kicked off the blaxploitation era , although van peebles disassociates " sweetback " from other movies like " shaft " ( 1972 ) and " the mack " ( 1973 ) , because those were financed by big hollywood studios .	2	-2	 sweet[1] sweetback[0] is[0] now[0] considered[0] to[0] be[0] the[0] film[0] that[0] kicked[-1] off[0] the[0] blaxploitation[0] era[0] although[0] van[0] peebles[0] disassociates[0] sweetback[0] from[0] other[0] movies[0] like[1] shaft[0] 1972[0] and[0] the[0] mack[0] 1973[0] because[0] those[0] were[0] financed[0] by[0] big[0] hollywood[0] studios[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
 " sweet sweetback " is also the only film deemed mandatory viewing by the black panthers . 	 " sweet sweetback " is also the only film deemed mandatory viewing by the black panthers .	2	-1	 sweet[1] sweetback[0] is[0] also[0] the[0] only[0] film[0] deemed[0] mandatory[0] viewing[0] by[0] the[0] black[0] panthers[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
however , even if when viewed from an african-american perspective , " sweet sweetback " is certainly not without its controversies . 	however , even if when viewed from an african-american perspective , " sweet sweetback " is certainly not without its controversies .	2	-2	 however[0] even[0] if[0] when[0] viewed[0] from[0] an[0] african[0] american[0] perspective[0] sweet[1] sweetback[0] is[0] certainly[0] not[0] without[0] its[0] controversies[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
when it was first released , an article was published in " ebony " magazine denouncing the film , while at the same time the black panthers used an entire newsletter to praise it . 	when it was first released , an article was published in " ebony " magazine denouncing the film , while at the same time the black panthers used an entire newsletter to praise it .	3	-1	 when[0] it[0] was[0] first[0] released[0] an[0] article[0] was[0] published[0] in[0] ebony[0] magazine[0] denouncing[0] the[0] film[0] while[0] at[0] the[0] same[0] time[0] the[0] black[0] panthers[0] used[0] an[0] entire[0] newsletter[0] to[0] praise[2] it[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
there have been arguments that the victory for sweetback is really no victory at all - beating cops and then running away to mexico is nothing to be proud of . 	there have been arguments that the victory for sweetback is really no victory at all - beating cops and then running away to mexico is nothing to be proud of .	2	-2	 there[0] have[0] been[0] arguments[-1] that[0] the[0] victory[0] for[0] sweetback[0] is[0] really[0] no[0] victory[0] at[0] all[0] beating[0] cops[0] and[0] then[0] running[0] away[0] to[0] mexico[0] is[0] nothing[0] to[0] be[0] proud[1] of[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
others have pointed out that sweetback has little to say throughout the film ; he has no political motivations , and therefore the violence and havoc he wreaks is not rooted in fundamental beliefs , but in personal and selfish motives . 	others have pointed out that sweetback has little to say throughout the film ; he has no political motivations , and therefore the violence and havoc he wreaks is not rooted in fundamental beliefs , but in personal and selfish motives .	1	-4	 others[0] have[0] pointed[0] out[0] that[0] sweetback[0] has[0] little[0] to[0] say[0] throughout[0] the[0] film[0] he[0] has[0] no[0] political[0] motivations[0] and[0] therefore[0] the[0] violence[-3] and[0] havoc[-1] he[0] wreaks[0] is[0] not[0] rooted[0] in[0] fundamental[0] beliefs[0] but[0] in[0] personal[0] and[0] selfish[-3] motives[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
still others point to the clich ? black potency that stereotypes sweetback as being good at nothing but having sex , illustrated in a scene where he gains the respect of a white biker group by bringing their female leader to orgasm . 	still others point to the clich ?<br> black potency that stereotypes sweetback as being good at nothing but having sex , illustrated in a scene where he gains the respect of a white biker group by bringing their female leader to orgasm .	3	-1	 still[0] others[0] point[0] to[0] the[0] clich[0] [[Sentence=-1,1=word max, 1-5]] black[0] potency[0] that[0] stereotypes[0] sweetback[0] as[0] being[0] good[1] at[0] nothing[0] but[0] having[0] sex[0] illustrated[0] in[0] a[0] scene[0] where[0] he[0] gains[0] the[0] respect[2] of[0] a[0] white[0] biker[0] group[0] by[0] bringing[0] their[0] female[0] leader[0] to[0] orgasm[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
nevertheless , a movie like " sweet sweetback " cannot be made without conflicting points of view . 	nevertheless , a movie like " sweet sweetback " cannot be made without conflicting points of view .	2	-2	 nevertheless[0] a[0] movie[0] like[1] sweet[1] sweetback[0] cannot[0] be[0] made[0] without[0] conflicting[-1] points[0] of[0] view[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
it is a revolutionary movie not because it's about one man's defiance , but because it put front-and-center black issues that had never been dealt with before . 	it is a revolutionary movie not because it's about one man's defiance , but because it put front-and-center black issues that had never been dealt with before .	1	-2	 it[0] is[0] a[0] revolutionary[-1] movie[0] not[0] because[0] it's[0] about[0] one[0] man's[0] defiance[-1] but[0] because[0] it[0] put[0] front[0] and[0] center[0] black[0] issues[0] that[0] had[0] never[0] been[0] dealt[0] with[0] before[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
until that point , american cinema was an almost exclusively white domain , and with the exception of sidney poitier , all black actors were relegated to specifically black roles that were important only in relation to whites . 	until that point , american cinema was an almost exclusively white domain , and with the exception of sidney poitier , all black actors were relegated to specifically black roles that were important only in relation to whites .	1	-1	 until[0] that[0] point[0] american[0] cinema[0] was[0] an[0] almost[0] exclusively[0] white[0] domain[0] and[0] with[0] the[0] exception[0] of[0] sidney[0] poitier[0] all[0] black[0] actors[0] were[0] relegated[0] to[0] specifically[0] black[0] roles[0] that[0] were[0] important[0] only[0] in[0] relation[0] to[0] whites[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the fact that " sweet sweetback " was a movie by black about blacks , was something new ( in the opening credits , van peebles lists the starring actors as simply " the black community " ) . 	the fact that " sweet sweetback " was a movie by black about blacks , was something new ( in the opening credits , van peebles lists the starring actors as simply " the black community " ) .	2	-1	 the[0] fact[0] that[0] sweet[1] sweetback[0] was[0] a[0] movie[0] by[0] black[0] about[0] blacks[0] was[0] something[0] new[0] in[0] the[0] opening[0] credits[0] van[0] peebles[0] lists[0] the[0] starring[0] actors[0] as[0] simply[0] the[0] black[0] community[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
van peebles tells an interesting story that goes a long way toward defining the difference between " sweet sweetback " and all movies that had come before it . 	van peebles tells an interesting story that goes a long way toward defining the difference between " sweet sweetback " and all movies that had come before it .	2	-1	 van[0] peebles[0] tells[0] an[0] interesting[1] story[0] that[0] goes[0] a[0] long[0] way[0] toward[0] defining[0] the[0] difference[0] between[0] sweet[1] sweetback[0] and[0] all[0] movies[0] that[0] had[0] come[0] before[0] it[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
when the movie first opened , he saw it in a theater next to an older woman . 	when the movie first opened , he saw it in a theater next to an older woman .	1	-1	 when[0] the[0] movie[0] first[0] opened[0] he[0] saw[0] it[0] in[0] a[0] theater[0] next[0] to[0] an[0] older[0] woman[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
near the end of the film , when sweetback is wounded by the police and stumbling through the southern california desert , she kept saying to herself , " oh lord , let him die . 	near the end of the film , when sweetback is wounded by the police and stumbling through the southern california desert , she kept saying to herself , " oh lord , let him die .	1	-2	 near[0] the[0] end[0] of[0] the[0] film[0] when[0] sweetback[0] is[0] wounded[-1] by[0] the[0] police[0] and[0] stumbling[0] through[0] the[0] southern[0] california[0] desert[0] she[0] kept[0] saying[0] to[0] herself[0] oh[0] lord[0] let[0] him[0] die[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
don't let them kill him . 	don't let them kill him .	1	-2	 don't[0] let[0] them[0] kill[-1] him[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
let him die on his own . " 	let him die on his own .<br> "	1	-1	 let[0] him[0] die[0] on[0] his[0] own[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it was so ingrained in her mind that death was imminent for any african-american in a movie who rebelled against white authority , that she couldn't even conceive of the possibility that the film might end with his successful escape . 	it was so ingrained in her mind that death was imminent for any african-american in a movie who rebelled against white authority , that she couldn't even conceive of the possibility that the film might end with his successful escape .	3	-3	 it[0] was[0] so[0] ingrained[0] in[0] her[0] mind[0] that[0] death[-2] was[0] imminent[0] for[0] any[0] african[0] american[0] in[0] a[0] movie[0] who[0] rebelled[-1] against[-1] white[0] authority[0] that[0] she[0] couldn't[0] even[0] conceive[0] of[0] the[0] possibility[0] that[0] the[0] film[0] might[0] end[0] with[0] his[0] successful[2] escape[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
and , of course , sweetback does escape , and the screen fills with the message : " watch out ! 	and , of course , sweetback does escape , and the screen fills with the message : " watch out !	1	-1	 and[0] of[0] course[0] sweetback[0] does[0] escape[0] and[0] the[0] screen[0] fills[0] with[0] the[0] message[0] watch[0] out[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
a baad asssss nigger is coming back to collect some dues . " 	a bad ass niger is coming back to collect some dues .<br> "	2	-2	 a[0] baad/bad[-1] asssss/ass[0][+0.6 MultipleLetters] nigger/niger[0] is[0] coming[0] back[0] to[0] collect[0] some[0] dues[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
beyond the political aspects , " sweet sweetback " is an entertaining picture , which van peebles always intended it to be . 	beyond the political aspects , " sweet sweetback " is an entertaining picture , which van peebles always intended it to be .	2	-1	 beyond[0] the[0] political[0] aspects[0] sweet[1] sweetback[0] is[0] an[0] entertaining[0] picture[0] which[0] van[0] peebles[0] always[0] intended[0] it[0] to[0] be[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
he squeezed every drop out of his limited budget , and produced a film that , although dated now , was technically fantastic at the time . 	he squeezed every drop out of his limited budget , and produced a film that , although dated now , was technically fantastic at the time .	3	-2	 he[0] squeezed[0] every[0] drop[-1] out[0] of[0] his[0] limited[0] budget[0] and[0] produced[0] a[0] film[0] that[0] although[0] dated[0] now[0] was[0] technically[0] fantastic[2] at[0] the[0] time[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
he shot in rough , documentary-like fashion , while also utilizing almost every visual and aural trick his technology would allow him . 	he shot in rough , documentary-like fashion , while also utilizing almost every visual and aural trick his technology would allow him .	2	-2	 he[0] shot[-1] in[0] rough[-1] documentary[0] like[1] fashion[0] while[0] also[0] utilizing[0] almost[0] every[0] visual[0] and[0] aural[0] trick[-1] his[0] technology[0] would[0] allow[0] him[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
he makes good use of older techniques like split screens , freeze frames , reversed color schemes , and overlapping images . 	he makes good use of older techniques like split screens , freeze frames , reversed color schemes , and overlapping images .	2	-1	 he[0] makes[0] good[1] use[0] of[0] older[0] techniques[0] like[1] split[0] screens[0] freeze[0] frames[0] reversed[0] color[0] schemes[0] and[0] overlapping[0] images[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the only time the film ever looks bad is during the night sequences , because van peebles simply did not have the needed equipment . 	the only time the film ever looks bad is during the night sequences , because van peebles simply did not have the needed equipment .	1	-2	 the[0] only[0] time[0] the[0] film[0] ever[0] looks[0] bad[-1] is[0] during[0] the[0] night[0] sequences[0] because[0] van[0] peebles[0] simply[0] did[0] not[0] have[0] the[0] needed[0] equipment[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
watching " sweet sweetback " more than twenty-five years after its initial release , one realizes that it still has bite . 	watching " sweet sweetback " more than twenty-five years after its initial release , one realizes that it still has bite .	2	-1	 watching[0] sweet[1] sweetback[0] more[0] than[0] twenty[0] five[0] years[0] after[0] its[0] initial[0] release[0] one[0] realizes[0] that[0] it[0] still[0] has[0] bite[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
arguments can be made that race relations in the united states have made quantum leaps since the early seventies , but there are still problems that are reflected in this film . 	arguments can be made that race relations in the united states have made quantum leaps since the early seventies , but there are still problems that are reflected in this film .	1	-2	 arguments[-1] can[0] be[0] made[0] that[0] race[0] relations[0] in[0] the[0] united[0] states[0] have[0] made[0] quantum[0] leaps[0] since[0] the[0] early[0] seventies[0] but[0] there[0] are[0] still[0] problems[-1] that[0] are[0] reflected[0] in[0] this[0] film[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
but there is more to the film than its racial aspect . 	but there is more to the film than its racial aspect .	1	-1	 but[0] there[0] is[0] more[0] to[0] the[0] film[0] than[0] its[0] racial[0] aspect[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the legacy of " sweet sweetback's baadasssss song " is not only the plentiful amount of art and music told from the african-american perspective , but more importantly , the work of every artist who has fought to fund and produce that which is important to him . 	the legacy of " sweet sweetback's badass song " is not only the plentiful amount of art and music told from the african-american perspective , but more importantly , the work of every artist who has fought to fund and produce that which is important to him .	2	-3	 the[0] legacy[0] of[0] sweet[1] sweetback's[0] baadasssss/badass[0][+0.6 MultipleLetters] song[0] is[0] not[0] only[0] the[0] plentiful[0] amount[0] of[0] art[0] and[0] music[0] told[0] from[0] the[0] african[0] american[0] perspective[0] but[0] more[0] importantly[0] the[0] work[0] of[0] every[0] artist[0] who[0] has[0] fought[-2] to[0] fund[0] and[0] produce[0] that[0] which[0] is[0] important[0] to[0] him[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
