 " through a spyglass , i could see everything . " 	Translation	Positive	Negative	EmotionRationale
the times are changing , though , and the gears inch ever closer toward violence . 	the times are changing , though , and the gears inch ever closer toward violence .	1	-4	 the[0] times[0] are[0] changing[0] though[0] and[0] the[0] gears[0] inch[0] ever[0] closer[0] toward[0] violence[-3] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
during the september massacres of 1792 , she is encountered by a procession of rioters brandishing the head of the duke's sister-in-law on a stake . 	during the september massacres of 1792 , she is encountered by a procession of rioters brandishing the head of the duke's sister-in-law on a stake .	1	-2	 during[0] the[0] september[0] massacres[-1] of[0] 1792[0] she[0] is[0] encountered[0] by[0] a[0] procession[0] of[0] rioters[0] brandishing[-1] the[0] head[0] of[0] the[0] duke's[0] sister[0] in[0] law[0] on[0] a[0] stake[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
rohmer makes a harsh transition from tranquil , old fashioned , almost stagy parlor scenes to the swell of an angry mob . 	rohmer makes a harsh transition from tranquil , old fashioned , almost stagy parlor scenes to the swell of an angry mob .	2	-4	 rohmer[0] makes[0] a[0] harsh[-1] transition[0] from[0] tranquil[1] old[0] fashioned[0] almost[0] stagy[0] parlor[0] scenes[0] to[0] the[0] swell[0] of[0] an[0] angry[-3] mob[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
in doing so , he achieves what braveheart and the patriot could not : the face of death . 	in doing so , he achieves what braveheart and the patriot could not : the face of death .	3	-3	 in[0] doing[0] so[0] he[0] achieves[0] what[0] braveheart[2] and[0] the[0] patriot[0] could[0] not[0] the[0] face[0] of[0] death[-2] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
when grace sees her friend's disembodied head on a pole , rohmer's attention drifts from the societal change to one woman's reaction shot , laden with hot tears . 	when grace sees her friend's disembodied head on a pole , rohmer's attention drifts from the societal change to one woman's reaction shot , laden with hot tears .	3	-4	 when[0] grace[2] sees[0] her[0] friend's[1] disembodied[0] head[0] on[0] a[0] pole[0] rohmer's[0] attention[0] drifts[0] from[0] the[0] societal[0] change[0] to[0] one[0] woman's[0] reaction[0] shot[-1] laden[0] with[0] hot[0] tears[-3] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
grace finds herself taking in a fugitive from justice , sheltering him from the mob . 	grace finds herself taking in a fugitive from justice , sheltering him from the mob .	3	-2	 grace[2] finds[0] herself[0] taking[0] in[0] a[0] fugitive[-1] from[0] justice[0] sheltering[0] him[0] from[0] the[0] mob[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
through her relationship with the duke , she seeks a passport for this one activist's escape . 	through her relationship with the duke , she seeks a passport for this one activist's escape .	1	-1	 through[0] her[0] relationship[0] with[0] the[0] duke[0] she[0] seeks[0] a[0] passport[0] for[0] this[0] one[0] activist's[0] escape[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
grace doesn't even understand her own actions ( and the duke reacts in stunned disbelief at how she places herself in such danger ) . 	grace doesn't even understand her own actions ( and the duke reacts in stunned disbelief at how she places herself in such danger ) .	3	-2	 grace[2] doesn't[0] even[0] understand[0] her[0] own[0] actions[0] and[0] the[0] duke[0] reacts[0] in[0] stunned[-1] disbelief[-1] at[0] how[0] she[0] places[0] herself[0] in[0] such[0] danger[-1] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
she endures persecution from robespierre and his gang of thuggish equalizers , ceaseless police monitoring , house searches , even a brief imprisonment for harmless international correspondence . 	she endures persecution from robespierre and his gang of thuggish equalizers , ceaseless police monitoring , house searches , even a brief imprisonment for harmless international correspondence .	2	-3	 she[0] endures[0] persecution[-2] from[0] robespierre[0] and[0] his[0] gang[0] of[0] thuggish[0] equalizers[0] ceaseless[0] police[0] monitoring[0] house[0] searches[0] even[0] a[0] brief[0] imprisonment[-1] for[0] harmless[1] international[0] correspondence[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
maintaining her stiff upper lip and pampered life ( her imperious attitude to the servants never changes ) , she becomes a heroine through circumstance . 	maintaining her stiff upper lip and pampered life ( her imperious attitude to the servants never changes ) , she becomes a heroine through circumstance .	3	-1	 maintaining[0] her[0] stiff[0] upper[0] lip[0] and[0] pampered[2] life[0] her[0] imperious[0] attitude[0] to[0] the[0] servants[0] never[0] changes[0] she[0] becomes[0] a[0] heroine[2] through[0] circumstance[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the events themselves are intrusions upon her person , her home , and therefore her values . 	the events themselves are intrusions upon her person , her home , and therefore her values .	2	-2	 the[0] events[0] themselves[0] are[0] intrusions[-1] upon[0] her[0] person[0] her[0] home[0] and[0] therefore[0] her[0] values[1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
aristocracy proves a glass house , one that can barely withstand the upheaval of stones . 	aristocracy proves a glass house , one that can barely withstand the upheaval of stones .	1	-2	 aristocracy[0] proves[0] a[0] glass[0] house[0] one[0] that[0] can[0] barely[0] withstand[0] the[0] upheaval[-1] of[0] stones[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the duke is called to vote on the king's punishment , and despite his hours of deliberation with friends and advisors , talk means nothing in the face of bloody action ( or futile inaction ) . 	the duke is called to vote on the king's punishment , and despite his hours of deliberation with friends and advisors , talk means nothing in the face of bloody action ( or futile inaction ) .	2	-2	 the[0] duke[0] is[0] called[0] to[0] vote[0] on[0] the[0] king's[0] punishment[-1] and[0] despite[0] his[0] hours[0] of[0] deliberation[0] with[0] friends[1] and[0] advisors[0] talk[0] means[0] nothing[0] in[0] the[0] face[0] of[0] bloody[-1] action[0] or[0] futile[0] inaction[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the episodic structure creates a wobbly , jarring detachment from the events of the french revolution , which serves as metaphor but also disconnects potential audience identification . 	the episodic structure creates a wobbly , jarring detachment from the events of the french revolution , which serves as metaphor but also disconnects potential audience identification .	1	-2	 the[0] episodic[0] structure[0] creates[0] a[0] wobbly[0] jarring[0] detachment[-1] from[0] the[0] events[0] of[0] the[0] french[0] revolution[-1] which[0] serves[0] as[0] metaphor[0] but[0] also[0] disconnects[0] potential[0] audience[0] identification[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
lazy viewers ( and critics ) may also complain that knowledge of french history is required for enjoyment of the lady and the duke . 	lazy viewers ( and critics ) may also complain that knowledge of french history is required for enjoyment of the lady and the duke .	3	-2	 lazy[-1] viewers[0] and[0] critics[0] may[0] also[0] complain[-1] that[0] knowledge[0] of[0] french[0] history[0] is[0] required[0] for[0] enjoyment[2] of[0] the[0] lady[0] and[0] the[0] duke[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
that's foolery , but brings up the valid criticism that rohmer's characters occasionally become didactic . 	that's foolery , but brings up the valid criticism that rohmer's characters occasionally become didactic .	1	-2	 that's[0] foolery[-1] but[0] brings[0] up[0] the[0] valid[0] criticism[-1] that[0] rohmer's[0] characters[0] occasionally[0] become[0] didactic[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
rohmer's imperfect but assured push toward the future remains staunch and notable for casting a cautious eye upon the past while taking bold steps forward into an uncertain future . 	rohmer's imperfect but assured push toward the future remains staunch and notable for casting a cautious eye upon the past while taking bold steps forward into an uncertain future .	1	-2	 rohmer's[0] imperfect[-1] but[0] assured[0] push[0] toward[0] the[0] future[0] remains[0] staunch[0] and[0] notable[0] for[0] casting[0] a[0] cautious[0] eye[0] upon[0] the[0] past[0] while[0] taking[0] bold[0] steps[0] forward[0] into[0] an[0] uncertain[0] future[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
what may arouse interest in the lady and the duke outside of foreign film enthusiasts with literary and historical passions is rohmer's use of cutting edge digital technology as a means of exploring the theme of artifice as safety net or coping mechanism . 	what may arouse interest in the lady and the duke outside of foreign film enthusiasts with literary and historical passions is rohmer's use of cutting edge digital technology as a means of exploring the theme of artifice as safety net or coping mechanism .	3	-2	 what[0] may[0] arouse[0] interest[1] in[0] the[0] lady[0] and[0] the[0] duke[0] outside[0] of[0] foreign[-1] film[0] enthusiasts[2] with[0] literary[0] and[0] historical[0] passions[2] is[0] rohmer's[0] use[0] of[0] cutting[0] edge[0] digital[0] technology[0] as[0] a[0] means[0] of[0] exploring[0] the[0] theme[0] of[0] artifice[0] as[0] safety[1] net[0] or[0] coping[0] mechanism[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
the actors were filmed against a bluescreen , then placed against painted backdrops recreating the vastness of 18th century paris . 	the actors were filmed against a bluescreen , then placed against painted backdrops recreating the vastness of 18th century paris .	1	-2	 the[0] actors[0] were[0] filmed[0] against[-1] a[0] bluescreen[0] then[0] placed[0] against[-1] painted[0] backdrops[0] recreating[0] the[0] vastness[0] of[0] 18th[0] century[0] paris[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
this recreation calls attention to itself in every shot , a technicolor dream of fanciful buildings and wide-open streets . 	this recreation calls attention to itself in every shot , a technicolor dream of fanciful buildings and wide-open streets .	1	-2	 this[0] recreation[0] calls[0] attention[0] to[0] itself[0] in[0] every[0] shot[-1] a[0] technicolor[0] dream[0] of[0] fanciful[0] buildings[0] and[0] wide[0] open[0] streets[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it looks as phony as titanic , but unlike james cameron's debacle , the lady and the duke plays with the notion of false security in those walls of stone . 	it looks as phony as titanic , but unlike james cameron's debacle , the lady and the duke plays with the notion of false security in those walls of stone .	2	-1	 it[0] looks[0] as[0] phony[0] as[0] titanic[0] but[0] unlike[0] james[0] cameron's[0] debacle[0] the[0] lady[0] and[0] the[0] duke[0] plays[1] with[0] the[0] notion[0] of[0] false[0] security[1] in[0] those[0] walls[0] of[0] stone[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
why ? 	why ?	1	-1	 why[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
they aren't real . 	they aren't real .	1	-1	 they[0] aren't[0] real[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the very foundation rohmer's characters stand upon is false , and in their groundlessness they must discover themselves , in all their insubstantial glory . 	the very foundation rohmer's characters stand upon is false , and in their groundlessness they must discover themselves , in all their insubstantial glory .	2	-1	 the[0] very[0] foundation[0] rohmer's[0] characters[0] stand[0] upon[0] is[0] false[0] and[0] in[0] their[0] groundlessness[0] they[0] must[0] discover[0] themselves[0] in[0] all[0] their[0] insubstantial[0] glory[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
screened at the 2001 new york film festival ( feature coming soon ) . 	screened at the 2001 new york film festival ( feature coming soon ) .	1	-1	 screened[0] at[0] the[0] 2001[0] new[0] york[0] film[0] festival[0] feature[0] coming[0] soon[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
