city of angels is the kind of love story that i enjoy the most : thought-provoking , moving , and completely unsentimental . 	Translation	Positive	Negative	EmotionRationale
he's perfect for a role like this , and at the same time he reassures us he's not bound by playing the psycho ( though he is good at it , as he shows in face/off ) . 	he's perfect for a role like this , and at the same time he reassures us he's not bound by playing the psycho ( though he is good at it , as he shows in face/off ) .	2	-1	 he's[0] perfect[1] for[0] a[0] role[0] like[1] this[0] and[0] at[0] the[0] same[0] time[0] he[0] reassures[1] us[0] he's[0] not[0] bound[0] by[0] playing[1] the[0] psycho[0] though[0] he[0] is[0] good[1] at[0] it[0] as[0] he[0] shows[0] in[0] face/off[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
meg ryan is a powerful , enticing , and appealingly-chirpy actress , and her work here is some of her best . 	meg ryan is a powerful , enticing , and appealingly-chirpy actress , and her work here is some of her best .	2	-1	 meg[0] ryan[0] is[0] a[0] powerful[0] enticing[0] and[0] appealingly[0] chirpy[0] actress[0] and[0] her[0] work[0] here[0] is[0] some[0] of[0] her[0] best[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
dennis franz , however , steals all of his scenes as the energetic former-angel . 	dennis franz , however , steals all of his scenes as the energetic former-angel .	1	-3	 dennis[0] franz[0] however[0] steals[-2] all[0] of[0] his[0] scenes[0] as[0] the[0] energetic[0] former[0] angel[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
what i admire most about city of angels is its overall presentation . 	what i admire most about city of angels is its overall presentation .	3	-1	 what[0] i[0] admire[2] most[0] about[0] city[0] of[0] angels[0] is[0] its[0] overall[0] presentation[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
director brad silberling is a talented man , and he knows that a story like this is driven by the characters , rather than forced sentimentality . 	director brad silberling is a talented man , and he knows that a story like this is driven by the characters , rather than forced sentimentality .	3	-1	 director[0] brad[0] silberling[0] is[0] a[0] talented[1] man[0] and[0] he[0] knows[0] that[0] a[0] story[0] like[1] this[0] is[0] driven[0] by[0] the[0] characters[0] rather[0] than[0] forced[0] sentimentality[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
his direction is steady , and he shows this in just about every scene : near the beginning , maggie has to tell a mother and her two children that their father is dead . 	his direction is steady , and he shows this in just about every scene : near the beginning , maggie has to tell a mother and her two children that their father is dead .	1	-3	 his[0] direction[0] is[0] steady[0] and[0] he[0] shows[0] this[0] in[0] just[0] about[0] every[0] scene[0] near[0] the[0] beginning[0] maggie[0] has[0] to[0] tell[0] a[0] mother[0] and[0] her[0] two[0] children[0] that[0] their[0] father[0] is[0] dead[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
there is no music or elaborate camera work ; we simply see the reactions of the characters to the information . 	there is no music or elaborate camera work ; we simply see the reactions of the characters to the information .	1	-1	 there[0] is[0] no[0] music[0] or[0] elaborate[0] camera[0] work[0] we[0] simply[0] see[0] the[0] reactions[0] of[0] the[0] characters[0] to[0] the[0] information[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this is the way stories should be told , and the strength of scenes resonates more completely when the emotions are real . 	this is the way stories should be told , and the strength of scenes resonates more completely when the emotions are real .	1	-1	 this[0] is[0] the[0] way[0] stories[0] should[0] be[0] told[0] and[0] the[0] strength[0] of[0] scenes[0] resonates[0] more[0] completely[0] when[0] the[0] emotions[0] are[0] real[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the film also appeals to the senses in a way that few love stories do . 	the film also appeals to the senses in a way that few love stories do .	3	-1	 the[0] film[0] also[0] appeals[0] to[0] the[0] senses[0] in[0] a[0] way[0] that[0] few[0] love[2] stories[0] do[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
cinematographer john seale ( the english patient ) provides some of the most stunning images i've seen on the big screen : hundreds of black-clad angels stand on a dim beach in the early morning hours ( just as an example ) . 	cinematographer john seale ( the english patient ) provides some of the most stunning images i've seen on the big screen : hundreds of black-clad angels stand on a dim beach in the early morning hours ( just as an example ) .	1	-2	 cinematographer[0] john[0] seale[0] the[0] english[0] patient[0] provides[0] some[0] of[0] the[0] most[0] stunning[0] images[0] i've[0] seen[0] on[0] the[0] big[0] screen[0] hundreds[0] of[0] black[0] clad[0] angels[0] stand[0] on[0] a[0] dim[-1] beach[0] in[0] the[0] early[0] morning[0] hours[0] just[0] as[0] an[0] example[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the music , by gabriel yared ( also of the english patient ) , is perfect for this film : it's quiet and moody music ( but not sentimental ! ) , and adds to the atmosphere and tone nicely . 	the music , by gabriel yared ( also of the english patient ) , is perfect for this film : it's quiet and moody music ( but not sentimental !<br> ) , and adds to the atmosphere and tone nicely .	2	-3	 the[0] music[0] by[0] gabriel[0] yared[0] also[0] of[0] the[0] english[0] patient[0] is[0] perfect[1] for[0] this[0] film[0] it's[0] quiet[0] and[0] moody[-2] music[0] but[0] not[0] sentimental[2][NegatedDueToPreviousWord] [[Sentence=-3,2=word max, 1-5]] and[0] adds[0] to[0] the[0] atmosphere[0] and[0] tone[0] nicely[1] [[Sentence=-1,2=word max, 1-5]][[[2,-3 max of sentences]]]
the visual presentation of city of angels is easily the best of 1998 so far . 	the visual presentation of city of angels is easily the best of 1998 so far .	2	-1	 the[0] visual[0] presentation[0] of[0] city[0] of[0] angels[0] is[0] easily[0] the[0] best[1] of[0] 1998[0] so[0] far[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
all of this adds up to a film that is instantly set apart from other members of this genre . 	all of this adds up to a film that is instantly set apart from other members of this genre .	1	-1	 all[0] of[0] this[0] adds[0] up[0] to[0] a[0] film[0] that[0] is[0] instantly[0] set[0] apart[0] from[0] other[0] members[0] of[0] this[0] genre[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it's a film that relies on character development and imagery to get the story across--the excellent actors and the professional production values make city of angels one of those rare films that both entertains and instigates thought simultaneously . 	it's a film that relies on character development and imagery to get the story across-the excellent actors and the professional production values make city of angels one of those rare films that both entertains and instigates thought simultaneously .	4	-1	 it's[0] a[0] film[0] that[0] relies[0] on[0] character[0] development[0] and[0] imagery[0] to[0] get[0] the[0] story[0] across[0] the[0] excellent[3] actors[0] and[0] the[0] professional[0] production[0] values[1] make[0] city[0] of[0] angels[0] one[0] of[0] those[0] rare[0] films[0] that[0] both[0] entertains[0] and[0] instigates[0] thought[0] simultaneously[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
