the verdict : spine-chilling drama from horror maestro stephen king , featuring an outstanding , oscar-winning performance from kathy bates . 	Translation	Positive	Negative	EmotionRationale
both the script and kathy bates' beautifully masterful performance ( for which she won an oscar ) work arm-in-arm as we quickly begin to realise that beyond her bubbly exterior the woman is basically as nutty as a fruit-cake ( or is that fruity as a nut-cake ? ) . 	both the script and kathy bates' beautifully masterful performance ( for which she won an oscar ) work arm-in-arm as we quickly begin to realise that beyond her bubbly exterior the woman is basically as nutty as a fruit-cake ( or is that fruity as a nut-cake ?<br> ) .	3	-1	 both[0] the[0] script[0] and[0] kathy[0] bates'[0] beautifully[2] masterful[0] performance[0] for[0] which[0] she[0] won[0] an[0] oscar[0] work[0] arm[0] in[0] arm[0] as[0] we[0] quickly[0] begin[0] to[0] realise[0] that[0] beyond[0] her[0] bubbly[0] exterior[0] the[0] woman[0] is[0] basically[0] as[0] nutty[0] as[0] a[0] fruit[0] cake[0] or[0] is[0] that[0] fruity[0] as[0] a[0] nut[0] cake[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
bates relishes her demanding role , and her performance is nothing short of a masterpiece . 	bates relishes her demanding role , and her performance is nothing short of a masterpiece .	1	-1	 bates[0] relishes[0] her[0] demanding[0] role[0] and[0] her[0] performance[0] is[0] nothing[0] short[0] of[0] a[0] masterpiece[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
at times she seems like an innocent victim of her own obsessive behaviour , at times she's a rather tragic character , and more often than not she's just damned scary ! 	at times she seems like an innocent victim of her own obsessive behaviour , at times she's a rather tragic character , and more often than not she's just damned scary !	2	-4	 at[0] times[0] she[0] seems[0] like[1] an[0] innocent[1] victim[-2] of[0] her[0] own[0] obsessive[-2] behaviour[0] at[0] times[0] she's[0] a[0] rather[0] tragic[-2] character[0] and[0] more[0] often[0] than[0] not[0] she's[0] just[0] damned[-1][--1 LastWordBoosterStrength] scary[-3] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
this is basically a very simple tale , but it achieves a large degree of eloquence in its simplicity . 	this is basically a very simple tale , but it achieves a large degree of eloquence in its simplicity .	1	-1	 this[0] is[0] basically[0] a[0] very[0] simple[0] tale[0] but[0] it[0] achieves[0] a[0] large[0] degree[0] of[0] eloquence[0] in[0] its[0] simplicity[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it's an involving , engrossing experience - and considering it's basically a two-hander , mainly set in one locale , it's a remarkable piece of cinema . 	it's an involving , engrossing experience - and considering it's basically a two-hander , mainly set in one locale , it's a remarkable piece of cinema .	1	-1	 it's[0] an[0] involving[0] engrossing[0] experience[0] and[0] considering[0] it's[0] basically[0] a[0] two[0] hander[0] mainly[0] set[0] in[0] one[0] locale[0] it's[0] a[0] remarkable[0] piece[0] of[0] cinema[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
there are no jazzy special effects or cheesy action sequences - this one relies solely upon rob reiner's stylish directing and the wonderful performances of bates and caan . 	there are no jazy special effects or cheesy action sequences - this one relies solely upon rob reiner's stylish directing and the wonderful performances of bates and can .	3	-1	 there[0] are[0] no[0] jazzy/jazy[0] special[1] effects[0] or[0] cheesy[0] action[0] sequences[0] this[0] one[0] relies[0] solely[0] upon[0] rob[0] reiner's[0] stylish[0] directing[0] and[0] the[0] wonderful[2] performances[0] of[0] bates[0] and[0] caan/can[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
oh , i haven't really mentioned caan yet - he does a good job as the writer who's a prisoner of his own success ( annie is obsessed with him and his books ) . 	oh , i haven't really mentioned can yet - he does a good job as the writer who's a prisoner of his own success ( annie is obsessed with him and his books ) .	3	-3	 oh[0] i[0] haven't[0] really[0] mentioned[0] caan/can[0] yet[0] he[0] does[0] a[0] good[1] job[0] as[0] the[0] writer[0] who's[0] a[0] prisoner[-1] of[0] his[0] own[0] success[2] annie[0] is[0] obsessed[-2] with[0] him[0] and[0] his[0] books[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
but , as you no doubt gathered from the above - bates is well and truly the star of the show . 	but , as you no doubt gathered from the above - bates is well and truly the star of the show .	2	-2	 but[0] as[0] you[0] no[0] doubt[-1] gathered[0] from[0] the[0] above[0] bates[0] is[0] well[0] and[0] truly[1] the[0] star[0] of[0] the[0] show[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
along with the pig , of course ! 	along with the pig , of course !	1	-1	 along[0] with[0] the[0] pig[0] of[0] course[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
anyway , the tension is built-up with masterful aplomb , and some scenes are almost agonisingly tense . 	anyway , the tension is built-up with masterful aplomb , and some scenes are almost agonisingly tense .	1	-4	 anyway[0] the[0] tension[-2] is[0] built[0] up[0] with[0] masterful[0] aplomb[0] and[0] some[0] scenes[0] are[0] almost[0] agonisingly[-3] tense[-2][-1 MultiplePositiveWords] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
there's the dinner scene where seldon goes to nerve-shattering lengths to poison her wine . 	there's the dinner scene where seldon goes to nerve-shattering lengths to poison her wine .	1	-3	 there's[0] the[0] dinner[0] scene[0] where[0] seldon[0] goes[0] to[0] nerve[0] shattering[0] lengths[0] to[0] poison[-2] her[0] wine[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
he succeeds , but . . . she 	he succeeds , but .<br> .<br> .<br> she	3	-1	 he[0] succeeds[2] but[0] [[Sentence=-1,3=word max, 1-5]] she[0] [[Sentence=-1,1=word max, 1-5]][[[3,-1 max of sentences]]]
knocks the glass over ! 	knocks the glass over !	1	-1	 knocks[0] the[0] glass[0] over[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i bet you threw a pillow at the screen as well ! 	i bet you threw a pillow at the screen as well !	1	-1	 i[0] bet[0] you[0] threw[0] a[0] pillow[0] at[0] the[0] screen[0] as[0] well[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in the immortal words of homer j . simpson - " d'oh ! ! " 	in the immortal words of homer j .<br> simpson - " d'oh !<br> !<br> "	2	-1	 in[0] the[0] immortal[1] words[0] of[0] homer[0] j[0] [[Sentence=-1,2=word max, 1-5]] simpson[0] d'oh[0] [[Sentence=-1,1=word max, 1-5]][[[2,-1 max of sentences]]]
other nerve-wracking scenes include the bit where annie has gone off to town and sheldon starts snooping around the house . 	other nerve-wracking scenes include the bit where annie has gone off to town and sheldon starts snooping around the house .	1	-1	 other[0] nerve[0] wracking[0] scenes[0] include[0] the[0] bit[0] where[0] annie[0] has[0] gone[0] off[0] to[0] town[0] and[0] sheldon[0] starts[0] snooping[0] around[0] the[0] house[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
we cut to annie in her car - she's on her way home . . . he 	we cut to annie in her car - she's on her way home .<br> .<br> .<br> he	1	-1	 we[0] cut[0] to[0] annie[0] in[0] her[0] car[0] she's[0] on[0] her[0] way[0] home[0] [[Sentence=-1,1=word max, 1-5]] he[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
realises this and tries to get back to his room . . . cut 	realises this and tries to get back to his room .<br> .<br> .<br> cut	1	-1	 realises[0] this[0] and[0] tries[0] to[0] get[0] back[0] to[0] his[0] room[0] [[Sentence=-1,1=word max, 1-5]] cut[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
to the car again , she's getting near . . . will he make it ? 	to the car again , she's getting near .<br> .<br> .<br> will he make it ?	1	-1	 to[0] the[0] car[0] again[0] she's[0] getting[0] near[0] [[Sentence=-1,1=word max, 1-5]] will[0] he[0] make[0] it[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
ok , so these sequences aren't exactly original , nor perhaps unpredictable - but they work ! 	ok , so these sequences aren't exactly original , nor perhaps unpredictable - but they work !	1	-1	 ok[0] so[0] these[0] sequences[0] aren't[0] exactly[0] original[0] nor[0] perhaps[0] unpredictable[0] but[0] they[0] work[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
boy , do they work ! 	boy , do they work !	1	-1	 boy[0] do[0] they[0] work[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
if a film has you on the edge of your couch , biting your nails and shouting at the screen in suspense , then it's doing something right ! 	if a film has you on the edge of your couch , biting your nails and shouting at the screen in suspense , then it's doing something right !	1	-1	 if[0] a[0] film[0] has[0] you[0] on[0] the[0] edge[0] of[0] your[0] couch[0] biting[0] your[0] nails[0] and[0] shouting[0] at[0] the[0] screen[0] in[0] suspense[0] then[0] it's[0] doing[0] something[0] right[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
of course , the most nauseating sequence is the aforementioned " hobbling " ! 	of course , the most nauseating sequence is the aforementioned " hobbling " !	1	-1	 of[0] course[0] the[0] most[0] nauseating[0] sequence[0] is[0] the[0] aforementioned[0] hobbling[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
annie realises her captive has been out of his room , and she's going to stop him once and for all . 	annie realises her captive has been out of his room , and she's going to stop him once and for all .	1	-2	 annie[0] realises[0] her[0] captive[-1] has[0] been[0] out[0] of[0] his[0] room[0] and[0] she's[0] going[0] to[0] stop[0] him[0] once[0] and[0] for[0] all[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
cue a block of wood placed strategically between his ankles and a huge sledgehammer , and . . . i feel ill just thinking about it ! 	cue a block of wood placed strategically between his ankles and a huge sledgehammer , and .<br> .<br> .<br> i feel ill just thinking about it !	1	-2	 cue[0] a[0] block[-1] of[0] wood[0] placed[0] strategically[0] between[0] his[0] ankles[0] and[0] a[0] huge[0] sledgehammer[0] and[0] [[Sentence=-2,1=word max, 1-5]] i[0] feel[0] ill[-1] just[0] thinking[0] about[0] it[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
nasty . 	nasty .	1	-3	 nasty[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
it all builds up nicely to the final scene where sheldon finally gets the upper hand , and once and for all tries to kill the crazy psycho ! 	it all builds up nicely to the final scene where sheldon finally gets the upper hand , and once and for all tries to kill the crazy psycho !	2	-2	 it[0] all[0] builds[0] up[0] nicely[1] to[0] the[0] final[0] scene[0] where[0] sheldon[0] finally[0] gets[0] the[0] upper[0] hand[0] and[0] once[0] and[0] for[0] all[0] tries[0] to[0] kill[-1] the[0] crazy[-1] psycho[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
and then we're given one of the most ridiculously over-the-top fight scenes i've ever seen . 	and then we're given one of the most ridiculously over-the-top fight scenes i've ever seen .	1	-3	 and[0] then[0] we're[0] given[0] one[0] of[0] the[0] most[0] ridiculously[-2] over[0] the[0] top[0] fight[-2] scenes[0] i've[0] ever[0] seen[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
she gets hit over the head with a typewriter , set on fire , head smashed against the wall - and she just won't die ! 	she gets hit over the head with a typewriter , set on fire , head smashed against the wall - and she just won't die !	1	-2	 she[0] gets[0] hit[0] over[0] the[0] head[0] with[0] a[0] typewriter[0] set[0] on[0] fire[0] head[0] smashed[0] against[-1] the[0] wall[0] and[0] she[0] just[0] won't[0] die[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
sheldon isn't in terribly good shape either . 	sheldon isn't in terribly good shape either .	4	-1	 sheldon[0] isn't[0] in[0] terribly[-3][NegatedDueToPreviousWord] good[1] shape[0] either[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
if it weren't so gorey it would almost be laughable . 	if it weren't so gorey it would almost be laughable .	1	-2	 if[0] it[0] weren't[0] so[0] gorey[0] it[0] would[0] almost[0] be[0] laughable[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
but it's a terrifically effective film , and therefore the daft climax is easily overlooked . 	but it's a terrifically effective film , and therefore the daft climax is easily overlooked .	4	-2	 but[0] it's[0] a[0] terrifically[3] effective[0] film[0] and[0] therefore[0] the[0] daft[0] climax[0] is[0] easily[0] overlooked[-1] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
misery is a tight , tense , intense and chillingly entertaining thriller . 	misery is a tight , tense , intense and chillingly entertaining thriller .	2	-3	 misery[-2] is[0] a[0] tight[0] tense[-2] intense[0] and[0] chillingly[0] entertaining[0] thriller[1] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
the directing is first-rate , and the performances - bates in particular - contribute to making this a suitably nightmarish little gem . 	the directing is first-rate , and the performances - bates in particular - contribute to making this a suitably nightmarish little gem .	1	-1	 the[0] directing[0] is[0] first[0] rate[0] and[0] the[0] performances[0] bates[0] in[0] particular[0] contribute[0] to[0] making[0] this[0] a[0] suitably[0] nightmarish[0] little[0] gem[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
wonderful stuff . 	wonderful stuff .	3	-1	 wonderful[2] stuff[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
 ? - * - * - * - * - * - * - * - * - for more regularly-updated film and tv reviews , check out my site ! 	 ?<br> - * - * - * - * - * - * - * - * - for more regularly-updated film and tv reviews , check out my site !	1	-1	 for[0] more[0] regularly[0] updated[0] film[0] and[0] tv[0] reviews[0] check[0] out[0] my[0] site[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
http : //www . geocities . com/hollywood/bungalow/4960 	http : //w .<br> geocities .<br> com/hollywood/bungalow/4960	1	-1	 http[0] //www///w[0] [[Sentence=-1,1=word max, 1-5]] geocities[0] [[Sentence=-1,1=word max, 1-5]] com/hollywood/bungalow/4960[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
- * - * - * - * - * - * - * - * - 	- * - * - * - * - * - * - * - * -	1	-1	[[[0,0 max of sentences]]]
