i can hear the question already . 	Translation	Positive	Negative	EmotionRationale
some of the more outlandish comedy scenes even hark back to his " early , funny " films . 	some of the more outlandish comedy scenes even hark back to his " early , funny " films .	2	-1	 some[0] of[0] the[0] more[0] outlandish[0] comedy[0] scenes[0] even[0] hark[0] back[0] to[0] his[0] early[0] funny[1] films[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the scenes between tim roth and drew barrymore could have come out of " take the money and run , " his directorial debut . 	the scenes between tim roth and drew barrymore could have come out of " take the money and run , " his directorial debut .	1	-1	 the[0] scenes[0] between[0] tim[0] roth[0] and[0] drew[0] barrymore[0] could[0] have[0] come[0] out[0] of[0] take[0] the[0] money[0] and[0] run[0] his[0] directorial[0] debut[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
however , nothing allen has ever done prepared me for this one-of-a-kind display of sheer good spirits . 	however , nothing allen has ever done prepared me for this one-of-a-kind display of sheer good spirits .	2	-1	 however[0] nothing[0] allen[0] has[0] ever[0] done[0] prepared[0] me[0] for[0] this[0] one[0] of[0] a[0] kind[1] display[0] of[0] sheer[0] good[1] spirits[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
in fact , in this movie , the feeling itself is what's most important . 	in fact , in this movie , the feeling itself is what's most important .	1	-1	 in[0] fact[0] in[0] this[0] movie[0] the[0] feeling[0] itself[0] is[0] what's[0] most[0] important[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
yes , the movie would have been better--among his very best , i think--if it had a meatier story . 	yes , the movie would have been better-among his very best , i think-if it had a meatier story .	3	-1	 yes[0] the[0] movie[0] would[0] have[0] been[0] better[0] among[0] his[0] very[0] best[1][1 LastWordBoosterStrength] i[0] think[0] if[0] it[0] had[0] a[0] meatier[0] story[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
but what it lacks in substance it makes up for in feeling . 	but what it lacks in substance it makes up for in feeling .	1	-1	 but[0] what[0] it[0] lacks[0] in[0] substance[0] it[0] makes[0] up[0] for[0] in[0] feeling[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and what better way to express feeling than through music ? 	and what better way to express feeling than through music ?	1	-1	 and[0] what[0] better[0] way[0] to[0] express[0] feeling[0] than[0] through[0] music[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
love is often best expressed in a song , and the numbers the cast break into here cut straight to the heart . 	love is often best expressed in a song , and the numbers the cast break into here cut straight to the heart .	3	-1	 love[2] is[0] often[0] best[1] expressed[0] in[0] a[0] song[0] and[0] the[0] numbers[0] the[0] cast[0] break[0] into[0] here[0] cut[0] straight[0] to[0] the[0] heart[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
some are a tad too goofy , such as the number where a lot of ghosts prance around in a funeral parlor , but i admired allen for even putting them in there . 	some are a tad too goofy , such as the number where a lot of ghosts prance around in a funeral parlor , but i admired allen for even putting them in there .	3	-1	 some[0] are[0] a[0] tad[0] too[0] goofy[0] such[0] as[0] the[0] number[0] where[0] a[0] lot[0] of[0] ghosts[0] prance[0] around[0] in[0] a[0] funeral[0] parlor[0] but[0] i[0] admired[2] allen[0] for[0] even[0] putting[0] them[0] in[0] there[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
it also helps that as usual , allen has a top-flight cast working with him . 	it also helps that as usual , allen has a top-flight cast working with him .	1	-1	 it[0] also[0] helps[0] that[0] as[0] usual[0] allen[0] has[0] a[0] top[0] flight[0] cast[0] working[0] with[0] him[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
their singing voices range from quite good ( goldie hawn ) to not quite good ( allen ) to literally unlistenable ( barrymore , whose real voice was dubbed by a professional ) . 	their singing voices range from quite good ( goldie hawn ) to not quite good ( allen ) to literally unlistenable ( barrymore , whose real voice was dubbed by a professional ) .	2	-2	 their[0] singing[0] voices[0] range[0] from[0] quite[0] good[1] goldie[0] hawn[0] to[0] not[0] quite[0] good[1][NegatedDueToPreviousWord] allen[0] to[0] literally[0] unlistenable[0] barrymore[0] whose[0] real[0] voice[0] was[0] dubbed[0] by[0] a[0] professional[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
but while their vocal abilities differ , all the actors do a great job of putting joy up there on the screen , and making it rub off on the audience . 	but while their vocal abilities differ , all the actors do a great job of putting joy up there on the screen , and making it rub off on the audience .	3	-2	 but[0] while[0] their[0] vocal[0] abilities[0] differ[-1] all[0] the[0] actors[0] do[0] a[0] great[2] job[0] of[0] putting[0] joy[2] up[0] there[0] on[0] the[0] screen[0] and[0] making[0] it[0] rub[0] off[0] on[0] the[0] audience[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
granted , some people will simply never accept characters singing in movies , but for those attuned to it , this film should work wonders . 	granted , some people will simply never accept characters singing in movies , but for those attuned to it , this film should work wonders .	1	-1	 granted[0] some[0] people[0] will[0] simply[0] never[0] accept[0] characters[0] singing[0] in[0] movies[0] but[0] for[0] those[0] attuned[0] to[0] it[0] this[0] film[0] should[0] work[0] wonders[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
jane campion , too , has a top-flight cast working for her in " portrait of a lady , " too , but even their considerable skills can do nothing to keep the film from being a stilted , virtually lifeless mess , albeit a visually interesting one . 	jane campion , too , has a top-flight cast working for her in " portrait of a lady , " too , but even their considerable skills can do nothing to keep the film from being a stilted , virtually lifeless mess , albeit a visually interesting one .	2	-2	 jane[0] campion[0] too[0] has[0] a[0] top[0] flight[0] cast[0] working[0] for[0] her[0] in[0] portrait[0] of[0] a[0] lady[0] too[0] but[0] even[0] their[0] considerable[0] skills[0] can[0] do[0] nothing[0] to[0] keep[0] the[0] film[0] from[0] being[0] a[0] stilted[0] virtually[0] lifeless[-1] mess[0] albeit[0] a[0] visually[0] interesting[1] one[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
campion and her cinematographer stuart dryburgh come up with a great variety of eye-filling images that linger in the mind . 	campion and her cinematographer stuart dryburgh come up with a great variety of eye-filling images that linger in the mind .	3	-1	 campion[0] and[0] her[0] cinematographer[0] stuart[0] dryburgh[0] come[0] up[0] with[0] a[0] great[2] variety[0] of[0] eye[0] filling[0] images[0] that[0] linger[0] in[0] the[0] mind[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
unfortunately , what didn't linger in the mind for me was the story the visuals were supposed to be reflecting . 	unfortunately , what didn't linger in the mind for me was the story the visuals were supposed to be reflecting .	1	-2	 unfortunately[-1] what[0] didn't[0] linger[0] in[0] the[0] mind[0] for[0] me[0] was[0] the[0] story[0] the[0] visuals[0] were[0] supposed[0] to[0] be[0] reflecting[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
i remember very well shots of a train with its light beaming and shots of men vanishing around nicole kidman , but i can remember very little of what happened between all these people . 	i remember very well shots of a train with its light beaming and shots of men vanishing around nicole kidman , but i can remember very little of what happened between all these people .	1	-2	 i[0] remember[0] very[0] well[0] shots[0] of[0] a[0] train[0] with[0] its[0] light[0] beaming[0] and[0] shots[0] of[0] men[0] vanishing[-1] around[0] nicole[0] kidman[0] but[0] i[0] can[0] remember[0] very[0] little[0] of[0] what[0] happened[0] between[0] all[0] these[0] people[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
even worse , i don't find myself feeling bad that i've forgotten . 	even worse , i don't find myself feeling bad that i've forgotten .	1	-3	 even[0] worse[-2] i[0] don't[0] find[0] myself[0] feeling[0] bad[-1] that[0] i've[0] forgotten[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the problem , i think , lies not with the cast , which seemed to be trying very hard for the material . 	the problem , i think , lies not with the cast , which seemed to be trying very hard for the material .	1	-3	 the[0] problem[-1] i[0] think[0] lies[-2] not[0] with[0] the[0] cast[0] which[0] seemed[0] to[0] be[0] trying[0] very[0] hard[0] for[0] the[0] material[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
it was the script that couldn't convince me to care about anyone . 	it was the script that couldn't convince me to care about anyone .	2	-1	 it[0] was[0] the[0] script[0] that[0] couldn't[0] convince[0] me[0] to[0] care[1] about[0] anyone[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the characters were putting out all kinds of emotion , but i found no reason to connect with any of them . 	the characters were putting out all kinds of emotion , but i found no reason to connect with any of them .	1	-1	 the[0] characters[0] were[0] putting[0] out[0] all[0] kinds[0] of[0] emotion[0] but[0] i[0] found[0] no[0] reason[0] to[0] connect[0] with[0] any[0] of[0] them[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i understood that the story was about cold , emotionally vacant characters , but for me to care about them , i have to identify with them somehow and want them to inject feeling into their lives . 	i understood that the story was about cold , emotionally vacant characters , but for me to care about them , i have to identify with them somehow and want them to inject feeling into their lives .	2	-2	 i[0] understood[0] that[0] the[0] story[0] was[0] about[0] cold[-1] emotionally[0] vacant[0] characters[0] but[0] for[0] me[0] to[0] care[1] about[0] them[0] i[0] have[0] to[0] identify[0] with[0] them[0] somehow[0] and[0] want[0] them[0] to[0] inject[0] feeling[0] into[0] their[0] lives[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
jones' script never simply gave me that opportunity . 	jones' script never simply gave me that opportunity .	1	-1	 jones'[0] script[0] never[0] simply[0] gave[0] me[0] that[0] opportunity[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in the end , it almost seemed as if campion was trying to inject some life of her own into the proceedings with her visual flourishes . 	in the end , it almost seemed as if campion was trying to inject some life of her own into the proceedings with her visual flourishes .	1	-1	 in[0] the[0] end[0] it[0] almost[0] seemed[0] as[0] if[0] campion[0] was[0] trying[0] to[0] inject[0] some[0] life[0] of[0] her[0] own[0] into[0] the[0] proceedings[0] with[0] her[0] visual[0] flourishes[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
unfortunately , as she kept painting these dazzling pictures , they only served to push me further away from the material and remind me that there was no connection between me and the film . 	unfortunately , as she kept painting these dazling pictures , they only served to push me further away from the material and remind me that there was no connection between me and the film .	1	-2	 unfortunately[-1] as[0] she[0] kept[0] painting[0] these[0] dazzling/dazling[0] pictures[0] they[0] only[0] served[0] to[0] push[0] me[0] further[0] away[0] from[0] the[0] material[0] and[0] remind[0] me[0] that[0] there[0] was[0] no[0] connection[0] between[0] me[0] and[0] the[0] film[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
in the end , the movie's one strength ended up hurting it . 	in the end , the movie's one strength ended up hurting it .	1	-3	 in[0] the[0] end[0] the[0] movie's[0] one[0] strength[0] ended[0] up[0] hurting[-2] it[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
so here we have two films with pretty uninteresting plots , and yet i was able to truly enjoy one of them . 	so here we have two films with pretty uninteresting plots , and yet i was able to truly enjoy one of them .	3	-1	 so[0] here[0] we[0] have[0] two[0] films[0] with[0] pretty[2] uninteresting[0] plots[0] and[0] yet[0] i[0] was[0] able[0] to[0] truly[1] enjoy[2] one[0] of[0] them[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
why ? 	why ?	1	-1	 why[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
with both films , my head cared about neither story , but only " everyone says i love you " was able to make my heart sing . 	with both films , my head cared about neither story , but only " everyone says i love you " was able to make my heart sing .	3	-1	 with[0] both[0] films[0] my[0] head[0] cared[1] about[0] neither[0] story[0] but[0] only[0] everyone[0] says[0] i[0] love[2] you[0] was[0] able[0] to[0] make[0] my[0] heart[0] sing[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
