veteran actor clint eastwood has never looked as grizzled as he does in true crime , his latest directorial effort . 	Translation	Positive	Negative	EmotionRationale
eastwood furrows his brow . 	eastwood furrows his brow .	1	-1	 eastwood[0] furrows[0] his[0] brow[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
crinkled expressions and all , clint is the centre of energy of true crime . 	crinkled expressions and all , clint is the centre of energy of true crime .	2	-2	 crinkled[0] expressions[0] and[0] all[0] clint[0] is[0] the[0] centre[0] of[0] energy[0] of[0] true[1] crime[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the film is by no means a standard action/suspense yarn , but a thoughtful human story in which the characters come before the shoot-outs . 	the film is by no means a standard action/suspense yarn , but a thoughtful human story in which the characters come before the shoot-outs .	2	-2	 the[0] film[0] is[0] by[0] no[0] means[0] a[0] standard[0] action/suspense[0] yarn[0] but[0] a[0] thoughtful[1] human[0] story[0] in[0] which[0] the[0] characters[0] come[0] before[0] the[0] shoot[-1] outs[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
isaiah washington has a break-out performance as frank beacham , and scenes with him and his weary wife ( lisa gay hamilton ) are truly heartfelt moments . 	isaiah washington has a break-out performance as frank beacham , and scenes with him and his weary wife ( lisa gay hamilton ) are truly heartfelt moments .	2	-2	 isaiah[0] washington[0] has[0] a[0] break[0] out[0] performance[0] as[0] frank[0] beacham[0] and[0] scenes[0] with[0] him[0] and[0] his[0] weary[0] wife[0] lisa[0] gay[-1] hamilton[0] are[0] truly[1] heartfelt[1] moments[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
but the best scenes are ones that feature eastwood duking it out with those in authority over him . 	but the best scenes are ones that feature eastwood duking it out with those in authority over him .	2	-1	 but[0] the[0] best[1] scenes[0] are[0] ones[0] that[0] feature[0] eastwood[0] duking[0] it[0] out[0] with[0] those[0] in[0] authority[0] over[0] him[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
denis leary , as everett's editor and boss , has more than a few memorable moments of restrained anger ( you see , ev is sleeping with his wife ) . 	denis leary , as everett's editor and boss , has more than a few memorable moments of restrained anger ( you see , ev is sleeping with his wife ) .	1	-4	 denis[0] leary[0] as[0] everett's[0] editor[0] and[0] boss[0] has[0] more[0] than[0] a[0] few[0] memorable[0] moments[0] of[0] restrained[0] anger[-3] you[0] see[0] ev[0] is[0] sleeping[0] with[0] his[0] wife[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
but hands down , the most enjoyable segments of the film are when james woods is on camera . 	but hands down , the most enjoyable segments of the film are when james woods is on camera .	3	-1	 but[0] hands[0] down[0] the[0] most[0] enjoyable[2] segments[0] of[0] the[0] film[0] are[0] when[0] james[0] woods[0] is[0] on[0] camera[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
playing the big boss alan mann , woods and eastwood create amusing chemistry and laugh-out-loud punchlines . 	playing the big boss alan man , woods and eastwood create amusing chemistry and laugh-out-loud punchlines .	2	-2	 playing[1] the[0] big[0] boss[0] alan[0] mann/man[0] woods[0] and[0] eastwood[0] create[0] amusing[1] chemistry[0] and[0] laugh[1] out[0] loud[0] punchlines[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
when true crime opts for a high-speed chase to the governer's house at the finale , the quality of film-making takes an abrupt nosedive . 	when true crime opts for a high-speed chase to the governer's house at the finale , the quality of film-making takes an abrupt nosedive .	2	-2	 when[0] true[1] crime[-1] opts[0] for[0] a[0] high[0] speed[0] chase[-1] to[0] the[0] governer's[0] house[0] at[0] the[0] finale[0] the[0] quality[0] of[0] film[0] making[0] takes[0] an[0] abrupt[-1] nosedive[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
eastwood was so successful with colorful character portraits that he didn't need to switch lanes . 	eastwood was so successful with colorful character portraits that he didn't need to switch lanes .	3	-1	 eastwood[0] was[0] so[0] successful[2] with[0] colorful[0] character[0] portraits[0] that[0] he[0] didn't[0] need[0] to[0] switch[0] lanes[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
true crime is a tension-building , intriguing drama showcase for the talented director and star . 	true crime is a tension-building , intriguing drama showcase for the talented director and star .	2	-3	 true[1] crime[-1] is[0] a[0] tension[-2] building[0] intriguing[0] drama[0] showcase[0] for[0] the[0] talented[1] director[0] and[0] star[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
this is a road block he could have easily dismissed ( i furrow my brow ) . 	this is a road block he could have easily dismissed ( i furrow my brow ) .	1	-2	 this[0] is[0] a[0] road[0] block[-1] he[0] could[0] have[0] easily[0] dismissed[-1] i[0] furrow[0] my[0] brow[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
 . . . . . . . . . . . . . . . . . . . . . . . . . . . 	 .<br> .<br> .<br> .<br> .<br> .<br> .<br> .<br> .<br> .<br> .<br> .<br> .<br> .<br> .<br> .<br> .<br> .<br> .<br> .<br> .<br> .<br> .<br> .<br> .<br> .<br> .	1	-1	[[[0,0 max of sentences]]]
