bill condon's " gods and monsters " is a fascinating look into the last days in the life of gay director james whale ( ian mckellan ) , who made the horror classics " frankenstein " and " bride of frankenstein . " 	Translation	Positive	Negative	EmotionRationale
since whale lives with only his loyal , but disapproving maid ( touchingly portrayed by lynn redgrave ) , it is boone that whale can talk to in his ultimate reclusion from the world , and the only reason whale finally decides to attend the gathering of george cuckor . 	since whale lives with only his loyal , but disapproving maid ( touchingly portrayed by lyn redgrave ) , it is bone that whale can talk to in his ultimate reclusion from the world , and the only reason whale finally decides to attend the gathering of george cuckor .	2	-2	 since[0] whale[0] lives[0] with[0] only[0] his[0] loyal[1] but[0] disapproving[-1] maid[0] touchingly[0] portrayed[0] by[0] lynn/lyn[0] redgrave[0] it[0] is[0] boone/bone[0] that[0] whale[0] can[0] talk[0] to[0] in[0] his[0] ultimate[0] reclusion[0] from[0] the[0] world[0] and[0] the[0] only[0] reason[0] whale[0] finally[0] decides[0] to[0] attend[0] the[0] gathering[0] of[0] george[0] cuckor[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
although an extremely fine and mature picture , a few small elements hold the film back from ultimate greatness . 	although an extremely fine and mature picture , a few small elements hold the film back from ultimate greatness .	5	-1	 although[0] an[0] extremely[0] fine[2][2 LastWordBoosterStrength] and[0] mature[0] picture[0] a[0] few[0] small[0] elements[0] hold[0] the[0] film[0] back[0] from[0] ultimate[0] greatness[2] [[Sentence=-1,5=word max, 1-5]][[[5,-1 max of sentences]]]
it is appreciated that the film does not pull for any obvious or overly dramatic story developments , but it is a little thin , and the structuring of the " on-again-off-again " friendship at the film's center is fairly predictable . 	it is appreciated that the film does not pull for any obvious or overly dramatic story developments , but it is a little thin , and the structuring of the " on-again-off-again " friendship at the film's center is fairly predictable .	2	-1	 it[0] is[0] appreciated[1] that[0] the[0] film[0] does[0] not[0] pull[0] for[0] any[0] obvious[0] or[0] overly[0] dramatic[0] story[0] developments[0] but[0] it[0] is[0] a[0] little[0] thin[0] and[0] the[0] structuring[0] of[0] the[0] on[0] again[0] off[0] again[0] friendship[1] at[0] the[0] film's[0] center[0] is[0] fairly[0] predictable[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
we know early on where these two characters are headed , and we can guess that there will be a final confrontation between the two as the tension slowly builds . 	we know early on where these two characters are headed , and we can guess that there will be a final confrontation between the two as the tension slowly builds .	1	-3	 we[0] know[0] early[0] on[0] where[0] these[0] two[0] characters[0] are[0] headed[0] and[0] we[0] can[0] guess[0] that[0] there[0] will[0] be[0] a[0] final[0] confrontation[-2] between[0] the[0] two[0] as[0] the[0] tension[-2] slowly[0] builds[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
in lesser hands , this set-up might have felt too calculated , but it is not in the surprisingly deft treatment and writing that helps the film to be much more than this . 	in lesser hands , this set-up might have felt too calculated , but it is not in the surprisingly deft treatment and writing that helps the film to be much more than this .	1	-1	 in[0] lesser[0] hands[0] this[0] set[0] up[0] might[0] have[0] felt[0] too[0] calculated[0] but[0] it[0] is[0] not[0] in[0] the[0] surprisingly[0] deft[0] treatment[0] and[0] writing[0] that[0] helps[0] the[0] film[0] to[0] be[0] much[0] more[0] than[0] this[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
also , a subplot is briefly brought up between clayton and a waitress working at a bar ( effectively played by lolita davidovich ) , but abruptly dropped and never brought up again . 	also , a subplot is briefly brought up between clayton and a waitress working at a bar ( effectively played by lolita davidovich ) , but abruptly dropped and never brought up again .	1	-1	 also[0] a[0] subplot[0] is[0] briefly[0] brought[0] up[0] between[0] clayton[0] and[0] a[0] waitress[0] working[0] at[0] a[0] bar[0] effectively[0] played[0] by[0] lolita[0] davidovich[0] but[0] abruptly[0] dropped[0] and[0] never[0] brought[0] up[0] again[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
if the film was not going to follow up on this side story , then it , perhaps , should have been taken out altogether . 	if the film was not going to follow up on this side story , then it , perhaps , should have been taken out altogether .	1	-1	 if[0] the[0] film[0] was[0] not[0] going[0] to[0] follow[0] up[0] on[0] this[0] side[0] story[0] then[0] it[0] perhaps[0] should[0] have[0] been[0] taken[0] out[0] altogether[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 " gods and monsters " is a heartfelt and intelligent motion picture , impressively directed by bill condon , who , i sense , relates to or fully understands the meaning behind the curious relationship between whale and boone . 	 " gods and monsters " is a heartfelt and intelligent motion picture , impressively directed by bill condon , who , i sense , relates to or fully understands the meaning behind the curious relationship between whale and bone .	2	-1	 gods[0] and[0] monsters[0] is[0] a[0] heartfelt[1] and[0] intelligent[1] motion[0] picture[0] impressively[1] directed[0] by[0] bill[0] condon[0] who[0] i[0] sense[0] relates[0] to[0] or[0] fully[0] understands[0] the[0] meaning[0] behind[0] the[0] curious[0] relationship[0] between[0] whale[0] and[0] boone/bone[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the film also plays as a tribute to a fine man who met an untimely end . 	the film also plays as a tribute to a fine man who met an untimely end .	3	-2	 the[0] film[0] also[0] plays[1] as[0] a[0] tribute[0] to[0] a[0] fine[2] man[0] who[0] met[0] an[0] untimely[-1] end[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
walking away from " gods and monsters , " it was ian mckellen's marvelous and astounding performance that left the most impression on me , and i doubt there could have been anyone who could have stepped into the role more fully and believably . 	walking away from " gods and monsters , " it was ian mckellen's marvelous and astounding performance that left the most impression on me , and i doubt there could have been anyone who could have stepped into the role more fully and believably .	1	-2	 walking[0] away[0] from[0] gods[0] and[0] monsters[0] it[0] was[0] ian[0] mckellen's[0] marvelous[0] and[0] astounding[0] performance[0] that[0] left[0] the[0] most[0] impression[0] on[0] me[0] and[0] i[0] doubt[-1] there[0] could[0] have[0] been[0] anyone[0] who[0] could[0] have[0] stepped[0] into[0] the[0] role[0] more[0] fully[0] and[0] believably[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it is a sad testament when a person's true talent and love is unfairly taken away from them , based on the scrutinization and judgement of their personal life , which , ironically enough , is no one else's business in the first place . 	it is a sad testament when a person's true talent and love is unfairly taken away from them , based on the scrutinization and judgement of their personal life , which , ironically enough , is no one else's business in the first place .	3	-4	 it[0] is[0] a[0] sad[-3] testament[0] when[0] a[0] person's[0] true[1] talent[1] and[0] love[2] is[0] unfairly[-1] taken[0] away[0] from[0] them[0] based[0] on[0] the[0] scrutinization[0] and[0] judgement[0] of[0] their[0] personal[0] life[0] which[0] ironically[-1] enough[0] is[0] no[0] one[0] else's[0] business[0] in[0] the[0] first[0] place[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
