one of the most popular subplots in the entire science fiction genre is time travel . 	Translation	Positive	Negative	EmotionRationale
but , weena ( yvette mimieux ) , eloi woman , tells george about another side of the coin - in the night , her people is preyed upon by morlocs , humanoid creatures from the underworld . 	but , weena ( yvette mimieux ) , eloi woman , tells george about another side of the coin - in the night , her people is preyed upon by morlocs , humanoid creatures from the underworld .	1	-2	 but[0] weena[0] yvette[0] mimieux[0] eloi[0] woman[0] tells[0] george[0] about[0] another[0] side[0] of[0] the[0] coin[0] in[0] the[0] night[0] her[0] people[0] is[0] preyed[0] upon[0] by[0] morlocs[0] humanoid[0] creatures[0] from[0] the[0] underworld[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the time machine became the cinematic classic for the very same reason the novel became the classic in science fiction literature - the fantastic concept was a brilliant way for the authors to talk about burning issues and fears of their respective times . 	the time machine became the cinematic classic for the very same reason the novel became the classic in science fiction literature - the fantastic concept was a brilliant way for the authors to talk about burning issues and fears of their respective times .	3	-3	 the[0] time[0] machine[0] became[0] the[0] cinematic[0] classic[0] for[0] the[0] very[0] same[0] reason[0] the[0] novel[0] became[0] the[0] classic[0] in[0] science[0] fiction[0] literature[0] the[0] fantastic[2] concept[0] was[0] a[0] brilliant[1] way[0] for[0] the[0] authors[0] to[0] talk[0] about[0] burning[-1] issues[0] and[0] fears[-2] of[0] their[0] respective[2] times[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
for h . g . wells it was frightening threat of class struggle ; for george pal and his screenwriter david duncan , who produced the film in the worst days of the cold war , it was the constant and more imminent threat of nuclear holocaust , underlined with the negative references to war throughout the movie . 	for h .<br> grin� .<br> wells it was frightening threat of class struggle ; for george pal and his screenwriter david duncan , who produced the film in the worst days of the cold war , it was the constant and more imminent threat of nuclear holocaust , underlined with the negative references to war throughout the movie .	1	-4	 for[0] h[0] [[Sentence=-1,1=word max, 1-5]] g[0] [[Sentence=-1,1=word max, 1-5]] wells[0] it[0] was[0] frightening[-3] threat[-2][-1 MultiplePositiveWords] of[0] class[0] struggle[-1] for[0] george[0] pal[0] and[0] his[0] screenwriter[0] david[0] duncan[0] who[0] produced[0] the[0] film[0] in[0] the[0] worst[-2] days[0] of[0] the[0] cold[-1] war[-2] it[0] was[0] the[0] constant[0] and[0] more[0] imminent[0] threat[-2] of[0] nuclear[0] holocaust[0] underlined[0] with[0] the[0] negative[-1] references[0] to[0] war[-2] throughout[0] the[0] movie[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
even the modern audience , which would be tempted to discard the film as old-fashioned , could find some values in its universal messages , fit for each era . 	even the modern audience , which would be tempted to discard the film as old-fashioned , could find some values in its universal messages , fit for each era .	1	-1	 even[0] the[0] modern[0] audience[0] which[0] would[0] be[0] tempted[0] to[0] discard[0] the[0] film[0] as[0] old[0] fashioned[0] could[0] find[0] some[0] values[1][-1 LastWordBoosterStrength] in[0] its[0] universal[0] messages[0] fit[0] for[0] each[0] era[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
compared with the genre films of today , the time machine is even better , and could serve as a good example how to make intelligent , thought-provoking films . 	compared with the genre films of today , the time machine is even better , and could serve as a good example how to make intelligent , thought-provoking films .	2	-1	 compared[0] with[0] the[0] genre[0] films[0] of[0] today[0] the[0] time[0] machine[0] is[0] even[0] better[0] and[0] could[0] serve[0] as[0] a[0] good[1] example[0] how[0] to[0] make[0] intelligent[1] thought[0] provoking[0] films[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
of course , since this is hollywood product after all , the time machine delivers such concepts in the form of classic adventure , sometimes sacrificing plausibility for the sake of attractiveness . 	of course , since this is hollywood product after all , the time machine delivers such concepts in the form of classic adventure , sometimes sacrificing plausibility for the sake of attractiveness .	2	-1	 of[0] course[0] since[0] this[0] is[0] hollywood[0] product[0] after[0] all[0] the[0] time[0] machine[0] delivers[0] such[0] concepts[0] in[0] the[0] form[0] of[0] classic[0] adventure[0] sometimes[0] sacrificing[0] plausibility[0] for[0] the[0] sake[0] of[0] attractiveness[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
for example , it is hard to imagine that someone would be able to understand perfect english million years in future ; same is with morlocs degenerating into mutant monsters , while eloi remain undistinguished from the people of today . 	for example , it is hard to imagine that someone would be able to understand perfect english million years in future ; same is with morlocs degenerating into mutant monsters , while eloi remain undistinguished from the people of today .	2	-1	 for[0] example[0] it[0] is[0] hard[0] to[0] imagine[0] that[0] someone[0] would[0] be[0] able[0] to[0] understand[0] perfect[1] english[0] million[0] years[0] in[0] future[0] same[0] is[0] with[0] morlocs[0] degenerating[0] into[0] mutant[0] monsters[0] while[0] eloi[0] remain[0] undistinguished[0] from[0] the[0] people[0] of[0] today[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
some of the final scenes , that turn victorian scientist into an action superhero , are also rather unconvincing . 	some of the final scenes , that turn victorian scientist into an action superhero , are also rather unconvincing .	1	-1	 some[0] of[0] the[0] final[0] scenes[0] that[0] turn[0] victorian[0] scientist[0] into[0] an[0] action[0] superhero[0] are[0] also[0] rather[0] unconvincing[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but , on the other hand , the film is very well directed , cleverly paced and the special effects , although definitely old-fashioned , are more than adequate for this kind of picture . 	but , on the other hand , the film is very well directed , cleverly paced and the special effects , although definitely old-fashioned , are more than adequate for this kind of picture .	2	-1	 but[0] on[0] the[0] other[0] hand[0] the[0] film[0] is[0] very[0] well[0] directed[0] cleverly[0] paced[0] and[0] the[0] special[1] effects[0] although[0] definitely[0] old[0] fashioned[0] are[0] more[0] than[0] adequate[0] for[0] this[0] kind[1] of[0] picture[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the acting is good , with rod taylor in one of his most remembered roles , while in the same time alan young brings rather memorable performance as george's trusted friend filby . 	the acting is good , with rod taylor in one of his most remembered roles , while in the same time alan young brings rather memorable performance as george's trusted friend filby .	2	-1	 the[0] acting[0] is[0] good[1] with[0] rod[0] taylor[0] in[0] one[0] of[0] his[0] most[0] remembered[0] roles[0] while[0] in[0] the[0] same[0] time[0] alan[0] young[0] brings[0] rather[0] memorable[0] performance[0] as[0] george's[0] trusted[1] friend[1] filby[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
yvette mimieux , who plays weena , on the other hand , would be remembered more by her looks than by the complexity of her role . 	yvette mimieux , who plays weena , on the other hand , would be remembered more by her looks than by the complexity of her role .	2	-1	 yvette[0] mimieux[0] who[0] plays[1] weena[0] on[0] the[0] other[0] hand[0] would[0] be[0] remembered[0] more[0] by[0] her[0] looks[0] than[0] by[0] the[0] complexity[0] of[0] her[0] role[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
however , despite all those flaws , the time machine is a very good piece of cinema , something that connoisseurs of quality science-fiction films sorely miss these days . 	however , despite all those flaws , the time machine is a very good piece of cinema , something that connoisseurs of quality science-fiction films sorely miss these days .	3	-2	 however[0] despite[0] all[0] those[0] flaws[0] the[0] time[0] machine[0] is[0] a[0] very[0] good[1][1 LastWordBoosterStrength] piece[0] of[0] cinema[0] something[0] that[0] connoisseurs[0] of[0] quality[0] science[0] fiction[0] films[0] sorely[0] miss[-1] these[0] days[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
