just how inseparable is the team of sgt . 	Translation	Positive	Negative	EmotionRationale
and there's plenty of action here for two movies . 	and there's plenty of action here for two movies .	1	-1	 and[0] there's[0] plenty[0] of[0] action[0] here[0] for[0] two[0] movies[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
led by fighting sensation jet li , whose martial arts skill is nothing less than impressive , he does what he can to make sure that no one finds out what they are up to . 	led by fighting sensation jet li , whose martial arts skill is nothing less than impressive , he does what he can to make sure that no one finds out what they are up to .	2	-3	 led[0] by[0] fighting[-2] sensation[0] jet[0] li[0] whose[0] martial[0] arts[0] skill[0] is[0] nothing[0] less[0] than[0] impressive[1] he[0] does[0] what[0] he[0] can[0] to[0] make[0] sure[0] that[0] no[0] one[0] finds[0] out[0] what[0] they[0] are[0] up[0] to[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
li is ruthless in his approach , will kill anyone just to make a point , and develops enormous disdain for the two detectives . 	li is ruthless in his approach , will kill anyone just to make a point , and develops enormous disdain for the two detectives .	1	-3	 li[0] is[0] ruthless[-2] in[0] his[0] approach[0] will[0] kill[-1] anyone[0] just[0] to[0] make[0] a[0] point[0] and[0] develops[0] enormous[0] disdain[-1] for[0] the[0] two[0] detectives[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
there are terrific car chases , explosions and gunshot galore . 	there are terrific car chases , explosions and gunshot galore .	4	-2	 there[0] are[0] terrific[3] car[0] chases[-1] explosions[-1] and[0] gunshot[-1] galore[0] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
it's a summer action recipe followed to the letter , and the result is nothing less than pure , unadulterated summer fun . 	it's a summer action recipe followed to the letter , and the result is nothing less than pure , unadulterated summer fun .	2	-1	 it's[0] a[0] summer[0] action[0] recipe[0] followed[0] to[0] the[0] letter[0] and[0] the[0] result[0] is[0] nothing[0] less[0] than[0] pure[0] unadulterated[0] summer[0] fun[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
but even too many explosions can get boring . 	but even too many explosions can get boring .	1	-2	 but[0] even[0] too[0] many[0] explosions[-1] can[0] get[0] boring[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
to counter that , we are treated to several amazingly choreographed fight sequences with jet li . 	to counter that , we are treated to several amazingly choreographed fight sequences with jet li .	3	-4	 to[0] counter[0] that[0] we[0] are[0] treated[0] to[0] several[0] amazingly[2] choreographed[-2] fight[-2][-1 MultiplePositiveWords] sequences[0] with[0] jet[0] li[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
luckily , he'd rather fight hand-to-hand instead of firing off guns . 	luckily , he'd rather fight hand-to-hand instead of firing off guns .	3	-3	 luckily[2] he'd[0] rather[0] fight[-2] hand[0] to[0] hand[0] instead[0] of[0] firing[0] off[0] guns[-1] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
meanwhile , when the detectives aren't reloading their guns or running from fireballs , they're engaged in sophomoric banter and silly conversations that provide a nice diversion from the hail of bullets . 	meanwhile , when the detectives aren't reloading their guns or running from fireballs , they're engaged in sophomoric banter and silly conversations that provide a nice diversion from the hail of bullets .	2	-2	 meanwhile[0] when[0] the[0] detectives[0] aren't[0] reloading[0] their[0] guns[-1] or[0] running[0] from[0] fireballs[0] they're[0] engaged[0] in[0] sophomoric[0] banter[0] and[0] silly[-1] conversations[0] that[0] provide[0] a[0] nice[1] diversion[0] from[0] the[0] hail[0] of[0] bullets[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
everybody gets in on the shtick . 	everybody gets in on the shtick .	1	-1	 everybody[0] gets[0] in[0] on[0] the[0] shtick[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
russo screams during her delivery , the crime lord has a few funny bits when he's being interrogated while being given laughing gas , and pesci and rock are very funny as they go at it discussing the drawbacks of having cellular phones . 	russo screams during her delivery , the crime lord has a few funny bits when he's being interrogated while being given laughing gas , and pesci and rock are very funny as they go at it discussing the drawbacks of having cellular phones .	3	-4	 russo[0] screams[-3] during[0] her[0] delivery[0] the[0] crime[-1] lord[0] has[0] a[0] few[0] funny[1] bits[0] when[0] he's[0] being[0] interrogated[0] while[0] being[0] given[0] laughing[1] gas[0] and[0] pesci[0] and[0] rock[1] are[0] very[0] funny[1][1 LastWordBoosterStrength] as[0] they[0] go[0] at[0] it[0] discussing[0] the[0] drawbacks[0] of[0] having[0] cellular[0] phones[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
gibson and glover are always in sync and the film moves at a brisk pace to get to the final and terrific mano a mano . 	gibson and glover are always in sync and the film moves at a brisk pace to get to the final and terrific mano a mano .	4	-1	 gibson[0] and[0] glover[0] are[0] always[0] in[0] sync[0] and[0] the[0] film[0] moves[0] at[0] a[0] brisk[0] pace[0] to[0] get[0] to[0] the[0] final[0] and[0] terrific[3] mano[0] a[0] mano[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
score one for the old guard . 	score one for the old guard .	1	-1	 score[0] one[0] for[0] the[0] old[0] guard[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
