the cryptic teaser trailer has been unspooling in moviehouses for quite sometime now : " it mu5t be found . " 	Translation	Positive	Negative	EmotionRationale
but it would not have been a completely captivating vision if the people inhabiting the settings weren't equally as interesting , and are they ever . 	but it would not have been a completely captivating vision if the people inhabiting the settings weren't equally as interesting , and are they ever .	2	-1	 but[0] it[0] would[0] not[0] have[0] been[0] a[0] completely[0] captivating[0] vision[0] if[0] the[0] people[0] inhabiting[0] the[0] settings[0] weren't[0] equally[0] as[0] interesting[1] and[0] are[0] they[0] ever[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
in addition to the exotic menagerie of alien creatures that populate this world , from bulky robots to dog-like mangalores , the humans are outfitted in costumes by eccentric designer jean-paul gaulthier , best known for creating madonna's pointy bustier get-up in her blonde ambition tour . 	in addition to the exotic menagerie of alien creatures that populate this world , from bulky robots to dog-like mangalores , the humans are outfitted in costumes by eccentric designer jean-paul gaulthier , best known for creating madonna's pointy bustier get-up in her blonde ambition tour .	2	-2	 in[0] addition[0] to[0] the[0] exotic[0] menagerie[0] of[0] alien[-1] creatures[0] that[0] populate[0] this[0] world[0] from[0] bulky[0] robots[0] to[0] dog[0] like[1] mangalores[0] the[0] humans[0] are[0] outfitted[0] in[0] costumes[0] by[0] eccentric[-1] designer[0] jean[0] paul[0] gaulthier[0] best[1] known[0] for[0] creating[0] madonna's[0] pointy[0] bustier[0] get[0] up[0] in[0] her[0] blonde[0] ambition[0] tour[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
gaulthier's outlandish creations , such as a number worn by leeloo made entirely out of white straps , feel more at home in besson's futuristic vision than on any fashion runway in the world ; they add to the sense of otherworldliness about the film . 	gaulthier's outlandish creations , such as a number worn by leeloo made entirely out of white straps , feel more at home in besson's futuristic vision than on any fashion runway in the world ; they add to the sense of otherworldliness about the film .	1	-2	 gaulthier's[0] outlandish[0] creations[0] such[0] as[0] a[0] number[0] worn[-1] by[0] leeloo[0] made[0] entirely[0] out[0] of[0] white[0] straps[0] feel[0] more[0] at[0] home[0] in[0] besson's[0] futuristic[0] vision[0] than[0] on[0] any[0] fashion[0] runway[0] in[0] the[0] world[0] they[0] add[0] to[0] the[0] sense[0] of[0] otherworldliness[0] about[0] the[0] film[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
while besson's bold vision is the biggest virtue of the film , it also could be its biggest obstacle to reaching a mass audience . 	while besson's bold vision is the biggest virtue of the film , it also could be its biggest obstacle to reaching a mass audience .	3	-2	 while[0] besson's[0] bold[0] vision[0] is[0] the[0] biggest[0] virtue[2] of[0] the[0] film[0] it[0] also[0] could[0] be[0] its[0] biggest[0] obstacle[-1] to[0] reaching[0] a[0] mass[0] audience[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
for all its imagination , certain things about the film may be a bit too quirky and bizarre . 	for all its imagination , certain things about the film may be a bit too quirky and bizarre .	1	-2	 for[0] all[0] its[0] imagination[0] certain[0] things[0] about[0] the[0] film[0] may[0] be[0] a[0] bit[0] too[0] quirky[0] and[0] bizarre[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
i really do not know what middle america will make of the most outrageous character of the film , ruby rhod ( chris tucker ) , a flamboyant disc jockey who makes dennis rodman look conservative--he makes a raucous entrance dressed in an animal print dress , sporting a blonde hairdo in the shape of a hair dryer , speaking in high pitches at rapid fire speed . 	i really do not know what middle america will make of the most outrageous character of the film , ruby rhod ( chris tucker ) , a flamboyant disc jockey who makes dennis rodman look conservative-he makes a raucous entrance dressed in an animal print dress , sporting a blonde hairdo in the shape of a hair dryer , speaking in high pitches at rapid fire speed .	1	-3	 i[0] really[0] do[0] not[0] know[0] what[0] middle[0] america[0] will[0] make[0] of[0] the[0] most[0] outrageous[-2] character[0] of[0] the[0] film[0] ruby[0] rhod[0] chris[0] tucker[0] a[0] flamboyant[0] disc[0] jockey[0] who[0] makes[0] dennis[0] rodman[0] look[0] conservative[0] he[0] makes[0] a[0] raucous[0] entrance[0] dressed[0] in[0] an[0] animal[0] print[0] dress[0] sporting[0] a[0] blonde[0] hairdo[0] in[0] the[0] shape[0] of[0] a[0] hair[0] dryer[0] speaking[0] in[0] high[0] pitches[0] at[0] rapid[0] fire[0] speed[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
at first this character's hyper energy is funny , but the act wears out its welcome very quickly . 	at first this character's hyper energy is funny , but the act wears out its welcome very quickly .	2	-1	 at[0] first[0] this[0] character's[0] hyper[0] energy[0] is[0] funny[1] but[0] the[0] act[0] wears[0] out[0] its[0] welcome[1] very[0] quickly[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
not irritating , but just as strange , is a musical number by blue-skinned alien chanteuse diva ( maiwenn lebesco ) , who sings--and dances--an aria that is an unlikely blend of classical opera and techno . 	not irritating , but just as strange , is a musical number by blue-skinned alien chanteuse diva ( maiwen lebesco ) , who sings-and dances-an aria that is an unlikely blend of classical opera and techno .	3	-2	 not[0] irritating[-2][NegatedDueToPreviousWord] but[0] just[0] as[0] strange[0] is[0] a[0] musical[0] number[0] by[0] blue[0] skinned[0] alien[-1] chanteuse[0] diva[0] maiwenn/maiwen[0] lebesco[0] who[0] sings[0] and[0] dances[0] an[0] aria[0] that[0] is[0] an[0] unlikely[0] blend[0] of[0] classical[0] opera[0] and[0] techno[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
the tune , as with the entirety of longtime besson collaborator eric serra's innovative score , is haunting , but it is also completely jarring . 	the tune , as with the entirety of longtime besson collaborator eric serra's innovative score , is haunting , but it is also completely jarring .	1	-1	 the[0] tune[0] as[0] with[0] the[0] entirety[0] of[0] longtime[0] besson[0] collaborator[0] eric[0] serra's[0] innovative[0] score[0] is[0] haunting[0] but[0] it[0] is[0] also[0] completely[0] jarring[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
then there are the campy touches of humor besson and co-scripter robert mark kamen sprinkle throughout , which too often are silly and forced ; a comic sexual encounter between ruby rhod and a flight attendant is highly distracting and not very funny , to boot . 	then there are the campy touches of humor besson and co-scripter robert mark kamen sprinkle throughout , which too often are silly and forced ; a comic sexual encounter between ruby rhod and a flight attendant is highly distracting and not very funny , to boot .	3	-3	 then[0] there[0] are[0] the[0] campy[0] touches[0] of[0] humor[2] besson[0] and[0] co[0] scripter[0] robert[0] mark[0] kamen[0] sprinkle[0] throughout[0] which[0] too[0] often[0] are[0] silly[-1] and[0] forced[0] a[0] comic[0] sexual[0] encounter[0] between[0] ruby[0] rhod[0] and[0] a[0] flight[0] attendant[0] is[0] highly[0] distracting[-1] and[0] not[0] very[0] funny[1][1 LastWordBoosterStrength][NegatedDueToPreviousWord] to[0] boot[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
the story's weakness shines through in the climax and conclusion of the fifth element . 	the story's weakness shines through in the climax and conclusion of the fifth element .	1	-2	 the[0] story's[0] weakness[-1] shines[0] through[0] in[0] the[0] climax[0] and[0] conclusion[0] of[0] the[0] fifth[0] element[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
while still visually and aurally spectacular , the events detailed are not as exciting nor powerful as they should be . 	while still visually and aurally spectacular , the events detailed are not as exciting nor powerful as they should be .	1	-3	 while[0] still[0] visually[0] and[0] aurally[0] spectacular[0] the[0] events[0] detailed[0] are[0] not[0] as[0] exciting[2][NegatedDueToPreviousWord] nor[0] powerful[0] as[0] they[0] should[0] be[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the big , serious dramatic climax was met with more than a few snickers , and it ambitiously strives for a profundity which the film had not even begun to work toward . 	the big , serious dramatic climax was met with more than a few snickers , and it ambitiously strives for a profundity which the film had not even begun to work toward .	1	-2	 the[0] big[0] serious[-1] dramatic[0] climax[0] was[0] met[0] with[0] more[0] than[0] a[0] few[0] snickers[0] and[0] it[0] ambitiously[0] strives[0] for[0] a[0] profundity[0] which[0] the[0] film[0] had[0] not[0] even[0] begun[0] to[0] work[0] toward[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
as such , at the end there is a sense that there was something bigger at work here , that there was still more left to be said about this story and these characters . 	as such , at the end there is a sense that there was something bigger at work here , that there was still more left to be said about this story and these characters .	1	-1	 as[0] such[0] at[0] the[0] end[0] there[0] is[0] a[0] sense[0] that[0] there[0] was[0] something[0] bigger[0] at[0] work[0] here[0] that[0] there[0] was[0] still[0] more[0] left[0] to[0] be[0] said[0] about[0] this[0] story[0] and[0] these[0] characters[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this suspicion was confirmed by besson himself , who told me in the lobby following the screening ( imagine that , the filmmaker watching the film with the " enemy " --the critics ) that what had made it to the screen was really just the first half of the lengthy original fifth element screenplay and that the second half--now titled mr . shadow--is still waiting to be made . 	this suspicion was confirmed by besson himself , who told me in the lobby following the screening ( imagine that , the filmmaker watching the film with the " enemy " -the critics ) that what had made it to the screen was really just the first half of the lengthy original fifth element screenplay and that the second half-now titled mr .<br> shadow-is still waiting to be made .	1	-2	 this[0] suspicion[-1] was[0] confirmed[0] by[0] besson[0] himself[0] who[0] told[0] me[0] in[0] the[0] lobby[0] following[0] the[0] screening[0] imagine[0] that[0] the[0] filmmaker[0] watching[0] the[0] film[0] with[0] the[0] enemy[-1] the[0] critics[0] that[0] what[0] had[0] made[0] it[0] to[0] the[0] screen[0] was[0] really[0] just[0] the[0] first[0] half[0] of[0] the[0] lengthy[0] original[0] fifth[0] element[0] screenplay[0] and[0] that[0] the[0] second[0] half[0] now[0] titled[0] mr[0] [[Sentence=-2,1=word max, 1-5]] shadow[0] is[0] still[0] waiting[0] to[0] be[0] made[0] [[Sentence=-1,1=word max, 1-5]][[[1,-2 max of sentences]]]
still , despite the story problems , the fifth element is an artistic triumph for luc besson ; rarely does a filmmaker's original vision come to the screen in all its audacious , undiluted glory . 	still , despite the story problems , the fifth element is an artistic triumph for luc besson ; rarely does a filmmaker's original vision come to the screen in all its audacious , undiluted glory .	3	-2	 still[0] despite[0] the[0] story[0] problems[-1] the[0] fifth[0] element[0] is[0] an[0] artistic[0] triumph[2] for[0] luc[0] besson[0] rarely[0] does[0] a[0] filmmaker's[0] original[0] vision[0] come[0] to[0] the[0] screen[0] in[0] all[0] its[0] audacious[0] undiluted[0] glory[1] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
it is a fascinating example of how of one artist's fervid imagination can transport an audience into an intoxicating fantasy world generally seen only in dreams . 	it is a fascinating example of how of one artist's fervid imagination can transport an audience into an intoxicating fantasy world generally seen only in dreams .	1	-1	 it[0] is[0] a[0] fascinating[0] example[0] of[0] how[0] of[0] one[0] artist's[0] fervid[0] imagination[0] can[0] transport[0] an[0] audience[0] into[0] an[0] intoxicating[0] fantasy[0] world[0] generally[0] seen[0] only[0] in[0] dreams[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
