note : some may consider portions of the following text to be spoilers . 	Translation	Positive	Negative	EmotionRationale
 ( i can envision the board of wga , licking their chops at this coup and counting the days until their goal of " a film by " is attained . ) 	 ( i can envision the board of wga , licking their chops at this coup and counting the days until their goal of " a film by " is attained .<br> )	1	-1	 i[0] can[0] envision[0] the[0] board[0] of[0] wga[0] licking[0] their[0] chops[0] at[0] this[0] coup[0] and[0] counting[0] the[0] days[0] until[0] their[0] goal[0] of[0] a[0] film[0] by[0] is[0] attained[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and , much like mr . tarantino's screenwriting , mr . williamson's work is vaguely unconventional , incorporating both contemporary pop culture references and allusions to other films into the dialogue of his characters . 	and , much like mr .<br> tarantino's screenwriting , mr .<br> williamson's work is vaguely unconventional , incorporating both contemporary pop culture references and allusions to other films into the dialogue of his characters .	2	-2	 and[0] much[0] like[1] mr[0] [[Sentence=-1,2=word max, 1-5]] tarantino's[0] screenwriting[0] mr[0] [[Sentence=-1,1=word max, 1-5]] williamson's[0] work[0] is[0] vaguely[-1] unconventional[0] incorporating[0] both[0] contemporary[0] pop[0] culture[0] references[0] and[0] allusions[0] to[0] other[0] films[0] into[0] the[0] dialogue[0] of[0] his[0] characters[0] [[Sentence=-2,1=word max, 1-5]][[[2,-2 max of sentences]]]
in scream , they satirically discussed other horror films ; here in the sequel , the characters discuss the relative merits of film sequels . 	in scream , they satirically discussed other horror films ; here in the sequel , the characters discuss the relative merits of film sequels .	2	-4	 in[0] scream[-3] they[0] satirically[0] discussed[0] other[0] horror[-3] films[0] here[0] in[0] the[0] sequel[0] the[0] characters[0] discuss[0] the[0] relative[0] merits[1] of[0] film[0] sequels[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
scream was written in 1995 during the infamous bob dole rampage against hollywood , and mr . williamson's rejection of this tirade clearly influenced the writing in both that film and this sequel . 	scream was written in 1995 during the infamous bob dole rampage against hollywood , and mr .<br> williamson's rejection of this tirade clearly influenced the writing in both that film and this sequel .	1	-4	 scream[-3] was[0] written[0] in[0] 1995[0] during[0] the[0] infamous[-1] bob[0] dole[0] rampage[0] against[-1] hollywood[0] and[0] mr[0] [[Sentence=-4,1=word max, 1-5]] williamson's[0] rejection[-1] of[0] this[0] tirade[0] clearly[0] influenced[0] the[0] writing[0] in[0] both[0] that[0] film[0] and[0] this[0] sequel[0] [[Sentence=-2,1=word max, 1-5]][[[1,-4 max of sentences]]]
while the sequel was planned from the outset -- a treatment of scream 2 was included when mr . williamson sold the screenplay for scream -- the basic premise for the film and the reunion of the surviving characters nevertheless seems extremely artificially contrived , and it's only at about the film's midway point when it becomes engaging . 	while the sequel was planned from the outset - a treatment of scream 2 was included when mr .<br> williamson sold the screenplay for scream - the basic premise for the film and the reunion of the surviving characters nevertheless seems extremely artificially contrived , and it's only at about the film's midway point when it becomes engaging .	1	-4	 while[0] the[0] sequel[0] was[0] planned[0] from[0] the[0] outset[0] a[0] treatment[0] of[0] scream[-3] 2[0] was[0] included[0] when[0] mr[0] [[Sentence=-4,1=word max, 1-5]] williamson[0] sold[0] the[0] screenplay[0] for[0] scream[-3] the[0] basic[0] premise[0] for[0] the[0] film[0] and[0] the[0] reunion[0] of[0] the[0] surviving[0] characters[0] nevertheless[0] seems[0] extremely[0] artificially[0] contrived[0] and[0] it's[0] only[0] at[0] about[0] the[0] film's[0] midway[0] point[0] when[0] it[0] becomes[0] engaging[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
like its predecessor , scream 2 opens with a splashy , eye-grabbing prologue which only vaguely ties into the film's principal narrative ; this time around , we're following the exploits of a young couple ( jada pinkett and omar epps ) attending a riotously gleeful sneak preview screening of stab ( a running film-within-a-film gag where the " true life " events behind the first film has been turned into a movie ) . 	like its predecessor , scream 2 opens with a splashy , eye-grabbing prologue which only vaguely ties into the film's principal narrative ; this time around , we're following the exploits of a young couple ( jada pinkett and omar epps ) attending a riotously gleeful sneak preview screening of stab ( a running film-within-a-film gag where the " true life " events behind the first film has been turned into a movie ) .	2	-4	 like[1] its[0] predecessor[0] scream[-3] 2[0] opens[0] with[0] a[0] splashy[0] eye[0] grabbing[-1] prologue[0] which[0] only[0] vaguely[-1] ties[0] into[0] the[0] film's[0] principal[0] narrative[0] this[0] time[0] around[0] we're[0] following[0] the[0] exploits[0] of[0] a[0] young[0] couple[0] jada[0] pinkett[0] and[0] omar[0] epps[0] attending[0] a[0] riotously[0] gleeful[0] sneak[-1] preview[0] screening[0] of[0] stab[-1] a[0] running[0] film[0] within[0] a[0] film[0] gag[0] where[0] the[0] true[1] life[0] events[0] behind[0] the[0] first[0] film[0] has[0] been[0] turned[0] into[0] a[0] movie[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
however , although it tries hard and has some good ideas -- the nightmarishly enthusiastic audience in the film vaguely reminded me of the one i was sharing the theatre with , and i was certainly thinking about gutting the overly-noisy person a few seats away myself after about fifteen minutes -- the prologue is a pale imitation of the bravura opening sequence in the original with drew barrymore ( where her performance not only convinced me that she * could * act , but was so good that it would rank among the best performances in a horror film that i've ever seen ) . 	however , although it tries hard and has some good ideas - the nightmarishly enthusiastic audience in the film vaguely reminded me of the one i was sharing the theatre with , and i was certainly thinking about gutting the overly-noisy person a few seats away myself after about fifteen minutes - the prologue is a pale imitation of the bravura opening sequence in the original with drew barrymore ( where her performance not only convinced me that she * could * act , but was so good that it would rank among the best performances in a horror film that i've ever seen ) .	3	-4	 however[0] although[0] it[0] tries[0] hard[0] and[0] has[0] some[0] good[1][-1 LastWordBoosterStrength] ideas[0] the[0] nightmarishly[0] enthusiastic[2] audience[0] in[0] the[0] film[0] vaguely[-1] reminded[0] me[0] of[0] the[0] one[0] i[0] was[0] sharing[0] the[0] theatre[0] with[0] and[0] i[0] was[0] certainly[0] thinking[0] about[0] gutting[0] the[0] overly[0] noisy[0] person[0] a[0] few[0] seats[0] away[0] myself[0] after[0] about[0] fifteen[0] minutes[0] the[0] prologue[0] is[0] a[0] pale[0] imitation[0] of[0] the[0] bravura[0] opening[0] sequence[0] in[0] the[0] original[0] with[0] drew[0] barrymore[0] where[0] her[0] performance[0] not[0] only[0] convinced[0] me[0] that[0] she[0] could[0] act[0] but[0] was[0] so[0] good[1] that[0] it[0] would[0] rank[0] among[0] the[0] best[1] performances[0] in[0] a[0] horror[-3] film[0] that[0] i've[0] ever[0] seen[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
there are too many knowing , hip pop-culture references crammed into the scream 2 sequence , and the setup isn't nearly as cleverly frightening as scream's ; while the first film's preface dizzyingly built up to a final shot that was exhilaratingly terrifying , the payoff here is almost campily theatrical . 	there are too many knowing , hip pop-culture references crammed into the scream 2 sequence , and the setup isn't nearly as cleverly frightening as scream's ; while the first film's preface dizyingly built up to a final shot that was exhilaratingly terrifying , the payoff here is almost campily theatrical .	1	-4	 there[0] are[0] too[0] many[0] knowing[0] hip[0] pop[0] culture[0] references[0] crammed[0] into[0] the[0] scream[-3] 2[0] sequence[0] and[0] the[0] setup[0] isn't[0] nearly[0] as[0] cleverly[0] frightening[-3] as[0] scream's[-3] while[0] the[0] first[0] film's[0] preface[0] dizzyingly/dizyingly[0] built[0] up[0] to[0] a[0] final[0] shot[-1] that[0] was[0] exhilaratingly[0] terrifying[-3] the[0] payoff[0] here[0] is[0] almost[0] campily[0] theatrical[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
flash to the campus of a smalltown ohio college , where returning characters sidney ( neve campbell ) and randy ( jamie kennedy ) have relocated for their studies and to escape the notoriety from the events in the first film . 	flash to the campus of a smalltown ohio college , where returning characters sidney ( neve campbell ) and randy ( jamie kennedy ) have relocated for their studies and to escape the notoriety from the events in the first film .	1	-1	 flash[0] to[0] the[0] campus[0] of[0] a[0] smalltown[0] ohio[0] college[0] where[0] returning[0] characters[0] sidney[0] neve[0] campbell[0] and[0] randy[0] jamie[0] kennedy[0] have[0] relocated[0] for[0] their[0] studies[0] and[0] to[0] escape[0] the[0] notoriety[0] from[0] the[0] events[0] in[0] the[0] first[0] film[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the murders which open this film result in reuniting the survivors -- single-minded tabloid tv reporter gale weathers ( courteney cox ) roars into town to cover the breaking story , while ever-awkward former deputy dewey riley ( david arquette ) flies in to protectively guard over sidney . 	the murders which open this film result in reuniting the survivors - single-minded tabloid tv reporter gale weathers ( courteney cox ) roars into town to cover the breaking story , while ever-awkward former deputy dewey riley ( david arquette ) flies in to protectively guard over sidney .	1	-4	 the[0] murders[-3] which[0] open[0] this[0] film[0] result[0] in[0] reuniting[0] the[0] survivors[0] single[0] minded[0] tabloid[0] tv[0] reporter[0] gale[0] weathers[0] courteney[0] cox[0] roars[0] into[0] town[0] to[0] cover[0] the[0] breaking[0] story[0] while[0] ever[0] awkward[-1] former[0] deputy[0] dewey[0] riley[0] david[0] arquette[0] flies[0] in[0] to[0] protectively[0] guard[0] over[0] sidney[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
they're joined by cotton weary ( liev schreiber ) , who was falsely accused of homicide in a cameo appearance during the first film ; his role here is significantly expanded . 	they're joined by cotton weary ( liev schreiber ) , who was falsely accused of homicide in a cameo appearance during the first film ; his role here is significantly expanded .	1	-2	 they're[0] joined[0] by[0] cotton[0] weary[0] liev[0] schreiber[0] who[0] was[0] falsely[0] accused[-1] of[0] homicide[0] in[0] a[0] cameo[0] appearance[0] during[0] the[0] first[0] film[0] his[0] role[0] here[0] is[0] significantly[0] expanded[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the film incidentally provides surprisingly little backstory , although i suppose a good case can be made that it really isn't necessary -- not because so many people have seen the first installment , but because this is , after all , a sequel to a slasher film : what do you * think * happened to these characters in the prior movie ? 	the film incidentally provides surprisingly little backstory , although i suppose a good case can be made that it really isn't necessary - not because so many people have seen the first instalment , but because this is , after all , a sequel to a slasher film : what do you * think * happened to these characters in the prior movie ?	2	-2	 the[0] film[0] incidentally[0] provides[0] surprisingly[0] little[0] backstory[0] although[0] i[0] suppose[0] a[0] good[1] case[0] can[0] be[0] made[0] that[0] it[0] really[0] isn't[0] necessary[0] not[0] because[0] so[0] many[0] people[0] have[0] seen[0] the[0] first[0] installment/instalment[0] but[0] because[0] this[0] is[0] after[0] all[0] a[0] sequel[0] to[0] a[0] slasher[-1] film[0] what[0] do[0] you[0] think[0] happened[0] to[0] these[0] characters[0] in[0] the[0] prior[0] movie[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
there's a lot of new faces on the scene too : sidney's new boyfriend , derek ( jerry o'connell ) and her new roommate hallie ( elise neal ) , randy's fellow film student mickey ( timothy olyphant ) , gale's newly-assigned nervous cameraman joel ( duane martin ) , omnipresent local journalist debbie salt ( laurie metcalf ) , co-ed cici cooper ( ms . buffy herself , sarah michelle gellar ) , and a pair of simpering sorority sisters ( rebecca gayheart and sirens' portia di rossi ) . 	there's a lot of new faces on the scene too : sidney's new boyfriend , derek ( jerry o'connell ) and her new roommate hallie ( elise neal ) , randy's fellow film student mickey ( timothy olyphant ) , gale's newly-assigned nervous cameraman joel ( duane martin ) , omnipresent local journalist debbie salt ( laurie metcalf ) , co-ed cici cooper ( ms .<br> buffy herself , sarah michelle gellar ) , and a pair of simpering sorority sisters ( rebecca gayheart and sirens' portia di rossi ) .	1	-3	 there's[0] a[0] lot[0] of[0] new[0] faces[0] on[0] the[0] scene[0] too[0] sidney's[0] new[0] boyfriend[0] derek[0] jerry[0] o'connell[0] and[0] her[0] new[0] roommate[0] hallie[0] elise[0] neal[0] randy's[0] fellow[0] film[0] student[0] mickey[0] timothy[0] olyphant[0] gale's[0] newly[0] assigned[0] nervous[-2] cameraman[0] joel[0] duane[0] martin[0] omnipresent[0] local[0] journalist[0] debbie[0] salt[0] laurie[0] metcalf[0] co[0] ed[0] cici[0] cooper[0] ms[0] [[Sentence=-3,1=word max, 1-5]] buffy[0] herself[0] sarah[0] michelle[0] gellar[0] and[0] a[0] pair[0] of[0] simpering[0] sorority[0] sisters[0] rebecca[0] gayheart[0] and[0] sirens'[0] portia[0] di[0] rossi[0] [[Sentence=-1,1=word max, 1-5]][[[1,-3 max of sentences]]]
any of these characters could be the killer -- or for that matter , could be the next victim . 	any of these characters could be the killer - or for that matter , could be the next victim .	1	-3	 any[0] of[0] these[0] characters[0] could[0] be[0] the[0] killer[-1] or[0] for[0] that[0] matter[0] could[0] be[0] the[0] next[0] victim[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
as is seemingly becoming a regular staple of a kevin williamson screenplay , the narrative is once again framed around the increasingly-flimsy premise of a whodunit . 	as is seemingly becoming a regular staple of a kevin williamson screenplay , the narrative is once again framed around the increasingly-flimsy premise of a whodunit .	1	-2	 as[0] is[0] seemingly[0] becoming[0] a[0] regular[0] staple[0] of[0] a[0] kevin[0] williamson[0] screenplay[0] the[0] narrative[0] is[0] once[0] again[0] framed[0] around[0] the[0] increasingly[0] flimsy[-1] premise[0] of[0] a[0] whodunit[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
one problem that scream didn't have was keeping you interested in the identity of the killer . 	one problem that scream didn't have was keeping you interested in the identity of the killer .	2	-4	 one[0] problem[-1] that[0] scream[-3] didn't[0] have[0] was[0] keeping[0] you[0] interested[1] in[0] the[0] identity[0] of[0] the[0] killer[-1] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
here ( and to some extent in i know what you did last summer ) , mr . williamson's screenplay seems slightly hampered by trying to turn the identity of the killer into a mystery . 	here ( and to some extent in i know what you did last summer ) , mr .<br> williamson's screenplay seems slightly hampered by trying to turn the identity of the killer into a mystery .	1	-2	 here[0] and[0] to[0] some[0] extent[0] in[0] i[0] know[0] what[0] you[0] did[0] last[0] summer[0] mr[0] [[Sentence=-1,1=word max, 1-5]] williamson's[0] screenplay[0] seems[0] slightly[0] hampered[0] by[0] trying[0] to[0] turn[0] the[0] identity[0] of[0] the[0] killer[-1] into[0] a[0] mystery[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the film occasionally becomes so bogged down with misdirection that you can sense it straining at the seams to try and drop red herrings left and right at the expense of its thriller elements . 	the film occasionally becomes so bogged down with misdirection that you can sense it straining at the seams to try and drop red herrings left and right at the expense of its thriller elements .	2	-2	 the[0] film[0] occasionally[0] becomes[0] so[0] bogged[0] down[0] with[0] misdirection[0] that[0] you[0] can[0] sense[0] it[0] straining[-1] at[0] the[0] seams[0] to[0] try[0] and[0] drop[-1] red[0] herrings[0] left[0] and[0] right[0] at[0] the[0] expense[-1] of[0] its[0] thriller[1] elements[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
 ( it doesn't help matters any that the killer's alter-ego is fairly obvious from the get-go . ) 	 ( it doesn't help matters any that the killer's alter-ego is fairly obvious from the get-go .<br> )	1	-1	 it[0] doesn't[0] help[0] matters[0] any[0] that[0] the[0] killer's[0] alter[0] ego[0] is[0] fairly[0] obvious[0] from[0] the[0] get[0] go[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
indeed , the finale plays as full-out camp when the villain is finally unmasked , frothing at the mouth with glazed eyes . 	indeed , the finale plays as full-out camp when the villain is finally unmasked , frothing at the mouth with glazed eyes .	2	-3	 indeed[0] the[0] finale[0] plays[1] as[0] full[0] out[0] camp[0] when[0] the[0] villain[-2] is[0] finally[0] unmasked[0] frothing[0] at[0] the[0] mouth[0] with[0] glazed[0] eyes[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
this is one of those cases where the villain goes on such an endless diatribe about their machinations , scheming , and motivation , that you actually get bored listening and just want them all to get on with it . 	this is one of those cases where the villain goes on such an endless diatribe about their machinations , scheming , and motivation , that you actually get bored listening and just want them all to get on with it .	1	-3	 this[0] is[0] one[0] of[0] those[0] cases[0] where[0] the[0] villain[-2] goes[0] on[0] such[0] an[0] endless[0] diatribe[0] about[0] their[0] machinations[0] scheming[0] and[0] motivation[0] that[0] you[0] actually[0] get[0] bored[-1] listening[0] and[0] just[0] want[0] them[0] all[0] to[0] get[0] on[0] with[0] it[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
while the basic setup and premise for the film is fairly contrived , the aspect where it's head-and-shoulders above its predecessor is in its suspense sequences . 	while the basic setup and premise for the film is fairly contrived , the aspect where it's head-and-shoulders above its predecessor is in its suspense sequences .	1	-1	 while[0] the[0] basic[0] setup[0] and[0] premise[0] for[0] the[0] film[0] is[0] fairly[0] contrived[0] the[0] aspect[0] where[0] it's[0] head[0] and[0] shoulders[0] above[0] its[0] predecessor[0] is[0] in[0] its[0] suspense[0] sequences[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
they're staged much more imaginatively here ( save for the first post-prologue murder , which is handled in such a mediocre , conventional fashion that it seems to be culled directly from the predictable 1980s slasher flicks that the first film satirized ) , and are much more fun to watch . 	they're staged much more imaginatively here ( save for the first post-prologue murder , which is handled in such a mediocre , conventional fashion that it seems to be culled directly from the predictable 1980s slasher flicks that the first film satirized ) , and are much more fun to watch .	2	-4	 they're[0] staged[0] much[0] more[0] imaginatively[1] here[0] save[1] for[0] the[0] first[0] post[0] prologue[0] murder[-3] which[0] is[0] handled[0] in[0] such[0] a[0] mediocre[-1] conventional[0] fashion[0] that[0] it[0] seems[0] to[0] be[0] culled[0] directly[0] from[0] the[0] predictable[0] 1980s[0] slasher[-1] flicks[0] that[0] the[0] first[0] film[0] satirized[0] and[0] are[0] much[0] more[0] fun[1] to[0] watch[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
it's hard to hold back a smile during a giddy scene where sidney and her companion have to climb over the incapacitated killer in order to escape from a car wreck , and a cat-and-mouse chase involving gale and dewey in a campus sound lab is very nicely staged , although its ultimate resolution is hilariously overblown . 	it's hard to hold back a smile during a giddy scene where sidney and her companion have to climb over the incapacitated killer in order to escape from a car wreck , and a cat-and-mouse chase involving gale and dewey in a campus sound lab is very nicely staged , although its ultimate resolution is hilariously overblown .	3	-2	 it's[0] hard[0] to[0] hold[0] back[0] a[0] smile[2] during[0] a[0] giddy[0] scene[0] where[0] sidney[0] and[0] her[0] companion[0] have[0] to[0] climb[0] over[0] the[0] incapacitated[0] killer[-1] in[0] order[0] to[0] escape[0] from[0] a[0] car[0] wreck[-1] and[0] a[0] cat[0] and[0] mouse[0] chase[-1] involving[0] gale[0] and[0] dewey[0] in[0] a[0] campus[0] sound[0] lab[0] is[0] very[0] nicely[1][1 LastWordBoosterStrength] staged[0] although[0] its[0] ultimate[0] resolution[0] is[0] hilariously[2] overblown[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
in terms of its characters , the strong part of the film is the interesting relationship between gale and dewey ( who ambles onto the screen accompanied by his very own theme music ) . 	in terms of its characters , the strong part of the film is the interesting relationship between gale and dewey ( who ambles onto the screen accompanied by his very own theme music ) .	2	-1	 in[0] terms[0] of[0] its[0] characters[0] the[0] strong[0] part[0] of[0] the[0] film[0] is[0] the[0] interesting[1] relationship[0] between[0] gale[0] and[0] dewey[0] who[0] ambles[0] onto[0] the[0] screen[0] accompanied[0] by[0] his[0] very[0] own[0] theme[0] music[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
their verbal sparring at the outset provides much humour -- an exchange where dewey defensively rebukes charges of a perceived aura of incompetency is well-written -- and there's a curiously endearing aspect about their relationship amidst all the mayhem and bloodshed . 	their verbal sparring at the outset provides much humour - an exchange where dewey defensively rebukes charges of a perceived aura of incompetency is well-written - and there's a curiously endearing aspect about their relationship amidst all the mayhem and bloodshed .	3	-3	 their[0] verbal[0] sparring[0] at[0] the[0] outset[0] provides[0] much[0] humour[2] an[0] exchange[0] where[0] dewey[0] defensively[-1] rebukes[-1] charges[-1] of[0] a[0] perceived[0] aura[0] of[0] incompetency[-2] is[0] well[0] written[0] and[0] there's[0] a[0] curiously[0] endearing[0] aspect[0] about[0] their[0] relationship[0] amidst[0] all[0] the[0] mayhem[0] and[0] bloodshed[-1] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
