the last steve martin film i saw , the spanish prisoner , was a very different approach for the comic actor . 	Translation	Positive	Negative	EmotionRationale
the only problem is that kit refuses to be in it . 	the only problem is that kit refuses to be in it .	1	-2	 the[0] only[0] problem[-1] is[0] that[0] kit[0] refuses[-1] to[0] be[0] in[0] it[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
but this won't stop the aggressive bowfinger . 	but this won't stop the aggressive bowfinger .	1	-3	 but[0] this[0] won't[0] stop[0] the[0] aggressive[-2] bowfinger[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
he is so determined to complete his film that he decides to put kit in it without even telling him . 	he is so determined to complete his film that he decides to put kit in it without even telling him .	1	-1	 he[0] is[0] so[0] determined[0] to[0] complete[0] his[0] film[0] that[0] he[0] decides[0] to[0] put[0] kit[0] in[0] it[0] without[0] even[0] telling[0] him[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he has his actors approach kit on the streets of los angeles in character with a hidden camera filming the footage . 	he has his actors approach kit on the streets of los angeles in character with a hidden camera filming the footage .	1	-1	 he[0] has[0] his[0] actors[0] approach[0] kit[0] on[0] the[0] streets[0] of[0] los[0] angeles[0] in[0] character[0] with[0] a[0] hidden[0] camera[0] filming[0] the[0] footage[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
will bowfinger be able to make his film ? 	will bowfinger be able to make his film ?	1	-1	 will[0] bowfinger[0] be[0] able[0] to[0] make[0] his[0] film[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
or will kit ramsey discover what exactly is going on ? 	or will kit ramsey discover what exactly is going on ?	1	-1	 or[0] will[0] kit[0] ramsey[0] discover[0] what[0] exactly[0] is[0] going[0] on[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
bowfinger is a very cartoon-like movie that pokes fun at hollywood and its famous residents while simultaneously holding a very solid story line . 	bowfinger is a very cartoon-like movie that pokes fun at hollywood and its famous residents while simultaneously holding a very solid story line .	2	-1	 bowfinger[0] is[0] a[0] very[0] cartoon[0] like[1] movie[0] that[0] pokes[0] fun[1] at[0] hollywood[0] and[0] its[0] famous[0] residents[0] while[0] simultaneously[0] holding[0] a[0] very[0] solid[0] story[0] line[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the only area where the film really lacks is the cameo department . 	the only area where the film really lacks is the cameo department .	1	-1	 the[0] only[0] area[0] where[0] the[0] film[0] really[0] lacks[0] is[0] the[0] cameo[0] department[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this is the kind of movie that cameos are all about , it is always funny to see actors/directors/producers making fun of themselves or co-workers especially in a playful movie such as this . 	this is the kind of movie that cameos are all about , it is always funny to see actors/directors/producers making fun of themselves or co-workers especially in a playful movie such as this .	2	-1	 this[0] is[0] the[0] kind[1] of[0] movie[0] that[0] cameos[0] are[0] all[0] about[0] it[0] is[0] always[0] funny[1] to[0] see[0] actors/directors/producers[0] making[0] fun[1] of[0] themselves[0] or[0] co[0] workers[0] especially[0] in[0] a[0] playful[1] movie[0] such[0] as[0] this[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
besides the very repetitive and superflous ending , bowfinger is a joy to watch . 	besides the very repetitive and superflous ending , bowfinger is a joy to watch .	3	-1	 besides[0] the[0] very[0] repetitive[0] and[0] superflous[0] ending[0] bowfinger[0] is[0] a[0] joy[2] to[0] watch[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
if you take a movie like this seriously then you will never enjoy it . 	if you take a movie like this seriously then you will never enjoy it .	2	-3	 if[0] you[0] take[0] a[0] movie[0] like[1] this[0] seriously[0] then[0] you[0] will[0] never[0] enjoy[2][NegatedDueToPreviousWord] it[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
if you accept the incredulous plot and the extreme caricatures of real entertainment figures , the movie is great fun . 	if you accept the incredulous plot and the extreme caricatures of real entertainment figures , the movie is great fun .	3	-1	 if[0] you[0] accept[0] the[0] incredulous[0] plot[0] and[0] the[0] extreme[0] caricatures[0] of[0] real[0] entertainment[0] figures[0] the[0] movie[0] is[0] great[2] fun[1] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
