-- comedy , rated pg , runs about 1 : 40 -- starring : john goodman , kathy moriarty , and a bunch of teenagers -- directed by joe dante and written by charles hass -- 	Translation	Positive	Negative	EmotionRationale
summary : lawrence woolsley ( john goodman ) brings his new horror film mant ! 	summary : lawrence woolsley ( john goodman ) brings his new horror film mant !	1	-4	 summary[0] lawrence[0] woolsley[0] john[0] goodman[0] brings[0] his[0] new[0] horror[-3] film[0] mant[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
i left the picture thinking about what i would do faced with the cuban missile crisis . 	i left the picture thinking about what i would do faced with the cuban missile crisis .	1	-3	 i[0] left[0] the[0] picture[0] thinking[0] about[0] what[0] i[0] would[0] do[0] faced[0] with[0] the[0] cuban[0] missile[0] crisis[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
i found myself wondering what would happen to the characters of the film . 	i found myself wondering what would happen to the characters of the film .	1	-1	 i[0] found[0] myself[0] wondering[0] what[0] would[0] happen[0] to[0] the[0] characters[0] of[0] the[0] film[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but most importantly , i found myself caring about what would happen to the characters . 	but most importantly , i found myself caring about what would happen to the characters .	3	-1	 but[0] most[0] importantly[0] i[0] found[0] myself[0] caring[2] about[0] what[0] would[0] happen[0] to[0] the[0] characters[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the comedy of the film centers around goodman , his character , and the film he brings to key west . 	the comedy of the film centers around goodman , his character , and the film he brings to key west .	1	-1	 the[0] comedy[0] of[0] the[0] film[0] centers[0] around[0] goodman[0] his[0] character[0] and[0] the[0] film[0] he[0] brings[0] to[0] key[0] west[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i believe that goodman is one of the finest comedic actors in the business today . 	i believe that goodman is one of the finest comedic actors in the business today .	1	-1	 i[0] believe[0] that[0] goodman[0] is[0] one[0] of[0] the[0] finest[0] comedic[0] actors[0] in[0] the[0] business[0] today[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he is highly expressive both physically and vocally . 	he is highly expressive both physically and vocally .	1	-1	 he[0] is[0] highly[0] expressive[0] both[0] physically[0] and[0] vocally[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i felt he at least deserved an oscar nomination for his work in barton fink . 	i felt he at least deserved an oscar nomination for his work in barton fink .	1	-1	 i[0] felt[0] he[0] at[0] least[0] deserved[0] an[0] oscar[0] nomination[0] for[0] his[0] work[0] in[0] barton[0] fink[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the other characters are often lost in a scene with him due to his commanding nature , however , while the star , goodman is actually not at the center of the film . 	the other characters are often lost in a scene with him due to his commanding nature , however , while the star , goodman is actually not at the center of the film .	1	-1	 the[0] other[0] characters[0] are[0] often[0] lost[0] in[0] a[0] scene[0] with[0] him[0] due[0] to[0] his[0] commanding[0] nature[0] however[0] while[0] the[0] star[0] goodman[0] is[0] actually[0] not[0] at[0] the[0] center[0] of[0] the[0] film[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the movie is really the story of the four teenagers , discovering who they are and what they want , against a background where at any minute it could all end . 	the movie is really the story of the four teenagers , discovering who they are and what they want , against a background where at any minute it could all end .	1	-2	 the[0] movie[0] is[0] really[0] the[0] story[0] of[0] the[0] four[0] teenagers[0] discovering[0] who[0] they[0] are[0] and[0] what[0] they[0] want[0] against[-1] a[0] background[0] where[0] at[0] any[0] minute[0] it[0] could[0] all[0] end[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
i thought the kids reaction were highly realistic . 	i thought the kids reaction were highly realistic .	1	-1	 i[0] thought[0] the[0] kids[0] reaction[0] were[0] highly[0] realistic[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
they tried to block it out , they tried to escape from the concerns of their world . 	they tried to block it out , they tried to escape from the concerns of their world .	1	-2	 they[0] tried[0] to[0] block[-1] it[0] out[0] they[0] tried[0] to[0] escape[0] from[0] the[0] concerns[-1] of[0] their[0] world[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
unfortunately it kept creeping back in , particularly with the fear , and the chaos of the time . 	unfortunately it kept creeping back in , particularly with the fear , and the chaos of the time .	1	-4	 unfortunately[-1] it[0] kept[0] creeping[0] back[0] in[0] particularly[0] with[0] the[0] fear[-3] and[0] the[0] chaos[-1] of[0] the[0] time[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
while the comedy centered on goodman , and the drama on the teens , there was a great deal of overlap . 	while the comedy centered on goodman , and the drama on the teens , there was a great deal of overlap .	3	-1	 while[0] the[0] comedy[0] centered[0] on[0] goodman[0] and[0] the[0] drama[0] on[0] the[0] teens[0] there[0] was[0] a[0] great[2] deal[0] of[0] overlap[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
several aspects of the panic are shown in a humorous light . 	several aspects of the panic are shown in a humorous light .	3	-3	 several[0] aspects[0] of[0] the[0] panic[-2] are[0] shown[0] in[0] a[0] humorous[2] light[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
one example is a scene where people are fighting each other for the the last cans and boxes of food in a grocery store . 	one example is a scene where people are fighting each other for the the last cans and boxes of food in a grocery store .	1	-3	 one[0] example[0] is[0] a[0] scene[0] where[0] people[0] are[0] fighting[-2] each[0] other[0] for[0] the[0] the[0] last[0] cans[0] and[0] boxes[0] of[0] food[0] in[0] a[0] grocery[0] store[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
if you think about it the threat of nuclear annihilation seems hardly to be the backdrop for a comedy , but it works here . 	if you think about it the threat of nuclear annihilation seems hardly to be the backdrop for a comedy , but it works here .	1	-4	 if[0] you[0] think[0] about[0] it[0] the[0] threat[-2] of[0] nuclear[0] annihilation[-3] seems[0] hardly[0] to[0] be[0] the[0] backdrop[0] for[0] a[0] comedy[0] but[0] it[0] works[0] here[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
another reason i like this film is that i like b- science fiction movies . 	another reason i like this film is that i like b- science fiction movies .	2	-1	 another[0] reason[0] i[0] like[1] this[0] film[0] is[0] that[0] i[0] like[1] b[0] science[0] fiction[0] movies[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
one of my favorite films to go watch is plan 9 from outer space . 	one of my favorite films to go watch is plan 9 from outer space .	2	-1	 one[0] of[0] my[0] favorite[1] films[0] to[0] go[0] watch[0] is[0] plan[0] 9[0] from[0] outer[0] space[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
 ( note i did not say it was one of my favorite movies , but one of my favorite to see . ) 	 ( note i did not say it was one of my favorite movies , but one of my favorite to see .<br> )	2	-1	 note[0] i[0] did[0] not[0] say[0] it[0] was[0] one[0] of[0] my[0] favorite[1] movies[0] but[0] one[0] of[0] my[0] favorite[1] to[0] see[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
while mant ! 	while mant !	1	-1	 while[0] mant[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
never got made , many films like it were , and mant ! 	never got made , many films like it were , and mant !	2	-1	 never[0] got[0] made[0] many[0] films[0] like[1] it[0] were[0] and[0] mant[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
serves mostly as dante's homage to the b-films he loves . 	serves mostly as dante's homage to the b-films he loves .	3	-1	 serves[0] mostly[0] as[0] dante's[0] homage[0] to[0] the[0] b[0] films[0] he[0] loves[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
so again i would like to recommend matinee to anybody looking for a good , humorous story . 	so again i would like to recommend matinee to anybody looking for a good , humorous story .	3	-1	 so[0] again[0] i[0] would[0] like[1][-1 LastWordBoosterStrength] to[0] recommend[0] matinee[0] to[0] anybody[0] looking[0] for[0] a[0] good[1] humorous[2] story[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
this isn't a gag film like many other comedies but an intelligent , well-thought out , film about real people with real problems told in an often hilarious way . 	this isn't a gag film like many other comedies but an intelligent , well-thought out , film about real people with real problems told in an often hilarious way .	3	-2	 this[0] isn't[0] a[0] gag[0] film[0] like[1] many[0] other[0] comedies[0] but[0] an[0] intelligent[1] well[0] thought[0] out[0] film[0] about[0] real[0] people[0] with[0] real[0] problems[-1] told[0] in[0] an[0] often[0] hilarious[2] way[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
enjoy ! 	enjoy !	3	-1	 enjoy[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
