being the self-proclaimed professional film critic that i am , i am somewhat embarrassed to admit that i had not seen lawrence of arabia ( coming soon to dvd ) until only recently . 	Translation	Positive	Negative	EmotionRationale
it is absolutely breathtaking . 	it is absolutely breathtaking .	1	-1	 it[0] is[0] absolutely[0] breathtaking[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
using stunning cinematography , costuming , and direction , shot in the most uninhabitable location on the face of the earth , i can only imagine what it must have been like to sit in a theater in 1962 and watch this story unfold before my eyes . 	using stunning cinematography , costuming , and direction , shot in the most uninhabitable location on the face of the earth , i can only imagine what it must have been like to sit in a theater in 1962 and watch this story unfold before my eyes .	2	-2	 using[0] stunning[0] cinematography[0] costuming[0] and[0] direction[0] shot[-1] in[0] the[0] most[0] uninhabitable[0] location[0] on[0] the[0] face[0] of[0] the[0] earth[0] i[0] can[0] only[0] imagine[0] what[0] it[0] must[0] have[0] been[0] like[1] to[0] sit[0] in[0] a[0] theater[0] in[0] 1962[0] and[0] watch[0] this[0] story[0] unfold[0] before[0] my[0] eyes[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
every shot is choreographed as a portrait -- a living tribute to a great land . 	every shot is choreographed as a portrait - a living tribute to a great land .	3	-3	 every[0] shot[-1] is[0] choreographed[-2] as[0] a[0] portrait[0] a[0] living[0] tribute[0] to[0] a[0] great[2] land[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
david lean put his reputation on the line to get this film completed , and the fact that it was even greenlit in the first place says something about the ideology of the motion picture industry at the time , a far cry from its pathetic , uncreative existence today . 	david lean put his reputation on the line to get this film completed , and the fact that it was even greenlit in the first place says something about the ideology of the motion picture industry at the time , a far cry from its pathetic , uncreative existence today .	1	-4	 david[0] lean[0] put[0] his[0] reputation[0] on[0] the[0] line[0] to[0] get[0] this[0] film[0] completed[0] and[0] the[0] fact[0] that[0] it[0] was[0] even[0] greenlit[0] in[0] the[0] first[0] place[0] says[0] something[0] about[0] the[0] ideology[0] of[0] the[0] motion[0] picture[0] industry[0] at[0] the[0] time[0] a[0] far[0] cry[-3] from[0] its[0] pathetic[-2] uncreative[0] existence[0] today[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
after watching the film , the first thing that came to my mind was , " i've got to do a remake of this film ! " 	after watching the film , the first thing that came to my mind was , " i've got to do a remake of this film !<br> "	1	-1	 after[0] watching[0] the[0] film[0] the[0] first[0] thing[0] that[0] came[0] to[0] my[0] mind[0] was[0] i've[0] got[0] to[0] do[0] a[0] remake[0] of[0] this[0] film[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but then i thought about trying to pitch the idea to a modern-day movie executive : " okay , it's going to be almost four hours long and shot over three months on location in the sahara desert . 	but then i thought about trying to pitch the idea to a modern-day movie executive : " okay , it's going to be almost four hours long and shot over three months on location in the sahara desert .	1	-2	 but[0] then[0] i[0] thought[0] about[0] trying[0] to[0] pitch[0] the[0] idea[0] to[0] a[0] modern[0] day[0] movie[0] executive[0] okay[0] it's[0] going[0] to[0] be[0] almost[0] four[0] hours[0] long[0] and[0] shot[-1] over[0] three[0] months[0] on[0] location[0] in[0] the[0] sahara[0] desert[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
we are going to need to blow up a full-size train because computer-generated effects probably wont do it justice . 	we are going to need to blow up a full-size train because computer-generated effects probably wont do it justice .	1	-1	 we[0] are[0] going[0] to[0] need[0] to[0] blow[0] up[0] a[0] full[0] size[0] train[0] because[0] computer[0] generated[0] effects[0] probably[0] wont[0] do[0] it[0] justice[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and we are not going to use any big stars , and won't have any female actors since there's no love story . " 	and we are not going to use any big stars , and won't have any female actors since there's no love story .<br> "	3	-1	 and[0] we[0] are[0] not[0] going[0] to[0] use[0] any[0] big[0] stars[0] and[0] won't[0] have[0] any[0] female[0] actors[0] since[0] there's[0] no[0] love[2] story[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
yes , my friends , the velvet curtain fell on the golden-era of hollywood a long time ago . 	yes , my friends , the velvet curtain fell on the golden-era of hollywood a long time ago .	2	-1	 yes[0] my[0] friends[1] the[0] velvet[0] curtain[0] fell[0] on[0] the[0] golden[0] era[0] of[0] hollywood[0] a[0] long[0] time[0] ago[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
but at least we still have the proof to show all would-be producers and directors out there just how good a film can be . 	but at least we still have the proof to show all would-be producers and directors out there just how good a film can be .	2	-1	 but[0] at[0] least[0] we[0] still[0] have[0] the[0] proof[0] to[0] show[0] all[0] would[0] be[0] producers[0] and[0] directors[0] out[0] there[0] just[0] how[0] good[1] a[0] film[0] can[0] be[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
