review : ghost dog : the way of the samurai ( 1999 ) 	Translation	Positive	Negative	EmotionRationale
the movie rises beyond standard conventions to become a meditation on the concepts of honor and loyalty . 	the movie rises beyond standard conventions to become a meditation on the concepts of honor and loyalty .	2	-1	 the[0] movie[0] rises[0] beyond[0] standard[0] conventions[0] to[0] become[0] a[0] meditation[0] on[0] the[0] concepts[0] of[0] honor[0] and[0] loyalty[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
it is an anti-movie , of sorts . 	it is an anti-movie , of sorts .	1	-1	 it[0] is[0] an[0] anti[0] movie[0] of[0] sorts[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
there are few photogenic , empathetic characters for the audience to fall in love with . 	there are few photogenic , empathetic characters for the audience to fall in love with .	3	-1	 there[0] are[0] few[0] photogenic[0] empathetic[0] characters[0] for[0] the[0] audience[0] to[0] fall[0] in[0] love[2] with[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
this isn't a film that lovingly holds your hand . 	this isn't a film that lovingly holds your hand .	4	-1	 this[0] isn't[0] a[0] film[0] that[0] lovingly[3] holds[0] your[0] hand[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
there are dark , contemplative moments and the film firmly holds you by the shoulder , just so , asserting itself for all to see . 	there are dark , contemplative moments and the film firmly holds you by the shoulder , just so , asserting itself for all to see .	1	-1	 there[0] are[0] dark[0] contemplative[0] moments[0] and[0] the[0] film[0] firmly[0] holds[0] you[0] by[0] the[0] shoulder[0] just[0] so[0] asserting[0] itself[0] for[0] all[0] to[0] see[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the fulcrum for the movie's thematic balancing act is ghost dog , a mafia hitman . 	the fulcrum for the movie's thematic balancing act is ghost dog , a mafia hitman .	1	-1	 the[0] fulcrum[0] for[0] the[0] movie's[0] thematic[0] balancing[0] act[0] is[0] ghost[0] dog[0] a[0] mafia[0] hitman[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
a twist on the stereotypical image of the mob enforcer , ghost dog is a hilarious contradiction in terms . 	a twist on the stereotypical image of the mob enforcer , ghost dog is a hilarious contradiction in terms .	3	-2	 a[0] twist[0] on[0] the[0] stereotypical[0] image[0] of[0] the[0] mob[0] enforcer[-1] ghost[0] dog[0] is[0] a[0] hilarious[2] contradiction[-1] in[0] terms[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
unlike the sleek , muscular killing machines one is accustomed to , we are given an inner city black man who is overweight and slovenly , replete with chapped , dirty hands and rumpled clothing . 	unlike the sleek , muscular killing machines one is accustomed to , we are given an inner city black man who is overweight and slovenly , replete with chapped , dirty hands and rumpled clothing .	1	-2	 unlike[0] the[0] sleek[0] muscular[0] killing[-1] machines[0] one[0] is[0] accustomed[-1] to[0] we[0] are[0] given[0] an[0] inner[0] city[0] black[0] man[0] who[0] is[0] overweight[-1] and[0] slovenly[0] replete[0] with[0] chapped[0] dirty[-1] hands[0] and[0] rumpled[0] clothing[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
he wears a hooded sweatshirt , which he often pulls over his head , giving him a monk-like appearance . 	he wears a hooded sweatshirt , which he often pulls over his head , giving him a monk-like appearance .	2	-1	 he[0] wears[0] a[0] hooded[0] sweatshirt[0] which[0] he[0] often[0] pulls[0] over[0] his[0] head[0] giving[0] him[0] a[0] monk[0] like[1] appearance[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
there are no acrobatic back flips and shiny super guns in his arsenal . 	there are no acrobatic back flips and shiny super guns in his arsenal .	3	-2	 there[0] are[0] no[0] acrobatic[0] back[0] flips[0] and[0] shiny[0] super[2] guns[-1] in[0] his[0] arsenal[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
he uses old , worn weapons and simply goes about his tasks in economical , efficient and pleasureless fashion . 	he uses old , worn weapons and simply goes about his tasks in economical , efficient and pleasureless fashion .	3	-2	 he[0] uses[0] old[0] worn[-1] weapons[-1] and[0] simply[0] goes[0] about[0] his[0] tasks[0] in[0] economical[0] efficient[0] and[0] pleasureless[2] fashion[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
ghost dog is a disciple of the old ways of the samurai , distilling the essence of his life through the filter of a book , which he reads daily , hagakure : the way of the samurai . 	ghost dog is a disciple of the old ways of the samurai , distilling the essence of his life through the filter of a book , which he reads daily , hagakure : the way of the samurai .	1	-1	 ghost[0] dog[0] is[0] a[0] disciple[0] of[0] the[0] old[0] ways[0] of[0] the[0] samurai[0] distilling[0] the[0] essence[0] of[0] his[0] life[0] through[0] the[0] filter[0] of[0] a[0] book[0] which[0] he[0] reads[0] daily[0] hagakure[0] the[0] way[0] of[0] the[0] samurai[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
life consists of simple pleasures for him : ice cream , warm rooftop naps and good books . 	life consists of simple pleasures for him : ice cream , warm rooftop naps and good books .	3	-1	 life[0] consists[0] of[0] simple[0] pleasures[2] for[0] him[0] ice[0] cream[0] warm[0] rooftop[0] naps[0] and[0] good[1] books[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
ghost dog lives , as it were , by the basic tenet expressed by his book ; one should start each day considering oneself as dead . 	ghost dog lives , as it were , by the basic tenet expressed by his book ; one should start each day considering oneself as dead .	1	-3	 ghost[0] dog[0] lives[0] as[0] it[0] were[0] by[0] the[0] basic[0] tenet[0] expressed[0] by[0] his[0] book[0] one[0] should[0] start[0] each[0] day[0] considering[0] oneself[0] as[0] dead[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
living atop an abandoned building , surrounded by his flock of pet carrier pigeons , ghost dog exists in a netherworld lacking creature comforts and friends . 	living atop an abandoned building , surrounded by his flock of pet carrier pigeons , ghost dog exists in a netherworld lacking creature comforts and friends .	2	-2	 living[0] atop[0] an[0] abandoned[-1] building[0] surrounded[0] by[0] his[0] flock[0] of[0] pet[0] carrier[0] pigeons[0] ghost[0] dog[0] exists[0] in[0] a[0] netherworld[0] lacking[0] creature[0] comforts[1] and[0] friends[1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
he craves nothing more . 	he craves nothing more .	1	-2	 he[0] craves[-1] nothing[0] more[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
as he puts it late in the film , " i've seen all i want to see . " 	as he puts it late in the film , " i've seen all i want to see .<br> "	1	-1	 as[0] he[0] puts[0] it[0] late[0] in[0] the[0] film[0] i've[0] seen[0] all[0] i[0] want[0] to[0] see[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he exists in a spiritual world of the mind , gaining moral sustenance from his readings . 	he exists in a spiritual world of the mind , gaining moral sustenance from his readings .	1	-1	 he[0] exists[0] in[0] a[0] spiritual[0] world[0] of[0] the[0] mind[0] gaining[0] moral[0] sustenance[0] from[0] his[0] readings[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
ghost dog wasn't always as he is presented . 	ghost dog wasn't always as he is presented .	1	-1	 ghost[0] dog[0] wasn't[0] always[0] as[0] he[0] is[0] presented[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in several roshomon-like flashbacks , it's shown how ghost dog was assaulted by racist white males and beaten nearly to death until the timely intervention of a good samaritan , that " samaritan " being a foot soldier in an aging crime family . 	in several roshomon-like flashbacks , it's shown how ghost dog was assaulted by racist white males and beaten nearly to death until the timely intervention of a good samaritan , that " samaritan " being a foot soldier in an aging crime family .	2	-3	 in[0] several[0] roshomon[0] like[1] flashbacks[0] it's[0] shown[0] how[0] ghost[0] dog[0] was[0] assaulted[-2] by[0] racist[-1] white[0] males[0] and[0] beaten[0] nearly[0] to[0] death[-2] until[0] the[0] timely[0] intervention[0] of[0] a[0] good[1] samaritan[0] that[0] samaritan[0] being[0] a[0] foot[0] soldier[0] in[0] an[0] aging[0] crime[-1] family[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
ghost dog pledges his life to the service of the man , louie ( tormey ) , as repayment . 	ghost dog pledges his life to the service of the man , louie ( tormey ) , as repayment .	1	-1	 ghost[0] dog[0] pledges[0] his[0] life[0] to[0] the[0] service[0] of[0] the[0] man[0] louie[0] tormey[0] as[0] repayment[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
after years of loyal service , ghost dog is sent , by louie , to kill " handsome frank " , a made man within louie's organization who has run away with the crime boss's daughter , louise ( vessey ) . 	after years of loyal service , ghost dog is sent , by louie , to kill " handsome frank " , a made man within louie's organization who has run away with the crime boss's daughter , louise ( vessey ) .	2	-2	 after[0] years[0] of[0] loyal[1] service[0] ghost[0] dog[0] is[0] sent[0] by[0] louie[0] to[0] kill[-1] handsome[1] frank[0] a[0] made[0] man[0] within[0] louie's[0] organization[0] who[0] has[0] run[0] away[0] with[0] the[0] crime[-1] boss's[0] daughter[0] louise[0] vessey[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
ghost dog wordlessly executes his task , witnessed by louise , whom he spares , as she sits watching a betty boop cartoon , clutching a copy of the book , roshomon . 	ghost dog wordlessly executes his task , witnessed by louise , whom he spares , as she sits watching a betty bop cartoon , clutching a copy of the book , roshomon .	1	-2	 ghost[0] dog[0] wordlessly[0] executes[-1] his[0] task[0] witnessed[0] by[0] louise[0] whom[0] he[0] spares[0] as[0] she[0] sits[0] watching[0] a[0] betty[0] boop/bop[0] cartoon[0] clutching[0] a[0] copy[0] of[0] the[0] book[0] roshomon[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
in a bit of synchronicity , louise loans the book to ghost dog . 	in a bit of synchronicity , louise loans the book to ghost dog .	1	-1	 in[0] a[0] bit[0] of[0] synchronicity[0] louise[0] loans[0] the[0] book[0] to[0] ghost[0] dog[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
upset that frank was taken out by someone not from the family , the mob bosses , in turn , put out a hit on ghost dog in a perverse twist of loyalty to their assassinated comrade . 	upset that frank was taken out by someone not from the family , the mob bosses , in turn , put out a hit on ghost dog in a perverse twist of loyalty to their assassinated comrade .	2	-3	 upset[-2] that[0] frank[0] was[0] taken[0] out[0] by[0] someone[0] not[0] from[0] the[0] family[0] the[0] mob[0] bosses[0] in[0] turn[0] put[0] out[0] a[0] hit[0] on[0] ghost[0] dog[0] in[0] a[0] perverse[-1] twist[0] of[0] loyalty[1] to[0] their[0] assassinated[-2] comrade[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
the rest of movie holds the dated value systems of both the mafia and ghost dog up to the light of a new millennium with many acerbic asides as the two come factions come into conflict . 	the rest of movie holds the dated value systems of both the mafia and ghost dog up to the light of a new millennium with many acerbic asides as the two come factions come into conflict .	2	-2	 the[0] rest[0] of[0] movie[0] holds[0] the[0] dated[0] value[1] systems[0] of[0] both[0] the[0] mafia[0] and[0] ghost[0] dog[0] up[0] to[0] the[0] light[0] of[0] a[0] new[0] millennium[0] with[0] many[0] acerbic[0] asides[0] as[0] the[0] two[0] come[0] factions[0] come[0] into[0] conflict[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the theme of old cartoons flares up time and again , each time showing cartoon violence that is in sharp counterpoint to the reality of ghost dog's world . 	the theme of old cartoons flares up time and again , each time showing cartoon violence that is in sharp counterpoint to the reality of ghost dog's world .	1	-4	 the[0] theme[0] of[0] old[0] cartoons[0] flares[0] up[0] time[0] and[0] again[0] each[0] time[0] showing[0] cartoon[0] violence[-3] that[0] is[0] in[0] sharp[0] counterpoint[0] to[0] the[0] reality[0] of[0] ghost[0] dog's[0] world[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
each time a character is shown watching a cartoon , it's from the same era , betty boop , felix the cat , etc . , a reflection of days gone by . 	each time a character is shown watching a cartoon , it's from the same era , betty bop , felix the cat , etc .<br> , a reflection of days gone by .	1	-1	 each[0] time[0] a[0] character[0] is[0] shown[0] watching[0] a[0] cartoon[0] it's[0] from[0] the[0] same[0] era[0] betty[0] boop/bop[0] felix[0] the[0] cat[0] etc[0] [[Sentence=-1,1=word max, 1-5]] a[0] reflection[0] of[0] days[0] gone[0] by[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
near the end , louise is watching a cartoon that's a departure from the previously shown ones . 	near the end , louise is watching a cartoon that's a departure from the previously shown ones .	1	-1	 near[0] the[0] end[0] louise[0] is[0] watching[0] a[0] cartoon[0] that's[0] a[0] departure[0] from[0] the[0] previously[0] shown[0] ones[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it's a bit of audacity on jarmusch's part that is nicely effective , despite it's surrealistic nature . 	it's a bit of audacity on jarmusch's part that is nicely effective , despite it's surrealistic nature .	2	-1	 it's[0] a[0] bit[0] of[0] audacity[0] on[0] jarmusch's[0] part[0] that[0] is[0] nicely[1] effective[0] despite[0] it's[0] surrealistic[0] nature[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
as ghost dog floats through his world , his life is touched by two people . 	as ghost dog floats through his world , his life is touched by two people .	1	-1	 as[0] ghost[0] dog[0] floats[0] through[0] his[0] world[0] his[0] life[0] is[0] touched[0] by[0] two[0] people[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
one is a sage little girl ( winbush ) who connects with ghost dog through their love of reading . 	one is a sage little girl ( winbush ) who connects with ghost dog through their love of reading .	3	-2	 one[0] is[0] a[0] sage[-1] little[0] girl[0] winbush[0] who[0] connects[0] with[0] ghost[0] dog[0] through[0] their[0] love[2] of[0] reading[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
she comes to symbolize a melding of the old ways and new sensibilities , just as louise ultimately does . 	she comes to symbolize a melding of the old ways and new sensibilities , just as louise ultimately does .	1	-1	 she[0] comes[0] to[0] symbolize[0] a[0] melding[0] of[0] the[0] old[0] ways[0] and[0] new[0] sensibilities[0] just[0] as[0] louise[0] ultimately[0] does[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
by film's end , the fact that jamusch is so effective at illustrating the tenuous bond between the two is a testament to his skill as a writer . 	by film's end , the fact that jamusch is so effective at illustrating the tenuous bond between the two is a testament to his skill as a writer .	1	-1	 by[0] film's[0] end[0] the[0] fact[0] that[0] jamusch[0] is[0] so[0] effective[0] at[0] illustrating[0] the[0] tenuous[0] bond[0] between[0] the[0] two[0] is[0] a[0] testament[0] to[0] his[0] skill[0] as[0] a[0] writer[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the other person in ghost dog's world is an ice cream ( de bankole' ) vendor who only speaks french , yet intuitively shares a rapport with ghost dog . 	the other person in ghost dog's world is an ice cream ( de bankole' ) vendor who only speaks french , yet intuitively shares a rapport with ghost dog .	1	-1	 the[0] other[0] person[0] in[0] ghost[0] dog's[0] world[0] is[0] an[0] ice[0] cream[0] de[0] bankole'[0] vendor[0] who[0] only[0] speaks[0] french[0] yet[0] intuitively[0] shares[0] a[0] rapport[0] with[0] ghost[0] dog[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the vendor is the literal stranger in a strange land . 	the vendor is the literal stranger in a strange land .	1	-1	 the[0] vendor[0] is[0] the[0] literal[0] stranger[0] in[0] a[0] strange[0] land[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
jarmusch , through rapper/composer rza , underscores his film with rap and reggae music , which at first blush seems dichotomous , but its primal rhythms serve to strengthen the fundamental nature of the movie . 	jarmusch , through rapper/composer rza , underscores his film with rap and reggae music , which at first blush seems dichotomous , but its primal rhythms serve to strengthen the fundamental nature of the movie .	1	-1	 jarmusch[0] through[0] rapper/composer[0] rza[0] underscores[0] his[0] film[0] with[0] rap[0] and[0] reggae[0] music[0] which[0] at[0] first[0] blush[0] seems[0] dichotomous[0] but[0] its[0] primal[0] rhythms[0] serve[0] to[0] strengthen[0] the[0] fundamental[0] nature[0] of[0] the[0] movie[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
ghost dog seems to draw some type of strength from the rap music he listens to as he negotiates the streets in various stolen cars . 	ghost dog seems to draw some type of strength from the rap music he listens to as he negotiates the streets in various stolen cars .	1	-2	 ghost[0] dog[0] seems[0] to[0] draw[0] some[0] type[0] of[0] strength[0] from[0] the[0] rap[0] music[0] he[0] listens[0] to[0] as[0] he[0] negotiates[0] the[0] streets[0] in[0] various[0] stolen[-1] cars[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
 ( which , in and of itself , presents another paradox about ghost's dog's sense of honor . ) 	 ( which , in and of itself , presents another paradox about ghost's dog's sense of honor .<br> )	1	-1	 which[0] in[0] and[0] of[0] itself[0] presents[0] another[0] paradox[0] about[0] ghost's[0] dog's[0] sense[0] of[0] honor[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the head mafioso is played by henry silva with a stone faced resignation . 	the head mafioso is played by henry silva with a stone faced resignation .	1	-2	 the[0] head[0] mafioso[0] is[0] played[0] by[0] henry[0] silva[0] with[0] a[0] stone[0] faced[0] resignation[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
of all the cartoonish mobsters , he is the only one who appears self aware of his state in the world . 	of all the cartoonish mobsters , he is the only one who appears self aware of his state in the world .	1	-1	 of[0] all[0] the[0] cartoonish[0] mobsters[0] he[0] is[0] the[0] only[0] one[0] who[0] appears[0] self[0] aware[0] of[0] his[0] state[0] in[0] the[0] world[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
gorman plays sonny , a lieutenant who respects the old ways , yet has a quirky affinity for rap music , a love comically shown in several impromptu displays . 	gorman plays sonny , a lieutenant who respects the old ways , yet has a quirky affinity for rap music , a love comically shown in several impromptu displays .	3	-1	 gorman[0] plays[1] sonny[0] a[0] lieutenant[0] who[0] respects[2] the[0] old[0] ways[0] yet[0] has[0] a[0] quirky[0] affinity[0] for[0] rap[0] music[0] a[0] love[2] comically[0] shown[0] in[0] several[0] impromptu[0] displays[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
ruffini seems the truest reflection of the mafia . 	ruffini seems the truest reflection of the mafia .	2	-1	 ruffini[0] seems[0] the[0] truest[1] reflection[0] of[0] the[0] mafia[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
he is a husk of a man , assisted by two hearing aids , who barks out advice without truly hearing what he , or others are saying . 	he is a husk of a man , assisted by two hearing aids , who barks out advice without truly hearing what he , or others are saying .	2	-1	 he[0] is[0] a[0] husk[0] of[0] a[0] man[0] assisted[0] by[0] two[0] hearing[0] aids[0] who[0] barks[0] out[0] advice[0] without[0] truly[1] hearing[0] what[0] he[0] or[0] others[0] are[0] saying[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
whitaker carries the film by using what truly great actor's use , his face . 	whitaker carries the film by using what truly great actor's use , his face .	3	-1	 whitaker[0] carries[0] the[0] film[0] by[0] using[0] what[0] truly[1] great[2] actor's[0] use[0] his[0] face[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
ghost dog is reticent to speak , often going for long periods without doing so . 	ghost dog is reticent to speak , often going for long periods without doing so .	1	-1	 ghost[0] dog[0] is[0] reticent[0] to[0] speak[0] often[0] going[0] for[0] long[0] periods[0] without[0] doing[0] so[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the fact that whitaker can convey such a wide range of emotion through a gesture or look is a remarkable talent . 	the fact that whitaker can convey such a wide range of emotion through a gesture or look is a remarkable talent .	2	-1	 the[0] fact[0] that[0] whitaker[0] can[0] convey[0] such[0] a[0] wide[0] range[0] of[0] emotion[0] through[0] a[0] gesture[0] or[0] look[0] is[0] a[0] remarkable[0] talent[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
although the film has a deliberate pace , some of the late night drives and walks taken by ghost dog dragged the momentum down . 	although the film has a deliberate pace , some of the late night drives and walks taken by ghost dog dragged the momentum down .	1	-1	 although[0] the[0] film[0] has[0] a[0] deliberate[0] pace[0] some[0] of[0] the[0] late[0] night[0] drives[0] and[0] walks[0] taken[0] by[0] ghost[0] dog[0] dragged[0] the[0] momentum[0] down[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
truly tragic is how ghost dog misinterprets japanese honor in his final confrontation with the mob . 	truly tragic is how ghost dog misinterprets japanese honor in his final confrontation with the mob .	2	-3	 truly[1] tragic[-2] is[0] how[0] ghost[0] dog[0] misinterprets[0] japanese[0] honor[0] in[0] his[0] final[0] confrontation[-2] with[0] the[0] mob[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
he reveals himself to be so desperate for spiritual guidance through the hagakure that he fails to truly adapt it to what is real and true in his world . 	he reveals himself to be so desperate for spiritual guidance through the hagakure that he fails to truly adapt it to what is real and true in his world .	2	-3	 he[0] reveals[0] himself[0] to[0] be[0] so[0] desperate[-2] for[0] spiritual[0] guidance[0] through[0] the[0] hagakure[0] that[0] he[0] fails[-2] to[0] truly[1] adapt[0] it[0] to[0] what[0] is[0] real[0] and[0] true[1] in[0] his[0] world[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
carried on the shoulders of a remarkable performance by whitaker , ghost dog rises beyond being a characterization or icon , into a figure that garners sympathy , if not a bit of pity . 	carried on the shoulders of a remarkable performance by whitaker , ghost dog rises beyond being a characterization or icon , into a figure that garners sympathy , if not a bit of pity .	1	-2	 carried[0] on[0] the[0] shoulders[0] of[0] a[0] remarkable[0] performance[0] by[0] whitaker[0] ghost[0] dog[0] rises[0] beyond[0] being[0] a[0] characterization[0] or[0] icon[0] into[0] a[0] figure[0] that[0] garners[0] sympathy[0] if[0] not[0] a[0] bit[0] of[0] pity[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
