apparently , director tony kaye had a major battle with new line regarding his new film , american history x . i don't know the details of the fight , but it seems that he is not happy with the final product , and nearly removed his name from the credits altogether . 	Translation	Positive	Negative	EmotionRationale
what adds depth to the story is a subplot in which the principal of danny's school ( avery brooks ) becomes obsessed with purging the hatred from danny . 	what adds depth to the story is a subplot in which the principal of danny's school ( avery brooks ) becomes obsessed with purging the hatred from danny .	1	-4	 what[0] adds[0] depth[0] to[0] the[0] story[0] is[0] a[0] subplot[0] in[0] which[0] the[0] principal[0] of[0] danny's[0] school[0] avery[0] brooks[0] becomes[0] obsessed[-2] with[0] purging[0] the[0] hatred[-3] from[0] danny[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
the other performances are all terrific , with standouts from furlong , d'angelo , and lien . 	the other performances are all terrific , with standouts from furlong , d'angelo , and lien .	4	-1	 the[0] other[0] performances[0] are[0] all[0] terrific[3] with[0] standouts[0] from[0] furlong[0] d'angelo[0] and[0] lien[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
visually , the film is very powerful . 	visually , the film is very powerful .	1	-1	 visually[0] the[0] film[0] is[0] very[0] powerful[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
kaye indulges in a lot of interesting artistic choices , and most of them work nicely -- lots of slow-motion and strange camera angles add to a moody atmosphere . 	kaye indulges in a lot of interesting artistic choices , and most of them work nicely - lots of slow-motion and strange camera angles add to a moody atmosphere .	2	-3	 kaye[0] indulges[0] in[0] a[0] lot[0] of[0] interesting[1] artistic[0] choices[0] and[0] most[0] of[0] them[0] work[0] nicely[1] lots[0] of[0] slow[0] motion[0] and[0] strange[0] camera[0] angles[0] add[0] to[0] a[0] moody[-2] atmosphere[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
but , like a lot of movies lately , american history x skims past greatness in the last few minutes . 	but , like a lot of movies lately , american history x skims past greatness in the last few minutes .	3	-1	 but[0] like[1] a[0] lot[0] of[0] movies[0] lately[0] american[0] history[0] x[1] skims[0] past[0] greatness[2] in[0] the[0] last[0] few[0] minutes[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
although the climactic scene is very moving , the picture ends with a pretentious , preachy resolution featuring a brief narration from a character who was killed . 	although the climactic scene is very moving , the picture ends with a pretentious , preachy resolution featuring a brief narration from a character who was killed .	1	-4	 although[0] the[0] climactic[0] scene[0] is[0] very[0] moving[0] the[0] picture[0] ends[0] with[0] a[0] pretentious[-1] preachy[0] resolution[0] featuring[0] a[0] brief[0] narration[0] from[0] a[0] character[0] who[0] was[0] killed[-3] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
for a movie so smart a subtle up until that point , it felt like a slap in the face to be hand-fed a theme in such a simplistic way . 	for a movie so smart a subtle up until that point , it felt like a slap in the face to be hand-fed a theme in such a simplistic way .	2	-2	 for[0] a[0] movie[0] so[0] smart[1] a[0] subtle[0] up[0] until[0] that[0] point[0] it[0] felt[0] like[1] a[0] slap[-1] in[0] the[0] face[0] to[0] be[0] hand[0] fed[0] a[0] theme[0] in[0] such[0] a[0] simplistic[-1] way[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
it makes me wonder what , exactly , tony kaye disliked about the final version of his film . 	it makes me wonder what , exactly , tony kaye disliked about the final version of his film .	1	-3	 it[0] makes[0] me[0] wonder[0] what[0] exactly[0] tony[0] kaye[0] disliked[-2] about[0] the[0] final[0] version[0] of[0] his[0] film[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
perhaps this last scene was the problem . 	perhaps this last scene was the problem .	1	-2	 perhaps[0] this[0] last[0] scene[0] was[0] the[0] problem[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it's hard to imagine any director not being at least partially pleased with a film this good -- in a time when so many movies are timid and weak , american history x manages to make a compelling argument for racism without advocating it any way . 	it's hard to imagine any director not being at least partially pleased with a film this good - in a time when so many movies are timid and weak , american history x manages to make a compelling argument for racism without advocating it any way .	2	-2	 it's[0] hard[0] to[0] imagine[0] any[0] director[0] not[0] being[0] at[0] least[0] partially[0] pleased[1] with[0] a[0] film[0] this[0] good[1] in[0] a[0] time[0] when[0] so[0] many[0] movies[0] are[0] timid[-1] and[0] weak[-1] american[0] history[0] x[1] manages[0] to[0] make[0] a[0] compelling[0] argument[-1] for[0] racism[-1] without[0] advocating[0] it[0] any[0] way[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
